"Index","ARCC.Close"
2007-01-03,19.3
2007-01-04,19.3
2007-01-05,19.13
2007-01-08,19.29
2007-01-09,19.17
2007-01-10,19.17
2007-01-11,19.5
2007-01-12,19.46
2007-01-16,19.49
2007-01-17,19.42
2007-01-18,19.42
2007-01-19,19.55
2007-01-22,19.61
2007-01-23,19.69
2007-01-24,19.75
2007-01-25,19.72
2007-01-26,19.46
2007-01-29,19.49
2007-01-30,19.77
2007-01-31,19.84
2007-02-01,20.09
2007-02-02,20.38
2007-02-05,20.1
2007-02-06,19.96
2007-02-07,20.01
2007-02-08,20.11
2007-02-09,19.84
2007-02-12,19.58
2007-02-13,19.55
2007-02-14,19.84
2007-02-15,19.9
2007-02-16,20.13
2007-02-20,20.22
2007-02-21,20.07
2007-02-22,20.46
2007-02-23,20.35
2007-02-26,20.36
2007-02-27,19.6
2007-02-28,20.22
2007-03-01,19.99
2007-03-02,19.86
2007-03-05,18.37
2007-03-06,18.74
2007-03-07,18.63
2007-03-08,18.89
2007-03-09,19.05
2007-03-12,19.17
2007-03-13,17.82
2007-03-14,18.53
2007-03-15,18.59
2007-03-16,18.21
2007-03-19,18.29
2007-03-20,18.28
2007-03-21,18.64
2007-03-22,18.55
2007-03-23,18.84
2007-03-26,18.95
2007-03-27,18.71
2007-03-28,18.23
2007-03-29,17.97
2007-03-30,18.17
2007-04-02,18.16
2007-04-03,18.15
2007-04-04,18.11
2007-04-05,18.12
2007-04-09,18.09
2007-04-10,18.02
2007-04-11,18.14
2007-04-12,18.28
2007-04-13,18.32
2007-04-16,18.38
2007-04-17,18.41
2007-04-18,18.31
2007-04-19,18.31
2007-04-20,18.25
2007-04-23,18.24
2007-04-24,18.18
2007-04-25,18.2
2007-04-26,18.18
2007-04-27,18
2007-04-30,17.96
2007-05-01,17.78
2007-05-02,18
2007-05-03,18.01
2007-05-04,18
2007-05-07,18
2007-05-08,17.9
2007-05-09,17.99
2007-05-10,17.91
2007-05-11,18.02
2007-05-14,17.64
2007-05-15,17.39
2007-05-16,17.82
2007-05-17,17.84
2007-05-18,18.02
2007-05-21,18.29
2007-05-22,18.37
2007-05-23,18.06
2007-05-24,17.9
2007-05-25,18.09
2007-05-29,18.5
2007-05-30,18.84
2007-05-31,18.53
2007-06-01,18.4
2007-06-04,18.58
2007-06-05,18.52
2007-06-06,18.42
2007-06-07,18.1
2007-06-08,18.2
2007-06-11,18.14
2007-06-12,17.85
2007-06-13,17.77
2007-06-14,17.8
2007-06-15,17.87
2007-06-18,18.19
2007-06-19,18.06
2007-06-20,17.69
2007-06-21,17.67
2007-06-22,17.56
2007-06-25,17.4
2007-06-26,17.1
2007-06-27,17.08
2007-06-28,17.04
2007-06-29,16.85
2007-07-02,16.86
2007-07-03,16.97
2007-07-05,16.96
