"Index","ARKR.Close"
2007-01-03,32.56
2007-01-04,33
2007-01-05,32.74
2007-01-08,32.7
2007-01-09,33.9
2007-01-10,33.6
2007-01-11,33.9
2007-01-12,33.99
2007-01-16,34.13
2007-01-17,33.96
2007-01-18,34
2007-01-19,34.2
2007-01-22,31.18
2007-01-23,31.2
2007-01-24,31.11
2007-01-25,31.04
2007-01-26,30.6
2007-01-29,31.2
2007-01-30,31.5
2007-01-31,31.5
2007-02-01,31.48
2007-02-02,31.24
2007-02-05,31.22
2007-02-06,31.15
2007-02-07,31.36
2007-02-08,31.47
2007-02-09,31.48
2007-02-12,31.5
2007-02-13,31.5
2007-02-14,32
2007-02-15,32.05
2007-02-16,32.5
2007-02-20,32.8
2007-02-21,34.48
2007-02-22,35.01
2007-02-23,35.37
2007-02-26,34.5
2007-02-27,34.25
2007-02-28,34.75
2007-03-01,34.45
2007-03-02,34.5
2007-03-05,34.2
2007-03-06,34.26
2007-03-07,34.25
2007-03-08,33.8
2007-03-09,33.74
2007-03-12,33.7
2007-03-13,32.6
2007-03-14,33
2007-03-15,32.13
2007-03-16,32.79
2007-03-19,32.19
2007-03-20,32.15
2007-03-21,31.4
2007-03-22,31.32
2007-03-23,32.33
2007-03-26,31.98
2007-03-27,31.96
2007-03-28,32
2007-03-29,32.5
2007-03-30,33.95
2007-04-02,35
2007-04-03,34.92
2007-04-04,34.88
2007-04-05,35.1
2007-04-09,35.2
2007-04-10,35.18
2007-04-11,33.6
2007-04-12,34.51
2007-04-13,34.59
2007-04-16,35
2007-04-17,34.52
2007-04-18,34.54
2007-04-19,34.4
2007-04-20,34.39
2007-04-23,34.4
2007-04-24,34.4
2007-04-25,34.46
2007-04-26,34.71
2007-04-27,34.79
2007-04-30,35
2007-05-01,35.03
2007-05-02,34.87
2007-05-03,34.5
2007-05-04,34.71
2007-05-07,34.93
2007-05-08,34.75
2007-05-09,34.39
2007-05-10,33.56
2007-05-11,34.11
2007-05-14,34.53
2007-05-15,34.66
2007-05-16,34.76
2007-05-17,34.3
2007-05-18,33.55
2007-05-21,33.01
2007-05-22,33.95
2007-05-23,34.51
2007-05-24,35
2007-05-25,35.21
2007-05-29,34.65
2007-05-30,35
2007-05-31,34.95
2007-06-01,34.95
2007-06-04,34.95
2007-06-05,34.95
2007-06-06,34.3
2007-06-07,34.9
2007-06-08,34.88
2007-06-11,35.07
2007-06-12,35.06
2007-06-13,35.1
2007-06-14,35.1
2007-06-15,35.1
2007-06-18,35.05
2007-06-19,35.15
2007-06-20,35.2
2007-06-21,35.08
2007-06-22,35.49
2007-06-25,35.2
2007-06-26,35.2
2007-06-27,35.35
2007-06-28,35.73
2007-06-29,36.99
2007-07-02,37.25
2007-07-03,37.09
2007-07-05,37
2007-07-06,36.95
2007-07-09,36.72
2007-07-10,36.75
2007-07-11,36.9
2007-07-12,36.9
2007-07-13,36.75
2007-07-16,37.15
2007-07-17,37.15
2007-07-18,37.01
2007-07-19,37
2007-07-20,37.63
2007-07-23,37.32
2007-07-24,37.3
2007-07-25,36.48
2007-07-26,36.54
2007-07-27,35.71
2007-07-30,36.47
2007-07-31,36.49
2007-08-01,37
2007-08-02,37.17
2007-08-03,36.91
2007-08-06,36.59
2007-08-07,37.4
2007-08-08,37.15
2007-08-09,36.99
2007-08-10,36.87
2007-08-13,36.5
2007-08-14,37.05
2007-08-15,36.89
2007-08-16,37
2007-08-17,36.72
2007-08-20,36.88
2007-08-21,36.62
2007-08-22,36.49
2007-08-23,36.34
2007-08-24,36.1
2007-08-27,36.89
2007-08-28,36.9
2007-08-29,36.6
2007-08-30,36.25
2007-08-31,36.95
2007-09-04,36.75
2007-09-05,36.9
2007-09-06,36.8
2007-09-07,36.79
2007-09-10,36.85
2007-09-11,36.44
2007-09-12,36.45
2007-09-13,36.44
2007-09-14,36.56
2007-09-17,36.9
2007-09-18,37.05
2007-09-19,37
2007-09-20,36.5
2007-09-21,36.26
2007-09-24,36.79
2007-09-25,36.64
2007-09-26,36.45
2007-09-27,36.29
2007-09-28,36.83
2007-10-01,35.5
2007-10-02,34.86
2007-10-03,34.95
2007-10-04,34.5
2007-10-05,35
2007-10-08,36.27
2007-10-09,35.7
2007-10-10,35.78
2007-10-11,36.1
2007-10-12,35.94
2007-10-15,36.6
2007-10-16,35.94
2007-10-17,36.49
2007-10-18,36.29
2007-10-19,36.23
2007-10-22,36
2007-10-23,36.25
2007-10-24,36.7
2007-10-25,36
2007-10-26,35.87
2007-10-29,35.6
2007-10-30,37
2007-10-31,36.73
2007-11-01,36.98
2007-11-02,35.95
2007-11-05,36.88
2007-11-06,35.8
2007-11-07,35.5
2007-11-08,35.51
2007-11-09,36.66
2007-11-12,35.5
2007-11-13,34.97
2007-11-14,34.42
2007-11-15,35.49
2007-11-16,36.18
2007-11-19,36.25
2007-11-20,36.25
2007-11-21,36.39
2007-11-23,36.71
2007-11-26,36.79
2007-11-27,36.59
2007-11-28,36.26
2007-11-29,36.8
2007-11-30,36.8
2007-12-03,36.79
2007-12-04,36.58
2007-12-05,36.42
2007-12-06,36.32
2007-12-07,35.76
2007-12-10,35.75
2007-12-11,35.51
2007-12-12,35.28
2007-12-13,35.47
2007-12-14,35.03
2007-12-17,35.66
2007-12-18,36
2007-12-19,35.45
2007-12-20,34.83
2007-12-21,35.53
2007-12-24,36.1
2007-12-26,36.91
2007-12-27,36.75
2007-12-28,36.95
2007-12-31,36.81
2008-01-02,37.32
2008-01-03,36.34
2008-01-04,35.81
2008-01-07,35.29
2008-01-08,32.69
2008-01-09,33.17
2008-01-10,32.7
2008-01-11,33.43
2008-01-14,33
2008-01-15,31.77
2008-01-16,32
2008-01-17,31.44
2008-01-18,32
2008-01-22,31.25
2008-01-23,32
2008-01-24,30.83
2008-01-25,31.16
2008-01-28,30.74
2008-01-29,30.81
2008-01-30,30.34
2008-01-31,31.72
2008-02-01,34.01
2008-02-04,33.21
2008-02-05,32.65
2008-02-06,33.13
2008-02-07,33.77
2008-02-08,33.7
2008-02-11,32.75
2008-02-12,33
2008-02-13,32.91
2008-02-14,31.78
2008-02-15,32.1
2008-02-19,31.72
2008-02-20,31.07
2008-02-21,32.02
2008-02-22,30.68
2008-02-25,31
2008-02-26,31.99
2008-02-27,31.56
2008-02-28,32.58
2008-02-29,30.8
2008-03-03,31.06
2008-03-04,31.57
2008-03-05,31.14
2008-03-06,31.03
2008-03-07,31.03
2008-03-10,30.3
2008-03-11,31.1
2008-03-12,30.35
2008-03-13,29.5
2008-03-14,29.94
2008-03-17,29.49
2008-03-18,29.94
2008-03-19,29.49
2008-03-20,29.3
2008-03-24,30
2008-03-25,30
2008-03-26,30
2008-03-27,29.48
2008-03-28,29.1
2008-03-31,29
2008-04-01,29
2008-04-02,29
2008-04-03,26.64
2008-04-04,26.59
2008-04-07,25.95
2008-04-08,26.01
2008-04-09,25.13
2008-04-10,25.43
2008-04-11,25.85
2008-04-14,26.84
2008-04-15,26.55
2008-04-16,26.69
2008-04-17,26.22
2008-04-18,26.04
2008-04-21,26.97
2008-04-22,26.85
2008-04-23,25.95
2008-04-24,25.92
2008-04-25,26.18
2008-04-28,26.5
2008-04-29,26.37
2008-04-30,26.43
2008-05-01,25.95
2008-05-02,26.77
2008-05-05,26.77
2008-05-06,25.49
2008-05-07,26.9
2008-05-08,26.03
2008-05-09,26.75
2008-05-12,27.5
2008-05-13,27.3
2008-05-14,27.55
2008-05-15,28
2008-05-16,27.46
2008-05-19,26.9
2008-05-20,27
2008-05-21,26.99
2008-05-22,26.2
2008-05-23,26.71
2008-05-27,25.48
2008-05-28,25.56
2008-05-29,25.43
2008-05-30,26.5
2008-06-02,26.14
2008-06-03,26.05
2008-06-04,25.28
2008-06-05,25.7
2008-06-06,25.87
2008-06-09,25.92
2008-06-10,26
2008-06-11,26
2008-06-12,25.9
2008-06-13,25.9
2008-06-16,26.99
2008-06-17,26.2
2008-06-18,25.9
2008-06-19,26.41
2008-06-20,26.41
2008-06-23,26.88
2008-06-24,26.57
2008-06-25,26.57
2008-06-26,26.57
2008-06-27,25.9
2008-06-30,25.91
2008-07-01,25.91
2008-07-02,26.24
2008-07-03,25.8
2008-07-07,26.25
2008-07-08,25.75
2008-07-09,25.27
2008-07-10,25.1
2008-07-11,25.1
2008-07-14,25
2008-07-15,24.88
2008-07-16,24.8
2008-07-17,24.89
2008-07-18,24.65
2008-07-21,24.6
2008-07-22,22.61
2008-07-23,23.01
2008-07-24,21.15
2008-07-25,21.5
2008-07-28,20.98
2008-07-29,19.2
2008-07-30,18.89
2008-07-31,19.03
2008-08-01,19
2008-08-04,19.2
2008-08-05,21.54
2008-08-06,22.53
2008-08-07,22.43
2008-08-08,22.8
2008-08-11,22.98
2008-08-12,22.28
2008-08-13,22.28
2008-08-14,22.1
2008-08-15,22.34
2008-08-18,23.02
2008-08-19,20.76
2008-08-20,22.48
2008-08-21,22.48
2008-08-22,21.96
2008-08-25,21.98
2008-08-26,21.5
2008-08-27,23.39
2008-08-28,22.23
2008-08-29,23.05
2008-09-02,22.04
2008-09-03,22.73
2008-09-04,22.7
2008-09-05,21.5
2008-09-08,21.1
2008-09-09,22.17
2008-09-10,22.09
2008-09-11,21.51
2008-09-12,21.53
2008-09-15,21.05
2008-09-16,20.75
2008-09-17,19.87
2008-09-18,18.57
2008-09-19,18.83
2008-09-22,18.53
2008-09-23,19
2008-09-24,18.46
2008-09-25,18.42
2008-09-26,18.03
2008-09-29,17.03
2008-09-30,16.04
2008-10-01,15
2008-10-02,15.3
2008-10-03,15.43
2008-10-06,15.55
2008-10-07,15.5
2008-10-08,15
2008-10-09,15.96
2008-10-10,15.94
2008-10-13,15.51
2008-10-14,15.7
2008-10-15,15.51
2008-10-16,15.11
2008-10-17,15.87
2008-10-20,15.99
2008-10-21,15.85
2008-10-22,14.96
2008-10-23,15.34
2008-10-24,14
2008-10-27,13.04
2008-10-28,12.81
2008-10-29,12.65
2008-10-30,11.8
2008-10-31,12.53
2008-11-03,13
2008-11-04,12.5
2008-11-05,12.15
2008-11-06,12
2008-11-07,12.13
2008-11-10,12.88
2008-11-11,11.98
2008-11-12,10.88
2008-11-13,10.99
2008-11-14,10.52
2008-11-17,10
2008-11-18,10.95
2008-11-19,10
2008-11-20,9.03
2008-11-21,8.73
2008-11-24,9.89
2008-11-25,9.6
2008-11-26,8.99
2008-11-28,8.35
2008-12-01,9.43
2008-12-02,10
2008-12-03,10.75
2008-12-04,11.25
2008-12-05,10.75
2008-12-08,10.73
2008-12-09,10.85
2008-12-10,10.55
2008-12-11,10.96
2008-12-12,10.51
2008-12-15,11
2008-12-16,11.52
2008-12-17,11.22
2008-12-18,9.35
2008-12-19,9
2008-12-22,9.5
2008-12-23,10.5
2008-12-24,11.03
2008-12-26,10.66
2008-12-29,10.66
2008-12-30,10.8
2008-12-31,11.43
2009-01-02,11.72
2009-01-05,12
2009-01-06,12.07
2009-01-07,12.2
2009-01-08,11.47
2009-01-09,11.85
2009-01-12,11.85
2009-01-13,11.08
2009-01-14,11.08
2009-01-15,11
2009-01-16,11.15
2009-01-20,11.19
2009-01-21,10.9
2009-01-22,11.24
2009-01-23,10.9
2009-01-26,11.14
2009-01-27,10.7
2009-01-28,10.85
2009-01-29,10.8
2009-01-30,10.5
2009-02-02,10.31
2009-02-03,10
2009-02-04,9.85
2009-02-05,9.92
2009-02-06,9.95
2009-02-09,10.05
2009-02-10,10.1
2009-02-11,10.03
2009-02-12,10.1
2009-02-13,10
2009-02-17,10
2009-02-18,9.76
2009-02-19,10.05
2009-02-20,9.99
2009-02-23,10
2009-02-24,9.95
2009-02-25,9.98
2009-02-26,9.95
2009-02-27,9.8
2009-03-02,10.04
2009-03-03,9.8
2009-03-04,10
2009-03-05,9.92
2009-03-06,10
2009-03-09,9.99
2009-03-10,9.82
2009-03-11,9.52
2009-03-12,9.96
