"Index","ARLP.Close"
2007-01-03,17
2007-01-04,16.9
2007-01-05,16.86
2007-01-08,16.92
2007-01-09,16.82
2007-01-10,16.82
2007-01-11,16.98
2007-01-12,17
2007-01-16,16.88
2007-01-17,16.86
2007-01-18,16.86
2007-01-19,16.94
2007-01-22,16.89
2007-01-23,16.94
2007-01-24,16.92
2007-01-25,16.8
2007-01-26,16.88
2007-01-29,16.86
2007-01-30,17.02
2007-01-31,17.11
2007-02-01,17.36
2007-02-02,17.47
2007-02-05,17.5
2007-02-06,17.62
2007-02-07,17.59
2007-02-08,17.7
2007-02-09,17.61
2007-02-12,17.58
2007-02-13,17.6
2007-02-14,17.64
2007-02-15,17.62
2007-02-16,17.58
2007-02-20,17.49
2007-02-21,17.54
2007-02-22,17.73
2007-02-23,17.74
2007-02-26,17.82
2007-02-27,17.4
2007-02-28,17.35
2007-03-01,17.72
2007-03-02,17.6
2007-03-05,17.42
2007-03-06,17.62
2007-03-07,17.52
2007-03-08,17.37
2007-03-09,17.34
2007-03-12,17.51
2007-03-13,17.28
2007-03-14,17.12
2007-03-15,17.18
2007-03-16,17.32
2007-03-19,17.34
2007-03-20,17.34
2007-03-21,17.61
2007-03-22,17.75
2007-03-23,17.95
2007-03-26,18.26
2007-03-27,18.61
2007-03-28,18.56
2007-03-29,18.83
2007-03-30,18.96
2007-04-02,19.2
2007-04-03,19.12
2007-04-04,19.32
2007-04-05,19.68
2007-04-09,19.68
2007-04-10,19.64
2007-04-11,19.27
2007-04-12,19.75
2007-04-13,19.84
2007-04-16,20.13
2007-04-17,19.8
2007-04-18,20
2007-04-19,19.71
2007-04-20,19.94
2007-04-23,20
2007-04-24,20.02
2007-04-25,19.88
2007-04-26,19.8
2007-04-27,19.76
2007-04-30,19.86
2007-05-01,19.92
2007-05-02,19.72
2007-05-03,20.03
2007-05-04,19.98
2007-05-07,19.91
2007-05-08,19.98
2007-05-09,19.98
2007-05-10,20
2007-05-11,20.14
2007-05-14,20.17
2007-05-15,20.34
2007-05-16,20.28
2007-05-17,20.3
2007-05-18,20.74
2007-05-21,21.22
2007-05-22,21.42
2007-05-23,21.36
2007-05-24,21.14
2007-05-25,21.74
2007-05-29,21.52
2007-05-30,21.79
2007-05-31,21.94
2007-06-01,22.12
2007-06-04,22.65
2007-06-05,22.38
2007-06-06,21.74
2007-06-07,20.91
2007-06-08,21
2007-06-11,21.22
2007-06-12,21.34
2007-06-13,21.52
2007-06-14,21.9
2007-06-15,21.92
2007-06-18,21.8
2007-06-19,22.3
2007-06-20,21.78
2007-06-21,21.64
2007-06-22,21.15
2007-06-25,21.06
2007-06-26,20.48
2007-06-27,20.46
2007-06-28,20.66
2007-06-29,20.98
2007-07-02,20.86
2007-07-03,21.03
2007-07-05,21.18
2007-07-06,21.38
2007-07-09,21.48
2007-07-10,21.36
2007-07-11,21.16
2007-07-12,21.16
2007-07-13,21.25
2007-07-16,21.18
2007-07-17,20.86
2007-07-18,20.77
2007-07-19,20.67
2007-07-20,21
2007-07-23,20.88
2007-07-24,20.58
2007-07-25,20.24
2007-07-26,19.57
2007-07-27,19.6
2007-07-30,19.66
2007-07-31,20.25
2007-08-01,19.84
2007-08-02,19.12
2007-08-03,18.27
2007-08-06,17.44
2007-08-07,17.7
2007-08-08,17.96
2007-08-09,16.19
2007-08-10,16.38
2007-08-13,16.86
2007-08-14,16.76
2007-08-15,16.07
2007-08-16,15.59
2007-08-17,16.13
2007-08-20,16.56
2007-08-21,16.5
2007-08-22,17.06
2007-08-23,16.98
2007-08-24,17.14
2007-08-27,16.84
2007-08-28,16.67
2007-08-29,16.74
2007-08-30,16.5
2007-08-31,16.76
2007-09-04,16.76
2007-09-05,16.75
2007-09-06,16.85
2007-09-07,16.72
2007-09-10,16.5
2007-09-11,16.35
2007-09-12,16.49
2007-09-13,16.86
2007-09-14,16.59
2007-09-17,16.05
2007-09-18,16.45
2007-09-19,16.88
2007-09-20,16.91
2007-09-21,16.92
2007-09-24,16.84
2007-09-25,16.86
2007-09-26,16.88
2007-09-27,16.7
2007-09-28,16.76
2007-10-01,16.64
2007-10-02,16.74
2007-10-03,16.7
2007-10-04,16.56
2007-10-05,16.64
2007-10-08,16.68
2007-10-09,17.24
2007-10-10,17.8
2007-10-11,18.3
2007-10-12,18.58
2007-10-15,18.82
2007-10-16,18.64
2007-10-17,18.7
2007-10-18,18.39
2007-10-19,17.96
2007-10-22,18.13
2007-10-23,18.18
2007-10-24,18.54
2007-10-25,18.62
2007-10-26,19.05
2007-10-29,19.6
2007-10-30,19.11
2007-10-31,19.22
2007-11-01,19.05
2007-11-02,18.91
2007-11-05,18.23
2007-11-06,18.39
2007-11-07,19.18
2007-11-08,19.71
2007-11-09,19.86
2007-11-12,20.34
2007-11-13,20.02
2007-11-14,19.9
2007-11-15,19.7
2007-11-16,19.05
2007-11-19,18.96
2007-11-20,19.1
2007-11-21,18.56
2007-11-23,18.92
2007-11-26,18.9
2007-11-27,18.79
2007-11-28,18.88
2007-11-29,18.88
2007-11-30,19.02
2007-12-03,19.01
2007-12-04,18.86
2007-12-05,18.84
2007-12-06,18.88
2007-12-07,18.54
2007-12-10,18.68
2007-12-11,18.56
2007-12-12,18.6
2007-12-13,18.1
2007-12-14,17.84
2007-12-17,17.68
2007-12-18,17.46
2007-12-19,17.55
2007-12-20,17.22
2007-12-21,17.42
2007-12-24,17.58
2007-12-26,17.88
2007-12-27,17.54
2007-12-28,17.47
2007-12-31,18.14
2008-01-02,18.31
2008-01-03,18.4
2008-01-04,18.47
2008-01-07,17.92
2008-01-08,17.94
2008-01-09,17.6
2008-01-10,17.79
2008-01-11,17.52
2008-01-14,17.6
2008-01-15,17.62
2008-01-16,17.32
2008-01-17,16.67
2008-01-18,17.01
2008-01-22,16.96
2008-01-23,17.22
2008-01-24,17.23
2008-01-25,17.42
2008-01-28,17.92
2008-01-29,18.06
2008-01-30,17.67
2008-01-31,17.68
2008-02-01,18.58
2008-02-04,19.31
2008-02-05,19.11
2008-02-06,18.07
2008-02-07,18.63
2008-02-08,18.67
2008-02-11,19.7
2008-02-12,18.96
2008-02-13,19.6
2008-02-14,19.92
2008-02-15,19.33
2008-02-19,19.72
2008-02-20,19.7
2008-02-21,19.81
2008-02-22,19.5
2008-02-25,19.68
2008-02-26,19.3
2008-02-27,19.39
2008-02-28,19.46
2008-02-29,18.98
2008-03-03,18.98
2008-03-04,18.58
2008-03-05,19.08
2008-03-06,18.98
2008-03-07,18.96
2008-03-10,18.36
2008-03-11,18.42
2008-03-12,18.37
2008-03-13,18.26
2008-03-14,17.7
2008-03-17,17.38
2008-03-18,17.45
2008-03-19,17.34
2008-03-20,17.36
2008-03-24,17.29
2008-03-25,17.6
2008-03-26,17.88
2008-03-27,17.46
2008-03-28,17.42
2008-03-31,17.5
2008-04-01,17.42
2008-04-02,17.46
2008-04-03,17.62
2008-04-04,18.24
2008-04-07,18.81
2008-04-08,18.44
2008-04-09,18.58
2008-04-10,18.7
2008-04-11,18.3
2008-04-14,18.48
2008-04-15,19.3
2008-04-16,20
2008-04-17,19.53
2008-04-18,19.54
2008-04-21,19.8
2008-04-22,19.84
2008-04-23,19.62
2008-04-24,19.38
2008-04-25,19.9
2008-04-28,20.87
2008-04-29,20.78
2008-04-30,20.74
2008-05-01,20.66
2008-05-02,20.86
2008-05-05,21.8
2008-05-06,22.12
2008-05-07,22.38
2008-05-08,22.32
2008-05-09,22.48
2008-05-12,22.48
2008-05-13,22.25
2008-05-14,22.16
2008-05-15,22.8
2008-05-16,23.31
2008-05-19,23.92
2008-05-20,23.84
2008-05-21,23.62
2008-05-22,23.55
2008-05-23,22.5
2008-05-27,22.64
2008-05-28,22.52
2008-05-29,22.35
2008-05-30,22.88
2008-06-02,24.45
2008-06-03,24.25
2008-06-04,23.86
2008-06-05,24.49
2008-06-06,24.49
2008-06-09,24.62
2008-06-10,24.48
2008-06-11,25
2008-06-12,26.18
2008-06-13,27.33
2008-06-16,26.68
2008-06-17,26.9
2008-06-18,27.48
2008-06-19,27.5
2008-06-20,27.64
2008-06-23,28.3
2008-06-24,28.28
2008-06-25,27.04
2008-06-26,27.36
2008-06-27,27.75
2008-06-30,27.84
2008-07-01,27.56
2008-07-02,25.42
2008-07-03,24.82
2008-07-07,24.81
2008-07-08,23.7
2008-07-09,24.56
2008-07-10,25.52
2008-07-11,25.68
2008-07-14,26
2008-07-15,25.14
2008-07-16,24.42
2008-07-17,23.19
2008-07-18,22.63
2008-07-21,23.56
2008-07-22,22.95
2008-07-23,22.18
2008-07-24,22.26
2008-07-25,22.19
2008-07-28,22.66
2008-07-29,23.18
2008-07-30,24.38
2008-07-31,24.08
2008-08-01,24.34
2008-08-04,23.38
2008-08-05,22.54
2008-08-06,23.19
2008-08-07,23
2008-08-08,22.92
2008-08-11,22.26
2008-08-12,22.24
2008-08-13,23.04
2008-08-14,22.9
2008-08-15,22.54
2008-08-18,22.14
2008-08-19,22.82
2008-08-20,23.72
2008-08-21,24.22
2008-08-22,23.49
2008-08-25,23.4
2008-08-26,23.16
2008-08-27,22.97
2008-08-28,23.2
2008-08-29,23.32
2008-09-02,22.66
2008-09-03,21.08
2008-09-04,20.04
2008-09-05,20.1
2008-09-08,19.16
2008-09-09,17.48
2008-09-10,18.08
2008-09-11,17.88
2008-09-12,18.85
2008-09-15,17.44
2008-09-16,17.2
2008-09-17,16.26
2008-09-18,16.78
2008-09-19,17.48
2008-09-22,17.92
2008-09-23,17.07
2008-09-24,16.76
2008-09-25,16.68
2008-09-26,16.24
2008-09-29,14.76
2008-09-30,15.76
2008-10-01,16
2008-10-02,14.86
2008-10-03,14.54
2008-10-06,12.88
2008-10-07,12.31
2008-10-08,12.6
2008-10-09,12.52
2008-10-10,12.25
2008-10-13,15
2008-10-14,14.74
2008-10-15,14.41
2008-10-16,14.51
2008-10-17,15.19
2008-10-20,16.26
2008-10-21,15.71
2008-10-22,14.65
2008-10-23,14.86
2008-10-24,14.56
2008-10-27,14.03
2008-10-28,14.36
2008-10-29,14.76
2008-10-30,15.38
2008-10-31,16
2008-11-03,16.63
2008-11-04,16.8
2008-11-05,16
2008-11-06,14.68
2008-11-07,14.98
2008-11-10,14.88
2008-11-11,14.38
2008-11-12,13.42
2008-11-13,14.46
2008-11-14,13.6
2008-11-17,13.29
2008-11-18,12.92
2008-11-19,12.02
2008-11-20,9.83
2008-11-21,9.55
2008-11-24,11.24
2008-11-25,11.5
2008-11-26,12.62
2008-11-28,13.24
2008-12-01,11.91
2008-12-02,11.48
2008-12-03,11.81
2008-12-04,11.84
2008-12-05,11.72
2008-12-08,12.5
2008-12-09,12.82
2008-12-10,13.66
2008-12-11,13.3
2008-12-12,12.9
2008-12-15,13.05
2008-12-16,13.6
2008-12-17,13.8
2008-12-18,13.2
2008-12-19,13.4
2008-12-22,13.36
2008-12-23,12.94
2008-12-24,12.36
2008-12-26,12.7
2008-12-29,12.86
2008-12-30,13.08
