"Index","ARNA.Close"
2007-01-03,12.72
2007-01-04,12.91
2007-01-05,12.79
2007-01-08,12.62
2007-01-09,12.7
2007-01-10,12.67
2007-01-11,12.85
2007-01-12,13.15
2007-01-16,13.43
2007-01-17,13.47
2007-01-18,13.12
2007-01-19,13.17
2007-01-22,13.09
2007-01-23,12.79
2007-01-24,12.83
2007-01-25,12.64
2007-01-26,12.91
2007-01-29,13.01
2007-01-30,13.02
2007-01-31,12.77
2007-02-01,12.9
2007-02-02,12.72
2007-02-05,12.9
2007-02-06,12.96
2007-02-07,13.43
2007-02-08,14.19
2007-02-09,14.11
2007-02-12,14.25
2007-02-13,14.28
2007-02-14,14.55
2007-02-15,14.3
2007-02-16,13.9
2007-02-20,14.01
2007-02-21,13.76
2007-02-22,13.68
2007-02-23,13.71
2007-02-26,13.5
2007-02-27,12.81
2007-02-28,12.65
2007-03-01,12.42
2007-03-02,12
2007-03-05,11.6
2007-03-06,11.79
2007-03-07,11.18
2007-03-08,11.43
2007-03-09,11.46
2007-03-12,11.71
2007-03-13,11.44
2007-03-14,11.19
2007-03-15,11.38
2007-03-16,11.57
2007-03-19,11.29
2007-03-20,11.21
2007-03-21,11.34
2007-03-22,11.3
2007-03-23,10.87
2007-03-26,10.56
2007-03-27,9.98
2007-03-28,10.78
2007-03-29,10.63
2007-03-30,10.86
2007-04-02,10.4
2007-04-03,10.63
2007-04-04,10.53
2007-04-05,10.76
2007-04-09,11.08
2007-04-10,11.15
2007-04-11,10.97
2007-04-12,11.36
2007-04-13,11.5
2007-04-16,11.68
2007-04-17,11.16
2007-04-18,11.35
2007-04-19,12.25
2007-04-20,12.26
2007-04-23,12.83
2007-04-24,13.2
2007-04-25,13.08
2007-04-26,13.11
2007-04-27,13.1
2007-04-30,13.03
2007-05-01,13.19
2007-05-02,13.79
2007-05-03,13.83
2007-05-04,13.75
2007-05-07,13.55
2007-05-08,13.8
2007-05-09,13.74
2007-05-10,13.38
2007-05-11,14.06
2007-05-14,13.99
2007-05-15,13.9
2007-05-16,14.05
2007-05-17,14.04
2007-05-18,14.4
2007-05-21,14.57
2007-05-22,14.57
2007-05-23,14.4
2007-05-24,14.32
2007-05-25,14.11
2007-05-29,14.3
2007-05-30,14
2007-05-31,13.9
2007-06-01,13.8
2007-06-04,14.18
2007-06-05,13.8
2007-06-06,13.37
2007-06-07,13.07
2007-06-08,13.27
2007-06-11,13.32
2007-06-12,12.85
2007-06-13,12.94
2007-06-14,12.2
2007-06-15,12.27
2007-06-18,11.91
2007-06-19,11.57
2007-06-20,11.31
2007-06-21,11.2
2007-06-22,11.14
2007-06-25,10.87
2007-06-26,10.69
2007-06-27,10.88
2007-06-28,10.9
2007-06-29,10.99
2007-07-02,10.8
2007-07-03,10.79
2007-07-05,10.81
2007-07-06,11.05
2007-07-09,11.03
2007-07-10,11.26
2007-07-11,11.16
2007-07-12,11.8
2007-07-13,12.39
2007-07-16,12.21
2007-07-17,12.26
2007-07-18,12.36
2007-07-19,12.59
2007-07-20,12.24
2007-07-23,12.24
2007-07-24,11.74
2007-07-25,11.73
2007-07-26,11.75
2007-07-27,11.58
2007-07-30,11.52
2007-07-31,11.43
2007-08-01,11.3
2007-08-02,11.26
2007-08-03,11.11
2007-08-06,11.9
2007-08-07,12.8
2007-08-08,13.94
2007-08-09,14.44
2007-08-10,13.88
2007-08-13,12.79
2007-08-14,12.27
2007-08-15,12.46
2007-08-16,12.4
2007-08-17,13.07
2007-08-20,13.23
2007-08-21,13.47
2007-08-22,12.98
2007-08-23,12.5
2007-08-24,13.28
2007-08-27,13.3
2007-08-28,12.95
2007-08-29,13.3
2007-08-30,12.81
2007-08-31,13.4
2007-09-04,13.75
2007-09-05,13.37
2007-09-06,13.65
2007-09-07,13.98
2007-09-10,14.02
2007-09-11,13.24
2007-09-12,12.9
2007-09-13,11.93
2007-09-14,12.02
2007-09-17,11.7
2007-09-18,11.97
2007-09-19,12.06
2007-09-20,11.94
2007-09-21,12.03
2007-09-24,11.72
2007-09-25,11.47
2007-09-26,11.19
2007-09-27,11.31
2007-09-28,10.95
2007-10-01,10.88
2007-10-02,10.63
2007-10-03,11.24
2007-10-04,11.25
2007-10-05,10.99
2007-10-08,10.81
2007-10-09,10.81
2007-10-10,10.91
2007-10-11,10.57
2007-10-12,10.62
2007-10-15,10.75
2007-10-16,10.73
2007-10-17,10.65
2007-10-18,10.85
2007-10-19,10.54
2007-10-22,10.29
2007-10-23,10.05
2007-10-24,9.81
2007-10-25,9.34
2007-10-26,9.24
2007-10-29,9.08
2007-10-30,9.38
2007-10-31,9.61
2007-11-01,9.91
2007-11-02,9.91
2007-11-05,9.76
2007-11-06,9.46
2007-11-07,8.93
2007-11-08,8.42
2007-11-09,8.9
2007-11-12,8.77
2007-11-13,8.57
2007-11-14,8.48
2007-11-15,8.4
2007-11-16,8.85
2007-11-19,8.24
2007-11-20,8.15
2007-11-21,8.14
2007-11-23,8.23
2007-11-26,8.27
2007-11-27,8.26
2007-11-28,8.49
2007-11-29,9
2007-11-30,8.75
2007-12-03,8.39
2007-12-04,8.16
2007-12-05,8.16
2007-12-06,8.69
2007-12-07,9.1
2007-12-10,9.12
2007-12-11,8.81
2007-12-12,8.66
2007-12-13,8.61
2007-12-14,8.42
2007-12-17,8.43
2007-12-18,8.53
2007-12-19,8.35
2007-12-20,8.26
2007-12-21,8.17
2007-12-24,8.23
2007-12-26,8.14
2007-12-27,8.03
2007-12-28,7.97
2007-12-31,7.83
2008-01-02,7.67
2008-01-03,7.2
2008-01-04,7.11
2008-01-07,7.26
2008-01-08,7.41
2008-01-09,7.47
2008-01-10,7.86
2008-01-11,7.7
2008-01-14,7.43
2008-01-15,8.29
2008-01-16,8.48
2008-01-17,8.44
2008-01-18,7.88
2008-01-22,8.09
2008-01-23,8.34
2008-01-24,7.6
2008-01-25,7.37
2008-01-28,7.53
2008-01-29,7.37
