"Index","AROW.Close"
2007-01-03,20.76
2007-01-04,21.07
2007-01-05,20.45
2007-01-08,20.21
2007-01-09,20.53
2007-01-10,20.3
2007-01-11,20.26
2007-01-12,20.44
2007-01-16,20.01
2007-01-17,19.86
2007-01-18,19.3
2007-01-19,19.43
2007-01-22,19.16
2007-01-23,19.52
2007-01-24,20.01
2007-01-25,19.67
2007-01-26,19.98
2007-01-29,20.14
2007-01-30,20.3
2007-01-31,20.64
2007-02-01,20.68
2007-02-02,20.73
2007-02-05,20.5
2007-02-06,20.42
2007-02-07,20.33
2007-02-08,20.38
2007-02-09,20.13
2007-02-12,20.25
2007-02-13,20.31
2007-02-14,19.95
2007-02-15,19.52
2007-02-16,19.78
2007-02-20,20.04
2007-02-21,20.09
2007-02-22,20.4
2007-02-23,19.97
2007-02-26,19.56
2007-02-27,18.9
2007-02-28,18.75
2007-03-01,18.88
2007-03-02,18.64
2007-03-05,18.56
2007-03-06,19.12
2007-03-07,18.7
2007-03-08,18.49
2007-03-09,18.67
2007-03-12,18.38
2007-03-13,17.91
2007-03-14,18.21
2007-03-15,18.8
2007-03-16,18.42
2007-03-19,18.51
2007-03-20,18.53
2007-03-21,18.99
2007-03-22,19.07
2007-03-23,19.13
2007-03-26,19.15
2007-03-27,18.89
2007-03-28,18.65
2007-03-29,18.75
2007-03-30,18.75
2007-04-02,18.43
2007-04-03,19.05
2007-04-04,18.41
2007-04-05,18.42
2007-04-09,18.49
2007-04-10,18.62
2007-04-11,18.18
2007-04-12,18.22
2007-04-13,18.22
2007-04-16,18.59
2007-04-17,18.41
2007-04-18,18.25
2007-04-19,18.05
2007-04-20,18.5
2007-04-23,18.11
2007-04-24,18.2
2007-04-25,18.46
2007-04-26,18.67
2007-04-27,18.69
2007-04-30,18.59
2007-05-01,18.4
2007-05-02,18.93
2007-05-03,18.96
2007-05-04,18.97
2007-05-07,19.02
2007-05-08,18.7
2007-05-09,18.82
2007-05-10,18.68
2007-05-11,18.91
2007-05-14,18.67
2007-05-15,18.59
2007-05-16,18.83
2007-05-17,18.56
2007-05-18,18.47
2007-05-21,18.73
2007-05-22,18.6
2007-05-23,18.49
2007-05-24,18.41
2007-05-25,18.71
2007-05-29,18.98
2007-05-30,18.98
2007-05-31,18.8
2007-06-01,18.81
2007-06-04,18.86
2007-06-05,18.47
2007-06-06,18.43
2007-06-07,18.49
2007-06-08,18.72
2007-06-11,18.47
2007-06-12,18.43
2007-06-13,18.58
2007-06-14,18.57
2007-06-15,18.67
2007-06-18,18.69
2007-06-19,18.81
2007-06-20,18.54
2007-06-21,18.73
2007-06-22,18.82
2007-06-25,18.78
2007-06-26,18.77
2007-06-27,18.67
2007-06-28,18.5
2007-06-29,18.43
2007-07-02,18.64
2007-07-03,18.39
2007-07-05,18.61
2007-07-06,18.52
2007-07-09,18.22
2007-07-10,18.15
2007-07-11,18.21
2007-07-12,18.11
2007-07-13,18.18
2007-07-16,18.01
2007-07-17,17.8
2007-07-18,17.46
2007-07-19,17.37
2007-07-20,17.37
2007-07-23,17.45
2007-07-24,17.14
2007-07-25,17.25
2007-07-26,17.05
2007-07-27,17.21
2007-07-30,17.29
2007-07-31,17.21
2007-08-01,17.29
2007-08-02,16.97
2007-08-03,16.98
2007-08-06,17.19
2007-08-07,17.41
2007-08-08,17.9
2007-08-09,17.88
2007-08-10,17.96
2007-08-13,17.76
2007-08-14,17.88
2007-08-15,17.95
2007-08-16,18.16
2007-08-17,18.35
2007-08-20,18.35
2007-08-21,18.66
2007-08-22,18.65
2007-08-23,18.45
2007-08-24,18.69
2007-08-27,18.73
2007-08-28,18.51
2007-08-29,18.89
2007-08-30,18.78
2007-08-31,18.89
2007-09-04,19.02
2007-09-05,18.85
2007-09-06,18.96
2007-09-07,18.91
2007-09-10,18.66
2007-09-11,18.92
2007-09-12,18.82
2007-09-13,18.92
2007-09-14,18.96
2007-09-17,19.28
2007-09-18,20.04
2007-09-19,20.38
2007-09-20,19.87
2007-09-21,20.04
2007-09-24,19.78
2007-09-25,19.66
2007-09-26,20.27
2007-09-27,19.7
2007-09-28,19.21
2007-10-01,19.7
2007-10-02,20.04
2007-10-03,19.52
2007-10-04,19.47
2007-10-05,19.89
2007-10-08,19.58
2007-10-09,19.45
2007-10-10,20.08
2007-10-11,19.29
2007-10-12,19.29
2007-10-15,19.13
2007-10-16,18.64
2007-10-17,18.58
2007-10-18,18.81
2007-10-19,18.47
2007-10-22,18.53
2007-10-23,18.75
2007-10-24,18.76
2007-10-25,18.27
2007-10-26,18.65
2007-10-29,18.77
2007-10-30,18.79
2007-10-31,19.4
2007-11-01,18.54
2007-11-02,18.75
2007-11-05,18.3
2007-11-06,18.91
2007-11-07,18.59
2007-11-08,18.77
2007-11-09,18.48
2007-11-12,18.6
2007-11-13,18.61
2007-11-14,18.39
2007-11-15,18.36
2007-11-16,18.48
2007-11-19,18.33
2007-11-20,18.37
2007-11-21,18.49
2007-11-23,18.83
2007-11-26,18.45
2007-11-27,18.71
2007-11-28,19.06
2007-11-29,19.52
2007-11-30,18.53
2007-12-03,19.06
2007-12-04,19.09
2007-12-05,18.8
2007-12-06,19.24
2007-12-07,19.06
2007-12-10,18.95
2007-12-11,18.97
2007-12-12,18.97
2007-12-13,18.8
2007-12-14,18.92
2007-12-17,19.36
2007-12-18,18.7
2007-12-19,18.89
2007-12-20,18.3
2007-12-21,18.62
2007-12-24,18.54
2007-12-26,19.2
2007-12-27,19.18
2007-12-28,18.49
2007-12-31,18.53
2008-01-02,18.33
2008-01-03,18.21
2008-01-04,17.88
2008-01-07,17.89
2008-01-08,18.15
2008-01-09,18.66
2008-01-10,19.1
2008-01-11,18.28
2008-01-14,18.6
2008-01-15,18.3
2008-01-16,19.13
2008-01-17,18.54
2008-01-18,17.58
2008-01-22,17.04
2008-01-23,19
2008-01-24,19.11
2008-01-25,18.44
2008-01-28,18.96
2008-01-29,18.93
2008-01-30,18.7
2008-01-31,18.97
2008-02-01,19.13
2008-02-04,18.95
2008-02-05,18.99
2008-02-06,18.88
2008-02-07,18.78
2008-02-08,18.89
2008-02-11,18.67
2008-02-12,18.8
2008-02-13,18.8
2008-02-14,18.45
2008-02-15,18.45
2008-02-19,18.28
2008-02-20,18.51
2008-02-21,18.96
2008-02-22,19.08
2008-02-25,19.15
2008-02-26,19.38
2008-02-27,19.14
2008-02-28,18.7
2008-02-29,18.03
2008-03-03,17.34
2008-03-04,17.03
2008-03-05,17.33
2008-03-06,17.19
2008-03-07,16.93
2008-03-10,17.18
2008-03-11,17.59
2008-03-12,17.5
2008-03-13,18.24
2008-03-14,18.22
2008-03-17,18.66
2008-03-18,18.9
2008-03-19,18.9
2008-03-20,19.36
2008-03-24,19.7
2008-03-25,20.14
2008-03-26,19.97
2008-03-27,19.7
2008-03-28,20.05
2008-03-31,19.39
2008-04-01,19.72
2008-04-02,19.86
2008-04-03,19.8
2008-04-04,19.68
2008-04-07,19.28
2008-04-08,19.03
2008-04-09,18.82
2008-04-10,19
2008-04-11,18.78
2008-04-14,19.18
2008-04-15,19.52
2008-04-16,19.45
2008-04-17,20.27
2008-04-18,20.7
2008-04-21,20.87
2008-04-22,19.99
2008-04-23,20.03
2008-04-24,20.48
2008-04-25,20.14
2008-04-28,20.25
2008-04-29,20.03
2008-04-30,20.04
2008-05-01,20.05
2008-05-02,20.04
2008-05-05,19.73
2008-05-06,20.04
2008-05-07,19.51
2008-05-08,19.83
2008-05-09,19.68
2008-05-12,19.83
2008-05-13,19.84
2008-05-14,19.89
2008-05-15,19.88
2008-05-16,19.91
2008-05-19,19.49
2008-05-20,19.39
2008-05-21,19.37
2008-05-22,19.64
2008-05-23,19.64
2008-05-27,19.64
2008-05-28,19.54
2008-05-29,19.5
2008-05-30,19.4
2008-06-02,19.04
2008-06-03,19.3
2008-06-04,18.84
2008-06-05,19.3
2008-06-06,19.38
2008-06-09,19.15
2008-06-10,19.23
2008-06-11,19.21
2008-06-12,19.52
2008-06-13,20.44
2008-06-16,20.2
2008-06-17,19.87
2008-06-18,19.95
2008-06-19,19.77
2008-06-20,19.15
2008-06-23,18.57
2008-06-24,18.23
2008-06-25,18.14
2008-06-26,17.25
2008-06-27,16.63
2008-06-30,15.63
2008-07-01,16.14
2008-07-02,15.79
2008-07-03,16.02
2008-07-07,15.81
2008-07-08,16.76
2008-07-09,16.33
2008-07-10,16.68
2008-07-11,17.19
2008-07-14,17.82
2008-07-15,18.99
2008-07-16,19.16
2008-07-17,19.52
2008-07-18,18.78
2008-07-21,18.74
2008-07-22,19.77
2008-07-23,19.27
2008-07-24,18.16
2008-07-25,18.2
2008-07-28,18.47
2008-07-29,19.36
2008-07-30,19.24
2008-07-31,19.71
2008-08-01,19.45
2008-08-04,19.14
2008-08-05,19.8
2008-08-06,19.89
2008-08-07,19.49
2008-08-08,20.39
2008-08-11,20.91
2008-08-12,20.89
2008-08-13,21.08
2008-08-14,20.67
2008-08-15,21.15
2008-08-18,20.57
2008-08-19,20.91
2008-08-20,20.57
2008-08-21,20.08
2008-08-22,20.64
2008-08-25,19.97
2008-08-26,20.2
2008-08-27,20.91
2008-08-28,21.85
2008-08-29,21.28
2008-09-02,21.77
2008-09-03,21.3
2008-09-04,21.59
2008-09-05,21.95
2008-09-08,22.53
2008-09-09,22.65
2008-09-10,23.06
2008-09-11,23.06
2008-09-12,23.16
2008-09-15,23.17
2008-09-16,23.34
2008-09-17,21.28
2008-09-18,24.41
2008-09-19,24.36
2008-09-22,22.11
2008-09-23,22.52
2008-09-24,23.48
2008-09-25,23.19
2008-09-26,24.08
2008-09-29,19.66
2008-09-30,25.36
2008-10-01,25.03
2008-10-02,24.56
2008-10-03,24.62
2008-10-06,24.38
2008-10-07,21.43
2008-10-08,23.12
2008-10-09,19.83
2008-10-10,22.42
2008-10-13,23.8
2008-10-14,22.97
2008-10-15,21.49
2008-10-16,24.09
2008-10-17,23.2
2008-10-20,23.49
2008-10-21,21.7
2008-10-22,20.43
2008-10-23,20.61
2008-10-24,20.51
2008-10-27,19.85
2008-10-28,20.46
2008-10-29,20.06
2008-10-30,22.03
2008-10-31,22.41
2008-11-03,23.72
2008-11-04,23.45
2008-11-05,22.77
2008-11-06,21.74
2008-11-07,22.04
2008-11-10,20.86
2008-11-11,21.13
2008-11-12,20.98
2008-11-13,23.06
2008-11-14,22.48
2008-11-17,22.49
2008-11-18,22.84
2008-11-19,21.83
2008-11-20,20.96
2008-11-21,21.1
2008-11-24,22.14
2008-11-25,22.77
2008-11-26,24.96
2008-11-28,24.99
2008-12-01,20.55
2008-12-02,21.62
2008-12-03,22.37
2008-12-04,22.15
2008-12-05,22.21
2008-12-08,22.42
2008-12-09,21.27
2008-12-10,21.56
2008-12-11,21.05
2008-12-12,20.7
2008-12-15,20.1
2008-12-16,20.69
2008-12-17,20.6
2008-12-18,20.62
2008-12-19,20.04
2008-12-22,20.27
2008-12-23,20.33
2008-12-24,20.28
2008-12-26,20.7
2008-12-29,20.57
2008-12-30,20.78
2008-12-31,21.68
2009-01-02,21.16
2009-01-05,21.13
2009-01-06,20.91
2009-01-07,20.82
2009-01-08,21.37
2009-01-09,21
2009-01-12,21
2009-01-13,21.64
2009-01-14,21.09
2009-01-15,21.36
2009-01-16,20.46
2009-01-20,18.33
2009-01-21,19.48
2009-01-22,20.1
2009-01-23,19.56
2009-01-26,19.76
2009-01-27,20.25
2009-01-28,21.38
2009-01-29,20.56
2009-01-30,20.3
2009-02-02,21.65
2009-02-03,21.66
2009-02-04,21.51
2009-02-05,21.64
2009-02-06,22.36
2009-02-09,22.14
2009-02-10,20.96
2009-02-11,21.21
2009-02-12,21.06
2009-02-13,21.19
2009-02-17,19.95
2009-02-18,18.96
2009-02-19,18.42
2009-02-20,18.51
2009-02-23,17.72
2009-02-24,19.7
2009-02-25,20.26
2009-02-26,20.71
2009-02-27,20.32
2009-03-02,19.08
2009-03-03,19.07
2009-03-04,18.83
2009-03-05,17.68
2009-03-06,17.76
2009-03-09,17.32
2009-03-10,18.7
2009-03-11,17.65
2009-03-12,19.02
2009-03-13,19.26
2009-03-16,19.27
2009-03-17,19.67
2009-03-18,20.33
2009-03-19,20.47
2009-03-20,19.58
2009-03-23,22.33
2009-03-24,20.33
2009-03-25,20.83
2009-03-26,21.89
2009-03-27,20.52
2009-03-30,20.02
2009-03-31,20.43
2009-04-01,21.12
2009-04-02,21.84
2009-04-03,22.22
2009-04-06,21.41
2009-04-07,20.74
2009-04-08,21.54
2009-04-09,22.29
2009-04-13,22.52
2009-04-14,22.28
2009-04-15,22.47
2009-04-16,22.85
2009-04-17,23.25
2009-04-20,21.77
2009-04-21,22.85
2009-04-22,22.65
2009-04-23,21.94
2009-04-24,22.12
2009-04-27,21.52
2009-04-28,21.73
2009-04-29,23.25
2009-04-30,22.84
2009-05-01,22.09
2009-05-04,22.42
2009-05-05,21.66
2009-05-06,21.52
2009-05-07,21.26
2009-05-08,22.37
2009-05-11,21.26
2009-05-12,20.92
2009-05-13,20.37
2009-05-14,20.84
2009-05-15,20.67
2009-05-18,21.62
2009-05-19,21.09
2009-05-20,20.68
2009-05-21,20.97
2009-05-22,20.65
2009-05-26,22.42
2009-05-27,21.87
2009-05-28,21.71
2009-05-29,21.65
