"Index","ARQL.Close"
2007-01-03,6.19
2007-01-04,6.33
2007-01-05,6.27
2007-01-08,6.14
2007-01-09,6.16
2007-01-10,6.25
2007-01-11,6.28
2007-01-12,6.2
2007-01-16,6.16
2007-01-17,6.22
2007-01-18,6.24
2007-01-19,6.3
2007-01-22,6.58
2007-01-23,6.44
2007-01-24,6.45
2007-01-25,6.25
2007-01-26,6.17
2007-01-29,6.07
2007-01-30,6.02
2007-01-31,6.5
2007-02-01,6.58
2007-02-02,6.62
2007-02-05,6.51
2007-02-06,6.52
2007-02-07,6.53
2007-02-08,6.57
2007-02-09,6.5
2007-02-12,6.43
2007-02-13,6.56
2007-02-14,6.82
2007-02-15,6.8
2007-02-16,6.81
2007-02-20,6.77
2007-02-21,6.81
2007-02-22,6.77
2007-02-23,6.78
2007-02-26,6.79
2007-02-27,6.41
2007-02-28,6.62
2007-03-01,6.34
2007-03-02,6.12
2007-03-05,5.91
2007-03-06,6.23
2007-03-07,6.13
2007-03-08,6.54
2007-03-09,6.62
2007-03-12,6.61
2007-03-13,6.37
2007-03-14,6.28
2007-03-15,6.6
2007-03-16,6.7
2007-03-19,6.77
2007-03-20,6.84
2007-03-21,6.89
2007-03-22,7.15
2007-03-23,7.41
2007-03-26,7.38
2007-03-27,7.5
2007-03-28,7.34
2007-03-29,7.52
2007-03-30,7.46
2007-04-02,7.3
2007-04-03,7.64
2007-04-04,7.56
2007-04-05,7.92
2007-04-09,8.1
2007-04-10,8.42
2007-04-11,8.77
2007-04-12,8.53
2007-04-13,8.49
2007-04-16,8.71
2007-04-17,8.7
2007-04-18,8.87
2007-04-19,8.82
2007-04-20,8.98
2007-04-23,9.45
2007-04-24,9.32
2007-04-25,9.21
2007-04-26,8.75
2007-04-27,9.45
2007-04-30,8.78
2007-05-01,8.7
2007-05-02,9.11
2007-05-03,9.19
2007-05-04,9.57
2007-05-07,9.15
2007-05-08,8.85
2007-05-09,8.79
2007-05-10,8.63
2007-05-11,8.6
2007-05-14,8.58
2007-05-15,8.78
2007-05-16,8.71
2007-05-17,8.6
2007-05-18,9.02
2007-05-21,9.32
2007-05-22,9.58
2007-05-23,9.05
2007-05-24,9.07
2007-05-25,9.12
2007-05-29,9.08
2007-05-30,8.82
2007-05-31,8.98
2007-06-01,9.09
2007-06-04,8.38
2007-06-05,8
2007-06-06,7.89
2007-06-07,7.77
2007-06-08,7.99
2007-06-11,7.77
2007-06-12,7.57
2007-06-13,7.91
2007-06-14,7.88
2007-06-15,7.95
2007-06-18,7.8
2007-06-19,7.75
2007-06-20,7.67
2007-06-21,7.28
2007-06-22,7
2007-06-25,6.92
2007-06-26,7.08
2007-06-27,7.24
2007-06-28,7.19
2007-06-29,7.05
2007-07-02,7.1
2007-07-03,7.06
2007-07-05,7.05
2007-07-06,6.97
2007-07-09,7.13
2007-07-10,7
2007-07-11,6.79
2007-07-12,7.02
2007-07-13,7.26
2007-07-16,7.11
2007-07-17,7.06
2007-07-18,6.96
2007-07-19,7.11
2007-07-20,6.96
2007-07-23,6.93
2007-07-24,6.41
2007-07-25,6.29
2007-07-26,6.32
2007-07-27,6.12
2007-07-30,6.07
2007-07-31,5.68
2007-08-01,5.6
2007-08-02,5.7
2007-08-03,5.6
2007-08-06,5.93
2007-08-07,6.22
2007-08-08,6.52
2007-08-09,6.46
2007-08-10,6.3
2007-08-13,6.04
2007-08-14,6.08
2007-08-15,6.1
2007-08-16,6.24
2007-08-17,6.35
2007-08-20,6.5
2007-08-21,6.8
2007-08-22,6.73
2007-08-23,6.78
2007-08-24,7.43
2007-08-27,7.86
2007-08-28,8.07
2007-08-29,8.21
2007-08-30,8.07
2007-08-31,8.2
2007-09-04,8.07
2007-09-05,8.09
2007-09-06,8.08
2007-09-07,7.81
2007-09-10,7.52
2007-09-11,7.57
2007-09-12,7.56
2007-09-13,7.6
2007-09-14,7.74
2007-09-17,7.48
2007-09-18,7.64
2007-09-19,7.73
2007-09-20,7.89
2007-09-21,7.84
2007-09-24,7.56
2007-09-25,7.53
2007-09-26,7.59
2007-09-27,7.47
2007-09-28,7.13
2007-10-01,7.5
2007-10-02,7.46
2007-10-03,7.35
2007-10-04,7.56
2007-10-05,7.97
2007-10-08,7.72
2007-10-09,7.93
2007-10-10,7.79
2007-10-11,7.59
2007-10-12,7.64
2007-10-15,8.13
2007-10-16,7.92
2007-10-17,7.93
2007-10-18,8.27
2007-10-19,7.59
2007-10-22,7.64
2007-10-23,7.99
2007-10-24,7.95
2007-10-25,7.8
2007-10-26,8
2007-10-29,7.95
2007-10-30,7.7
2007-10-31,7.85
2007-11-01,7.55
2007-11-02,7.75
2007-11-05,7.59
2007-11-06,7.24
2007-11-07,6.99
2007-11-08,7.22
2007-11-09,7.07
2007-11-12,7.09
2007-11-13,7.08
2007-11-14,7.33
2007-11-15,7.16
2007-11-16,7.2
2007-11-19,6.95
2007-11-20,7.09
2007-11-21,6.82
2007-11-23,6.9
2007-11-26,6.74
2007-11-27,6.78
2007-11-28,7.17
2007-11-29,6.76
2007-11-30,6.49
2007-12-03,6.39
2007-12-04,6.41
2007-12-05,6.43
2007-12-06,6.5
2007-12-07,6.51
2007-12-10,6.48
2007-12-11,6.25
2007-12-12,6.22
2007-12-13,6.18
2007-12-14,6.05
2007-12-17,6
2007-12-18,5.97
2007-12-19,5.91
2007-12-20,5.95
2007-12-21,6.04
2007-12-24,6.19
2007-12-26,6.07
2007-12-27,5.85
2007-12-28,5.75
2007-12-31,5.8
2008-01-02,5.85
2008-01-03,5.78
2008-01-04,5.8
2008-01-07,5.58
2008-01-08,5.02
2008-01-09,4.33
2008-01-10,4.52
2008-01-11,4.51
2008-01-14,4.57
2008-01-15,4.69
2008-01-16,4.79
2008-01-17,4.75
2008-01-18,4.93
2008-01-22,4.6
2008-01-23,4.73
2008-01-24,4.49
2008-01-25,4.64
2008-01-28,4.74
2008-01-29,4.72
2008-01-30,4.77
2008-01-31,4.85
2008-02-01,5.12
2008-02-04,5.18
2008-02-05,5.17
2008-02-06,5.22
2008-02-07,5.33
2008-02-08,4.98
2008-02-11,5.19
2008-02-12,5.33
2008-02-13,5.53
2008-02-14,5.24
2008-02-15,5.17
2008-02-19,5.25
2008-02-20,5.09
2008-02-21,4.8
2008-02-22,4.69
2008-02-25,4.83
2008-02-26,4.99
2008-02-27,4.97
2008-02-28,4.69
2008-02-29,4.56
2008-03-03,4.41
2008-03-04,4.59
2008-03-05,4.43
2008-03-06,4.26
2008-03-07,4.32
2008-03-10,3.84
2008-03-11,3.92
2008-03-12,3.96
2008-03-13,4.11
2008-03-14,3.84
2008-03-17,3.85
2008-03-18,3.81
2008-03-19,3.93
2008-03-20,4.04
2008-03-24,4.21
2008-03-25,4.15
2008-03-26,4.24
2008-03-27,4.37
2008-03-28,4.35
2008-03-31,4.28
2008-04-01,4.38
2008-04-02,4.46
2008-04-03,4.31
2008-04-04,4.3
2008-04-07,4.2
2008-04-08,4.26
2008-04-09,4.14
2008-04-10,3.88
2008-04-11,3.86
2008-04-14,3.84
2008-04-15,3.94
2008-04-16,3.89
2008-04-17,3.8
2008-04-18,3.75
2008-04-21,3.73
2008-04-22,3.53
2008-04-23,3.7
2008-04-24,4
2008-04-25,3.86
2008-04-28,3.87
2008-04-29,3.77
2008-04-30,3.85
2008-05-01,3.94
2008-05-02,3.96
2008-05-05,3.83
2008-05-06,3.84
2008-05-07,3.72
2008-05-08,3.84
2008-05-09,3.92
2008-05-12,4.12
2008-05-13,4.25
2008-05-14,4.15
2008-05-15,4.1
2008-05-16,4
2008-05-19,3.99
2008-05-20,3.95
2008-05-21,3.9
2008-05-22,4.05
2008-05-23,3.98
2008-05-27,3.99
2008-05-28,3.94
2008-05-29,4.11
2008-05-30,4.28
2008-06-02,4.3
2008-06-03,4.15
2008-06-04,4.12
2008-06-05,4.35
2008-06-06,4.14
2008-06-09,3.95
2008-06-10,3.66
2008-06-11,3.63
2008-06-12,3.65
2008-06-13,3.86
2008-06-16,4.03
2008-06-17,4.07
2008-06-18,3.98
2008-06-19,4.1
2008-06-20,3.97
2008-06-23,3.85
2008-06-24,3.65
2008-06-25,3.84
2008-06-26,3.66
2008-06-27,3.4
2008-06-30,3.25
2008-07-01,3.16
2008-07-02,3.1
2008-07-03,3.1
2008-07-07,3.16
2008-07-08,3.42
2008-07-09,3.38
2008-07-10,3.51
2008-07-11,3.78
2008-07-14,3.62
2008-07-15,3.66
2008-07-16,3.92
2008-07-17,3.98
2008-07-18,3.91
2008-07-21,3.9
2008-07-22,3.88
2008-07-23,3.79
2008-07-24,3.74
2008-07-25,3.83
2008-07-28,3.8
2008-07-29,3.82
2008-07-30,3.81
2008-07-31,3.79
2008-08-01,3.81
2008-08-04,3.65
2008-08-05,3.68
2008-08-06,3.76
2008-08-07,3.49
2008-08-08,3.56
2008-08-11,3.58
2008-08-12,3.35
2008-08-13,3.71
2008-08-14,3.62
2008-08-15,3.53
2008-08-18,3.58
2008-08-19,3.62
2008-08-20,3.52
2008-08-21,3.45
2008-08-22,3.59
2008-08-25,3.37
2008-08-26,3.47
2008-08-27,3.47
2008-08-28,3.56
2008-08-29,3.52
2008-09-02,3.33
2008-09-03,3.67
2008-09-04,3.5
2008-09-05,3.61
2008-09-08,3.56
2008-09-09,3.45
2008-09-10,3.5
2008-09-11,3.5
2008-09-12,3.45
2008-09-15,3.25
2008-09-16,3.34
2008-09-17,2.81
2008-09-18,3.02
2008-09-19,3.01
2008-09-22,3.13
2008-09-23,3.05
2008-09-24,2.99
2008-09-25,3.13
2008-09-26,3.2
2008-09-29,3.21
2008-09-30,3.22
2008-10-01,3.17
2008-10-02,2.78
2008-10-03,2.65
2008-10-06,2.35
2008-10-07,2.16
2008-10-08,2.38
2008-10-09,2.25
2008-10-10,2.9
2008-10-13,2.99
2008-10-14,2.8
2008-10-15,2.5
2008-10-16,2.82
