"Index","ARRY.Close"
2007-01-03,12.57
2007-01-04,13.01
2007-01-05,12.72
2007-01-08,12.94
2007-01-09,12.89
2007-01-10,12.98
2007-01-11,12.95
2007-01-12,13.5
2007-01-16,13.2
2007-01-17,13.25
2007-01-18,12.84
2007-01-19,12.97
2007-01-22,12.66
2007-01-23,13.18
2007-01-24,13.32
2007-01-25,13.09
2007-01-26,13.13
2007-01-29,13.2
2007-01-30,13.35
2007-01-31,13.76
2007-02-01,13.78
2007-02-02,13.92
2007-02-05,13.9
2007-02-06,12.99
2007-02-07,12.86
2007-02-08,12.94
2007-02-09,12.88
2007-02-12,12.63
2007-02-13,12.5
2007-02-14,12.5
2007-02-15,12.71
2007-02-16,12.78
2007-02-20,12.77
2007-02-21,12.66
2007-02-22,12.75
2007-02-23,12.67
2007-02-26,12.61
2007-02-27,11.6
2007-02-28,11.73
2007-03-01,11.83
2007-03-02,11.91
2007-03-05,11.81
2007-03-06,12.21
2007-03-07,11.81
2007-03-08,11.61
2007-03-09,11.98
2007-03-12,11.9
2007-03-13,11.42
2007-03-14,11.57
2007-03-15,11.89
2007-03-16,11.52
2007-03-19,11.7
2007-03-20,12.02
2007-03-21,12.34
2007-03-22,12.64
2007-03-23,12.38
2007-03-26,12.34
2007-03-27,12.29
2007-03-28,12.24
2007-03-29,12.67
2007-03-30,12.7
2007-04-02,12.75
2007-04-03,12.86
2007-04-04,12.72
2007-04-05,12.86
2007-04-09,13
2007-04-10,12.88
2007-04-11,12.83
2007-04-12,13.48
2007-04-13,13.64
2007-04-16,13.53
2007-04-17,13.22
2007-04-18,13.27
2007-04-19,13.75
2007-04-20,13.67
2007-04-23,13.91
2007-04-24,13.3
2007-04-25,14.01
2007-04-26,14.4
2007-04-27,14
2007-04-30,13.95
2007-05-01,13.53
2007-05-02,12.92
2007-05-03,12.79
2007-05-04,12.82
2007-05-07,12.5
2007-05-08,12.39
2007-05-09,12.54
2007-05-10,12.35
2007-05-11,12.47
2007-05-14,12.56
2007-05-15,12.4
2007-05-16,12.71
2007-05-17,12.72
2007-05-18,12.76
2007-05-21,12.75
2007-05-22,12.85
2007-05-23,12.81
2007-05-24,12.64
2007-05-25,12.84
2007-05-29,12.81
2007-05-30,12.77
2007-05-31,12.43
2007-06-01,12.58
2007-06-04,12.71
2007-06-05,12.46
2007-06-06,12.35
2007-06-07,12.01
2007-06-08,12.03
2007-06-11,11.68
2007-06-12,11.36
2007-06-13,11.21
2007-06-14,11.26
2007-06-15,11.46
2007-06-18,11.04
2007-06-19,11.57
2007-06-20,11.45
2007-06-21,11.6
2007-06-22,11.74
2007-06-25,11.68
2007-06-26,11.89
2007-06-27,11.93
2007-06-28,11.93
2007-06-29,11.67
2007-07-02,11.89
2007-07-03,11.82
2007-07-05,11.74
2007-07-06,11.74
2007-07-09,11.7
2007-07-10,11.68
2007-07-11,11.64
2007-07-12,11.63
2007-07-13,11.59
2007-07-16,11.5
2007-07-17,11.61
2007-07-18,11.56
2007-07-19,11.72
2007-07-20,11.36
2007-07-23,11.39
2007-07-24,11.34
2007-07-25,11.61
2007-07-26,11.12
2007-07-27,10.65
2007-07-30,10.26
2007-07-31,10.05
2007-08-01,9.94
2007-08-02,9.99
2007-08-03,9.72
2007-08-06,10
2007-08-07,10.26
2007-08-08,11.66
2007-08-09,11.42
2007-08-10,10.91
2007-08-13,10.47
2007-08-14,10.45
2007-08-15,10.79
2007-08-16,11.31
2007-08-17,11.64
2007-08-20,11.37
2007-08-21,11.29
2007-08-22,11.06
2007-08-23,11.04
2007-08-24,11.14
2007-08-27,11.02
2007-08-28,10.78
2007-08-29,11.1
2007-08-30,11.13
2007-08-31,11.35
2007-09-04,11.51
2007-09-05,11.45
2007-09-06,11.54
2007-09-07,11.55
2007-09-10,11.96
2007-09-11,12.4
2007-09-12,12.12
2007-09-13,12.55
2007-09-14,12.76
2007-09-17,12.48
2007-09-18,12.91
2007-09-19,12.52
2007-09-20,12.16
2007-09-21,12.55
2007-09-24,11.85
2007-09-25,11.39
2007-09-26,11.35
2007-09-27,11.25
2007-09-28,11.23
2007-10-01,11
2007-10-02,10.6
2007-10-03,10.47
2007-10-04,10.44
2007-10-05,10.54
2007-10-08,10.83
2007-10-09,11.3
2007-10-10,11.36
2007-10-11,11.36
2007-10-12,11.35
2007-10-15,11.53
2007-10-16,11.65
2007-10-17,11.54
2007-10-18,11.69
2007-10-19,11.28
2007-10-22,11.56
2007-10-23,11.32
2007-10-24,11.1
2007-10-25,11.3
2007-10-26,11.5
2007-10-29,11.27
2007-10-30,10.91
2007-10-31,11.2
2007-11-01,10.58
2007-11-02,10.73
2007-11-05,10.56
2007-11-06,10.13
2007-11-07,10
2007-11-08,10.21
2007-11-09,10.35
2007-11-12,10.66
2007-11-13,11
2007-11-14,11.22
2007-11-15,10.99
2007-11-16,10.84
2007-11-19,10.78
2007-11-20,11
2007-11-21,10.71
2007-11-23,10.71
2007-11-26,10.61
2007-11-27,10.91
2007-11-28,11.35
2007-11-29,11.4
2007-11-30,11.07
2007-12-03,11.32
2007-12-04,11.11
2007-12-05,11.52
2007-12-06,12.25
2007-12-07,12.15
2007-12-10,11.98
2007-12-11,11.48
2007-12-12,11.71
2007-12-13,11.55
2007-12-14,11.07
2007-12-17,10.73
2007-12-18,10.91
2007-12-19,11.02
2007-12-20,7.96
2007-12-21,8.7
2007-12-24,8.5
2007-12-26,8.5
2007-12-27,8.36
2007-12-28,8.5
2007-12-31,8.42
2008-01-02,8.57
2008-01-03,8.17
2008-01-04,8.1
2008-01-07,7.88
2008-01-08,8
2008-01-09,7.94
2008-01-10,7.85
2008-01-11,7.52
2008-01-14,7.56
2008-01-15,7.22
2008-01-16,7.1
2008-01-17,6.88
2008-01-18,6.75
2008-01-22,6.53
2008-01-23,6.6
2008-01-24,6.33
2008-01-25,6.37
2008-01-28,6.38
2008-01-29,6.37
2008-01-30,6.2
2008-01-31,6.51
2008-02-01,6.53
2008-02-04,6.58
2008-02-05,6.42
2008-02-06,5.98
2008-02-07,6.02
2008-02-08,5.36
2008-02-11,5.3
2008-02-12,5.62
2008-02-13,5.72
2008-02-14,5.58
2008-02-15,5.6
2008-02-19,5.79
2008-02-20,5.56
2008-02-21,5.33
2008-02-22,5.55
2008-02-25,5.89
2008-02-26,5.73
2008-02-27,5.63
2008-02-28,5.65
2008-02-29,5.6
2008-03-03,6.56
2008-03-04,6.48
2008-03-05,6.26
2008-03-06,5.89
2008-03-07,6.18
2008-03-10,5.42
2008-03-11,5.77
2008-03-12,5.67
2008-03-13,5.99
2008-03-14,5.73
2008-03-17,5.54
2008-03-18,5.86
2008-03-19,6.53
2008-03-20,6.97
2008-03-24,7.72
2008-03-25,7.12
2008-03-26,7.15
2008-03-27,7.06
2008-03-28,6.79
2008-03-31,7.01
2008-04-01,6.96
2008-04-02,7.13
2008-04-03,6.83
2008-04-04,7.13
2008-04-07,7
2008-04-08,6.84
2008-04-09,6.78
2008-04-10,7.16
2008-04-11,6.79
2008-04-14,6.61
2008-04-15,6.79
2008-04-16,6.73
2008-04-17,6.72
2008-04-18,6.8
2008-04-21,6.65
2008-04-22,6.36
2008-04-23,6.71
2008-04-24,6.74
2008-04-25,6.43
2008-04-28,6.6
2008-04-29,6.28
2008-04-30,6.22
2008-05-01,6.54
2008-05-02,6.27
2008-05-05,5.97
2008-05-06,6.12
2008-05-07,5.79
2008-05-08,5.67
2008-05-09,5.75
2008-05-12,6.2
2008-05-13,6.33
2008-05-14,6.25
2008-05-15,6.24
2008-05-16,6.17
2008-05-19,6.49
2008-05-20,6.27
2008-05-21,5.99
2008-05-22,6.08
2008-05-23,5.82
2008-05-27,6.03
2008-05-28,5.9
2008-05-29,6.28
2008-05-30,6.22
2008-06-02,5.82
2008-06-03,5.64
2008-06-04,5.73
2008-06-05,5.81
2008-06-06,5.44
2008-06-09,5.03
2008-06-10,5.14
2008-06-11,5.15
2008-06-12,5.36
2008-06-13,5.3
2008-06-16,5.2
2008-06-17,5.01
2008-06-18,4.91
2008-06-19,5.57
2008-06-20,5.38
2008-06-23,5.14
2008-06-24,5
2008-06-25,5
2008-06-26,4.8
2008-06-27,4.66
2008-06-30,4.7
2008-07-01,5.01
2008-07-02,4.9
2008-07-03,5.18
2008-07-07,5.18
2008-07-08,5.6
2008-07-09,5.3
2008-07-10,5.47
2008-07-11,5.53
2008-07-14,5.5
2008-07-15,5.78
2008-07-16,6.03
2008-07-17,6.38
2008-07-18,6.4
2008-07-21,6.66
2008-07-22,7.08
2008-07-23,7.71
2008-07-24,7.48
2008-07-25,7.41
2008-07-28,7.21
2008-07-29,7.58
2008-07-30,7.49
2008-07-31,7.81
2008-08-01,7.78
2008-08-04,7.6
2008-08-05,7.74
2008-08-06,8.13
2008-08-07,8.11
2008-08-08,8.5
2008-08-11,8.79
2008-08-12,7.33
2008-08-13,7.71
2008-08-14,7.9
2008-08-15,7.77
2008-08-18,7.68
2008-08-19,7.82
2008-08-20,7.98
2008-08-21,7.86
2008-08-22,8.25
2008-08-25,8.07
2008-08-26,8.18
2008-08-27,8.15
2008-08-28,8.22
2008-08-29,8.17
2008-09-02,7.6
2008-09-03,7.49
2008-09-04,6.65
2008-09-05,6.59
2008-09-08,6.71
2008-09-09,6.22
2008-09-10,6.48
2008-09-11,6.46
2008-09-12,6.52
2008-09-15,6.65
2008-09-16,7.4
2008-09-17,7.29
2008-09-18,8.19
2008-09-19,8.51
2008-09-22,7.72
2008-09-23,7.72
2008-09-24,7.73
2008-09-25,7.75
2008-09-26,8.18
2008-09-29,7.52
2008-09-30,7.68
2008-10-01,7.41
2008-10-02,6.78
2008-10-03,6.2
2008-10-06,6.03
2008-10-07,5.35
2008-10-08,5.06
