"Index","ARTC.Close"
2007-01-03,38.02
2007-01-04,37.98
2007-01-05,38.34
2007-01-08,39.21
2007-01-09,40.05
2007-01-10,39.01
2007-01-11,39.49
2007-01-12,39.81
2007-01-16,39.71
2007-01-17,39.45
2007-01-18,38.87
2007-01-19,37.94
2007-01-22,37.66
2007-01-23,37.55
2007-01-24,37.79
2007-01-25,37.72
2007-01-26,37.64
2007-01-29,37.73
2007-01-30,37.59
2007-01-31,36.9
2007-02-01,37.25
2007-02-02,37.75
2007-02-05,37.44
2007-02-06,37.4
2007-02-07,37.35
2007-02-08,37.35
2007-02-09,37.41
2007-02-12,37.1
2007-02-13,37.33
2007-02-14,37.9
2007-02-15,38.03
2007-02-16,37.43
2007-02-20,37.3
2007-02-21,37.44
2007-02-22,38.06
2007-02-23,37.82
2007-02-26,37.24
2007-02-27,36.08
2007-02-28,36.35
2007-03-01,35.79
2007-03-02,35.37
2007-03-05,34.07
2007-03-06,34.61
2007-03-07,34.63
2007-03-08,34.34
2007-03-09,34.35
2007-03-12,34.72
2007-03-13,33.97
2007-03-14,33.93
2007-03-15,34.38
2007-03-16,34.72
2007-03-19,35.36
2007-03-20,35.35
2007-03-21,35.56
2007-03-22,35.74
2007-03-23,36.36
2007-03-26,36.5
2007-03-27,36.4
2007-03-28,36.03
2007-03-29,36.07
2007-03-30,36.04
2007-04-02,36.68
2007-04-03,37.58
2007-04-04,37.91
2007-04-05,38.26
2007-04-09,37.92
2007-04-10,38.25
2007-04-11,37.85
2007-04-12,37.78
2007-04-13,39.69
2007-04-16,40.29
2007-04-17,40.14
2007-04-18,39.95
2007-04-19,40.38
2007-04-20,40.37
2007-04-23,40
2007-04-24,40.05
2007-04-25,39.5
2007-04-26,39.29
2007-04-27,42.25
2007-04-30,41.26
2007-05-01,41.53
2007-05-02,42.16
2007-05-03,41.86
2007-05-04,42.58
2007-05-07,42.29
2007-05-08,42.05
2007-05-09,41.98
2007-05-10,40.92
2007-05-11,41.48
2007-05-14,41.13
2007-05-15,40.45
2007-05-16,40.85
2007-05-17,40.47
2007-05-18,40.67
2007-05-21,40.96
2007-05-22,41.35
2007-05-23,41.04
2007-05-24,40.78
2007-05-25,41.38
2007-05-29,43.46
2007-05-30,42.92
2007-05-31,44.07
2007-06-01,44
2007-06-04,44.03
2007-06-05,44.22
2007-06-06,43.85
2007-06-07,42.9
2007-06-08,43.27
2007-06-11,42.93
2007-06-12,43.1
2007-06-13,43.36
2007-06-14,43.5
2007-06-15,43.66
2007-06-18,42.99
