"Index","ARTW.Close"
2007-01-03,3.22
2007-01-04,3.16
2007-01-05,3.27
2007-01-08,3.27
2007-01-09,3.28
2007-01-10,3.7
2007-01-11,3.55
2007-01-12,3.6
2007-01-16,3.52
2007-01-17,3.52
2007-01-18,3.52
2007-01-19,3.35
2007-01-22,3.5
2007-01-23,3.4
2007-01-24,3.32
2007-01-25,3.42
2007-01-26,3.37
2007-01-29,3.5
2007-01-30,3.36
2007-01-31,3.44
2007-02-01,3.45
2007-02-02,3.46
2007-02-05,3.44
2007-02-06,3.51
2007-02-07,3.48
2007-02-08,3.58
2007-02-09,3.5
2007-02-12,3.58
2007-02-13,3.58
2007-02-14,3.6
2007-02-15,3.64
2007-02-16,3.85
2007-02-20,3.95
2007-02-21,4.05
2007-02-22,4.1
2007-02-23,4.07
2007-02-26,4
2007-02-27,3.95
2007-02-28,3.95
2007-03-01,4.08
2007-03-02,3.94
2007-03-05,4.08
2007-03-06,4.08
2007-03-07,3.93
2007-03-08,3.96
2007-03-09,3.98
2007-03-12,4.05
2007-03-13,3.92
2007-03-14,3.96
2007-03-15,3.76
2007-03-16,3.66
2007-03-19,3.89
2007-03-20,3.89
2007-03-21,3.92
2007-03-22,3.87
2007-03-23,3.78
2007-03-26,3.7
2007-03-27,3.7
2007-03-28,3.86
2007-03-29,3.68
2007-03-30,3.94
2007-04-02,3.68
2007-04-03,3.8
2007-04-04,3.76
2007-04-05,3.83
2007-04-09,3.8
2007-04-10,3.74
2007-04-11,3.75
2007-04-12,3.75
2007-04-13,3.8
2007-04-16,3.61
2007-04-17,3.62
2007-04-18,3.75
2007-04-19,3.94
2007-04-20,3.78
2007-04-23,3.72
2007-04-24,3.8
2007-04-25,3.64
2007-04-26,3.75
2007-04-27,3.84
2007-04-30,3.78
2007-05-01,3.82
2007-05-02,3.97
2007-05-03,3.84
2007-05-04,3.76
2007-05-07,3.8
2007-05-08,3.8
2007-05-09,3.89
2007-05-10,3.78
2007-05-11,3.79
2007-05-14,3.89
2007-05-15,3.8
2007-05-16,3.92
2007-05-17,3.95
2007-05-18,3.96
2007-05-21,4
2007-05-22,4.22
2007-05-23,4.31
2007-05-24,4.38
