"Index","ARWR.Close"
2007-01-03,44
2007-01-04,44.2
2007-01-05,44
2007-01-08,43.2
2007-01-09,41
2007-01-10,39.98
2007-01-11,40.36
2007-01-12,40.27
2007-01-16,40.9
2007-01-17,42.1
2007-01-18,40.66
2007-01-19,40.48
2007-01-22,39.66
2007-01-23,38.76
2007-01-24,38.1
2007-01-25,39.1
2007-01-26,40.2
2007-01-29,41.26
2007-01-30,41.06
2007-01-31,41.16
2007-02-01,40.56
2007-02-02,40.69
2007-02-05,38.6
2007-02-06,39.78
2007-02-07,39.86
2007-02-08,40.68
2007-02-09,40.6
2007-02-12,40.68
2007-02-13,39.98
2007-02-14,41.49
2007-02-15,40.7
2007-02-16,40.28
2007-02-20,39.9
2007-02-21,40.08
2007-02-22,39.3
2007-02-23,39.1
2007-02-26,38.6
2007-02-27,37.8
2007-02-28,37.9
2007-03-01,38.78
2007-03-02,38.1
2007-03-05,36
2007-03-06,37
2007-03-07,37
2007-03-08,36.9
2007-03-09,37.8
2007-03-12,36.7
2007-03-13,36.3
2007-03-14,37.2
2007-03-15,36.9
2007-03-16,38.7
2007-03-19,38.29
2007-03-20,40.3
2007-03-21,38.2
2007-03-22,44
2007-03-23,46
2007-03-26,46.3
2007-03-27,45.3
2007-03-28,43
2007-03-29,43.4
2007-03-30,44.71
2007-04-02,44.8
2007-04-03,47
2007-04-04,46
2007-04-05,45.94
2007-04-09,48
2007-04-10,49
2007-04-11,49.5
2007-04-12,52.5
2007-04-13,53.09
2007-04-16,54.5
2007-04-17,52.7
2007-04-18,54.8
2007-04-19,52.5
2007-04-20,60
2007-04-23,57.8
2007-04-24,61.5
2007-04-25,63.4
2007-04-26,61.1
2007-04-27,63.7
2007-04-30,64.4
2007-05-01,64
2007-05-02,63.9
2007-05-03,65.4
2007-05-04,68.9
2007-05-07,71.5
2007-05-08,69.5
2007-05-09,68
2007-05-10,61.1
2007-05-11,68
2007-05-14,63.9
2007-05-15,61.3
2007-05-16,64.2
2007-05-17,65.9
2007-05-18,70
2007-05-21,70.8
2007-05-22,70.2
2007-05-23,66.8
2007-05-24,64.6
2007-05-25,64.8
2007-05-29,66.5
2007-05-30,71.9
2007-05-31,76
2007-06-01,74.7
2007-06-04,72.5
2007-06-05,73.5
2007-06-06,73.2
2007-06-07,70
2007-06-08,67
2007-06-11,68.3
2007-06-12,67.2
2007-06-13,67.7
2007-06-14,67.7
2007-06-15,66.6
2007-06-18,66.2
2007-06-19,64.5
2007-06-20,61.25
2007-06-21,61.4
2007-06-22,56.7
2007-06-25,56
2007-06-26,52.9
2007-06-27,52.2
2007-06-28,50.9
2007-06-29,50.3
2007-07-02,49.5
2007-07-03,50
2007-07-05,49.2
2007-07-06,51.2
2007-07-09,50.3
2007-07-10,47.7
2007-07-11,49.4
2007-07-12,51.5
2007-07-13,48.4
2007-07-16,47.4
2007-07-17,49
2007-07-18,47.1
2007-07-19,47.4
2007-07-20,45.8
2007-07-23,45
2007-07-24,42.9
2007-07-25,41
2007-07-26,39.7
2007-07-27,39.7
2007-07-30,41.8
2007-07-31,45.1
2007-08-01,46.6
2007-08-02,54.2
2007-08-03,53.6
2007-08-06,51.9
2007-08-07,51.5
2007-08-08,51
2007-08-09,51.9
2007-08-10,51
2007-08-13,52.4
2007-08-14,50.2
2007-08-15,49.7
2007-08-16,49.5
2007-08-17,50.1
2007-08-20,49.9
2007-08-21,48.8
2007-08-22,50
2007-08-23,49.4
2007-08-24,50.1
2007-08-27,49
2007-08-28,48.1
2007-08-29,48.7
2007-08-30,48.9
2007-08-31,48.8
2007-09-04,50
2007-09-05,50
2007-09-06,49.8
2007-09-07,49.1
2007-09-10,49.4
2007-09-11,48.9
2007-09-12,48.7
2007-09-13,48.5
2007-09-14,48.7
2007-09-17,48.7
2007-09-18,48.9
2007-09-19,49.5
2007-09-20,49.7
2007-09-21,49.9
2007-09-24,49.4
2007-09-25,48.6
2007-09-26,49.5
2007-09-27,50
2007-09-28,50.5
2007-10-01,50
2007-10-02,49.6
2007-10-03,48.8
2007-10-04,49
2007-10-05,49.5
2007-10-08,49.1
