"Index","ASBC.Close"
2007-01-03,35.04
2007-01-04,35.3
2007-01-05,34.67
2007-01-08,34.6
2007-01-09,34.56
2007-01-10,34.67
2007-01-11,34.81
2007-01-12,34.76
2007-01-16,34.74
2007-01-17,34.42
2007-01-18,34.19
2007-01-19,34.03
2007-01-22,33.88
2007-01-23,33.91
2007-01-24,33.89
2007-01-25,33.61
2007-01-26,33.6
2007-01-29,33.85
2007-01-30,34.01
2007-01-31,34.12
2007-02-01,34.31
2007-02-02,34.14
2007-02-05,34.07
2007-02-06,34.12
2007-02-07,34.68
2007-02-08,34.72
2007-02-09,34.52
2007-02-12,34.75
2007-02-13,34.95
2007-02-14,35.08
2007-02-15,35.05
2007-02-16,35.26
2007-02-20,35.43
2007-02-21,35.43
2007-02-22,35.38
2007-02-23,35.32
2007-02-26,35.07
2007-02-27,34.4
2007-02-28,34.58
2007-03-01,34.59
2007-03-02,34.38
2007-03-05,34.06
2007-03-06,34.4
2007-03-07,34.25
2007-03-08,34.31
2007-03-09,34.24
2007-03-12,34.03
2007-03-13,33.16
2007-03-14,33.29
2007-03-15,33.81
2007-03-16,33.73
2007-03-19,33.81
2007-03-20,34.01
2007-03-21,34.64
2007-03-22,34.36
2007-03-23,34.37
2007-03-26,34.09
2007-03-27,33.84
2007-03-28,33.6
2007-03-29,33.76
2007-03-30,33.6
2007-04-02,33.22
2007-04-03,33.49
2007-04-04,33.27
2007-04-05,33.27
2007-04-09,32.93
2007-04-10,32.98
2007-04-11,32.55
2007-04-12,32.52
2007-04-13,32.8
2007-04-16,33.37
2007-04-17,33.35
2007-04-18,33.39
2007-04-19,33.19
2007-04-20,33.18
2007-04-23,32.91
2007-04-24,32.69
2007-04-25,33.06
2007-04-26,32.93
2007-04-27,32.9
2007-04-30,32.38
2007-05-01,32.49
2007-05-02,32.62
2007-05-03,32.64
2007-05-04,32.74
2007-05-07,32.68
2007-05-08,32.67
2007-05-09,32.84
2007-05-10,32.31
2007-05-11,32.37
2007-05-14,32.28
2007-05-15,32.14
2007-05-16,32.49
2007-05-17,32.47
2007-05-18,32.53
2007-05-21,32.64
2007-05-22,32.75
2007-05-23,32.76
2007-05-24,32.49
2007-05-25,32.65
2007-05-29,32.82
2007-05-30,32.99
2007-05-31,33.01
2007-06-01,33.31
2007-06-04,33.29
2007-06-05,33.04
2007-06-06,32.85
2007-06-07,32.41
2007-06-08,32.74
2007-06-11,32.77
2007-06-12,32.51
2007-06-13,32.79
2007-06-14,32.81
2007-06-15,33.05
2007-06-18,33.15
2007-06-19,33.2
2007-06-20,32.92
2007-06-21,32.91
2007-06-22,32.54
2007-06-25,32.56
2007-06-26,32.53
2007-06-27,32.78
2007-06-28,32.73
2007-06-29,32.7
2007-07-02,32.84
2007-07-03,32.96
2007-07-05,32.88
2007-07-06,33
2007-07-09,32.69
2007-07-10,32.35
2007-07-11,32.36
2007-07-12,32.99
2007-07-13,33.05
2007-07-16,33.02
2007-07-17,32.96
2007-07-18,32.74
2007-07-19,32.63
2007-07-20,31.32
2007-07-23,30.11
2007-07-24,28.93
2007-07-25,29.46
2007-07-26,28.89
2007-07-27,28.84
2007-07-30,29.09
2007-07-31,28.74
2007-08-01,28.72
2007-08-02,28.89
2007-08-03,27.17
2007-08-06,28.87
2007-08-07,29.18
2007-08-08,29.87
2007-08-09,28.54
2007-08-10,28.39
2007-08-13,28.09
2007-08-14,27.17
2007-08-15,27.18
2007-08-16,26.86
2007-08-17,29.05
2007-08-20,28.62
2007-08-21,28.87
2007-08-22,28.73
2007-08-23,27.8
2007-08-24,28.34
2007-08-27,28.1
2007-08-28,27.68
2007-08-29,28.26
2007-08-30,27.95
2007-08-31,28.21
2007-09-04,28.47
2007-09-05,28.1
2007-09-06,28.3
2007-09-07,27.73
2007-09-10,27.69
2007-09-11,28.39
2007-09-12,28.2
2007-09-13,28.38
2007-09-14,28.73
2007-09-17,28.66
2007-09-18,30.04
2007-09-19,30.52
2007-09-20,29.98
2007-09-21,30.12
2007-09-24,29.46
2007-09-25,29.28
2007-09-26,29.62
2007-09-27,29.85
2007-09-28,29.63
2007-10-01,30.19
2007-10-02,30.19
2007-10-03,30.21
2007-10-04,30.4
2007-10-05,30.49
2007-10-08,30.21
2007-10-09,30.33
2007-10-10,29.91
2007-10-11,29.82
2007-10-12,29.81
2007-10-15,29.77
2007-10-16,28.97
2007-10-17,28.65
2007-10-18,29
2007-10-19,28.06
2007-10-22,28.73
2007-10-23,29.01
2007-10-24,28.3
2007-10-25,28.29
2007-10-26,28.86
2007-10-29,28.55
2007-10-30,28.57
2007-10-31,28.86
2007-11-01,27.98
2007-11-02,27.32
2007-11-05,26.88
2007-11-06,27.2
2007-11-07,25.99
2007-11-08,26.7
2007-11-09,27.18
2007-11-12,27.44
2007-11-13,28.73
2007-11-14,27.97
2007-11-15,27.37
2007-11-16,26.94
2007-11-19,26.64
2007-11-20,25.93
2007-11-21,25.81
2007-11-23,26.48
2007-11-26,25.23
2007-11-27,26
2007-11-28,27.31
2007-11-29,26.98
2007-11-30,27.21
2007-12-03,27.19
2007-12-04,26.88
2007-12-05,27.24
2007-12-06,28.07
2007-12-07,27.96
2007-12-10,28.98
2007-12-11,27.85
2007-12-12,27.06
2007-12-13,27.33
2007-12-14,26.7
2007-12-17,26.39
2007-12-18,26.75
2007-12-19,26.5
2007-12-20,26.8
2007-12-21,28.3
2007-12-24,28.29
2007-12-26,28.07
2007-12-27,27.45
2007-12-28,27.34
2007-12-31,27.09
2008-01-02,26.71
2008-01-03,26.21
2008-01-04,25.15
2008-01-07,25.2
2008-01-08,24.04
2008-01-09,23.9
2008-01-10,24.01
2008-01-11,24.07
2008-01-14,23.96
2008-01-15,23.91
2008-01-16,24.46
2008-01-17,23.7
2008-01-18,22.6
2008-01-22,22.78
2008-01-23,24.89
2008-01-24,25.08
2008-01-25,24.57
2008-01-28,26.24
2008-01-29,27.45
2008-01-30,27.25
2008-01-31,28.18
2008-02-01,28.86
2008-02-04,28.35
2008-02-05,26.44
2008-02-06,26.26
2008-02-07,26.68
2008-02-08,26.38
2008-02-11,25.9
2008-02-12,26.24
2008-02-13,26.23
2008-02-14,25.72
2008-02-15,25.91
2008-02-19,25.42
2008-02-20,25.91
2008-02-21,25.45
2008-02-22,25.73
2008-02-25,26.14
2008-02-26,26.54
2008-02-27,26.6
2008-02-28,25.93
2008-02-29,24.92
2008-03-03,24.78
2008-03-04,24.59
2008-03-05,24.37
2008-03-06,23.94
2008-03-07,24.22
2008-03-10,24.1
2008-03-11,25.79
2008-03-12,25.51
2008-03-13,26.19
2008-03-14,25.63
2008-03-17,25.78
2008-03-18,26.71
2008-03-19,26.54
2008-03-20,27.97
2008-03-24,27.83
2008-03-25,28.04
2008-03-26,27.04
2008-03-27,26.73
2008-03-28,26.34
2008-03-31,26.63
2008-04-01,27.82
2008-04-02,27.94
2008-04-03,28.01
2008-04-04,27.71
2008-04-07,27.96
2008-04-08,27.23
2008-04-09,26.65
2008-04-10,26.66
2008-04-11,25.99
2008-04-14,25.26
2008-04-15,25.91
2008-04-16,27.11
2008-04-17,27.65
2008-04-18,27.44
2008-04-21,26.78
2008-04-22,26.87
2008-04-23,26.4
2008-04-24,27.65
2008-04-25,27.99
2008-04-28,28.39
2008-04-29,28.21
2008-04-30,28.27
2008-05-01,29.06
2008-05-02,28.97
2008-05-05,28.31
2008-05-06,28.37
2008-05-07,27.63
2008-05-08,27.53
2008-05-09,27.3
2008-05-12,28.29
2008-05-13,28.35
2008-05-14,28.83
2008-05-15,29.23
2008-05-16,28.81
2008-05-19,28.36
2008-05-20,27.92
2008-05-21,27.58
2008-05-22,28.29
2008-05-23,27.96
2008-05-27,28.24
2008-05-28,27.21
2008-05-29,27.45
2008-05-30,27.31
2008-06-02,26.68
2008-06-03,26.5
2008-06-04,26.2
2008-06-05,26.48
2008-06-06,25.44
2008-06-09,24.91
2008-06-10,25.18
2008-06-11,24.18
2008-06-12,24.04
2008-06-13,23.91
2008-06-16,24.45
2008-06-17,23.63
2008-06-18,21.32
2008-06-19,21.07
2008-06-20,20.95
2008-06-23,20.47
2008-06-24,20.65
2008-06-25,20.7
2008-06-26,20
2008-06-27,19.66
2008-06-30,19.29
2008-07-01,19.55
2008-07-02,18.93
2008-07-03,17.98
2008-07-07,17.14
2008-07-08,18.52
2008-07-09,17.78
2008-07-10,17.21
2008-07-11,17.4
2008-07-14,15.26
2008-07-15,14.85
2008-07-16,16.28
2008-07-17,17.44
2008-07-18,17.44
2008-07-21,17.15
2008-07-22,18.46
2008-07-23,18.82
2008-07-24,16.69
2008-07-25,16.39
2008-07-28,15.53
2008-07-29,17.01
2008-07-30,16.87
2008-07-31,16.69
2008-08-01,16.96
2008-08-04,17.03
2008-08-05,18.07
2008-08-06,17.97
2008-08-07,17.17
2008-08-08,18.27
2008-08-11,19.43
2008-08-12,18.99
2008-08-13,17.64
2008-08-14,17.94
2008-08-15,18.28
2008-08-18,17.66
2008-08-19,17.21
2008-08-20,16.97
2008-08-21,16.76
2008-08-22,17.2
2008-08-25,16.6
2008-08-26,16.72
2008-08-27,16.94
2008-08-28,17.45
2008-08-29,17.5
2008-09-02,18.09
2008-09-03,18.81
2008-09-04,17.91
2008-09-05,18.45
2008-09-08,19.15
2008-09-09,18.81
2008-09-10,18.58
2008-09-11,19.35
2008-09-12,20.71
2008-09-15,20.11
2008-09-16,21.91
2008-09-17,20.33
2008-09-18,23.86
2008-09-19,25.92
2008-09-22,24.34
2008-09-23,23.29
2008-09-24,22.18
2008-09-25,22.44
2008-09-26,23.4
2008-09-29,19.4
2008-09-30,19.95
2008-10-01,24.21
2008-10-02,23.65
2008-10-03,21.88
2008-10-06,19.94
2008-10-07,18.68
2008-10-08,16.48
2008-10-09,15.72
2008-10-10,16.86
2008-10-13,18.68
2008-10-14,19.34
2008-10-15,18.84
2008-10-16,20.03
2008-10-17,20.19
2008-10-20,21.65
2008-10-21,21
2008-10-22,19.5
2008-10-23,19.21
2008-10-24,18.9
2008-10-27,18.4
2008-10-28,20.94
2008-10-29,21
2008-10-30,21.19
2008-10-31,22.06
2008-11-03,22.88
2008-11-04,22.48
2008-11-05,20.78
2008-11-06,20
2008-11-07,19.61
2008-11-10,18.41
2008-11-11,18.63
2008-11-12,17.39
2008-11-13,18.74
2008-11-14,17.99
2008-11-17,18.15
2008-11-18,18.11
2008-11-19,17.05
2008-11-20,16.1
2008-11-21,17.1
2008-11-24,19.95
2008-11-25,20.47
2008-11-26,21.02
2008-11-28,21.73
2008-12-01,17.97
2008-12-02,18.48
2008-12-03,19.36
2008-12-04,18.84
2008-12-05,19.81
2008-12-08,19.77
2008-12-09,18.36
2008-12-10,19.06
2008-12-11,17.99
2008-12-12,18.63
2008-12-15,18.33
2008-12-16,20
2008-12-17,19.73
2008-12-18,20.25
2008-12-19,19.98
2008-12-22,20.12
2008-12-23,19.13
2008-12-24,19.5
2008-12-26,19.63
2008-12-29,19.45
2008-12-30,20.12
2008-12-31,20.93
2009-01-02,21.39
2009-01-05,20.23
2009-01-06,19.76
2009-01-07,18.46
2009-01-08,18.34
2009-01-09,17.53
2009-01-12,16.79
2009-01-13,16.97
2009-01-14,16.47
2009-01-15,16.12
2009-01-16,15.89
2009-01-20,13.85
2009-01-21,15
2009-01-22,14.48
2009-01-23,15.49
2009-01-26,15.21
