"Index","ASBI.Close"
2007-01-03,13.22
2007-01-04,12.81
2007-01-05,12.54
2007-01-08,12.5
2007-01-09,12.6
2007-01-10,12.5
2007-01-11,12.53
2007-01-12,12.5
2007-01-16,12.7
2007-01-17,12.84
2007-01-18,12.5
2007-01-19,12.75
2007-01-22,13.01
2007-01-23,12.9
2007-01-24,12.89
2007-01-25,12.9
2007-01-26,12.7
2007-01-29,12.65
2007-01-30,12.72
2007-01-31,12.5
2007-02-01,12.5
2007-02-02,12.55
2007-02-05,12.5
2007-02-06,12.5
2007-02-07,12.5
2007-02-08,12.68
2007-02-09,12.52
2007-02-12,12.5
2007-02-13,13
2007-02-14,12.6
2007-02-15,12.7
2007-02-16,12.85
2007-02-20,12.9
2007-02-21,12.68
2007-02-22,12.79
2007-02-23,12.68
2007-02-26,12.6
2007-02-27,12.97
2007-02-28,12.54
2007-03-01,12.55
2007-03-02,12.6
2007-03-05,12.6
2007-03-06,12.68
2007-03-07,12.68
2007-03-08,12.59
2007-03-09,12.5
2007-03-12,12.52
2007-03-13,12.6
2007-03-14,12.52
2007-03-15,12.52
2007-03-16,12.58
2007-03-19,12.76
2007-03-20,12.76
2007-03-21,12.57
2007-03-22,12.51
2007-03-23,12.1
2007-03-26,12.11
2007-03-27,12.03
2007-03-28,11.52
2007-03-29,11.49
2007-03-30,11.36
2007-04-02,11.36
2007-04-03,11.27
2007-04-04,11.32
2007-04-05,11.36
2007-04-09,11.33
2007-04-10,11.3
2007-04-11,11.3
2007-04-12,11.25
2007-04-13,11.26
2007-04-16,11.25
2007-04-17,11.35
2007-04-18,11.3
2007-04-19,11.34
2007-04-20,11.25
2007-04-23,11.13
2007-04-24,10.85
2007-04-25,10.85
2007-04-26,10.5
2007-04-27,10.35
2007-04-30,10.5
2007-05-01,10.5
2007-05-02,10.4
2007-05-03,10.5
2007-05-04,10.49
2007-05-07,10.4
2007-05-08,10.5
2007-05-09,10.5
2007-05-10,10.51
2007-05-11,10.51
2007-05-14,10.55
2007-05-15,10.63
2007-05-16,10.51
2007-05-17,10.51
2007-05-18,10.84
2007-05-21,10.56
2007-05-22,10.51
2007-05-23,10.6
2007-05-24,10.6
2007-05-25,10.75
2007-05-29,10.84
2007-05-30,10.75
2007-05-31,10.58
2007-06-01,10.71
2007-06-04,10.82
2007-06-05,10.95
2007-06-06,10.97
2007-06-07,10.56
2007-06-08,10.99
2007-06-11,10.56
2007-06-12,10.51
2007-06-13,10.51
2007-06-14,10.36
2007-06-15,10.26
2007-06-18,9.95
2007-06-19,9.91
2007-06-20,9.96
2007-06-21,10
2007-06-22,9.96
2007-06-25,9.96
2007-06-26,9.98
2007-06-27,9.9
2007-06-28,9.9
2007-06-29,10.18
2007-07-02,10
2007-07-03,10.05
2007-07-05,10.05
2007-07-06,9.95
2007-07-09,9.95
2007-07-10,9.95
2007-07-11,9.95
2007-07-12,9.95
2007-07-13,9.95
2007-07-16,9.82
2007-07-17,10.59
2007-07-18,9.84
2007-07-19,9.81
2007-07-20,9.58
2007-07-23,9.85
2007-07-24,9.5
2007-07-25,9.74
2007-07-26,9.51
