"Index","ASCA.Close"
2007-01-03,30.22
2007-01-04,30.25
2007-01-05,29.31
2007-01-08,28.55
2007-01-09,28.95
2007-01-10,28.98
2007-01-11,29.74
2007-01-12,29.5
2007-01-16,30.01
2007-01-17,29.65
2007-01-18,29.66
2007-01-19,29.8
2007-01-22,29.49
2007-01-23,31.02
2007-01-24,31.48
2007-01-25,31.08
2007-01-26,30.95
2007-01-29,31.18
2007-01-30,30.71
2007-01-31,30.52
2007-02-01,31.48
2007-02-02,32.02
2007-02-05,32.36
2007-02-06,32.28
2007-02-07,32.97
2007-02-08,32.5
2007-02-09,31.16
2007-02-12,31.59
2007-02-13,31.64
2007-02-14,31.84
2007-02-15,31.92
2007-02-16,31.79
2007-02-20,32.21
2007-02-21,32.86
2007-02-22,34.14
2007-02-23,34.01
2007-02-26,33.81
2007-02-27,32.68
2007-02-28,32.42
2007-03-01,32.89
2007-03-02,32.11
2007-03-05,31.93
2007-03-06,32.27
2007-03-07,32.56
2007-03-08,33.32
2007-03-09,32.87
2007-03-12,33.84
2007-03-13,32.98
2007-03-14,33.15
2007-03-15,33.34
2007-03-16,33.06
2007-03-19,33.45
2007-03-20,33.5
2007-03-21,34
2007-03-22,34.06
2007-03-23,34.44
2007-03-26,34.2
2007-03-27,33.94
2007-03-28,33.3
2007-03-29,32.76
2007-03-30,32.11
2007-04-02,32.24
2007-04-03,32.47
2007-04-04,30.6
2007-04-05,30.15
2007-04-09,30.08
2007-04-10,30.98
2007-04-11,30.79
2007-04-12,31.46
2007-04-13,31.62
2007-04-16,31.78
2007-04-17,32.42
2007-04-18,32.01
2007-04-19,32.01
2007-04-20,31.83
2007-04-23,31.45
2007-04-24,30.42
2007-04-25,31.47
2007-04-26,31.07
2007-04-27,30.33
2007-04-30,30.36
2007-05-01,30.45
2007-05-02,31.19
2007-05-03,31.22
2007-05-04,31.67
2007-05-07,31.15
2007-05-08,31.33
2007-05-09,31.4
2007-05-10,29.92
2007-05-11,30.33
2007-05-14,30.05
2007-05-15,29.39
2007-05-16,29.38
2007-05-17,29.2
2007-05-18,29.11
2007-05-21,29.07
2007-05-22,29.24
2007-05-23,29.87
2007-05-24,29.05
2007-05-25,28.89
2007-05-29,29.57
2007-05-30,29.46
2007-05-31,29.7
2007-06-01,30.52
2007-06-04,30.65
2007-06-05,30.72
2007-06-06,31.75
2007-06-07,31.22
2007-06-08,31.57
2007-06-11,31.43
2007-06-12,31.29
2007-06-13,32.87
2007-06-14,32.4
2007-06-15,34.95
2007-06-18,35.64
2007-06-19,35.55
2007-06-20,34.71
2007-06-21,35.29
2007-06-22,35.26
2007-06-25,34.62
2007-06-26,34.53
2007-06-27,34.41
2007-06-28,34.58
2007-06-29,34.74
2007-07-02,35.53
2007-07-03,35.83
2007-07-05,36.9
2007-07-06,36.46
2007-07-09,36.19
2007-07-10,35.81
2007-07-11,35.41
2007-07-12,35.4
2007-07-13,35.48
2007-07-16,34.07
2007-07-17,34.54
2007-07-18,34.41
2007-07-19,34.16
2007-07-20,33.58
2007-07-23,34.12
2007-07-24,33.09
2007-07-25,33.32
2007-07-26,31.92
2007-07-27,31.25
2007-07-30,31.92
2007-07-31,31.68
2007-08-01,32.01
