"Index","ASFI.Close"
2007-01-03,29.68
2007-01-04,30.04
2007-01-05,29.97
2007-01-08,30.26
2007-01-09,30.34
2007-01-10,30.83
2007-01-11,31.48
2007-01-12,31.7
2007-01-16,30.51
2007-01-17,30.11
2007-01-18,30.09
2007-01-19,30.43
2007-01-22,30.24
2007-01-23,30.24
2007-01-24,30.73
2007-01-25,30.69
2007-01-26,31.13
2007-01-29,31.55
2007-01-30,32.2
2007-01-31,32.22
2007-02-01,32.47
2007-02-02,32.51
2007-02-05,32.29
2007-02-06,31.99
2007-02-07,32.02
2007-02-08,31.45
2007-02-09,30.33
2007-02-12,33.5
2007-02-13,32.99
2007-02-14,33.48
2007-02-15,35.78
2007-02-16,36.02
2007-02-20,35.38
2007-02-21,34.9
2007-02-22,35.7
2007-02-23,35.5
2007-02-26,34.34
2007-02-27,32.88
2007-02-28,33.08
2007-03-01,32.81
2007-03-02,31.57
2007-03-05,32.72
2007-03-06,34.22
2007-03-07,34.33
2007-03-08,33.86
2007-03-09,34.01
2007-03-12,37.44
2007-03-13,35.25
2007-03-14,37.32
2007-03-15,41.44
2007-03-16,41.22
2007-03-19,40.46
2007-03-20,40.68
2007-03-21,40.94
2007-03-22,40.8
2007-03-23,43.22
2007-03-26,43.31
2007-03-27,42.49
2007-03-28,42.79
2007-03-29,42.4
2007-03-30,43.18
2007-04-02,44.68
2007-04-03,45.84
2007-04-04,44.24
2007-04-05,44.24
2007-04-09,44.75
2007-04-10,45.67
2007-04-11,43.2
2007-04-12,42.43
2007-04-13,42.09
2007-04-16,42
2007-04-17,41.95
2007-04-18,41.39
2007-04-19,40.1
2007-04-20,40.05
2007-04-23,40.15
2007-04-24,40.49
2007-04-25,42.91
2007-04-26,43.27
2007-04-27,43.98
2007-04-30,43.73
2007-05-01,43.1
2007-05-02,43.27
2007-05-03,44.86
2007-05-04,44.27
2007-05-07,43.54
2007-05-08,43.76
2007-05-09,44.58
2007-05-10,42.55
2007-05-11,43.12
2007-05-14,41.92
2007-05-15,40.82
2007-05-16,38.99
2007-05-17,38.65
2007-05-18,38.16
2007-05-21,37.99
2007-05-22,40.26
2007-05-23,39.83
2007-05-24,39.14
2007-05-25,39.38
2007-05-29,40.43
2007-05-30,40.68
2007-05-31,42.21
2007-06-01,43
2007-06-04,41.68
2007-06-05,41.26
2007-06-06,41.92
2007-06-07,41.33
2007-06-08,41.82
2007-06-11,41.94
2007-06-12,41.09
2007-06-13,41.61
2007-06-14,41.07
2007-06-15,40.52
2007-06-18,39.47
2007-06-19,39.88
2007-06-20,39.33
2007-06-21,39.82
2007-06-22,40.1
2007-06-25,38.02
2007-06-26,37.72
2007-06-27,37.59
2007-06-28,38.5
2007-06-29,38.43
2007-07-02,37.64
2007-07-03,38.76
2007-07-05,39.68
2007-07-06,40.2
2007-07-09,42.43
2007-07-10,41.5
2007-07-11,41.15
2007-07-12,43.3
2007-07-13,43.15
2007-07-16,41.79
2007-07-17,41.29
2007-07-18,41.54
2007-07-19,41.07
2007-07-20,41.04
2007-07-23,40.47
2007-07-24,38.53
2007-07-25,36.93
2007-07-26,36.26
2007-07-27,35.75
2007-07-30,36.93
2007-07-31,36.08
2007-08-01,35.52
2007-08-02,35.5
2007-08-03,33.08
2007-08-06,33.72
2007-08-07,35.46
2007-08-08,38.5
2007-08-09,42.33
2007-08-10,38.3
2007-08-13,35.09
2007-08-14,33.79
2007-08-15,34.62
2007-08-16,34.8
2007-08-17,36
2007-08-20,36.35
2007-08-21,36.97
2007-08-22,36.94
2007-08-23,36.18
2007-08-24,36.05
2007-08-27,35.35
2007-08-28,34.63
2007-08-29,35.95
2007-08-30,35.5
2007-08-31,36.82
2007-09-04,37.73
2007-09-05,36.15
2007-09-06,36.09
2007-09-07,35.7
2007-09-10,35.7
2007-09-11,36.53
2007-09-12,36.33
2007-09-13,35.91
2007-09-14,36.28
2007-09-17,35.77
2007-09-18,37.83
2007-09-19,38.96
2007-09-20,37.93
2007-09-21,37.69
2007-09-24,37.89
2007-09-25,38.03
2007-09-26,38.76
2007-09-27,39.34
2007-09-28,38.32
2007-10-01,38.67
2007-10-02,39
2007-10-03,38.45
2007-10-04,37.63
2007-10-05,38.63
2007-10-08,38.66
2007-10-09,38.59
2007-10-10,39
2007-10-11,38.49
2007-10-12,38.13
2007-10-15,36.88
2007-10-16,36.67
2007-10-17,36.27
2007-10-18,34.94
2007-10-19,33.78
2007-10-22,34.73
2007-10-23,34.88
2007-10-24,34.89
2007-10-25,34.44
2007-10-26,35.7
2007-10-29,35.41
2007-10-30,34.42
2007-10-31,35.54
2007-11-01,34.43
2007-11-02,33.67
2007-11-05,35.19
2007-11-06,35.44
2007-11-07,33.75
2007-11-08,34.49
2007-11-09,36.15
2007-11-12,35.41
2007-11-13,38.19
2007-11-14,37.69
2007-11-15,37.39
2007-11-16,37.39
2007-11-19,36.51
2007-11-20,34.82
2007-11-21,36.23
2007-11-23,36.19
2007-11-26,34.29
2007-11-27,35.92
2007-11-28,36.71
2007-11-29,35.91
2007-11-30,36.16
2007-12-03,36.08
2007-12-04,36
2007-12-05,34.1
2007-12-06,35.65
2007-12-07,35.57
2007-12-10,34.82
2007-12-11,33.43
2007-12-12,33.57
2007-12-13,33.47
2007-12-14,32.25
2007-12-17,28.14
2007-12-18,26.01
2007-12-19,26.08
2007-12-20,27.26
2007-12-21,30.59
2007-12-24,28.71
2007-12-26,28.99
2007-12-27,28.04
2007-12-28,26.64
2007-12-31,26.44
2008-01-02,23.36
2008-01-03,23.57
2008-01-04,22.85
2008-01-07,22.55
2008-01-08,20.9
2008-01-09,21.57
2008-01-10,21
2008-01-11,21
2008-01-14,20.9
2008-01-15,20.96
2008-01-16,20.4
2008-01-17,19.73
2008-01-18,19.52
2008-01-22,19
2008-01-23,19.94
2008-01-24,19.61
2008-01-25,19.49
2008-01-28,19.75
2008-01-29,19.38
2008-01-30,19.42
2008-01-31,20.87
2008-02-01,22.59
2008-02-04,21.09
2008-02-05,19.71
2008-02-06,18.69
2008-02-07,18.86
2008-02-08,18.39
2008-02-11,18.91
2008-02-12,17.71
2008-02-13,19.28
2008-02-14,18.16
2008-02-15,17.39
2008-02-19,17.8
2008-02-20,17.86
2008-02-21,17.17
2008-02-22,16.86
2008-02-25,16.89
2008-02-26,17.06
2008-02-27,17.29
2008-02-28,16.71
2008-02-29,16.18
2008-03-03,16.56
2008-03-04,16.98
2008-03-05,16.89
2008-03-06,16.11
2008-03-07,15.61
2008-03-10,14.86
2008-03-11,15.4
2008-03-12,15.08
2008-03-13,15.46
2008-03-14,14.16
2008-03-17,13.26
2008-03-18,14.07
2008-03-19,13.55
2008-03-20,14.26
2008-03-24,16.39
2008-03-25,16.39
2008-03-26,15.99
2008-03-27,15.16
2008-03-28,14.49
2008-03-31,13.93
2008-04-01,14.9
2008-04-02,14.48
2008-04-03,14.98
2008-04-04,14.24
2008-04-07,14.11
2008-04-08,13.27
2008-04-09,13.17
2008-04-10,12.91
2008-04-11,12.55
2008-04-14,12.71
2008-04-15,13.26
2008-04-16,13.89
2008-04-17,13.89
2008-04-18,14.31
2008-04-21,14.01
2008-04-22,13.63
2008-04-23,13.6
2008-04-24,14.49
2008-04-25,14.74
2008-04-28,15
2008-04-29,14.55
2008-04-30,14.27
2008-05-01,15
2008-05-02,9.71
2008-05-05,9.75
2008-05-06,9.79
2008-05-07,9.59
2008-05-08,9.73
2008-05-09,9.57
2008-05-12,9.8
2008-05-13,9.55
2008-05-14,8.89
2008-05-15,8.78
2008-05-16,8.73
2008-05-19,8.52
2008-05-20,7.98
2008-05-21,6.93
2008-05-22,7.08
2008-05-23,7.37
2008-05-27,7.5
2008-05-28,7.47
2008-05-29,8.2
2008-05-30,8.17
2008-06-02,7.65
2008-06-03,7.37
2008-06-04,7.54
2008-06-05,7.86
2008-06-06,7.71
2008-06-09,7.43
2008-06-10,7.52
2008-06-11,7.64
2008-06-12,8.81
2008-06-13,10.4
2008-06-16,10.1
2008-06-17,9.67
2008-06-18,9.5
2008-06-19,9.31
2008-06-20,9.68
2008-06-23,9.88
2008-06-24,9.35
2008-06-25,8.82
2008-06-26,8.6
2008-06-27,8.9
2008-06-30,9.06
2008-07-01,9.01
2008-07-02,9.1
2008-07-03,9.32
2008-07-07,9.54
2008-07-08,9.73
2008-07-09,9.39
2008-07-10,8.52
2008-07-11,8.21
2008-07-14,7.97
2008-07-15,7.69
