"Index","ASIA.Close"
2007-01-03,7.73
2007-01-04,7.78
2007-01-05,7.84
2007-01-08,7.8
2007-01-09,7.6
2007-01-10,7.77
2007-01-11,7.75
2007-01-12,8.38
2007-01-16,8.48
2007-01-17,8.37
2007-01-18,8.11
2007-01-19,8.15
2007-01-22,8.04
2007-01-23,8.15
2007-01-24,7.92
2007-01-25,8.23
2007-01-26,7.99
2007-01-29,8.2
2007-01-30,8.37
2007-01-31,7.85
2007-02-01,7.88
2007-02-02,8.1
2007-02-05,7.98
2007-02-06,8.02
2007-02-07,8.18
2007-02-08,8.21
2007-02-09,8.01
2007-02-12,8
2007-02-13,7.9
2007-02-14,7.99
2007-02-15,7.98
2007-02-16,7.99
2007-02-20,8.06
2007-02-21,8.3
2007-02-22,8.49
2007-02-23,8.34
2007-02-26,8.16
2007-02-27,6.9
2007-02-28,7.13
2007-03-01,6.93
2007-03-02,6.74
2007-03-05,6.41
2007-03-06,6.74
2007-03-07,6.76
2007-03-08,6.76
2007-03-09,6.73
2007-03-12,6.69
2007-03-13,6.46
2007-03-14,6.48
2007-03-15,6.56
2007-03-16,6.64
2007-03-19,6.49
2007-03-20,6.59
2007-03-21,6.91
2007-03-22,6.86
2007-03-23,6.82
2007-03-26,6.97
2007-03-27,7.07
2007-03-28,6.99
2007-03-29,6.87
2007-03-30,6.87
2007-04-02,6.79
2007-04-03,7.15
2007-04-04,7.05
2007-04-05,7.2
2007-04-09,7.12
2007-04-10,7.06
2007-04-11,6.96
2007-04-12,7.3
2007-04-13,7.32
2007-04-16,7.34
2007-04-17,7.65
2007-04-18,7.84
2007-04-19,7.6
2007-04-20,7.75
2007-04-23,7.88
2007-04-24,7.87
2007-04-25,8
2007-04-26,7.6
2007-04-27,7.8
2007-04-30,7.69
2007-05-01,7.84
2007-05-02,7.75
2007-05-03,7.81
2007-05-04,7.62
2007-05-07,7.75
2007-05-08,7.7
2007-05-09,7.64
2007-05-10,7.4
2007-05-11,7.6
2007-05-14,7.44
2007-05-15,7.43
2007-05-16,7.38
2007-05-17,7.69
2007-05-18,7.97
2007-05-21,8.23
2007-05-22,8.25
2007-05-23,8.84
2007-05-24,8.45
2007-05-25,8.63
2007-05-29,8.93
2007-05-30,8.99
2007-05-31,9
2007-06-01,8.95
2007-06-04,8.75
2007-06-05,8.78
2007-06-06,8.63
2007-06-07,8.7
2007-06-08,8.62
2007-06-11,8.99
2007-06-12,8.96
2007-06-13,9.26
2007-06-14,9.66
2007-06-15,9.64
2007-06-18,9.51
2007-06-19,9.49
2007-06-20,9.36
2007-06-21,9.41
2007-06-22,9.42
2007-06-25,9.68
2007-06-26,9.78
2007-06-27,9.85
2007-06-28,9.89
2007-06-29,9.7
2007-07-02,10.06
2007-07-03,10.38
2007-07-05,9.85
2007-07-06,9.99
2007-07-09,9.97
2007-07-10,9.8
2007-07-11,9.84
2007-07-12,10.3
2007-07-13,10.27
2007-07-16,10.11
2007-07-17,10.2
2007-07-18,10.25
2007-07-19,10.15
2007-07-20,10.01
2007-07-23,10.38
2007-07-24,9.67
2007-07-25,9.53
2007-07-26,8.38
2007-07-27,8.14
2007-07-30,8.64
2007-07-31,8.21
2007-08-01,7.86
2007-08-02,7.85
2007-08-03,7.24
2007-08-06,7.23
2007-08-07,7.14
2007-08-08,6.9
2007-08-09,5.81
2007-08-10,7.13
2007-08-13,6.92
2007-08-14,6.59
2007-08-15,6.86
2007-08-16,6.74
2007-08-17,6.8
2007-08-20,7.25
2007-08-21,7.78
2007-08-22,8
2007-08-23,7.92
2007-08-24,8.41
2007-08-27,8.17
2007-08-28,7.8
2007-08-29,8.1
2007-08-30,8.18
2007-08-31,8.08
2007-09-04,8.13
2007-09-05,7.85
2007-09-06,7.93
2007-09-07,7.55
2007-09-10,7.33
2007-09-11,8.05
2007-09-12,7.92
2007-09-13,7.96
2007-09-14,8
2007-09-17,7.89
2007-09-18,8.21
2007-09-19,8.34
2007-09-20,8.14
2007-09-21,8.27
2007-09-24,8.07
2007-09-25,8.13
2007-09-26,8.45
2007-09-27,9.16
2007-09-28,9.06
2007-10-01,9.22
2007-10-02,9.54
2007-10-03,9.33
2007-10-04,9.47
2007-10-05,9.76
2007-10-08,9.77
2007-10-09,9.96
2007-10-10,9.87
2007-10-11,9.47
2007-10-12,9.73
2007-10-15,9.57
2007-10-16,9.41
2007-10-17,9.47
2007-10-18,9.29
2007-10-19,9.21
2007-10-22,8.84
2007-10-23,10.7
2007-10-24,12.47
2007-10-25,12.06
2007-10-26,12.1
2007-10-29,12.14
2007-10-30,12.26
2007-10-31,12.23
2007-11-01,10.88
2007-11-02,11.61
2007-11-05,11.42
2007-11-06,11.72
2007-11-07,10.86
2007-11-08,11.42
2007-11-09,10.74
2007-11-12,10.71
2007-11-13,11
2007-11-14,11.4
2007-11-15,10.59
2007-11-16,10.4
2007-11-19,10.17
2007-11-20,10.02
2007-11-21,10.02
2007-11-23,10.01
2007-11-26,9.92
2007-11-27,10.47
2007-11-28,11.17
2007-11-29,11.75
2007-11-30,11.8
2007-12-03,12.31
2007-12-04,11.95
2007-12-05,13.3
2007-12-06,12.36
2007-12-07,11.35
2007-12-10,11.27
