"Index","ASMI.Close"
2007-01-03,20.94
2007-01-04,21.09
2007-01-05,20.97
2007-01-08,21.01
2007-01-09,21.32
2007-01-10,21.16
2007-01-11,20.98
2007-01-12,21.09
2007-01-16,21.08
2007-01-17,22.02
2007-01-18,21.89
2007-01-19,21.83
2007-01-22,21.45
2007-01-23,21.33
2007-01-24,21.66
2007-01-25,21.63
2007-01-26,22.05
2007-01-29,22
2007-01-30,22.88
2007-01-31,23.19
2007-02-01,23.25
2007-02-02,23.14
2007-02-05,23.23
2007-02-06,23.15
2007-02-07,23.58
2007-02-08,23.25
2007-02-09,22.97
2007-02-12,23.12
2007-02-13,23.25
2007-02-14,23.68
2007-02-15,23.56
2007-02-16,23.6
2007-02-20,23.61
2007-02-21,23.64
2007-02-22,24
2007-02-23,23.98
2007-02-26,23.72
2007-02-27,22.72
2007-02-28,23
2007-03-01,22.42
2007-03-02,22.28
2007-03-05,21.6
2007-03-06,21.91
2007-03-07,22.25
2007-03-08,22.37
2007-03-09,22.16
2007-03-12,21.97
2007-03-13,21.24
2007-03-14,21.4
2007-03-15,21.32
2007-03-16,21.32
2007-03-19,21.75
2007-03-20,21.92
2007-03-21,22.49
2007-03-22,22.23
2007-03-23,22.48
2007-03-26,22.47
2007-03-27,22.2
2007-03-28,21.75
2007-03-29,22.04
2007-03-30,22.16
2007-04-02,22.47
2007-04-03,23.01
2007-04-04,23.68
2007-04-05,23.72
2007-04-09,23.7
2007-04-10,23.79
2007-04-11,23.64
2007-04-12,23.8
2007-04-13,24.08
2007-04-16,23.91
2007-04-17,24.22
2007-04-18,24.53
2007-04-19,23.86
2007-04-20,24.17
2007-04-23,23.95
2007-04-24,24.37
2007-04-25,24.27
2007-04-26,24.59
2007-04-27,24.34
2007-04-30,24.37
2007-05-01,24.45
2007-05-02,25.03
2007-05-03,25.2
2007-05-04,26.17
2007-05-07,25.56
2007-05-08,25.4
2007-05-09,25.81
2007-05-10,24.97
2007-05-11,25.81
2007-05-14,25.74
2007-05-15,25.74
2007-05-16,25.86
2007-05-17,25.72
2007-05-18,26.09
2007-05-21,25.78
2007-05-22,26.45
2007-05-23,26.11
2007-05-24,25.92
2007-05-25,26.71
2007-05-29,26.66
2007-05-30,26.34
2007-05-31,26.47
2007-06-01,26.63
2007-06-04,26.39
2007-06-05,26.22
2007-06-06,25.43
2007-06-07,25.33
2007-06-08,25.58
2007-06-11,25.63
2007-06-12,25.39
2007-06-13,25.6
2007-06-14,26.16
2007-06-15,26.51
2007-06-18,26.46
2007-06-19,26.29
2007-06-20,26.33
2007-06-21,27.08
2007-06-22,27.11
2007-06-25,26.77
2007-06-26,26.46
2007-06-27,26.6
2007-06-28,26.7
2007-06-29,26.69
2007-07-02,27.15
2007-07-03,27.41
2007-07-05,27.85
2007-07-06,27.75
2007-07-09,27.7
2007-07-10,28.11
2007-07-11,27.98
2007-07-12,28.55
2007-07-13,28.45
2007-07-16,28.32
2007-07-17,28.78
2007-07-18,28.4
2007-07-19,29.06
2007-07-20,28.91
2007-07-23,28.9
2007-07-24,28.4
2007-07-25,28.8
2007-07-26,28.62
2007-07-27,27.22
2007-07-30,27.73
2007-07-31,28.22
2007-08-01,28.07
2007-08-02,28.07
2007-08-03,27.59
2007-08-06,28.68
2007-08-07,28.02
2007-08-08,27.55
2007-08-09,24.66
2007-08-10,25.57
2007-08-13,26.3
2007-08-14,25.88
2007-08-15,25.01
2007-08-16,24.68
2007-08-17,24.66
2007-08-20,24.95
2007-08-21,25.18
2007-08-22,25.69
2007-08-23,26.01
2007-08-24,27.03
2007-08-27,26.54
2007-08-28,25.76
2007-08-29,26.23
2007-08-30,26.18
2007-08-31,27.26
2007-09-04,27.62
2007-09-05,27.31
2007-09-06,27.81
2007-09-07,27.05
2007-09-10,26.62
2007-09-11,27.13
2007-09-12,27.16
2007-09-13,26.85
2007-09-14,27.07
2007-09-17,26.83
2007-09-18,27.55
2007-09-19,27.35
2007-09-20,27.13
2007-09-21,27.35
2007-09-24,27.17
2007-09-25,27.89
2007-09-26,27.89
2007-09-27,28.44
2007-09-28,28.58
2007-10-01,28.68
2007-10-02,28.74
2007-10-03,28.05
2007-10-04,28.39
2007-10-05,28.55
2007-10-08,28.71
2007-10-09,28.64
2007-10-10,28.37
2007-10-11,28.06
2007-10-12,29.24
2007-10-15,28.9
2007-10-16,28.99
2007-10-17,29.52
2007-10-18,29.44
2007-10-19,28.94
2007-10-22,28.92
2007-10-23,29.54
2007-10-24,29.12
2007-10-25,29.31
2007-10-26,30.32
2007-10-29,29
2007-10-30,27.94
