"Index","ASRV.Close"
2007-01-03,4.85
2007-01-04,4.78
2007-01-05,4.82
2007-01-08,4.76
2007-01-09,4.82
2007-01-10,4.71
2007-01-11,4.72
2007-01-12,4.69
2007-01-16,4.69
2007-01-17,4.67
2007-01-18,4.57
2007-01-19,4.57
2007-01-22,4.64
2007-01-23,4.65
2007-01-24,4.61
2007-01-25,4.68
2007-01-26,4.74
2007-01-29,4.7
2007-01-30,4.74
2007-01-31,4.74
2007-02-01,4.72
2007-02-02,4.73
2007-02-05,4.65
2007-02-06,4.66
2007-02-07,4.61
2007-02-08,4.64
2007-02-09,4.64
2007-02-12,4.53
2007-02-13,4.52
2007-02-14,4.53
2007-02-15,4.59
2007-02-16,4.6
2007-02-20,4.65
2007-02-21,4.67
2007-02-22,4.66
2007-02-23,4.66
2007-02-26,4.66
2007-02-27,4.65
2007-02-28,4.63
2007-03-01,4.68
2007-03-02,4.62
2007-03-05,4.64
2007-03-06,4.62
2007-03-07,4.63
2007-03-08,4.63
2007-03-09,4.66
2007-03-12,4.66
2007-03-13,4.62
2007-03-14,4.65
2007-03-15,4.66
2007-03-16,4.62
2007-03-19,4.64
2007-03-20,4.6
2007-03-21,4.57
2007-03-22,4.6
2007-03-23,4.68
2007-03-26,4.68
2007-03-27,4.7
2007-03-28,4.7
2007-03-29,4.7
2007-03-30,4.79
2007-04-02,4.77
2007-04-03,4.76
2007-04-04,4.75
2007-04-05,4.68
2007-04-09,4.66
2007-04-10,4.69
2007-04-11,4.64
2007-04-12,4.58
2007-04-13,4.56
2007-04-16,4.55
2007-04-17,4.51
2007-04-18,4.46
2007-04-19,4.4
2007-04-20,4.5
2007-04-23,4.5
2007-04-24,4.56
2007-04-25,4.49
2007-04-26,4.56
2007-04-27,4.48
2007-04-30,4.61
2007-05-01,4.7
2007-05-02,4.73
2007-05-03,4.68
2007-05-04,4.61
2007-05-07,4.49
2007-05-08,4.45
2007-05-09,4.47
2007-05-10,4.53
2007-05-11,4.42
2007-05-14,4.42
2007-05-15,4.34
2007-05-16,4.34
2007-05-17,4.33
2007-05-18,4.33
2007-05-21,4.35
2007-05-22,4.35
2007-05-23,4.34
2007-05-24,4.33
2007-05-25,4.35
2007-05-29,4.34
2007-05-30,4.36
2007-05-31,4.35
2007-06-01,4.33
2007-06-04,4.34
2007-06-05,4.35
2007-06-06,4.31
2007-06-07,4.31
2007-06-08,4.32
2007-06-11,4.33
2007-06-12,4.28
2007-06-13,4.29
2007-06-14,4.33
2007-06-15,4.4
2007-06-18,4.42
2007-06-19,4.36
2007-06-20,4.39
2007-06-21,4.25
2007-06-22,4.51
2007-06-25,4.44
2007-06-26,4.41
2007-06-27,4.37
2007-06-28,4.41
2007-06-29,4.4
2007-07-02,4.26
2007-07-03,4.23
2007-07-05,4.24
2007-07-06,4.18
2007-07-09,4.17
2007-07-10,4.16
2007-07-11,4.14
2007-07-12,3.92
2007-07-13,3.85
2007-07-16,3.9
2007-07-17,4.03
2007-07-18,3.83
2007-07-19,4.05
2007-07-20,3.87
2007-07-23,3.75
2007-07-24,4.09
2007-07-25,3.8
2007-07-26,3.7
2007-07-27,3.7
2007-07-30,3.54
2007-07-31,3.77
2007-08-01,3.83
2007-08-02,3.9
2007-08-03,3.65
2007-08-06,3.52
2007-08-07,3.65
2007-08-08,3.66
2007-08-09,3.73
2007-08-10,3.63
2007-08-13,3.65
2007-08-14,3.84
2007-08-15,3.7
2007-08-16,3.68
2007-08-17,3.53
2007-08-20,3.51
2007-08-21,3.41
2007-08-22,3.43
2007-08-23,3.45
2007-08-24,3.5
2007-08-27,3.45
2007-08-28,3.42
2007-08-29,3.43
2007-08-30,3.42
2007-08-31,3.4
2007-09-04,3.42
2007-09-05,3.42
2007-09-06,3.43
2007-09-07,3.41
2007-09-10,3.41
2007-09-11,3.4
2007-09-12,3.39
2007-09-13,3.39
2007-09-14,3.4
2007-09-17,3.38
2007-09-18,3.4
2007-09-19,3.43
2007-09-20,3.41
2007-09-21,3.5
2007-09-24,3.5
2007-09-25,3.37
2007-09-26,3.34
2007-09-27,3.34
2007-09-28,3.33
2007-10-01,3.33
2007-10-02,3.34
2007-10-03,3.32
2007-10-04,3.36
2007-10-05,3.31
2007-10-08,3.32
2007-10-09,3.3
2007-10-10,3.19
2007-10-11,3.14
2007-10-12,3.1
2007-10-15,3.1
2007-10-16,2.96
2007-10-17,3
2007-10-18,3
2007-10-19,2.9
2007-10-22,3
2007-10-23,3.1
2007-10-24,3.15
2007-10-25,3.24
2007-10-26,3.21
2007-10-29,3.25
2007-10-30,3.22
2007-10-31,3.24
2007-11-01,3.08
2007-11-02,3.11
2007-11-05,3.03
2007-11-06,3
2007-11-07,2.91
2007-11-08,2.96
2007-11-09,3.06
2007-11-12,2.98
2007-11-13,3
2007-11-14,2.99
2007-11-15,2.97
2007-11-16,3.02
2007-11-19,3.04
2007-11-20,2.96
2007-11-21,2.95
2007-11-23,3
2007-11-26,2.97
2007-11-27,2.99
2007-11-28,3
2007-11-29,3.03
2007-11-30,2.92
2007-12-03,3
2007-12-04,3
2007-12-05,3.02
2007-12-06,3.1
2007-12-07,3.05
2007-12-10,3.09
2007-12-11,3.1
2007-12-12,3.09
2007-12-13,3.1
2007-12-14,3.11
2007-12-17,3.06
2007-12-18,3
2007-12-19,3.04
2007-12-20,3
2007-12-21,3.03
2007-12-24,3.07
2007-12-26,2.99
2007-12-27,2.94
2007-12-28,2.88
2007-12-31,2.77
2008-01-02,2.83
2008-01-03,2.6
2008-01-04,2.57
2008-01-07,2.55
