"Index","ASTE.Close"
2007-01-03,34.73
2007-01-04,34.55
2007-01-05,34.17
2007-01-08,33.8
2007-01-09,34.01
2007-01-10,33.98
2007-01-11,35.02
2007-01-12,35.69
2007-01-16,36.34
2007-01-17,36.94
2007-01-18,36.63
2007-01-19,36.66
2007-01-22,35.43
2007-01-23,37.11
2007-01-24,37.06
2007-01-25,36.27
2007-01-26,36.41
2007-01-29,36.25
2007-01-30,36.3
2007-01-31,36.01
2007-02-01,36.42
2007-02-02,36.81
2007-02-05,37.07
2007-02-06,37.04
2007-02-07,36.98
2007-02-08,36.52
2007-02-09,36.47
2007-02-12,36.72
2007-02-13,37.08
2007-02-14,37.12
2007-02-15,37.68
2007-02-16,37.36
2007-02-20,38.71
2007-02-21,39.5
2007-02-22,38.99
2007-02-23,38.8
2007-02-26,38.37
2007-02-27,38.52
2007-02-28,38.46
2007-03-01,38.36
2007-03-02,37.27
2007-03-05,36.25
2007-03-06,38.53
2007-03-07,39.54
2007-03-08,38.76
2007-03-09,39.01
2007-03-12,38.8
2007-03-13,37.19
2007-03-14,37.92
2007-03-15,38.4
2007-03-16,38.94
2007-03-19,39.37
2007-03-20,39.4
2007-03-21,39.96
2007-03-22,39.04
2007-03-23,39.73
2007-03-26,39.99
2007-03-27,39.47
2007-03-28,39.91
2007-03-29,40.38
2007-03-30,40.25
2007-04-02,40.44
2007-04-03,41.36
2007-04-04,41.62
2007-04-05,41.72
2007-04-09,41.92
2007-04-10,42.07
2007-04-11,41.16
2007-04-12,41.79
2007-04-13,42.7
2007-04-16,43.25
2007-04-17,43.53
2007-04-18,43.16
2007-04-19,42.52
2007-04-20,42.75
2007-04-23,42.68
2007-04-24,41.51
2007-04-25,41.94
2007-04-26,42.67
2007-04-27,41.84
2007-04-30,40.7
2007-05-01,40.79
2007-05-02,41.41
2007-05-03,41.24
2007-05-04,41.43
2007-05-07,41.15
2007-05-08,40.54
2007-05-09,41.68
2007-05-10,41.12
2007-05-11,41.72
2007-05-14,40.65
2007-05-15,40.26
2007-05-16,40.27
2007-05-17,40.77
2007-05-18,42.23
2007-05-21,43
2007-05-22,42.28
2007-05-23,41.93
2007-05-24,41
2007-05-25,41.68
2007-05-29,41.56
2007-05-30,43.14
2007-05-31,43.09
2007-06-01,43.48
2007-06-04,43.39
2007-06-05,43.11
2007-06-06,42.3
2007-06-07,42.56
2007-06-08,42.35
2007-06-11,42.99
2007-06-12,42.61
2007-06-13,43.17
2007-06-14,42.93
2007-06-15,44.91
2007-06-18,44.39
2007-06-19,44.83
2007-06-20,42.85
2007-06-21,43.27
2007-06-22,42.62
2007-06-25,42.96
2007-06-26,42.64
2007-06-27,43.88
2007-06-28,43.04
2007-06-29,42.22
2007-07-02,43.7
2007-07-03,44.06
2007-07-05,45.78
2007-07-06,44.71
2007-07-09,47.98
2007-07-10,47.42
2007-07-11,46.86
2007-07-12,47.8
2007-07-13,47.83
2007-07-16,49.18
2007-07-17,49.28
2007-07-18,48.82
2007-07-19,48.96
2007-07-20,47.72
2007-07-23,55.23
2007-07-24,54.2
2007-07-25,55.53
2007-07-26,52.91
2007-07-27,49.52
2007-07-30,52.85
2007-07-31,52.17
2007-08-01,52.7
2007-08-02,52.31
2007-08-03,49.89
2007-08-06,52.5
2007-08-07,51.54
2007-08-08,50.43
2007-08-09,50.42
2007-08-10,53.03
2007-08-13,51.87
2007-08-14,50.4
2007-08-15,49.29
2007-08-16,49.24
2007-08-17,49.77
2007-08-20,50.03
2007-08-21,49.29
2007-08-22,49.96
2007-08-23,49.05
2007-08-24,50.91
2007-08-27,51.68
2007-08-28,49.4
2007-08-29,50.33
2007-08-30,49.67
2007-08-31,50.58
2007-09-04,53.05
2007-09-05,52.65
2007-09-06,53.99
2007-09-07,52.99
2007-09-10,52.36
2007-09-11,53.79
2007-09-12,53.99
2007-09-13,54.44
2007-09-14,54.7
2007-09-17,54.11
2007-09-18,56.45
2007-09-19,56.9
2007-09-20,57.09
2007-09-21,57.01
2007-09-24,55.88
2007-09-25,56.97
2007-09-26,57.57
2007-09-27,58.52
2007-09-28,57.45
2007-10-01,58.99
2007-10-02,58.85
2007-10-03,58.32
2007-10-04,59.37
2007-10-05,59.92
2007-10-08,59.26
2007-10-09,59.2
2007-10-10,57.89
2007-10-11,57.59
2007-10-12,59.56
2007-10-15,59.32
2007-10-16,59.16
2007-10-17,59.3
2007-10-18,59.67
2007-10-19,57.05
2007-10-22,44.5
2007-10-23,44.39
2007-10-24,45.03
2007-10-25,44.88
2007-10-26,45.19
2007-10-29,42.47
2007-10-30,43.51
2007-10-31,45.32
2007-11-01,44.06
2007-11-02,42.92
2007-11-05,42.39
2007-11-06,41.81
2007-11-07,40.37
2007-11-08,39.84
2007-11-09,38.99
2007-11-12,38.6
2007-11-13,38.89
2007-11-14,37.63
2007-11-15,37.66
2007-11-16,37.42
2007-11-19,35.71
2007-11-20,35.99
2007-11-21,36
2007-11-23,36.73
2007-11-26,36.24
2007-11-27,35.6
2007-11-28,38.14
2007-11-29,37.89
2007-11-30,37.56
2007-12-03,36.17
2007-12-04,35.65
2007-12-05,38.08
2007-12-06,38.74
2007-12-07,40
2007-12-10,39.71
2007-12-11,37.92
2007-12-12,37.75
2007-12-13,38.25
2007-12-14,37.12
2007-12-17,35.05
2007-12-18,34.99
2007-12-19,34.59
2007-12-20,34.21
2007-12-21,36.56
2007-12-24,37.65
2007-12-26,38.52
2007-12-27,37.04
2007-12-28,36.98
2007-12-31,37.19
2008-01-02,35.01
2008-01-03,35.31
2008-01-04,33.12
2008-01-07,32.96
2008-01-08,32.19
2008-01-09,29.41
2008-01-10,28.69
2008-01-11,27.98
2008-01-14,30.08
2008-01-15,29.34
2008-01-16,28.85
2008-01-17,27.33
2008-01-18,26.95
2008-01-22,28.09
2008-01-23,29.49
2008-01-24,28.93
2008-01-25,29.98
2008-01-28,30.31
2008-01-29,30.23
2008-01-30,30.13
2008-01-31,30.87
2008-02-01,32.84
2008-02-04,33.16
2008-02-05,31.47
2008-02-06,31.69
2008-02-07,32.56
2008-02-08,32.11
2008-02-11,32.2
2008-02-12,32.24
2008-02-13,33.39
2008-02-14,31.96
2008-02-15,31.04
2008-02-19,32.18
2008-02-20,32.83
2008-02-21,32.24
2008-02-22,32.01
2008-02-25,31.81
2008-02-26,37.26
2008-02-27,39.7
2008-02-28,38.52
2008-02-29,37.86
2008-03-03,37.43
2008-03-04,36.96
2008-03-05,36.4
2008-03-06,34.89
2008-03-07,33.79
2008-03-10,31.6
2008-03-11,33.5
2008-03-12,33.7
2008-03-13,35.48
2008-03-14,34.26
2008-03-17,33.44
2008-03-18,34.5
2008-03-19,34.09
2008-03-20,35.86
2008-03-24,37.84
2008-03-25,38.12
2008-03-26,38.47
2008-03-27,38.06
2008-03-28,38.34
2008-03-31,38.76
2008-04-01,39.13
2008-04-02,39.01
2008-04-03,39.96
2008-04-04,40.21
2008-04-07,38.84
2008-04-08,38.48
2008-04-09,38.4
2008-04-10,38.71
2008-04-11,37.93
2008-04-14,37.15
2008-04-15,37.92
2008-04-16,39.94
2008-04-17,39.84
2008-04-18,41.74
2008-04-21,41.7
2008-04-22,36.6
2008-04-23,35.95
2008-04-24,36.52
2008-04-25,35.5
2008-04-28,37.05
2008-04-29,35.93
2008-04-30,36.65
2008-05-01,37.67
2008-05-02,37.26
2008-05-05,37.74
2008-05-06,37.81
2008-05-07,37.86
2008-05-08,38.7
2008-05-09,38.66
2008-05-12,38.59
2008-05-13,40.5
2008-05-14,39.38
2008-05-15,40.05
2008-05-16,39.74
2008-05-19,39.88
2008-05-20,39.53
2008-05-21,39.11
2008-05-22,39.03
2008-05-23,37.62
2008-05-27,38.55
2008-05-28,38.65
2008-05-29,39.07
2008-05-30,38.91
2008-06-02,38.27
2008-06-03,38.51
2008-06-04,39.67
2008-06-05,41.01
2008-06-06,38.29
2008-06-09,37.85
2008-06-10,37.01
2008-06-11,34.94
2008-06-12,35.25
2008-06-13,35.37
2008-06-16,35.29
2008-06-17,34.57
2008-06-18,33.97
2008-06-19,34.84
2008-06-20,34.04
2008-06-23,34.4
2008-06-24,33.57
2008-06-25,32.54
2008-06-26,31.34
2008-06-27,31.57
2008-06-30,32.14
2008-07-01,32.37
2008-07-02,30.16
2008-07-03,30.46
2008-07-07,30.64
2008-07-08,31.2
2008-07-09,31.56
2008-07-10,32.36
2008-07-11,32.17
2008-07-14,32.57
2008-07-15,32.51
2008-07-16,34.24
2008-07-17,35.54
2008-07-18,34.94
2008-07-21,31.9
2008-07-22,32
2008-07-23,32.93
2008-07-24,31.68
2008-07-25,31.56
2008-07-28,31.04
2008-07-29,32.58
2008-07-30,33.59
2008-07-31,31.86
2008-08-01,30.36
2008-08-04,28.17
2008-08-05,29.3
2008-08-06,31.23
2008-08-07,32.4
2008-08-08,33.21
2008-08-11,34.5
2008-08-12,34.47
2008-08-13,34.4
2008-08-14,34.6
2008-08-15,35.46
2008-08-18,34.82
2008-08-19,34.05
2008-08-20,34.13
2008-08-21,33.67
2008-08-22,34.67
2008-08-25,32.88
2008-08-26,33.1
2008-08-27,33.98
2008-08-28,34.75
2008-08-29,34.4
2008-09-02,34.53
2008-09-03,33.78
2008-09-04,32.69
2008-09-05,31.56
2008-09-08,30.64
2008-09-09,30.09
2008-09-10,28.78
2008-09-11,29
2008-09-12,30.11
