"Index","ASTM.Close"
2007-01-03,1.24
2007-01-04,1.39
2007-01-05,1.45
2007-01-08,1.58
2007-01-09,1.55
2007-01-10,1.54
2007-01-11,1.46
2007-01-12,1.37
2007-01-16,1.37
2007-01-17,1.41
2007-01-18,1.41
2007-01-19,1.39
2007-01-22,1.39
2007-01-23,1.39
2007-01-24,1.36
2007-01-25,1.37
2007-01-26,1.37
2007-01-29,1.36
2007-01-30,1.36
2007-01-31,1.32
2007-02-01,1.37
2007-02-02,1.37
2007-02-05,1.4
2007-02-06,1.4
2007-02-07,1.4
2007-02-08,1.46
2007-02-09,1.46
2007-02-12,1.45
2007-02-13,1.44
2007-02-14,1.5
2007-02-15,1.46
2007-02-16,1.45
2007-02-20,1.53
2007-02-21,1.51
2007-02-22,1.51
2007-02-23,1.5
2007-02-26,1.46
2007-02-27,1.38
2007-02-28,1.43
2007-03-01,1.39
2007-03-02,1.39
2007-03-05,1.35
2007-03-06,1.36
2007-03-07,1.38
2007-03-08,1.4
2007-03-09,1.38
2007-03-12,1.4
2007-03-13,1.35
2007-03-14,1.35
2007-03-15,1.34
2007-03-16,1.34
2007-03-19,1.33
2007-03-20,1.34
2007-03-21,1.32
2007-03-22,1.35
2007-03-23,1.34
2007-03-26,1.42
2007-03-27,1.42
2007-03-28,1.43
2007-03-29,1.4
2007-03-30,1.38
2007-04-02,1.57
2007-04-03,1.47
2007-04-04,1.49
2007-04-05,1.58
2007-04-09,1.51
2007-04-10,1.52
2007-04-11,1.5
2007-04-12,1.46
2007-04-13,1.49
2007-04-16,1.47
2007-04-17,1.44
2007-04-18,1.46
2007-04-19,1.43
2007-04-20,1.43
2007-04-23,1.43
2007-04-24,1.45
2007-04-25,1.43
2007-04-26,1.41
2007-04-27,1.41
2007-04-30,1.43
2007-05-01,1.4
2007-05-02,1.43
2007-05-03,1.43
2007-05-04,1.41
2007-05-07,1.44
2007-05-08,1.49
2007-05-09,1.46
2007-05-10,1.44
2007-05-11,1.45
2007-05-14,1.46
2007-05-15,1.48
2007-05-16,1.45
2007-05-17,1.47
2007-05-18,1.44
2007-05-21,1.44
2007-05-22,1.45
2007-05-23,1.47
2007-05-24,1.41
2007-05-25,1.43
2007-05-29,1.42
2007-05-30,1.41
2007-05-31,1.4
2007-06-01,1.41
2007-06-04,1.4
2007-06-05,1.37
2007-06-06,1.41
2007-06-07,1.38
2007-06-08,1.37
2007-06-11,1.37
2007-06-12,1.38
2007-06-13,1.37
2007-06-14,1.37
2007-06-15,1.39
2007-06-18,1.41
2007-06-19,1.42
2007-06-20,1.39
2007-06-21,1.39
2007-06-22,1.37
2007-06-25,1.37
2007-06-26,1.36
2007-06-27,1.33
2007-06-28,1.35
2007-06-29,1.34
2007-07-02,1.33
2007-07-03,1.31
2007-07-05,1.32
2007-07-06,1.32
2007-07-09,1.32
2007-07-10,1.33
2007-07-11,1.32
2007-07-12,1.34
2007-07-13,1.33
2007-07-16,1.33
2007-07-17,1.33
2007-07-18,1.29
2007-07-19,1.32
2007-07-20,1.29
