"Index","ASYS.Close"
2007-01-03,7.71
2007-01-04,7.71
2007-01-05,7.52
2007-01-08,7.02
2007-01-09,6.95
2007-01-10,6.92
2007-01-11,6.91
2007-01-12,7
2007-01-16,7
2007-01-17,6.75
2007-01-18,6.78
2007-01-19,6.8
2007-01-22,6.85
2007-01-23,6.89
2007-01-24,6.91
2007-01-25,6.8
2007-01-26,6.75
2007-01-29,6.65
2007-01-30,7
2007-01-31,7.19
2007-02-01,7.88
2007-02-02,7.87
2007-02-05,7.9
2007-02-06,7.86
2007-02-07,7.8
2007-02-08,7.88
2007-02-09,7.75
2007-02-12,7.67
2007-02-13,7.7
2007-02-14,7.95
2007-02-15,7.4
2007-02-16,7.3
2007-02-20,7.6
2007-02-21,7.38
2007-02-22,7.3
2007-02-23,7.27
2007-02-26,7.19
2007-02-27,6.9
2007-02-28,7.04
2007-03-01,7.12
2007-03-02,7.28
2007-03-05,7.41
2007-03-06,7.37
2007-03-07,7.3
2007-03-08,7.3
2007-03-09,7.23
2007-03-12,7.64
2007-03-13,7.42
2007-03-14,7.67
2007-03-15,7.49
2007-03-16,7.45
2007-03-19,7.6
2007-03-20,7.35
2007-03-21,7.5
2007-03-22,7.39
2007-03-23,7.37
2007-03-26,7.44
2007-03-27,7.4
2007-03-28,7.4
2007-03-29,7.48
2007-03-30,7.3
2007-04-02,7.33
2007-04-03,7.87
2007-04-04,8
2007-04-05,7.9
2007-04-09,8.3
2007-04-10,8.88
2007-04-11,8.57
2007-04-12,8.43
2007-04-13,8.32
2007-04-16,8.58
2007-04-17,8.29
2007-04-18,8.26
2007-04-19,8.2
2007-04-20,8.4
2007-04-23,8.5
2007-04-24,8.4
2007-04-25,8.24
2007-04-26,8.23
2007-04-27,8.15
2007-04-30,8.33
2007-05-01,8.43
2007-05-02,8.62
2007-05-03,8.51
2007-05-04,8.4
2007-05-07,8.35
2007-05-08,8.22
2007-05-09,8.2
2007-05-10,8.2
2007-05-11,8.26
2007-05-14,8.03
2007-05-15,8.22
2007-05-16,8.28
2007-05-17,8.23
2007-05-18,8.2
2007-05-21,7.73
2007-05-22,7.84
2007-05-23,7.84
2007-05-24,7.84
2007-05-25,7.72
2007-05-29,7.86
2007-05-30,7.77
2007-05-31,8.01
2007-06-01,8.2
2007-06-04,8.04
2007-06-05,8.09
2007-06-06,8.09
2007-06-07,7.96
2007-06-08,7.98
2007-06-11,7.67
2007-06-12,8.2
2007-06-13,8.79
2007-06-14,9.1
2007-06-15,9
2007-06-18,9.04
2007-06-19,8.96
2007-06-20,8.86
2007-06-21,8.7
2007-06-22,8.66
2007-06-25,8.59
2007-06-26,8.49
2007-06-27,8.55
2007-06-28,8.5
2007-06-29,8.75
2007-07-02,8.79
2007-07-03,8.7
2007-07-05,8.73
2007-07-06,8.5
2007-07-09,9.1
2007-07-10,10
2007-07-11,12.07
2007-07-12,13
2007-07-13,12.05
2007-07-16,13.01
2007-07-17,12.85
2007-07-18,12.75
2007-07-19,12.86
2007-07-20,12.59
2007-07-23,12.35
2007-07-24,11.15
2007-07-25,10.82
2007-07-26,11.17
2007-07-27,10.78
2007-07-30,12.23
2007-07-31,12.13
