"Index","ATEA.Close"
2007-01-03,6.93
2007-01-04,6.96
2007-01-05,6.65
2007-01-08,6.31
2007-01-09,6.17
2007-01-10,6.37
2007-01-11,6.88
2007-01-12,6.87
2007-01-16,6.87
2007-01-17,6.97
2007-01-18,6.6
2007-01-19,6.63
2007-01-22,6.63
2007-01-23,6.61
2007-01-24,6.79
2007-01-25,6.54
2007-01-26,6.72
2007-01-29,6.66
2007-01-30,6.84
2007-01-31,6.78
2007-02-01,6.8
2007-02-02,6.75
2007-02-05,6.68
2007-02-06,6.64
2007-02-07,7.28
2007-02-08,7.37
2007-02-09,7.11
2007-02-12,7.13
2007-02-13,7.18
2007-02-14,6.77
2007-02-15,6.26
2007-02-16,6.38
2007-02-20,6.2
2007-02-21,6.04
2007-02-22,6.5
2007-02-23,6.26
2007-02-26,6.36
2007-02-27,5.96
2007-02-28,6.3
2007-03-01,6.24
2007-03-02,6
2007-03-05,5.9
2007-03-06,6.06
2007-03-07,6.04
2007-03-08,6.01
2007-03-09,5.54
2007-03-12,5.61
2007-03-13,5.49
2007-03-14,5.33
2007-03-15,5.34
2007-03-16,5.31
2007-03-19,5.44
2007-03-20,5.39
2007-03-21,5.4
2007-03-22,5.39
2007-03-23,5.33
2007-03-26,5.89
2007-03-27,5.99
2007-03-28,5.82
2007-03-29,5.85
2007-03-30,5.58
2007-04-02,5.69
2007-04-03,5.39
2007-04-04,5.45
2007-04-05,5.35
2007-04-09,5.57
2007-04-10,5.54
2007-04-11,5.57
2007-04-12,5.61
2007-04-13,5.65
2007-04-16,5.88
2007-04-17,5.9
2007-04-18,5.87
2007-04-19,5.83
2007-04-20,5.94
2007-04-23,5.94
2007-04-24,6.15
2007-04-25,6.17
2007-04-26,6.12
2007-04-27,6.15
2007-04-30,5.97
2007-05-01,6
2007-05-02,5.77
2007-05-03,5.9
2007-05-04,5.89
2007-05-07,5.82
2007-05-08,5.79
2007-05-09,5.6
2007-05-10,5.7
2007-05-11,5.53
2007-05-14,5.62
2007-05-15,8.05
2007-05-16,7.3
2007-05-17,7.01
2007-05-18,6.69
2007-05-21,6.97
2007-05-22,6.85
2007-05-23,6.66
2007-05-24,6.4
2007-05-25,6.47
2007-05-29,6.47
2007-05-30,6.81
2007-05-31,6.54
2007-06-01,6.74
2007-06-04,6.72
2007-06-05,6.56
2007-06-06,6.6
2007-06-07,6.59
2007-06-08,6.21
