"Index","ATGN.Close"
2007-01-03,1.72
2007-01-04,1.66
2007-01-05,1.65
2007-01-08,1.57
2007-01-09,1.55
2007-01-10,1.57
2007-01-11,1.57
2007-01-12,1.57
2007-01-16,1.52
2007-01-17,1.5
2007-01-18,1.56
2007-01-19,1.63
2007-01-22,1.56
2007-01-23,1.62
2007-01-24,1.61
2007-01-25,1.59
2007-01-26,1.52
2007-01-29,1.51
2007-01-30,1.53
2007-01-31,1.56
2007-02-01,1.58
2007-02-02,1.55
2007-02-05,1.59
2007-02-06,1.57
2007-02-07,1.57
2007-02-08,1.57
2007-02-09,1.55
2007-02-12,1.55
2007-02-13,1.55
2007-02-14,1.55
2007-02-15,1.55
2007-02-16,1.58
2007-02-20,1.56
2007-02-21,1.56
2007-02-22,1.58
2007-02-23,1.55
2007-02-26,1.62
2007-02-27,1.61
2007-02-28,1.6
2007-03-01,1.6
2007-03-02,1.62
2007-03-05,1.55
2007-03-06,1.69
2007-03-07,1.68
2007-03-08,1.75
2007-03-09,1.67
2007-03-12,1.7
2007-03-13,1.69
2007-03-14,1.66
2007-03-15,1.71
2007-03-16,1.65
2007-03-19,1.66
2007-03-20,1.7
2007-03-21,1.77
2007-03-22,1.75
2007-03-23,1.8
2007-03-26,1.83
2007-03-27,1.75
2007-03-28,1.8
2007-03-29,1.99
2007-03-30,1.9
2007-04-02,1.88
2007-04-03,1.91
2007-04-04,1.97
2007-04-05,1.91
2007-04-09,1.91
2007-04-10,1.86
2007-04-11,1.75
2007-04-12,1.8
2007-04-13,1.87
2007-04-16,1.8
2007-04-17,1.8
2007-04-18,1.79
2007-04-19,1.75
2007-04-20,1.74
2007-04-23,1.7
2007-04-24,1.69
2007-04-25,1.74
2007-04-26,1.7
2007-04-27,1.77
2007-04-30,1.78
2007-05-01,1.75
2007-05-02,1.7
2007-05-03,1.71
2007-05-04,1.79
2007-05-07,1.93
2007-05-08,1.77
2007-05-09,1.77
2007-05-10,1.82
2007-05-11,1.81
2007-05-14,1.78
2007-05-15,1.75
2007-05-16,1.76
2007-05-17,1.76
2007-05-18,1.75
2007-05-21,1.76
2007-05-22,1.77
2007-05-23,1.7
2007-05-24,1.75
2007-05-25,1.7
2007-05-29,1.74
2007-05-30,1.69
2007-05-31,1.66
2007-06-01,1.69
2007-06-04,1.69
2007-06-05,1.7
2007-06-06,1.66
2007-06-07,1.66
2007-06-08,1.66
2007-06-11,1.62
2007-06-12,1.63
2007-06-13,1.64
2007-06-14,1.65
2007-06-15,1.66
2007-06-18,1.66
2007-06-19,1.67
2007-06-20,1.69
2007-06-21,1.66
2007-06-22,1.63
2007-06-25,1.66
2007-06-26,1.66
2007-06-27,1.6
2007-06-28,1.67
2007-06-29,1.66
2007-07-02,1.66
2007-07-03,1.72
2007-07-05,1.64
2007-07-06,1.66
2007-07-09,1.61
2007-07-10,1.63
2007-07-11,1.64
2007-07-12,1.61
2007-07-13,1.62
2007-07-16,1.62
2007-07-17,1.65
2007-07-18,1.68
2007-07-19,1.69
2007-07-20,1.68
2007-07-23,1.7
2007-07-24,1.64
2007-07-25,1.61
2007-07-26,1.6
2007-07-27,1.63
2007-07-30,1.65
2007-07-31,1.73
2007-08-01,1.66
2007-08-02,1.75
2007-08-03,1.62
2007-08-06,1.56
2007-08-07,1.63
2007-08-08,1.65
2007-08-09,1.59
2007-08-10,1.59
2007-08-13,1.59
2007-08-14,1.57
2007-08-15,1.57
2007-08-16,1.56
2007-08-17,1.57
2007-08-20,1.56
2007-08-21,1.51
2007-08-22,1.47
2007-08-23,1.45
2007-08-24,1.53
2007-08-27,1.55
2007-08-28,1.56
2007-08-29,1.65
2007-08-30,1.55
2007-08-31,1.55
2007-09-04,1.55
2007-09-05,1.55
2007-09-06,1.57
2007-09-07,1.6
2007-09-10,1.55
2007-09-11,1.56
2007-09-12,1.55
2007-09-13,1.55
2007-09-14,1.55
2007-09-17,1.53
2007-09-18,1.55
2007-09-19,1.68
2007-09-20,1.57
2007-09-21,1.49
2007-09-24,1.46
2007-09-25,1.49
2007-09-26,1.49
2007-09-27,1.56
2007-09-28,1.57
2007-10-01,1.47
2007-10-02,1.5
2007-10-03,1.52
2007-10-04,1.5
2007-10-05,1.51
2007-10-08,1.49
2007-10-09,1.5
2007-10-10,1.5
2007-10-11,1.46
2007-10-12,1.47
2007-10-15,1.43
2007-10-16,1.38
2007-10-17,1.36
2007-10-18,1.36
2007-10-19,1.32
2007-10-22,1.31
2007-10-23,1.34
2007-10-24,1.35
2007-10-25,1.31
2007-10-26,1.35
2007-10-29,1.36
2007-10-30,1.38
2007-10-31,1.32
2007-11-01,1.32
2007-11-02,1.38
2007-11-05,1.28
2007-11-06,1.28
2007-11-07,1.3
2007-11-08,1.3
2007-11-09,1.37
2007-11-12,1.32
2007-11-13,1.28
2007-11-14,1.3
2007-11-15,1.52
2007-11-16,1.6
2007-11-19,1.62
2007-11-20,1.53
2007-11-21,1.46
2007-11-23,1.44
2007-11-26,1.53
2007-11-27,1.53
2007-11-28,1.54
2007-11-29,1.57
2007-11-30,1.58
2007-12-03,1.55
2007-12-04,1.42
2007-12-05,1.54
2007-12-06,1.58
2007-12-07,1.56
2007-12-10,1.48
2007-12-11,1.52
2007-12-12,1.53
2007-12-13,1.57
2007-12-14,1.54
2007-12-17,1.49
2007-12-18,1.52
2007-12-19,1.5
2007-12-20,1.5
2007-12-21,1.49
2007-12-24,1.5
2007-12-26,1.6
2007-12-27,1.55
2007-12-28,1.49
2007-12-31,1.55
2008-01-02,1.5
2008-01-03,1.49
2008-01-04,1.51
2008-01-07,1.52
2008-01-08,1.44
2008-01-09,1.36
2008-01-10,1.4
2008-01-11,1.42
2008-01-14,1.41
2008-01-15,1.42
2008-01-16,1.4
2008-01-17,1.45
2008-01-18,1.4
2008-01-22,1.42
2008-01-23,1.37
2008-01-24,1.5
2008-01-25,1.49
2008-01-28,1.59
2008-01-29,1.6
2008-01-30,1.6
2008-01-31,1.6
2008-02-01,1.61
2008-02-04,1.62
2008-02-05,1.53
2008-02-06,1.6
2008-02-07,1.62
2008-02-08,1.62
2008-02-11,1.6
2008-02-12,1.61
2008-02-13,1.55
2008-02-14,1.57
2008-02-15,1.46
2008-02-19,1.51
2008-02-20,1.61
2008-02-21,1.6
2008-02-22,1.66
2008-02-25,1.62
2008-02-26,1.6
2008-02-27,1.66
2008-02-28,1.58
2008-02-29,1.58
2008-03-03,1.62
2008-03-04,1.56
2008-03-05,1.57
2008-03-06,1.56
2008-03-07,1.55
2008-03-10,1.54
2008-03-11,1.47
2008-03-12,1.42
2008-03-13,1.4
2008-03-14,1.39
2008-03-17,1.36
2008-03-18,1.45
2008-03-19,1.35
2008-03-20,1.41
2008-03-24,1.43
2008-03-25,1.41
2008-03-26,1.43
2008-03-27,1.42
2008-03-28,1.45
2008-03-31,1.65
2008-04-01,1.44
2008-04-02,1.43
2008-04-03,1.43
2008-04-04,1.4
2008-04-07,1.42
2008-04-08,1.4
2008-04-09,1.4
2008-04-10,1.32
2008-04-11,1.3
2008-04-14,1.33
2008-04-15,1.2
2008-04-16,1.21
2008-04-17,1.17
2008-04-18,1.15
2008-04-21,1.11
2008-04-22,1.3
2008-04-23,1.17
2008-04-24,1.23
2008-04-25,1.29
2008-04-28,1.26
2008-04-29,1.25
2008-04-30,1.56
2008-05-01,1.5
2008-05-02,1.35
2008-05-05,1.32
2008-05-06,1.28
2008-05-07,1.27
2008-05-08,1.25
2008-05-09,1.27
2008-05-12,1.27
2008-05-13,1.27
2008-05-14,1.3
2008-05-15,1.38
2008-05-16,1.43
2008-05-19,1.45
2008-05-20,1.4
2008-05-21,1.35
2008-05-22,1.31
2008-05-23,1.35
2008-05-27,1.29
2008-05-28,1.3
2008-05-29,1.35
2008-05-30,1.45
2008-06-02,1.32
2008-06-03,1.39
2008-06-04,1.37
2008-06-05,1.3
2008-06-06,1.27
2008-06-09,1.25
2008-06-10,1.29
2008-06-11,1.29
2008-06-12,1.29
2008-06-13,1.28
2008-06-16,1.27
2008-06-17,1.26
2008-06-18,1.32
2008-06-19,1.34
2008-06-20,1.38
2008-06-23,1.38
2008-06-24,1.3
2008-06-25,1.25
2008-06-26,1.25
2008-06-27,1.3
2008-06-30,1.21
2008-07-01,1.18
2008-07-02,1.24
