"Index","ATLO.Close"
2007-01-03,21
2007-01-04,21.52
2007-01-05,21.99
2007-01-08,21.9
2007-01-09,22
2007-01-10,22.03
2007-01-11,22.03
2007-01-12,22.11
2007-01-16,22.39
2007-01-17,22.39
2007-01-18,22.1
2007-01-19,21.74
2007-01-22,21.76
2007-01-23,21.57
2007-01-24,21.05
2007-01-25,21.05
2007-01-26,21.35
2007-01-29,21.44
2007-01-30,20.86
2007-01-31,21.05
2007-02-01,20.99
2007-02-02,20.98
2007-02-05,20.8
2007-02-06,21
2007-02-07,21.01
2007-02-08,21.15
2007-02-09,21.48
2007-02-12,21.5
2007-02-13,21.5
2007-02-14,21.5
2007-02-15,21.7
2007-02-16,21.79
2007-02-20,21.48
2007-02-21,21.75
2007-02-22,21.75
2007-02-23,21.75
2007-02-26,21.73
2007-02-27,21.73
2007-02-28,21.51
2007-03-01,21.49
2007-03-02,21.49
2007-03-05,21.49
2007-03-06,21.61
2007-03-07,21.69
2007-03-08,21.46
2007-03-09,21.7
2007-03-12,22
2007-03-13,21.02
2007-03-14,20.85
2007-03-15,20.85
2007-03-16,20.85
2007-03-19,21.87
2007-03-20,21.87
2007-03-21,21.21
2007-03-22,21.07
2007-03-23,21.28
2007-03-26,21.06
2007-03-27,21.06
2007-03-28,21.12
2007-03-29,21.12
2007-03-30,21.23
2007-04-02,21.01
2007-04-03,21.01
2007-04-04,21.01
2007-04-05,21.12
2007-04-09,21
2007-04-10,21
2007-04-11,21.56
2007-04-12,21.95
2007-04-13,22
2007-04-16,22
2007-04-17,21.4
2007-04-18,21.5
2007-04-19,21.79
2007-04-20,21.8
2007-04-23,22.06
2007-04-24,22
2007-04-25,21.9
2007-04-26,22.21
2007-04-27,22.35
2007-04-30,22.31
2007-05-01,22.49
2007-05-02,22.14
2007-05-03,22.5
2007-05-04,22.5
2007-05-07,21.93
2007-05-08,21.93
2007-05-09,21.93
2007-05-10,21.76
2007-05-11,21.88
2007-05-14,22.07
2007-05-15,22
2007-05-16,22.24
2007-05-17,22.24
2007-05-18,22
2007-05-21,21.84
2007-05-22,22.3
2007-05-23,22.43
2007-05-24,22.43
2007-05-25,22.25
2007-05-29,22
2007-05-30,21.78
2007-05-31,21.78
2007-06-01,21.78
2007-06-04,21.82
2007-06-05,21.82
2007-06-06,21.76
2007-06-07,21.7
2007-06-08,21.51
2007-06-11,21.65
2007-06-12,21.5
2007-06-13,21.5
2007-06-14,21.66
2007-06-15,21.68
2007-06-18,21.5
2007-06-19,21.52
2007-06-20,21.52
2007-06-21,21.7
2007-06-22,21.51
2007-06-25,21.51
2007-06-26,21.7
2007-06-27,21.51
2007-06-28,21.51
2007-06-29,21.51
2007-07-02,21.7
2007-07-03,21.7
2007-07-05,21.7
2007-07-06,21.7
2007-07-09,21.51
2007-07-10,21.5
2007-07-11,21.5
2007-07-12,21.66
2007-07-13,21.5
2007-07-16,21.5
2007-07-17,21.51
2007-07-18,21.45
2007-07-19,21.15
2007-07-20,21.15
2007-07-23,21
2007-07-24,21
2007-07-25,20.31
2007-07-26,19.8
2007-07-27,19.78
2007-07-30,20
2007-07-31,20
2007-08-01,19.76
2007-08-02,20
2007-08-03,19.82
2007-08-06,20.06
2007-08-07,20.19
2007-08-08,19.82
2007-08-09,19.97
2007-08-10,20
2007-08-13,21.15
2007-08-14,20.5
