"Index","ATLS.Close"
2007-01-03,23.84
2007-01-04,23.99
2007-01-05,23.91
2007-01-08,23.71
2007-01-09,23.6
2007-01-10,23.42
2007-01-11,23.74
2007-01-12,23.65
2007-01-16,23.47
2007-01-17,23.75
2007-01-18,23.85
2007-01-19,23.81
2007-01-22,23.77
2007-01-23,23.9
2007-01-24,24.6
2007-01-25,24.79
2007-01-26,24.85
2007-01-29,24.89
2007-01-30,25.1
2007-01-31,25.48
2007-02-01,25.91
2007-02-02,25.85
2007-02-05,25.51
2007-02-06,25.7
2007-02-07,25.8
2007-02-08,25.86
2007-02-09,26.01
2007-02-12,26.14
2007-02-13,26.11
2007-02-14,25.96
2007-02-15,25.89
2007-02-16,25.98
2007-02-20,26.16
2007-02-21,26.05
2007-02-22,26
2007-02-23,25.99
2007-02-26,25.82
2007-02-27,25.46
2007-02-28,25.7
2007-03-01,25.69
2007-03-02,25.75
2007-03-05,25.09
2007-03-06,25.23
2007-03-07,25.27
2007-03-08,25.17
2007-03-09,24.97
2007-03-12,24.67
2007-03-13,24.07
2007-03-14,23.83
2007-03-15,23.98
2007-03-16,24.32
2007-03-19,24.54
2007-03-20,24.6
2007-03-21,24.65
2007-03-22,24.65
2007-03-23,24.7
2007-03-26,24.7
2007-03-27,24.7
2007-03-28,24.4
2007-03-29,24.55
2007-03-30,24.47
2007-04-02,24.05
2007-04-03,23.75
2007-04-04,23.94
2007-04-05,23.95
2007-04-09,24.45
2007-04-10,24.53
2007-04-11,24.75
2007-04-12,24.92
2007-04-13,24.9
2007-04-16,25.38
2007-04-17,25.6
2007-04-18,25.41
2007-04-19,25.52
2007-04-20,25.16
2007-04-23,25.39
2007-04-24,25.44
2007-04-25,25.77
2007-04-26,26.02
2007-04-27,25.17
2007-04-30,25.46
2007-05-01,25.47
2007-05-02,25.66
2007-05-03,25.76
2007-05-04,25.54
2007-05-07,26.32
2007-05-08,27.49
2007-05-09,27.82
2007-05-10,27.71
2007-05-11,27.91
2007-05-14,27.9
2007-05-15,28.13
2007-05-16,27.9
2007-05-17,27.61
2007-05-18,27.17
2007-05-21,27.89
2007-05-22,28.4
2007-05-23,29.01
2007-05-24,29
2007-05-25,29.3
2007-05-29,29.42
2007-05-30,29.49
2007-05-31,29.81
2007-06-01,31.42
2007-06-04,39.56
2007-06-05,39.03
2007-06-06,40.02
2007-06-07,39.02
2007-06-08,39.21
2007-06-11,39.74
2007-06-12,39.37
2007-06-13,39.9
2007-06-14,39.91
2007-06-15,40
2007-06-18,39.76
2007-06-19,39.86
2007-06-20,39.33
2007-06-21,40.45
2007-06-22,40.43
2007-06-25,40.48
2007-06-26,41.75
2007-06-27,42.09
2007-06-28,41.86
2007-06-29,41.85
2007-07-02,42.04
2007-07-03,42.19
2007-07-05,42.1
2007-07-06,41.87
2007-07-09,41.61
2007-07-10,42.05
2007-07-11,41.6
2007-07-12,41.93
2007-07-13,43.2
2007-07-16,43.45
2007-07-17,43.76
2007-07-18,45.79
2007-07-19,46.7
2007-07-20,46.45
2007-07-23,46.3
2007-07-24,44.47
2007-07-25,43.74
2007-07-26,42.45
2007-07-27,41.5
2007-07-30,42.25
2007-07-31,42.85
2007-08-01,42.32
2007-08-02,42.61
2007-08-03,41.97
2007-08-06,40.99
2007-08-07,41.85
2007-08-08,42.94
2007-08-09,43.9
2007-08-10,44.47
2007-08-13,45.49
2007-08-14,44.6
2007-08-15,43.25
2007-08-16,39.85
2007-08-17,40.25
2007-08-20,39.95
2007-08-21,39.63
2007-08-22,40
2007-08-23,40.2
2007-08-24,40.95
2007-08-27,40.4
2007-08-28,40.15
2007-08-29,40.3
2007-08-30,40.05
2007-08-31,40.69
2007-09-04,40.74
2007-09-05,40.66
2007-09-06,40.6
2007-09-07,40.37
2007-09-10,40.42
2007-09-11,40.25
2007-09-12,39.86
2007-09-13,40.68
2007-09-14,40.92
2007-09-17,40.64
2007-09-18,42.93
2007-09-19,41.97
2007-09-20,41.75
2007-09-21,42.1
2007-09-24,41.76
2007-09-25,41.74
2007-09-26,41.03
2007-09-27,40.59
2007-09-28,40.54
2007-10-01,40.25
2007-10-02,40.27
2007-10-03,39.18
2007-10-04,38.15
2007-10-05,37.56
2007-10-08,37.9
2007-10-09,38
2007-10-10,38.04
2007-10-11,37.95
2007-10-12,37.9
2007-10-15,37.85
2007-10-16,37.71
2007-10-17,36.71
2007-10-18,36.06
2007-10-19,35.57
2007-10-22,34.46
2007-10-23,34.96
2007-10-24,35.74
2007-10-25,35.69
2007-10-26,35.7
2007-10-29,35.92
2007-10-30,35.94
2007-10-31,35.85
2007-11-01,35.8
2007-11-02,35.8
2007-11-05,35.76
2007-11-06,35.85
2007-11-07,36.88
2007-11-08,37.86
2007-11-09,37.36
2007-11-12,36.59
2007-11-13,36.77
2007-11-14,37.04
2007-11-15,36.92
2007-11-16,36.99
2007-11-19,35.8
2007-11-20,35.25
2007-11-21,34.21
2007-11-23,33.8
2007-11-26,31.95
