"Index","ATMI.Close"
2007-01-03,29.8
2007-01-04,30.31
2007-01-05,29.89
2007-01-08,30.11
2007-01-09,30.82
2007-01-10,31.15
2007-01-11,31.68
2007-01-12,32.12
2007-01-16,32.2
2007-01-17,32.37
2007-01-18,31.41
2007-01-19,31.76
2007-01-22,31.93
2007-01-23,32.01
2007-01-24,32.66
2007-01-25,32.76
2007-01-26,33.42
2007-01-29,33.34
2007-01-30,33.2
2007-01-31,33.44
2007-02-01,33.66
2007-02-02,33.69
2007-02-05,33.55
2007-02-06,33.7
2007-02-07,34.34
2007-02-08,33.67
2007-02-09,33.18
2007-02-12,32.88
2007-02-13,33.06
2007-02-14,33.17
2007-02-15,33.33
2007-02-16,34.07
2007-02-20,33.8
2007-02-21,33.7
2007-02-22,34.17
2007-02-23,34.65
2007-02-26,34.48
2007-02-27,33.27
2007-02-28,33.24
2007-03-01,32.57
2007-03-02,32.04
2007-03-05,31.88
2007-03-06,32.82
2007-03-07,32.33
2007-03-08,32.97
2007-03-09,33.33
2007-03-12,33.3
2007-03-13,32.13
2007-03-14,32.02
2007-03-15,32.15
2007-03-16,32.03
2007-03-19,32.37
2007-03-20,32.57
2007-03-21,32.99
2007-03-22,32.77
2007-03-23,32.95
2007-03-26,33.7
2007-03-27,33.67
2007-03-28,32.91
2007-03-29,30.68
2007-03-30,30.57
2007-04-02,30.7
2007-04-03,30.85
2007-04-04,30.85
2007-04-05,31.37
2007-04-09,30.84
2007-04-10,31.04
2007-04-11,30.98
2007-04-12,30.92
2007-04-13,30.74
2007-04-16,30.95
2007-04-17,31.11
2007-04-18,31.1
2007-04-19,30.9
2007-04-20,31.03
2007-04-23,30.62
2007-04-24,31.23
2007-04-25,32.04
2007-04-26,31.72
2007-04-27,31.07
2007-04-30,30.93
2007-05-01,31.22
2007-05-02,31.72
2007-05-03,31.65
2007-05-04,31.58
2007-05-07,31.65
2007-05-08,31.57
2007-05-09,31.82
2007-05-10,30.87
2007-05-11,31.14
2007-05-14,30.72
2007-05-15,30.22
2007-05-16,30.57
2007-05-17,30.35
2007-05-18,30.53
2007-05-21,30.64
2007-05-22,30.66
2007-05-23,29.99
2007-05-24,29.54
2007-05-25,29.6
2007-05-29,29.72
2007-05-30,29.69
2007-05-31,30.55
2007-06-01,30.8
2007-06-04,31
2007-06-05,30.74
2007-06-06,30.6
2007-06-07,30.5
2007-06-08,30.96
2007-06-11,30.81
2007-06-12,30.06
2007-06-13,30.24
2007-06-14,31.19
2007-06-15,31.84
2007-06-18,31.7
2007-06-19,32.1
2007-06-20,31.29
2007-06-21,31.81
2007-06-22,31.06
2007-06-25,30.28
2007-06-26,29.88
2007-06-27,30.6
2007-06-28,30.42
2007-06-29,30
2007-07-02,30.29
2007-07-03,30.47
2007-07-05,30.43
2007-07-06,30.23
2007-07-09,30.69
2007-07-10,30.71
2007-07-11,30.94
2007-07-12,31.77
2007-07-13,32.01
2007-07-16,32.08
2007-07-17,33.18
2007-07-18,33.24
2007-07-19,33.83
2007-07-20,35.11
2007-07-23,34.13
2007-07-24,33.65
2007-07-25,32.27
2007-07-26,30.55
2007-07-27,29.5
2007-07-30,29.47
2007-07-31,28.98
2007-08-01,28.53
2007-08-02,28.67
2007-08-03,27.88
2007-08-06,28.55
2007-08-07,28.67
2007-08-08,30.49
2007-08-09,31.53
2007-08-10,30.11
2007-08-13,29.64
2007-08-14,28.96
2007-08-15,28.04
2007-08-16,28.47
2007-08-17,29.06
2007-08-20,29.08
