"Index","ATRI.Close"
2007-01-03,78.31
2007-01-04,78.43
2007-01-05,78.82
2007-01-08,81.99
2007-01-09,83.2
2007-01-10,86.78
2007-01-11,88.91
2007-01-12,88.25
2007-01-16,91
2007-01-17,91.98
2007-01-18,91
2007-01-19,91.71
2007-01-22,92.5
2007-01-23,93.5
2007-01-24,93.24
2007-01-25,93.67
2007-01-26,93.94
2007-01-29,93.23
2007-01-30,91.25
2007-01-31,91.99
2007-02-01,92.45
2007-02-02,92.09
2007-02-05,93.47
2007-02-06,93.47
2007-02-07,93.67
2007-02-08,93.67
2007-02-09,94.48
2007-02-12,94.6
2007-02-13,94.26
2007-02-14,93.03
2007-02-15,92.95
2007-02-16,93
2007-02-20,94
2007-02-21,94
2007-02-22,94.14
2007-02-23,94.14
2007-02-26,95
2007-02-27,94.03
2007-02-28,94.38
2007-03-01,94
2007-03-02,94
2007-03-05,93.85
2007-03-06,94.48
2007-03-07,94.5
2007-03-08,94.45
2007-03-09,94.45
2007-03-12,94.03
2007-03-13,91.75
2007-03-14,89.99
2007-03-15,89.34
2007-03-16,91.46
2007-03-19,88.97
2007-03-20,90
2007-03-21,90
2007-03-22,90.56
2007-03-23,90.56
2007-03-26,91.05
2007-03-27,90.96
2007-03-28,90.01
2007-03-29,91.51
2007-03-30,91.82
2007-04-02,91.01
2007-04-03,89.78
2007-04-04,89.5
2007-04-05,91.79
2007-04-09,90.5
2007-04-10,90.19
2007-04-11,92.52
2007-04-12,91.54
2007-04-13,91.54
2007-04-16,90.5
2007-04-17,92
2007-04-18,92
2007-04-19,91.99
2007-04-20,91.8
2007-04-23,90.56
2007-04-24,90.56
2007-04-25,90.56
2007-04-26,91.51
2007-04-27,91.51
2007-04-30,92.49
2007-05-01,91.75
2007-05-02,91.75
2007-05-03,91.75
2007-05-04,91.75
2007-05-07,92
2007-05-08,92.05
2007-05-09,91.49
2007-05-10,93.25
2007-05-11,93.48
2007-05-14,92.81
2007-05-15,93.45
2007-05-16,93.5
2007-05-17,93.5
2007-05-18,93.5
2007-05-21,93.5
2007-05-22,93
2007-05-23,92.56
2007-05-24,92.56
2007-05-25,92.5
2007-05-29,91.66
2007-05-30,91.32
2007-05-31,91.08
2007-06-01,91.1
2007-06-04,91.48
2007-06-05,92.73
2007-06-06,92.02
2007-06-07,92
2007-06-08,92
2007-06-11,92.49
2007-06-12,90.5
2007-06-13,92.26
2007-06-14,92.2
2007-06-15,92.2
2007-06-18,93.2
2007-06-19,93.65
2007-06-20,94.98
2007-06-21,95
2007-06-22,95.02
2007-06-25,96.88
2007-06-26,97.19
2007-06-27,97.94
2007-06-28,97.82
2007-06-29,98.79
2007-07-02,100
2007-07-03,99.96
2007-07-05,101.29
2007-07-06,101.49
2007-07-09,102.69
2007-07-10,104
2007-07-11,102.56
2007-07-12,103.99
2007-07-13,103.6
2007-07-16,105
2007-07-17,109.95
2007-07-18,110.49
2007-07-19,109.53
2007-07-20,108
2007-07-23,110.33
2007-07-24,107.63
2007-07-25,103.28
2007-07-26,97.57
2007-07-27,102.89
2007-07-30,101.2
2007-07-31,104.42
2007-08-01,104.34
2007-08-02,104.44
2007-08-03,100
2007-08-06,96.3
2007-08-07,99.9
2007-08-08,105.26
2007-08-09,105.87
2007-08-10,100.54
2007-08-13,103.92
2007-08-14,100.23
2007-08-15,101
2007-08-16,98.93
2007-08-17,102.47
2007-08-20,101.45
2007-08-21,99.26
2007-08-22,103
2007-08-23,104.58
2007-08-24,107.49
2007-08-27,108.52
2007-08-28,111.48
2007-08-29,112.5
2007-08-30,111.9
2007-08-31,114
2007-09-04,114.21
2007-09-05,116.75
2007-09-06,116
2007-09-07,113.51
2007-09-10,116.37
2007-09-11,114.21
2007-09-12,114.65
2007-09-13,114.98
2007-09-14,117
2007-09-17,118
2007-09-18,117
2007-09-19,116.5
2007-09-20,117.99
2007-09-21,118.5
2007-09-24,121
2007-09-25,121
2007-09-26,121.94
2007-09-27,123
2007-09-28,125
2007-10-01,124.38
2007-10-02,122
2007-10-03,121
2007-10-04,119.16
2007-10-05,118
2007-10-08,118.65
2007-10-09,122.31
2007-10-10,118.59
2007-10-11,121.98
2007-10-12,119.65
2007-10-15,119.31
2007-10-16,120.57
2007-10-17,121.65
2007-10-18,122.98
2007-10-19,120.36
2007-10-22,119.53
2007-10-23,117.96
2007-10-24,120.04
2007-10-25,121.66
2007-10-26,121.77
2007-10-29,123.96
2007-10-30,123.49
2007-10-31,124.24
2007-11-01,125.98
2007-11-02,125.49
2007-11-05,126
2007-11-06,126
2007-11-07,122.36
2007-11-08,119.24
2007-11-09,120
2007-11-12,119.5
2007-11-13,123.33
2007-11-14,124
2007-11-15,122.82
2007-11-16,119.32
2007-11-19,120
2007-11-20,119.77
2007-11-21,119.99
2007-11-23,121.07
2007-11-26,119.67
2007-11-27,119.88
2007-11-28,116.8
2007-11-29,118.25
2007-11-30,118.77
2007-12-03,119.51
2007-12-04,117.77
2007-12-05,118.14
2007-12-06,117
2007-12-07,116
2007-12-10,115.54
2007-12-11,117
2007-12-12,115
2007-12-13,109.86
2007-12-14,109
2007-12-17,107.65
2007-12-18,109
2007-12-19,111.44
2007-12-20,118.53
2007-12-21,122.51
2007-12-24,123.05
2007-12-26,123
2007-12-27,124.37
2007-12-28,124.69
2007-12-31,125
2008-01-02,124.81
2008-01-03,122.55
2008-01-04,125.49
2008-01-07,122.34
2008-01-08,126.5
2008-01-09,126.35
2008-01-10,129.44
2008-01-11,129.26
2008-01-14,132.01
2008-01-15,132.25
2008-01-16,132
2008-01-17,131.25
2008-01-18,128.21
2008-01-22,123.71
2008-01-23,120
2008-01-24,125.03
2008-01-25,126.5
2008-01-28,126.5
2008-01-29,126.32
2008-01-30,126
2008-01-31,122.58
2008-02-01,125.49
2008-02-04,125.49
2008-02-05,125.5
2008-02-06,122.13
2008-02-07,125.3
2008-02-08,125.03
2008-02-11,128
2008-02-12,126.97
2008-02-13,125.55
2008-02-14,129.3
2008-02-15,127.75
2008-02-19,126.42
2008-02-20,126.2
2008-02-21,125.14
