"Index","ATRM.Close"
2007-01-03,33.3
2007-01-04,34.1
2007-01-05,34.4
2007-01-08,34.9
2007-01-09,36
2007-01-10,35.6
2007-01-11,37.9
2007-01-12,39
2007-01-16,41.4
2007-01-17,42
2007-01-18,42.5
2007-01-19,41.6
2007-01-22,39.8
2007-01-23,40.5
2007-01-24,39.8
2007-01-25,42.2
2007-01-26,41.8
2007-01-29,41
2007-01-30,41.4
2007-01-31,41.7
2007-02-01,42
2007-02-02,41.2
2007-02-05,41.9
2007-02-06,43
2007-02-07,45.1
2007-02-08,42.3
2007-02-09,41.8
2007-02-12,38.46
2007-02-13,35.2
2007-02-14,36.5
2007-02-15,40.18
2007-02-16,39.8
2007-02-20,39.7
2007-02-21,39.1
2007-02-22,40
2007-02-23,39.7
2007-02-26,39.7
2007-02-27,37.7
2007-02-28,38.1
2007-03-01,38.6
2007-03-02,36.8
2007-03-05,36.3
2007-03-06,38.2
2007-03-07,38.3
2007-03-08,38.3
2007-03-09,38.5
2007-03-12,38.2
2007-03-13,37.4
2007-03-14,37.5
2007-03-15,37.6
2007-03-16,37.7
2007-03-19,37.1
2007-03-20,36.3
2007-03-21,37.1
2007-03-22,36.5
2007-03-23,36.6
2007-03-26,36.5
2007-03-27,36.3
2007-03-28,36
2007-03-29,37.1
2007-03-30,37.5
2007-04-02,37.8
2007-04-03,38.1
2007-04-04,37.9
2007-04-05,38.4
2007-04-09,38.7
2007-04-10,38.8
2007-04-11,38.9
2007-04-12,38.8
2007-04-13,38.5
2007-04-16,38.5
2007-04-17,37
2007-04-18,37.4
2007-04-19,38.8
2007-04-20,39
2007-04-23,38.9
2007-04-24,40.2
2007-04-25,42.8
2007-04-26,42.3
2007-04-27,42
2007-04-30,41.7
2007-05-01,41
2007-05-02,41.1
2007-05-03,40.5
2007-05-04,41.2
2007-05-07,40.4
2007-05-08,40.8
2007-05-09,43.2
2007-05-10,41.5
2007-05-11,41.7
2007-05-14,41
2007-05-15,41.1
2007-05-16,41.4
2007-05-17,41.9
2007-05-18,43.7
2007-05-21,45.5
2007-05-22,45.1
2007-05-23,46.9
2007-05-24,44
2007-05-25,45
2007-05-29,44.5
2007-05-30,44.3
2007-05-31,45.8
2007-06-01,45.5
2007-06-04,45.8
2007-06-05,44.4
2007-06-06,43.8
2007-06-07,42.5
2007-06-08,43.8
2007-06-11,42.3
2007-06-12,43.1
2007-06-13,43
2007-06-14,43
2007-06-15,45.2
2007-06-18,44.1
2007-06-19,44.3
2007-06-20,43.9
2007-06-21,43.7
2007-06-22,44.1
2007-06-25,43.3
2007-06-26,43
2007-06-27,42.8
