"Index","AUBN.Close"
2007-01-03,28.89
2007-01-04,29.21
2007-01-05,29.21
2007-01-08,29.21
2007-01-09,29.21
2007-01-10,29.25
2007-01-11,29.25
2007-01-12,29.25
2007-01-16,29.25
2007-01-17,29.25
2007-01-18,29.25
2007-01-19,29.25
2007-01-22,29.25
2007-01-23,29.25
2007-01-24,29.48
2007-01-25,29.48
2007-01-26,29.48
2007-01-29,29.75
2007-01-30,29.26
2007-01-31,29.25
2007-02-01,29.25
2007-02-02,30
2007-02-05,30
2007-02-06,30
2007-02-07,29
2007-02-08,29
2007-02-09,29
2007-02-12,28.5
2007-02-13,28.9
2007-02-14,28.9
2007-02-15,28.9
2007-02-16,28.9
2007-02-20,28.5
2007-02-21,28.48
2007-02-22,28.48
2007-02-23,28.48
2007-02-26,28.48
2007-02-27,27.5
2007-02-28,26.9
2007-03-01,27.68
2007-03-02,27.78
2007-03-05,28.1
2007-03-06,28.48
2007-03-07,28.48
2007-03-08,28.01
2007-03-09,28.01
2007-03-12,28.01
2007-03-13,28.01
2007-03-14,28.01
2007-03-15,28.03
2007-03-16,28.03
2007-03-19,28.03
2007-03-20,28.55
2007-03-21,28.23
2007-03-22,27.75
2007-03-23,28.05
2007-03-26,28.75
2007-03-27,28.75
2007-03-28,28.72
2007-03-29,28.01
2007-03-30,28.01
2007-04-02,28.01
2007-04-03,27.86
2007-04-04,27.86
2007-04-05,28.01
2007-04-09,29
2007-04-10,27.85
2007-04-11,27.85
2007-04-12,27.75
2007-04-13,27.85
2007-04-16,27.75
2007-04-17,27.74
2007-04-18,27.7
2007-04-19,27.65
2007-04-20,27.75
2007-04-23,27.95
2007-04-24,28.16
2007-04-25,28.16
2007-04-26,27.71
2007-04-27,27.71
2007-04-30,27.52
2007-05-01,28.11
2007-05-02,28
2007-05-03,27.8
2007-05-04,27.7
2007-05-07,27.59
2007-05-08,27.5
2007-05-09,27.5
2007-05-10,27.55
2007-05-11,27.55
2007-05-14,27.76
2007-05-15,27.26
2007-05-16,27.74
2007-05-17,27.25
2007-05-18,27.9
2007-05-21,27.9
2007-05-22,27.26
2007-05-23,27.28
2007-05-24,27.55
2007-05-25,27.52
2007-05-29,27.25
2007-05-30,27.35
2007-05-31,27.74
2007-06-01,27.03
2007-06-04,27.49
2007-06-05,27.02
2007-06-06,27
2007-06-07,27
2007-06-08,27
2007-06-11,27
2007-06-12,27.09
2007-06-13,27
2007-06-14,26.8
2007-06-15,26.8
2007-06-18,26.8
2007-06-19,26.75
2007-06-20,27
2007-06-21,26.26
2007-06-22,26.1
2007-06-25,26.64
2007-06-26,27
2007-06-27,27
2007-06-28,27
2007-06-29,26.31
2007-07-02,26.31
2007-07-03,27.65
2007-07-05,27.65
2007-07-06,27.65
2007-07-09,27.65
2007-07-10,26.63
2007-07-11,26.63
2007-07-12,26.63
