"Index","AVID.Close"
2007-01-03,37.07
2007-01-04,37.03
2007-01-05,37.71
2007-01-08,37.55
2007-01-09,37.17
2007-01-10,37.23
2007-01-11,37.39
2007-01-12,37.08
2007-01-16,37.47
2007-01-17,37.2
2007-01-18,36.52
2007-01-19,36.17
2007-01-22,35.66
2007-01-23,36.06
2007-01-24,36.37
2007-01-25,36.36
2007-01-26,36.73
2007-01-29,36.79
2007-01-30,37.04
2007-01-31,37
2007-02-01,37.09
2007-02-02,34.99
2007-02-05,32.9
2007-02-06,33.13
2007-02-07,33.02
2007-02-08,32.85
2007-02-09,32.27
2007-02-12,32.28
2007-02-13,32.2
2007-02-14,32.54
2007-02-15,33.14
2007-02-16,33.71
2007-02-20,33.57
2007-02-21,33.82
2007-02-22,33.9
2007-02-23,33.86
2007-02-26,33.62
2007-02-27,32.42
2007-02-28,33.4
2007-03-01,32.75
2007-03-02,32.95
2007-03-05,32.78
2007-03-06,33.79
2007-03-07,33.25
2007-03-08,33.54
2007-03-09,33.45
2007-03-12,33.34
2007-03-13,32.89
2007-03-14,32.79
2007-03-15,32.98
2007-03-16,32.88
2007-03-19,32.9
2007-03-20,34.77
2007-03-21,35.4
2007-03-22,34.89
2007-03-23,34.93
2007-03-26,34.54
2007-03-27,34.66
2007-03-28,34.56
2007-03-29,34.15
2007-03-30,34.88
2007-04-02,35.97
2007-04-03,35.95
2007-04-04,35.6
2007-04-05,35.8
2007-04-09,35.6
2007-04-10,35.75
2007-04-11,35.25
2007-04-12,35.81
2007-04-13,35.91
2007-04-16,36.65
2007-04-17,37.02
2007-04-18,36.76
2007-04-19,36.32
2007-04-20,37.03
2007-04-23,37.72
2007-04-24,37.99
2007-04-25,38.03
2007-04-26,38.66
2007-04-27,33.98
2007-04-30,33.25
2007-05-01,32.95
2007-05-02,33.87
2007-05-03,33.18
2007-05-04,33.99
2007-05-07,33.61
2007-05-08,33.78
2007-05-09,33.88
2007-05-10,33.32
2007-05-11,33.8
2007-05-14,33.01
2007-05-15,32.71
2007-05-16,32.7
2007-05-17,32.44
2007-05-18,33.38
2007-05-21,33.47
2007-05-22,33.56
2007-05-23,33.67
2007-05-24,32.82
2007-05-25,32.48
2007-05-29,32.58
2007-05-30,32.98
2007-05-31,34.1
2007-06-01,33.71
2007-06-04,33.54
2007-06-05,33.5
2007-06-06,33.57
2007-06-07,33.41
2007-06-08,33.67
2007-06-11,34.06
2007-06-12,33.44
2007-06-13,33.83
2007-06-14,33.93
2007-06-15,34.2
2007-06-18,34.16
2007-06-19,34.46
2007-06-20,34.02
2007-06-21,34.24
2007-06-22,33.78
2007-06-25,33.62
2007-06-26,33.54
2007-06-27,34.64
2007-06-28,35.87
2007-06-29,35.35
2007-07-02,34.85
2007-07-03,35.36
2007-07-05,35.52
