"Index","AVTR.Close"
2007-01-03,81
2007-01-04,81.53
2007-01-05,80.65
2007-01-08,80.68
2007-01-09,76.21
2007-01-10,79.72
2007-01-11,81.24
2007-01-12,80.43
2007-01-16,80.8
2007-01-17,80.95
2007-01-18,78.78
2007-01-19,81
2007-01-22,80.95
2007-01-23,81
2007-01-24,81.95
2007-01-25,80.16
2007-01-26,80.29
2007-01-29,80.81
2007-01-30,80.25
2007-01-31,80.68
2007-02-01,81
2007-02-02,82.82
2007-02-05,85
2007-02-06,84.81
2007-02-07,85.43
2007-02-08,84.25
2007-02-09,81.21
2007-02-12,81.97
2007-02-13,84.34
2007-02-14,83.28
2007-02-15,81.48
2007-02-16,79.83
2007-02-20,77.08
2007-02-21,77
2007-02-22,74.86
2007-02-23,74.14
2007-02-26,75.85
2007-02-27,72.68
2007-02-28,72.06
2007-03-01,72.28
2007-03-02,69.32
2007-03-05,67.98
2007-03-06,70.77
2007-03-07,69.91
2007-03-08,69.66
2007-03-09,69.91
2007-03-12,70.12
2007-03-13,67.42
2007-03-14,69.6
2007-03-15,70.96
2007-03-16,71.09
2007-03-19,72.56
2007-03-20,73.26
2007-03-21,73.3
2007-03-22,72
2007-03-23,72.45
2007-03-26,71.9
2007-03-27,71.1
2007-03-28,69.97
2007-03-29,70
2007-03-30,71.44
2007-04-02,69.85
2007-04-03,71.12
2007-04-04,71
2007-04-05,70.85
2007-04-09,69.51
2007-04-10,69.23
2007-04-11,68.98
2007-04-12,70.27
2007-04-13,70.12
2007-04-16,69.18
2007-04-17,68.82
2007-04-18,70.88
2007-04-19,70.47
2007-04-20,72.72
2007-04-23,71.18
2007-04-24,72.74
2007-04-25,73.69
2007-04-26,74.69
2007-04-27,76.2
2007-04-30,75.07
2007-05-01,76.39
2007-05-02,78.01
2007-05-03,77.42
2007-05-04,79.58
2007-05-07,79.14
2007-05-08,80.67
2007-05-09,81.66
2007-05-10,80.01
2007-05-11,80.74
2007-05-14,78.42
2007-05-15,78.56
2007-05-16,79.97
2007-05-17,80.72
2007-05-18,81.84
2007-05-21,82.63
2007-05-22,83.77
2007-05-23,81.65
2007-05-24,81.38
2007-05-25,81
2007-05-29,83.81
2007-05-30,83.73
2007-05-31,82.53
2007-06-01,82
2007-06-04,81.5
2007-06-05,78.83
2007-06-06,78.33
2007-06-07,77.36
2007-06-08,78.97
2007-06-11,80.06
2007-06-12,77.99
2007-06-13,78.86
2007-06-14,77.93
2007-06-15,79.52
2007-06-18,79.31
2007-06-19,78.62
2007-06-20,77.42
2007-06-21,78.36
2007-06-22,77.32
2007-06-25,77.01
2007-06-26,76.09
2007-06-27,77.68
2007-06-28,76.87
2007-06-29,76.94
2007-07-02,77.15
2007-07-03,77.3
2007-07-05,77.36
2007-07-06,78.28
2007-07-09,78.29
2007-07-10,75.72
2007-07-11,76.66
2007-07-12,79.3
2007-07-13,78.93
2007-07-16,77.78
2007-07-17,76.25
2007-07-18,75.83
2007-07-19,75.33
2007-07-20,73.77
2007-07-23,71.96
2007-07-24,69.69
2007-07-25,70.16
2007-07-26,68.51
2007-07-27,66.3
2007-07-30,66.53
2007-07-31,64.93
2007-08-01,62.85
2007-08-02,63.42
2007-08-03,61.32
2007-08-06,61.87
2007-08-07,60.81
2007-08-08,60.81
2007-08-09,57.55
2007-08-10,61.37
2007-08-13,61.7
2007-08-14,59.16
2007-08-15,60.52
2007-08-16,62.99
2007-08-17,61.09
2007-08-20,61.29
2007-08-21,61.49
2007-08-22,64.3
2007-08-23,61.61
2007-08-24,61.46
2007-08-27,60.76
2007-08-28,59.8
2007-08-29,61.87
2007-08-30,60.5
2007-08-31,60.78
2007-09-04,61.79
2007-09-05,60.33
2007-09-06,60.49
2007-09-07,59.97
2007-09-10,57.49
2007-09-11,57.67
2007-09-12,57.15
2007-09-13,57
2007-09-14,58.51
2007-09-17,57
2007-09-18,61.46
2007-09-19,60.53
2007-09-20,60.21
2007-09-21,53
2007-09-24,50.91
2007-09-25,49.56
2007-09-26,49.3
2007-09-27,51.25
2007-09-28,49.93
2007-10-01,51.31
2007-10-02,55.95
2007-10-03,52.6
2007-10-04,52.95
2007-10-05,54.26
2007-10-08,51.42
2007-10-09,50.51
2007-10-10,51.76
2007-10-11,50.87
2007-10-12,49.6
2007-10-15,47.5
2007-10-16,45.31
2007-10-17,44.63
2007-10-18,43.83
2007-10-19,44.97
2007-10-22,46.59
2007-10-23,45.69
2007-10-24,49.46
2007-10-25,49.97
2007-10-26,54.02
2007-10-29,48.87
2007-10-30,48.08
2007-10-31,46.55
2007-11-01,43.01
2007-11-02,43.42
2007-11-05,44.58
2007-11-06,44.29
2007-11-07,41.96
2007-11-08,41.07
2007-11-09,43.22
2007-11-12,43.03
2007-11-13,44.78
2007-11-14,45.86
2007-11-15,43.03
2007-11-16,44.39
2007-11-19,43.97
2007-11-20,45.12
2007-11-21,43
2007-11-23,43.56
2007-11-26,42.03
2007-11-27,43.02
2007-11-28,43.96
2007-11-29,42.88
2007-11-30,43.56
2007-12-03,42.37
2007-12-04,42.35
2007-12-05,41
2007-12-06,41.1
2007-12-07,40.43
2007-12-10,43.28
2007-12-11,40.77
2007-12-12,40.25
2007-12-13,39.46
2007-12-14,39.13
2007-12-17,38.1
2007-12-18,39.03
2007-12-19,38.06
2007-12-20,39.11
2007-12-21,39.11
2007-12-24,40.29
2007-12-26,41.72
2007-12-27,39.63
2007-12-28,39.49
2007-12-31,41.82
2008-01-02,39.67
2008-01-03,37.11
2008-01-04,36.82
2008-01-07,37.77
2008-01-08,34.95
2008-01-09,35.84
2008-01-10,36.16
2008-01-11,39.65
2008-01-14,41.8
2008-01-15,38.99
2008-01-16,36.67
2008-01-17,41.15
2008-01-18,39.36
2008-01-22,44.28
2008-01-23,46.67
2008-01-24,40.8
2008-01-25,41.17
2008-01-28,41.31
2008-01-29,43.44
2008-01-30,40.55
2008-01-31,42.9
2008-02-01,44.51
2008-02-04,40.67
2008-02-05,39.98
2008-02-06,40.18
2008-02-07,38.95
2008-02-08,39.99
2008-02-11,38.8
2008-02-12,42.26
2008-02-13,43.08
2008-02-14,41.1
2008-02-15,40.28
2008-02-19,41.21
2008-02-20,41.9
2008-02-21,41.14
2008-02-22,42.08
2008-02-25,43.79
2008-02-26,48.45
2008-02-27,46.22
2008-02-28,45.46
2008-02-29,43.08
2008-03-03,42.3
2008-03-04,45.63
2008-03-05,42.5
2008-03-06,39.08
2008-03-07,43.28
2008-03-10,40.78
2008-03-11,45.57
2008-03-12,44.8
2008-03-13,48.1
2008-03-14,48.9
2008-03-17,51.89
2008-03-18,53.32
2008-03-19,52.87
2008-03-20,47.56
2008-03-24,50.2
2008-03-25,48.56
2008-03-26,45.42
2008-03-27,43.01
2008-03-28,42.11
2008-03-31,43.59
2008-04-01,45.6
2008-04-02,46.54
2008-04-03,47.15
2008-04-04,46.04
2008-04-07,45.62
2008-04-08,44.33
2008-04-09,42.9
2008-04-10,42.69
2008-04-11,43.33
2008-04-14,42.21
2008-04-15,43.33
2008-04-16,45.75
2008-04-17,47.18
2008-04-18,46.02
2008-04-21,45.38
2008-04-22,44.04
2008-04-23,43.46
2008-04-24,43.75
2008-04-25,43.11
2008-04-28,43.73
2008-04-29,42.54
2008-04-30,40.86
2008-05-01,42.07
2008-05-02,41.12
2008-05-05,40.6
2008-05-06,40.12
2008-05-07,39.4
2008-05-08,38.33
2008-05-09,38
2008-05-12,37.97
2008-05-13,37.65
2008-05-14,39.57
2008-05-15,38.31
2008-05-16,37.45
2008-05-19,36.79
2008-05-20,36.32
2008-05-21,35.41
2008-05-22,33.82
2008-05-23,33.95
2008-05-27,33.57
2008-05-28,34.37
2008-05-29,35.54
2008-05-30,34.67
2008-06-02,33.89
2008-06-03,36.24
2008-06-04,34.65
2008-06-05,34.14
2008-06-06,33.29
2008-06-09,32.94
2008-06-10,33.44
2008-06-11,32
2008-06-12,31.85
2008-06-13,32.64
2008-06-16,31.89
2008-06-17,32.29
2008-06-18,35.43
2008-06-19,33.99
2008-06-20,32.85
2008-06-23,32.55
2008-06-24,31.67
2008-06-25,31.31
2008-06-26,31.21
2008-06-27,30.86
2008-06-30,30.29
2008-07-01,29.54
2008-07-02,27.11
2008-07-03,28.39
2008-07-07,27.28
2008-07-08,29.24
2008-07-09,26.61
2008-07-10,27.46
2008-07-11,26.54
2008-07-14,27.12
2008-07-15,27.91
2008-07-16,29.8
2008-07-17,29.53
2008-07-18,31.2
2008-07-21,31.82
2008-07-22,32.29
2008-07-23,31.98
2008-07-24,30.18
2008-07-25,30.69
2008-07-28,30.84
2008-07-29,34.13
2008-07-30,31.86
2008-07-31,31.65
2008-08-01,31.78
2008-08-04,30.71
2008-08-05,31.9
2008-08-06,31.61
2008-08-07,30.74
2008-08-08,32
2008-08-11,31.99
2008-08-12,31.87
2008-08-13,33.36
2008-08-14,33.17
2008-08-15,31.9
2008-08-18,32.39
2008-08-19,31.09
2008-08-20,31.43
2008-08-21,31.64
2008-08-22,32.19
2008-08-25,31.99
2008-08-26,32
