"Index","AWRE.Close"
2007-01-03,5.35
2007-01-04,5.35
2007-01-05,5.38
2007-01-08,5.3
2007-01-09,5.4
2007-01-10,5.34
2007-01-11,5.41
2007-01-12,5.3
2007-01-16,5.22
2007-01-17,5.18
2007-01-18,5.21
2007-01-19,5.41
2007-01-22,5.3
2007-01-23,5.28
2007-01-24,5.34
2007-01-25,5.26
2007-01-26,5.27
2007-01-29,5.19
2007-01-30,5.17
2007-01-31,5.26
2007-02-01,5.4
2007-02-02,5.39
2007-02-05,5.5
2007-02-06,5.43
2007-02-07,5.5
2007-02-08,5.04
2007-02-09,5.05
2007-02-12,5.06
2007-02-13,5.05
2007-02-14,5.04
2007-02-15,5.09
2007-02-16,5.11
2007-02-20,5.1
2007-02-21,5.12
2007-02-22,5.36
2007-02-23,5.28
2007-02-26,5.54
2007-02-27,5.37
2007-02-28,5.49
2007-03-01,5.5
2007-03-02,5.54
2007-03-05,5.62
2007-03-06,5.67
2007-03-07,5.75
2007-03-08,5.69
2007-03-09,5.62
2007-03-12,5.57
2007-03-13,5.44
2007-03-14,5.45
2007-03-15,5.5
2007-03-16,5.43
2007-03-19,5.69
2007-03-20,5.68
2007-03-21,5.68
2007-03-22,5.9
2007-03-23,6.05
2007-03-26,6.16
2007-03-27,6.16
2007-03-28,6.16
2007-03-29,6.06
2007-03-30,6.19
2007-04-02,6.21
2007-04-03,6.16
2007-04-04,6.25
2007-04-05,6.26
2007-04-09,6.2
2007-04-10,6.2
2007-04-11,6.17
2007-04-12,6.15
2007-04-13,6.18
2007-04-16,6.15
2007-04-17,6.15
2007-04-18,6.26
2007-04-19,6.35
2007-04-20,6.47
2007-04-23,6.44
2007-04-24,6.43
2007-04-25,6.46
2007-04-26,6.3
2007-04-27,5.99
2007-04-30,5.82
2007-05-01,5.96
2007-05-02,6.08
2007-05-03,6.13
2007-05-04,5.93
2007-05-07,5.87
2007-05-08,5.75
2007-05-09,5.66
2007-05-10,5.5
2007-05-11,5.57
2007-05-14,5.11
2007-05-15,5.04
2007-05-16,5.14
2007-05-17,5.19
2007-05-18,5.16
2007-05-21,5.17
2007-05-22,5.13
2007-05-23,5.15
2007-05-24,5.15
2007-05-25,5.32
2007-05-29,5.26
2007-05-30,5.19
2007-05-31,5.29
2007-06-01,5.4
2007-06-04,5.34
2007-06-05,5.22
2007-06-06,5.38
2007-06-07,5.37
2007-06-08,5.39
2007-06-11,5.34
2007-06-12,5.27
2007-06-13,5.28
2007-06-14,5.47
2007-06-15,5.4
2007-06-18,5.39
2007-06-19,5.38
2007-06-20,5.36
2007-06-21,5.5
2007-06-22,5.52
2007-06-25,5.39
2007-06-26,5.45
2007-06-27,5.43
2007-06-28,5.38
2007-06-29,5.4
2007-07-02,5.89
2007-07-03,5.75
2007-07-05,5.75
2007-07-06,5.72
2007-07-09,5.78
2007-07-10,5.74
2007-07-11,5.72
2007-07-12,5.79
2007-07-13,5.97
2007-07-16,6.01
2007-07-17,6.01
2007-07-18,5.91
2007-07-19,6.01
2007-07-20,6
2007-07-23,6.55
2007-07-24,6.07
2007-07-25,6.27
2007-07-26,6.01
2007-07-27,6.06
2007-07-30,6.06
2007-07-31,6.12
2007-08-01,5.06
2007-08-02,4.83
2007-08-03,4.55
2007-08-06,4.27
2007-08-07,4.52
2007-08-08,4.59
2007-08-09,4.66
2007-08-10,4.33
2007-08-13,4.36
2007-08-14,4.39
2007-08-15,4.16
2007-08-16,3.85
2007-08-17,4.01
2007-08-20,3.93
2007-08-21,3.9
2007-08-22,4
2007-08-23,4.3
2007-08-24,4.31
2007-08-27,4.52
2007-08-28,4.79
2007-08-29,4.75
2007-08-30,4.71
2007-08-31,4.77
2007-09-04,4.49
2007-09-05,4.58
2007-09-06,4.42
2007-09-07,4.18
2007-09-10,4.18
2007-09-11,4.32
2007-09-12,4.3
2007-09-13,4.28
2007-09-14,4.16
2007-09-17,4.32
2007-09-18,4.21
2007-09-19,4.27
2007-09-20,4.41
2007-09-21,4.31
2007-09-24,4.29
2007-09-25,4.17
2007-09-26,4.31
2007-09-27,4.3
2007-09-28,4.3
2007-10-01,4.35
2007-10-02,4.25
2007-10-03,4.32
2007-10-04,4.25
2007-10-05,4.39
2007-10-08,4.6
2007-10-09,4.44
2007-10-10,4.28
2007-10-11,4.22
2007-10-12,4.16
2007-10-15,4.35
2007-10-16,4.37
2007-10-17,4.24
2007-10-18,4.3
2007-10-19,4.5
2007-10-22,4.57
2007-10-23,4.54
2007-10-24,4.46
2007-10-25,4.8
2007-10-26,4.79
2007-10-29,4.8
2007-10-30,4.97
2007-10-31,4.91
2007-11-01,5
2007-11-02,4.77
2007-11-05,5.14
2007-11-06,5.18
2007-11-07,5.15
2007-11-08,5.13
2007-11-09,5.16
2007-11-12,5.23
2007-11-13,5.33
2007-11-14,5.3
2007-11-15,5.39
2007-11-16,5.11
2007-11-19,5.08
2007-11-20,5.14
2007-11-21,5.02
2007-11-23,5.09
2007-11-26,5.09
2007-11-27,4.86
2007-11-28,4.73
2007-11-29,5.02
2007-11-30,4.97
2007-12-03,4.7
2007-12-04,4.68
2007-12-05,4.64
2007-12-06,4.67
2007-12-07,4.65
2007-12-10,4.55
2007-12-11,4.74
2007-12-12,4.73
2007-12-13,4.53
2007-12-14,4.31
2007-12-17,4.23
2007-12-18,4.33
2007-12-19,4.35
2007-12-20,4.31
2007-12-21,4.23
2007-12-24,4.35
2007-12-26,4.47
2007-12-27,4.35
2007-12-28,4.35
2007-12-31,4.2
2008-01-02,4.25
2008-01-03,4.1
2008-01-04,4.07
2008-01-07,4.02
2008-01-08,4.24
2008-01-09,4.05
2008-01-10,4.23
2008-01-11,4
2008-01-14,3.88
2008-01-15,3.82
2008-01-16,4.11
2008-01-17,3.97
2008-01-18,4
2008-01-22,3.81
2008-01-23,3.83
2008-01-24,3.82
2008-01-25,3.88
2008-01-28,3.85
2008-01-29,3.76
2008-01-30,3.69
2008-01-31,3.65
2008-02-01,3.79
2008-02-04,3.81
2008-02-05,3.82
2008-02-06,3.85
2008-02-07,3.88
2008-02-08,3.85
2008-02-11,3.94
2008-02-12,4.03
2008-02-13,3.81
2008-02-14,3.84
2008-02-15,3.92
2008-02-19,3.78
2008-02-20,3.77
2008-02-21,3.88
2008-02-22,3.91
2008-02-25,3.82
2008-02-26,3.93
2008-02-27,3.99
2008-02-28,4.01
2008-02-29,3.99
2008-03-03,3.83
2008-03-04,3.78
2008-03-05,4.18
2008-03-06,4.06
2008-03-07,4.3
2008-03-10,4.09
2008-03-11,4.23
2008-03-12,4.24
2008-03-13,4.24
2008-03-14,3.84
2008-03-17,3.78
2008-03-18,4.01
2008-03-19,3.75
2008-03-20,3.95
2008-03-24,3.84
2008-03-25,3.92
2008-03-26,3.72
2008-03-27,3.69
2008-03-28,3.68
2008-03-31,3.68
2008-04-01,3.8
2008-04-02,3.74
2008-04-03,3.96
2008-04-04,3.89
2008-04-07,3.76
2008-04-08,3.73
2008-04-09,3.71
2008-04-10,3.63
2008-04-11,3.63
2008-04-14,3.6
2008-04-15,3.61
2008-04-16,3.53
2008-04-17,3.54
2008-04-18,3.45
2008-04-21,3.44
2008-04-22,3.18
2008-04-23,3.07
2008-04-24,3.09
2008-04-25,3.36
2008-04-28,3.24
2008-04-29,3.3
2008-04-30,3.2
2008-05-01,3.26
2008-05-02,3.2
2008-05-05,3.32
2008-05-06,3.44
2008-05-07,3.64
2008-05-08,3.49
2008-05-09,2.85
2008-05-12,2.87
2008-05-13,3.04
2008-05-14,3.12
2008-05-15,3.59
2008-05-16,3.8
2008-05-19,3.6
2008-05-20,3.55
2008-05-21,3.48
2008-05-22,3.42
2008-05-23,3.44
2008-05-27,3.47
2008-05-28,3.38
2008-05-29,3.36
2008-05-30,3.62
2008-06-02,3.53
2008-06-03,3.59
2008-06-04,3.58
2008-06-05,3.52
2008-06-06,3.61
2008-06-09,3.53
2008-06-10,3.52
2008-06-11,3.42
2008-06-12,3.45
2008-06-13,3.7
2008-06-16,3.6
2008-06-17,3.52
2008-06-18,3.19
2008-06-19,3.16
2008-06-20,3.27
2008-06-23,3.07
2008-06-24,3.16
2008-06-25,3.06
2008-06-26,3.16
2008-06-27,3.07
2008-06-30,3.02
2008-07-01,2.99
2008-07-02,3.01
2008-07-03,2.91
2008-07-07,2.83
2008-07-08,2.8
2008-07-09,2.78
2008-07-10,2.72
2008-07-11,2.7
2008-07-14,2.7
2008-07-15,2.7
2008-07-16,2.7
2008-07-17,2.66
2008-07-18,2.6
2008-07-21,2.57
2008-07-22,2.63
2008-07-23,2.66
2008-07-24,2.6
2008-07-25,2.5
2008-07-28,2.43
2008-07-29,2.84
2008-07-30,3.1
2008-07-31,2.76
2008-08-01,2.71
2008-08-04,2.65
2008-08-05,3.05
2008-08-06,3.17
2008-08-07,3.08
2008-08-08,2.98
2008-08-11,2.96
2008-08-12,3.02
2008-08-13,3.11
2008-08-14,3.17
2008-08-15,3.32
2008-08-18,3.39
2008-08-19,2.98
2008-08-20,2.95
2008-08-21,3.23
2008-08-22,3.16
2008-08-25,3.2
2008-08-26,3.27
2008-08-27,3.12
2008-08-28,3.25
2008-08-29,3.16
2008-09-02,3.14
2008-09-03,3.19
2008-09-04,3.14
2008-09-05,3.11
2008-09-08,3.05
2008-09-09,3.14
2008-09-10,3.13
2008-09-11,3.01
2008-09-12,3.11
2008-09-15,3.11
2008-09-16,3.08
2008-09-17,3.14
2008-09-18,3.12
2008-09-19,3.19
2008-09-22,2.98
2008-09-23,3.18
2008-09-24,3.06
2008-09-25,3
2008-09-26,2.97
2008-09-29,2.95
2008-09-30,3.1
2008-10-01,2.96
2008-10-02,2.96
2008-10-03,2.9
2008-10-06,2.9
2008-10-07,2.81
2008-10-08,2.75
2008-10-09,2.47
2008-10-10,2.65
2008-10-13,2.45
2008-10-14,2.4
2008-10-15,2.64
2008-10-16,2.65
2008-10-17,2.73
2008-10-20,2.64
2008-10-21,2.75
2008-10-22,2.72
2008-10-23,2.69
2008-10-24,2.52
2008-10-27,2.5
2008-10-28,2.44
2008-10-29,2.43
2008-10-30,2.46
2008-10-31,2.25
2008-11-03,2.24
2008-11-04,2.37
2008-11-05,2.3
2008-11-06,2.21
2008-11-07,2.22
2008-11-10,2.11
2008-11-11,2.06
2008-11-12,2.01
2008-11-13,2.02
2008-11-14,1.98
2008-11-17,1.94
2008-11-18,1.92
2008-11-19,1.79
2008-11-20,1.7
2008-11-21,1.75
2008-11-24,1.82
2008-11-25,1.98
2008-11-26,1.79
2008-11-28,1.78
2008-12-01,1.78
2008-12-02,1.67
2008-12-03,1.67
2008-12-04,1.68
2008-12-05,1.71
2008-12-08,1.7
2008-12-09,1.68
2008-12-10,1.68
2008-12-11,1.67
2008-12-12,1.67
2008-12-15,1.67
2008-12-16,1.67
2008-12-17,1.58
2008-12-18,1.59
2008-12-19,1.65
2008-12-22,1.63
2008-12-23,1.7
2008-12-24,1.7
2008-12-26,1.7
2008-12-29,1.71
2008-12-30,1.87
2008-12-31,1.87
2009-01-02,2.03
2009-01-05,2.1
2009-01-06,2.13
2009-01-07,2.14
2009-01-08,2.07
2009-01-09,2.05
2009-01-12,2.03
2009-01-13,2.14
2009-01-14,2.03
2009-01-15,2.15
2009-01-16,2.09
2009-01-20,2.1
2009-01-21,2.1
2009-01-22,2.1
2009-01-23,2.05
2009-01-26,2
2009-01-27,2.01
2009-01-28,2.14
2009-01-29,2.1
2009-01-30,2.24
2009-02-02,2.24
2009-02-03,2.03
2009-02-04,1.89
2009-02-05,2.05
2009-02-06,1.9
2009-02-09,2.07
2009-02-10,2.04
2009-02-11,2.12
2009-02-12,2.07
2009-02-13,1.99
2009-02-17,1.92
2009-02-18,1.92
2009-02-19,1.81
2009-02-20,1.75
2009-02-23,1.7
2009-02-24,1.83
2009-02-25,1.69
2009-02-26,1.8
2009-02-27,1.76
2009-03-02,1.66
2009-03-03,1.72
2009-03-04,1.68
2009-03-05,2
2009-03-06,1.99
2009-03-09,1.95
2009-03-10,1.95
2009-03-11,2.03
2009-03-12,1.98
2009-03-13,1.99
2009-03-16,1.93
2009-03-17,1.95
2009-03-18,1.94
2009-03-19,2
2009-03-20,2.05
2009-03-23,2.1
2009-03-24,2.09
2009-03-25,2.11
2009-03-26,2.15
2009-03-27,2.1
2009-03-30,2.1
2009-03-31,2.1
2009-04-01,2.08
2009-04-02,2.32
2009-04-03,2.25
2009-04-06,2.21
2009-04-07,2.23
2009-04-08,2.23
2009-04-09,2.23
2009-04-13,2.25
2009-04-14,2.27
2009-04-15,2.24
2009-04-16,2.31
2009-04-17,2.35
2009-04-20,2.32
2009-04-21,2.28
2009-04-22,2.38
2009-04-23,2.39
2009-04-24,2.41
2009-04-27,2.36
2009-04-28,2.37
2009-04-29,2.34
2009-04-30,2.36
2009-05-01,2.35
2009-05-04,2.34
2009-05-05,2.3
2009-05-06,2.26
2009-05-07,2.3
2009-05-08,2.31
2009-05-11,2.32
2009-05-12,2.29
2009-05-13,2.31
2009-05-14,2.31
2009-05-15,2.3
2009-05-18,2.3
2009-05-19,2.52
2009-05-20,2.52
2009-05-21,2.51
2009-05-22,2.52
2009-05-26,2.51
2009-05-27,2.55
2009-05-28,2.56
2009-05-29,2.58
2009-06-01,2.58
2009-06-02,2.57
2009-06-03,2.55
2009-06-04,2.72
2009-06-05,2.53
2009-06-08,2.6
2009-06-09,2.6
2009-06-10,2.54
2009-06-11,2.58
2009-06-12,2.5
2009-06-15,2.5
2009-06-16,2.47
2009-06-17,2.51
2009-06-18,2.55
2009-06-19,2.75
2009-06-22,2.9
2009-06-23,2.56
2009-06-24,2.49
2009-06-25,2.52
2009-06-26,2.64
2009-06-29,2.5
2009-06-30,2.75
2009-07-01,2.63
2009-07-02,2.47
2009-07-06,2.49
2009-07-07,2.55
2009-07-08,2.56
2009-07-09,2.6
2009-07-10,2.5
2009-07-13,2.49
2009-07-14,2.51
2009-07-15,2.52
2009-07-16,2.5
2009-07-17,2.57
2009-07-20,2.5
2009-07-21,2.5
2009-07-22,2.49
2009-07-23,2.5
2009-07-24,2.59
2009-07-27,2.6
2009-07-28,2.65
2009-07-29,2.68
2009-07-30,2.8
2009-07-31,2.83
2009-08-03,2.71
2009-08-04,2.7
2009-08-05,2.8
2009-08-06,2.8
2009-08-07,2.68
2009-08-10,2.71
2009-08-11,2.71
2009-08-12,2.71
2009-08-13,2.68
2009-08-14,2.8
2009-08-17,2.65
2009-08-18,2.63
2009-08-19,2.55
2009-08-20,2.56
2009-08-21,2.6
2009-08-24,2.6
2009-08-25,2.68
2009-08-26,2.71
2009-08-27,2.71
2009-08-28,2.7
2009-08-31,2.66
2009-09-01,2.72
2009-09-02,2.74
2009-09-03,2.74
2009-09-04,2.65
2009-09-08,2.67
2009-09-09,2.57
2009-09-10,2.67
2009-09-11,2.65
2009-09-14,2.65
2009-09-15,2.65
2009-09-16,2.65
2009-09-17,2.76
2009-09-18,2.59
2009-09-21,2.55
2009-09-22,2.53
2009-09-23,2.53
2009-09-24,2.48
2009-09-25,2.46
2009-09-28,2.45
2009-09-29,2.52
2009-09-30,2.44
2009-10-01,2.49
2009-10-02,2.49
2009-10-05,2.55
2009-10-06,2.43
2009-10-07,2.43
2009-10-08,2.35
2009-10-09,2.27
2009-10-12,2.26
2009-10-13,2.28
2009-10-14,2.28
2009-10-15,2.27
2009-10-16,2.23
2009-10-19,2.2
2009-10-20,2.5
2009-10-21,2.41
2009-10-22,2.4
2009-10-23,2.4
2009-10-26,2.4
2009-10-27,2.48
2009-10-28,2.35
