"Index","BORT.Close"
2007-01-23,36.75
2007-02-14,38
2007-04-09,40.3
2007-04-10,40.3
2007-04-19,40
2007-05-09,41
2007-05-14,41.75
2007-05-18,41
2007-06-22,41.5
2007-08-06,39
2007-08-17,39
2007-08-29,39
2007-10-10,38
2007-10-16,37.95
2007-10-17,37.75
2007-11-09,35.75
2007-11-21,35.65
2007-11-26,35
2007-11-27,34.5
2007-11-28,33
2007-12-05,32.75
2007-12-11,32.7
2007-12-18,32.35
2007-12-19,32.35
2008-01-15,32.35
2008-02-01,32.05
2008-02-12,31.25
2008-03-06,31.35
2008-03-07,31.05
2008-03-19,31.5
2008-04-01,32
2008-04-29,31.1
2008-04-30,31.05
2008-05-21,30.25
2008-05-30,30.5
2008-06-02,29
2008-06-05,29.65
2008-06-06,29
2008-06-10,28
2008-07-11,27.5
2008-07-17,28
2008-08-21,28
2008-08-22,29
2008-08-26,28
2008-09-15,28
2008-09-16,28
2008-10-10,28
2008-10-14,27.5
2008-10-16,27.47
2008-10-20,26.75
2008-10-22,26.5
2008-10-28,26
2009-01-21,24
2009-01-26,23.5
2009-01-29,20
2009-02-03,20
2009-02-20,20
2009-03-03,19.5
2009-05-05,13
2009-05-06,13.5
2009-05-07,14
2009-05-08,13.85
2009-05-13,14.7
2009-05-14,15.5
2009-05-28,15
2009-05-29,15.25
2009-06-12,15
2009-06-17,16.25
2009-07-01,16.25
2009-07-02,16.19
2009-07-13,16
2009-07-14,16
2009-07-23,14
2009-08-03,14
2009-08-10,12
2009-08-11,12
2009-08-18,15.75
2009-10-05,14.76
2009-10-06,15.25
2009-12-01,13
2009-12-03,12.99
2009-12-04,13
2009-12-28,12
2009-12-29,12.5
2009-12-31,12
2010-01-06,14
2010-01-07,13.5
2010-01-11,15.25
2010-02-24,15
2010-02-26,12.75
2010-03-25,13.25
2010-04-09,15
2010-06-03,12.57
2010-06-25,12.75
2010-07-22,12
2010-07-26,12
2010-07-30,12.5
2010-08-05,11.6
2010-09-02,11.55
2010-09-03,11.5
2010-09-10,11
2010-09-13,11.05
2010-09-14,11.75
2010-09-15,10.65
2010-09-17,12
2010-09-21,11
2010-09-23,10.5
2010-09-24,11
2010-10-08,10.6
2010-10-12,10.01
2010-10-14,10.01
2010-10-15,10.01
2010-10-18,10.5
2010-10-25,11
2010-10-27,10.4
2010-11-18,10
2010-11-24,9.4
2010-11-26,9
2010-11-30,8.4
2010-12-01,8.25
2010-12-02,8.5
2010-12-29,9
2011-01-03,8.99
2011-01-10,8.57
2011-01-13,9
2011-01-26,9.25
2011-02-09,9.3
2011-02-16,9
2011-02-18,9.4
2011-03-11,9.4
2011-03-17,8.75
2011-03-21,9.5
2011-03-23,10.1
2011-03-28,8.8
2011-03-31,9.25
2011-04-01,9.25
2011-04-05,8.6
2011-04-14,9
2011-04-25,8.6
2011-05-02,8.6
2011-05-03,9
2011-05-05,9.5
2011-05-17,8.52
2011-05-19,8.5
2011-05-23,8.5
2011-06-28,8.5
2011-06-29,8.5
2011-07-20,8.5
