"Index","CCMMW.Close"
2009-12-09,5.05
2009-12-10,4.75
2009-12-11,6.5
2009-12-14,6
2009-12-15,6
2009-12-16,6
2009-12-17,4.75
2009-12-18,4.75
2009-12-21,6
2009-12-22,6
2009-12-23,6
2009-12-24,6.25
2009-12-28,5.95
2009-12-29,5.95
2009-12-30,5.95
2009-12-31,5.95
2010-01-04,6.25
2010-01-05,6.25
2010-01-06,6.25
2010-01-07,6.25
2010-01-08,6.35
2010-01-11,6.35
2010-01-12,6.35
2010-01-13,6.35
2010-01-14,6.3
2010-01-15,6.3
2010-01-19,6.45
2010-01-20,7.3
2010-01-21,7.3
2010-01-22,7.3
2010-01-25,7.3
2010-01-26,7.3
2010-01-27,7.3
2010-01-28,6.45
2010-01-29,6.4
2010-02-01,6.4
2010-02-02,6.4
2010-02-03,6.4
2010-02-04,6.4
2010-02-05,6.4
2010-02-08,6
2010-02-09,6
2010-02-10,6
2010-02-11,6
2010-02-12,6
2010-02-16,5
2010-02-17,5.25
2010-02-18,5.25
2010-02-19,5.25
2010-02-22,5
2010-02-23,5
2010-02-24,5
2010-02-25,5
2010-02-26,5.25
2010-03-01,5.25
2010-03-02,5.25
2010-03-03,5.25
2010-03-04,5.25
2010-03-05,5.25
2010-03-08,5.25
2010-03-09,5.25
2010-03-10,6
2010-03-11,5.5
2010-03-12,6.03
2010-03-15,5.55
2010-03-16,5.55
2010-03-17,5.55
2010-03-18,5.75
2010-03-19,5.75
2010-03-22,5.75
2010-03-23,5.75
2010-03-24,5.75
2010-03-25,5.6
2010-03-26,5.6
2010-03-29,5.75
2010-03-30,5.75
2010-03-31,5.75
2010-04-01,6.25
2010-04-05,7
2010-04-06,6.1
2010-04-07,6
2010-04-08,6
2010-04-09,6
2010-04-12,6
2010-04-13,6
2010-04-14,6.35
2010-04-15,6.25
2010-04-16,6.25
2010-04-19,6.25
2010-04-20,6.25
2010-04-21,6.25
2010-04-22,6.75
2010-04-23,6.75
2010-04-26,6.5
2010-04-27,6.5
2010-04-28,6.5
2010-04-29,6.5
2010-04-30,6.5
2010-05-03,6.5
2010-05-04,7
2010-05-05,7
2010-05-06,6.75
2010-05-07,6.75
2010-05-10,6.75
2010-05-11,7
2010-05-12,7
2010-05-13,7
2010-05-14,7
2010-05-17,7
2010-05-18,7
2010-05-19,7
2010-05-20,6.5
2010-05-21,6.5
2010-05-24,6.5
2010-05-25,6.5
2010-05-26,6.5
2010-05-27,6.5
2010-05-28,6.5
2010-06-01,6.5
2010-06-02,6.15
2010-06-03,6.15
2010-06-04,6.15
2010-06-07,6.15
2010-06-08,6.15
2010-06-09,6.15
2010-06-10,5.75
2010-06-11,5.7
2010-06-14,6
2010-06-15,6
2010-06-16,6
2010-06-17,6
2010-06-18,6
2010-06-21,5.3
2010-06-22,5.55
2010-06-23,5.55
2010-06-24,5.1
2010-06-25,5.55
2010-06-28,5.55
2010-06-29,5.55
2010-06-30,5.25
2010-07-01,5.1
2010-07-02,5.1
2010-07-06,5.1
2010-07-07,5.1
2010-07-08,5.55
2010-07-09,5.2
2010-07-12,5.2
2010-07-13,5.2
2010-07-14,5.2
2010-07-15,5.2
2010-07-16,5.2
2010-07-19,5.2
2010-07-20,5.2
2010-07-21,5.4
