"Index","CDCO.Close"
2007-01-03,11.4
2007-01-04,11.99
2007-01-08,11.81
2007-01-09,11.31
2007-01-11,12
2007-01-12,12.43
2007-01-16,12.02
2007-01-17,12.75
2007-01-18,12.5
2007-01-19,12.52
2007-01-22,12.75
2007-01-23,12.53
2007-01-24,12.53
2007-01-25,12.5
2007-01-26,12.53
2007-01-31,12.26
2007-02-01,12.3
2007-02-02,12.25
2007-02-05,12.3
2007-02-06,12.38
2007-02-08,12.4
2007-02-09,12.3
2007-02-12,12.3
2007-02-13,12.3
2007-02-15,12.6
2007-02-16,12.45
2007-02-22,12.6
2007-02-23,12.35
2007-02-26,12.6
2007-02-27,12.5
2007-02-28,12.35
2007-03-01,12.6
2007-03-02,12.35
2007-03-06,12.3
2007-03-09,12.3
2007-03-12,12.6
2007-03-15,12.3
2007-03-16,12.3
2007-03-20,12.6
2007-03-22,12.3
2007-03-26,12.3
2007-03-29,12.3
2007-04-02,12.5
2007-04-03,12.3
2007-04-09,12.3
2007-04-10,12.3
2007-04-17,12.3
2007-04-19,12.3
2007-04-20,12.3
2007-04-25,12.6
2007-04-26,12.6
2007-04-27,12.5
2007-04-30,12.5
2007-05-02,12.5
2007-05-03,12.5
2007-05-07,12.3
2007-05-08,12.5
2007-05-11,14
2007-05-16,12.75
2007-05-21,12.56
2007-05-23,12.5
2007-05-30,12.75
2007-05-31,12.6
2007-06-07,12.75
2007-06-13,12.75
2007-06-14,12.75
2007-06-15,12.75
2007-06-19,12.75
2007-06-20,12.5
2007-06-25,12.4
2007-06-26,12.4
2007-07-11,12.5
2007-07-12,12.85
2007-07-13,12.5
2007-07-16,12.5
2007-07-17,14.56
2007-07-18,13.25
2007-07-20,13.3
2007-07-23,13.3
2007-07-24,13.3
2007-08-03,12.5
2007-08-08,12.75
2007-08-09,12.51
2007-08-13,12.75
2007-08-14,12.6
2007-08-15,12.64
2007-08-16,13
2007-08-17,12.5
2007-08-20,12.55
2007-08-22,12.45
2007-08-23,12.5
2007-08-24,12.3
2007-08-27,12.25
2007-08-29,12.25
2007-08-30,12.25
2007-09-04,12.45
2007-09-05,12.26
2007-09-06,12.25
2007-09-12,12.37
2007-09-13,12.25
2007-09-17,12.25
2007-09-18,12.3
2007-09-24,12
2007-09-25,12
2007-10-02,11.6
2007-10-04,11.7
2007-10-08,11.2
2007-10-09,11.17
2007-10-10,11.17
2007-10-11,11.2
2007-10-15,11.5
2007-10-17,11.16
2007-10-19,11.17
2007-10-22,11.15
2007-10-23,11.2
2007-10-24,10.6
2007-10-25,10.75
2007-10-26,10.85
2007-10-29,11.5
2007-10-31,11.3
2007-11-02,10.5
2007-11-05,10.5
2007-11-06,10.51
2007-11-07,10.51
2007-11-08,11.5
2007-11-12,10.75
2007-11-13,10.75
2007-11-14,10.75
2007-11-15,10.75
2007-11-20,10.5
2007-11-21,10.5
2007-11-23,10.5
2007-11-26,10.5
2007-11-27,11
2007-11-29,10.5
2007-11-30,10.57
2007-12-03,10.57
2007-12-04,10.51
2007-12-05,10.5
2007-12-06,10.5
2007-12-11,10
2007-12-12,10.5
2007-12-13,10.51
2007-12-14,10.5
2007-12-17,10.51
2007-12-20,10
2007-12-21,9.51
2007-12-24,9.56
2007-12-26,9.37
2007-12-27,9.51
2007-12-28,9.38
2007-12-31,9.11
2008-01-02,8.95
2008-01-03,9.51
2008-01-04,9.53
2008-01-07,9
2008-01-10,9.05
2008-01-11,8.75
2008-01-15,8.8
2008-01-17,8.27
2008-01-18,8.27
2008-01-22,8
2008-01-24,8
2008-01-28,8
2008-01-29,8
2008-01-30,7
2008-01-31,6.61
2008-02-01,6.75
2008-02-04,7.02
2008-02-05,8.35
2008-02-07,8.35
2008-02-08,8.4
2008-02-11,8.37
2008-02-12,8.8
2008-02-13,8.7
2008-02-14,8.7
2008-02-15,9.05
2008-02-19,9.75
2008-02-20,9.01
2008-02-22,9.05
2008-02-25,9.75
2008-02-26,9.7
2008-02-28,9.6
2008-02-29,9.6
2008-03-03,10
2008-03-04,9.6
2008-03-06,9.75
2008-03-10,9.75
2008-03-11,9.5
2008-03-12,9.6
2008-03-13,9.7
2008-03-14,9.7
2008-03-17,9.65
2008-03-18,9.65
2008-03-19,9.7
2008-03-20,9.7
2008-03-24,9.5
2008-03-25,9.7
2008-03-27,9.7
2008-04-02,9.5
2008-04-04,9.55
2008-04-07,9.65
2008-04-11,9.7
2008-04-14,9.3
2008-04-15,9.45
2008-04-16,9.5
