"Index","CM.Close"
2010-01-04,NA
2010-01-05,-0.00749
2010-01-06,-0.00384
2010-01-07,-0.00525
2010-01-08,0.00756
2010-01-11,-0.0088
2010-01-12,-0.01672
2010-01-13,0.00754
2010-01-14,0.01305
2010-01-15,-0.01509
2010-01-19,0.00204
2010-01-20,-0.01767
2010-01-21,-0.02075
2010-01-22,-0.02302
2010-01-25,0.00597
2010-01-26,0.00297
2010-01-27,-0.00678
2010-01-28,0.0048
2010-01-29,-0.01096
2010-02-01,0.01195
2010-02-02,0.00723
2010-02-03,-0.00723
2010-02-04,-0.02777
2010-02-05,0.00996
2010-02-08,-0.01319
2010-02-09,0.01016
2010-02-10,0.00989
2010-02-11,0.02537
2010-02-12,0.01116
2010-02-16,0.01136
2010-02-17,0.01484
2010-02-18,0.00531
2010-02-19,0.01424
2010-02-22,0.00215
2010-02-23,-0.01576
2010-02-24,0.00327
2010-02-25,0.02439
2010-02-26,0.0071
2010-03-01,0.02202
2010-03-02,0.02629
2010-03-03,0.00529
2010-03-04,0.01177
2010-03-05,0.01065
2010-03-08,-0.00545
2010-03-09,0.00028
2010-03-10,0.01004
2010-03-11,0.00166
2010-03-12,-0.00125
2010-03-15,0.0135
2010-03-16,0.01723
2010-03-17,0.00496
2010-03-18,-0.00779
2010-03-19,0.00013
2010-03-22,0.0138
2010-03-23,0.01045
2010-03-24,-0.01019
2010-03-25,-0.01191
2010-03-26,-0.02039
2010-03-29,0.00889
2010-03-30,-0.00341
2010-03-31,-0.00287
2010-04-01,0.01374
2010-04-05,-0.00869
2010-04-06,-0.00314
2010-04-07,-0.00727
2010-04-08,0.00289
2010-04-09,0.00534
2010-04-12,0.00068
2010-04-13,-0.0063
2010-04-14,0.0275
2010-04-15,0.00307
2010-04-16,-0.01125
2010-04-19,0.01045
2010-04-20,0.01114
2010-04-21,-0.00436
2010-04-22,0.00739
2010-04-23,0.01449
2010-04-26,-0.00494
2010-04-27,-0.03606
2010-04-28,-0.00216
2010-04-29,0.01624
2010-04-30,-0.0237
2010-05-03,0.00693
2010-05-04,-0.02591
2010-05-05,-0.01695
2010-05-06,-0.04419
2010-05-07,0.00162
2010-05-10,0.04469
2010-05-11,-0.00085
2010-05-12,0.02494
2010-05-13,0
2010-05-14,-0.0265
2010-05-17,-0.00439
2010-05-18,-0.01113
2010-05-19,0.01891
2010-05-20,-0.04126
2010-05-21,0.02508
2010-05-24,-0.01514
2010-05-25,0.01386
2010-05-26,0.00871
2010-05-27,-0.02474
2010-05-28,-0.01393
2010-06-01,-0.01129
2010-06-02,0.0404
2010-06-03,0.00043
2010-06-04,-0.03368
2010-06-07,-0.00744
2010-06-08,0.02654
