"Index","CRMT.Close"
2007-01-03,11.67
2007-01-04,11.38
2007-01-05,11
2007-01-08,11
2007-01-09,11.11
2007-01-10,11.03
2007-01-11,10.95
2007-01-12,10.78
2007-01-16,10.59
2007-01-17,10.7
2007-01-18,10.68
2007-01-19,10.7
2007-01-22,10.65
2007-01-23,10.67
2007-01-24,10.83
2007-01-25,10.53
2007-01-26,10.55
2007-01-29,10.59
2007-01-30,10.51
2007-01-31,10.41
2007-02-01,10.56
2007-02-02,10.81
2007-02-05,10.84
2007-02-06,10.82
2007-02-07,11.18
2007-02-08,11.05
2007-02-09,11
2007-02-12,10.81
2007-02-13,11.26
2007-02-14,11.09
2007-02-15,11.41
2007-02-16,11.44
2007-02-20,11.62
2007-02-21,11.7
2007-02-22,12.01
2007-02-23,12
2007-02-26,12.06
2007-02-27,11.75
2007-02-28,11.47
2007-03-01,11.3
2007-03-02,11.14
2007-03-05,10.91
2007-03-06,10.67
2007-03-07,11.87
2007-03-08,11.94
2007-03-09,11.24
2007-03-12,11.68
2007-03-13,12.04
2007-03-14,11.85
2007-03-15,11.88
2007-03-16,11.49
2007-03-19,11.75
2007-03-20,12.38
2007-03-21,12.65
2007-03-22,12.9
2007-03-23,12.71
2007-03-26,13.23
2007-03-27,12.97
2007-03-28,12.51
2007-03-29,12.71
2007-03-30,13.36
2007-04-02,13.4
2007-04-03,13.45
2007-04-04,13.46
2007-04-05,13.16
2007-04-09,13.11
2007-04-10,13.05
2007-04-11,12.79
2007-04-12,12.82
2007-04-13,12.76
2007-04-16,13.6
2007-04-17,13.64
2007-04-18,13.82
2007-04-19,13.84
2007-04-20,13.84
2007-04-23,13.25
2007-04-24,12.95
2007-04-25,13.28
2007-04-26,13.2
2007-04-27,13.12
2007-04-30,12.82
2007-05-01,12.9
2007-05-02,12.9
2007-05-03,12.77
2007-05-04,12.65
2007-05-07,12.67
2007-05-08,12.67
2007-05-09,13.19
2007-05-10,12.62
2007-05-11,12.59
2007-05-14,12.5
2007-05-15,12.18
2007-05-16,12.59
2007-05-17,12.72
2007-05-18,12.69
2007-05-21,12.92
2007-05-22,13.17
2007-05-23,13.06
2007-05-24,12.96
2007-05-25,13.19
2007-05-29,13.31
2007-05-30,13.43
2007-05-31,13.66
2007-06-01,13.75
2007-06-04,13.8
2007-06-05,13.37
