"Index","CVGC.Close"
2010-02-18,2.75
2010-02-25,2.75
2010-03-01,2.85
2010-03-02,2.85
2010-03-04,2.5
2010-03-05,2.5
2010-03-08,2.5
2010-03-09,2.45
2010-03-15,2.45
2010-03-22,2.45
2010-03-23,2.45
2010-03-24,2.45
2010-03-25,2.45
2010-03-31,2.45
2010-04-05,2.45
2010-04-06,2.65
2010-04-07,2.65
2010-04-09,2.65
2010-04-12,2.65
2010-04-13,3.1
2010-04-14,3
2010-04-15,3
2010-04-16,3.1
2010-04-21,3
2010-04-22,3
2010-04-23,2.95
2010-04-26,2.95
2010-04-29,3.05
2010-05-03,3.05
2010-05-05,3
2010-05-06,2.8
2010-05-11,2.75
2010-05-18,2.25
2010-05-19,2.8
2010-08-26,2.6
2010-10-18,2.6
2010-10-29,2.55
2010-11-26,2
2010-11-29,2
2010-12-15,1.5
2010-12-28,1.5
2011-04-26,1.3
2011-04-29,1.2
2011-05-05,1.2
2011-05-09,0.38
2011-05-10,0.28
2011-05-26,0.28
2011-06-09,0.31
2011-06-16,0.28
2011-06-22,0.28
2011-07-14,0.28
2011-07-19,0.28
2011-09-14,0.18
2011-09-22,0.08
2011-10-13,0.05
2011-12-06,0.03
2011-12-23,0.03
2012-01-04,0.15
2012-11-02,0
2013-09-17,0
2014-06-25,0
