"Index","DAKP.Close"
2011-08-24,0.45
2011-10-03,0.3
2012-03-23,11
2012-03-26,11.01
2012-03-27,12
2012-03-28,12
2012-03-29,12
2012-04-02,12
2012-04-03,12
2012-04-04,12
2012-04-05,12
2012-04-10,12
2012-04-11,12
2012-04-12,11.75
2012-04-16,11.5
2012-04-17,11.5
2012-04-20,9
2012-04-23,9
2012-04-25,9
2012-04-26,11
2012-04-27,10.97
2012-04-30,9.5
2012-05-03,9
2012-05-04,8.5
2012-05-10,8.5
2012-05-11,10
2012-05-14,8.5
2012-05-15,10
2012-05-17,9.83
2012-05-22,10
2012-06-01,9.01
2012-06-28,8.5
2012-06-29,8.75
2012-07-11,8.5
2012-07-13,8
2012-07-27,8.25
2012-07-31,8
2012-08-03,8
2012-08-15,7
2012-08-17,6.21
2012-09-07,6.1
2012-09-12,5.11
2012-09-14,6
2012-09-17,4.5
2012-09-18,6.25
2012-09-20,5.25
2012-09-21,6.25
2012-09-24,2.6
2012-09-25,2.65
2012-09-26,2.5
2012-09-27,2.5
2012-09-28,2.54
2012-10-01,2.56
2012-10-02,2.68
2012-10-03,2.57
2012-10-04,2.45
2012-10-05,2.45
2012-10-08,2.47
2012-10-09,2.47
2012-10-10,2.4
2012-10-11,2.25
2012-10-12,2.25
2012-10-15,2.4
2012-10-16,2.51
2012-10-17,3.65
2012-10-18,3.1
2012-10-19,3.25
2012-10-22,3.4
2012-10-23,3.15
2012-10-24,3.25
2012-10-25,3.5
2012-10-26,3.5
2012-10-31,3.28
2012-11-01,3.28
2012-11-02,3.49
2012-11-05,3.6
2012-11-06,3.4
2012-11-07,3.3
2012-11-08,3.3
2012-11-09,2.95
2012-11-12,2.95
2012-11-13,2.94
2012-11-14,2.58
2012-11-15,2.41
2012-11-16,2.04
2012-11-19,2.05
2012-11-20,2.35
2012-11-21,2.25
2012-11-23,2.51
2012-11-26,2.35
2012-11-27,2.45
2012-11-28,2.25
2012-11-29,2.55
2012-11-30,2.9
2012-12-03,2.95
2012-12-04,2.95
2012-12-05,3.03
2012-12-06,3.15
2012-12-07,3.15
2012-12-10,3.07
2012-12-11,3.1
2012-12-12,3.5
2012-12-13,3.49
2012-12-14,3.45
2012-12-17,3.4
2012-12-18,3.35
2012-12-19,3.25
2012-12-20,3.2
2012-12-21,3.22
2012-12-24,3.25
2012-12-26,3.27
2012-12-27,3.24
2012-12-28,3.26
2012-12-31,3.25
2013-01-02,3.26
2013-01-03,3.35
2013-01-04,3.44
2013-01-07,3.4
2013-01-08,3.45
2013-01-09,3.46
2013-01-10,3.45
2013-01-11,3.5
2013-01-14,3.48
2013-01-15,3.44
2013-01-16,3.42
2013-01-17,3.38
2013-01-18,3.42
2013-01-22,3.6
2013-01-23,3.6
2013-01-24,3.75
2013-01-25,3.7
2013-01-28,4
2013-01-29,4.1
2013-01-30,4.14
2013-01-31,4.13
2013-02-01,4.18
2013-02-04,4.17
2013-02-05,4.07
2013-02-06,4.07
2013-02-07,4.07
2013-02-08,4.07
2013-02-11,4.17
2013-02-12,4.12
2013-02-13,4.05
2013-02-14,4.04
2013-02-15,4.04
2013-02-19,4.09
2013-02-20,4
2013-02-21,4
2013-02-22,3.85
2013-02-25,3.9
2013-02-26,3.85
2013-02-27,3.61
2013-02-28,3.75
2013-03-01,3.75
2013-03-04,3.7
2013-03-05,3.74
2013-03-06,3.82
2013-03-07,3.76
2013-03-08,3.75
2013-03-11,3.83
2013-03-12,3.81
2013-03-13,3.82
2013-03-14,3.8
2013-03-15,3.8
2013-03-18,3.8
2013-03-19,3.79
2013-03-20,3.76
2013-03-21,3.72
2013-03-22,3.75
2013-03-25,3.83
2013-03-26,3.8
2013-03-27,3.8
2013-03-28,3.9
2013-04-01,4.03
2013-04-02,3.95
2013-04-03,3.95
2013-04-04,3.93
2013-04-05,4
2013-04-08,3.98
2013-04-09,3.98
2013-04-10,3.98
2013-04-11,4.08
2013-04-12,4
2013-04-15,3.97
2013-04-16,3.98
2013-04-17,4.08
2013-04-18,4.01
2013-04-19,4.13
2013-04-22,4.09
2013-04-23,4.1
2013-04-24,4.15
2013-04-25,4.1
2013-04-26,4.2
2013-04-29,4.06
2013-04-30,4.1
2013-05-01,4.01
2013-05-02,4
2013-05-03,4.01
2013-05-06,4
2013-05-07,4.01
2013-05-08,3.91
2013-05-09,3.99
2013-05-10,3.89
2013-05-13,3.85
2013-05-14,3.7
2013-05-15,3.66
2013-05-16,3.8
2013-05-17,3.75
2013-05-20,3.8
2013-05-21,3.78
2013-05-22,3.8
2013-05-23,3.75
2013-05-24,3.8
2013-05-28,3.84
2013-05-29,3.95
2013-05-30,3.98
2013-05-31,3.97
2013-06-03,3.91
2013-06-04,3.86
2013-06-05,3.86
2013-06-06,3.83
2013-06-07,3.82
2013-06-10,3.8
2013-06-11,3.65
2013-06-12,3.63
2013-06-13,3.35
2013-06-14,3.21
2013-06-17,3
2013-06-18,3.7
2013-06-19,3.34
2013-06-20,2.9
2013-06-21,3.05
2013-06-24,3
2013-06-25,2.9
2013-06-26,2.74
2013-06-27,2.75
2013-06-28,2.8
2013-07-01,2.8
2013-07-02,2.7
2013-07-03,2.7
2013-07-05,2.6
2013-07-08,2.5
2013-07-09,2
2013-07-10,2.6
2013-07-11,2.42
2013-07-12,2.3
2013-07-15,2.35
2013-07-16,2.5
2013-07-17,2.7
2013-07-18,2.6
2013-07-19,2.6
2013-07-22,2.54
2013-07-23,2.42
2013-07-24,2.3
2013-07-25,2.33
2013-07-26,2.4
2013-07-29,2.35
2013-07-30,2.28
2013-07-31,2.27
2013-08-01,2.25
2013-08-02,2.2
2013-08-05,2.1
2013-08-06,2.2
2013-08-07,2.2
2013-08-08,2
2013-08-09,2
2013-08-12,1.95
2013-08-13,1.7
2013-08-14,1.68
2013-08-15,1.65
2013-08-16,1.53
2013-08-19,1.58
2013-08-20,1.55
2013-08-21,1.55
2013-08-22,1.56
2013-08-23,1.6
2013-08-26,1.7
2013-08-27,1.7
2013-08-28,1.67
2013-08-29,1.6
2013-08-30,1.65
2013-09-03,1.63
2013-09-04,1.68
2013-09-05,1.7
2013-09-06,1.7
2013-09-09,1.7
2013-09-10,1.7
2013-09-11,1.68
2013-09-12,1.69
2013-09-13,1.66
2013-09-16,1.7
2013-09-17,1.67
2013-09-18,1.7
2013-09-19,1.7
2013-09-20,1.7
2013-09-23,1.69
2013-09-24,1.9
2013-09-25,2
2013-09-26,2
2013-09-27,2.15
2013-09-30,2.22
2013-10-01,2.11
2013-10-02,2
2013-10-03,1.8
2013-10-04,1.8
2013-10-07,1.95
2013-10-08,2.19
2013-10-09,2.18
2013-10-10,2.16
2013-10-11,2.46
2013-10-14,2.5
2013-10-15,2.39
2013-10-16,2.5
2013-10-17,2.49
2013-10-18,2.5
2013-10-21,2.49
2013-10-22,2.45
2013-10-23,2.38
2013-10-24,2.32
2013-10-25,2.3
2013-10-28,2.3
2013-10-29,2.34
2013-10-30,2.27
2013-10-31,2.44
2013-11-01,2.45
2013-11-04,2.55
2013-11-05,2.65
2013-11-06,2.75
2013-11-07,2.75
2013-11-08,2.73
2013-11-11,2.75
2013-11-12,2.75
2013-11-13,2.75
2013-11-14,2.75
2013-11-15,2.75
2013-11-18,2.72
2013-11-19,2.65
2013-11-20,2.65
2013-11-21,2.6
2013-11-22,2.65
2013-11-25,2.6
2013-11-26,2.79
2013-11-27,2.77
2013-11-29,2.75
2013-12-02,2.61
2013-12-03,2.7
2013-12-04,2.74
2013-12-05,2.89
2013-12-06,2.89
2013-12-09,2.93
2013-12-10,2.94
2013-12-11,2.25
2013-12-12,2.22
2013-12-13,2.24
2013-12-16,2.2
2013-12-17,2.2
2013-12-18,2.27
2013-12-19,2.34
2013-12-20,2.25
2013-12-23,2.25
2013-12-24,2.3
2013-12-26,2.3
2013-12-27,2.25
2013-12-30,2.24
2013-12-31,2.3
2014-01-02,2.35
2014-01-03,2.3
2014-01-06,2.27
2014-01-07,2.3
2014-01-08,2.13
2014-01-09,2.28
2014-01-10,2.28
2014-01-13,2.27
2014-01-14,2.34
2014-01-15,2.44
2014-01-16,2.44
2014-01-17,2.25
2014-01-21,2.12
2014-01-22,2.1
2014-01-23,2.05
2014-01-24,2.06
2014-01-27,2.13
2014-01-28,2.1
2014-01-29,2.1
2014-01-30,2.19
2014-01-31,2.05
2014-02-03,2.14
2014-02-04,2.14
2014-02-05,2.14
2014-02-06,2.09
2014-02-07,2.09
2014-02-10,2.08
2014-02-11,2.12
2014-02-12,2.1
2014-02-13,2.11
2014-02-14,2.05
2014-02-18,2.17
2014-02-19,2.13
2014-02-20,2.05
2014-02-21,1.9
2014-02-24,1.91
2014-02-25,1.86
2014-02-26,1.72
