"Index","DAR.Close"
2007-01-03,5.52
2007-01-04,5.62
2007-01-05,5.55
2007-01-08,5.45
2007-01-09,5.34
2007-01-10,5.28
2007-01-11,5.26
2007-01-12,5.48
2007-01-16,5.39
2007-01-17,5.35
2007-01-18,5.39
2007-01-19,5.47
2007-01-22,5.59
2007-01-23,5.88
2007-01-24,5.83
2007-01-25,5.73
2007-01-26,5.73
2007-01-29,5.82
2007-01-30,5.7
2007-01-31,5.78
2007-02-01,5.71
2007-02-02,5.74
2007-02-05,5.65
2007-02-06,5.84
2007-02-07,5.87
2007-02-08,5.76
2007-02-09,5.82
2007-02-12,5.77
2007-02-13,5.78
2007-02-14,5.68
2007-02-15,5.57
2007-02-16,5.55
2007-02-20,5.54
2007-02-21,5.75
2007-02-22,5.7
2007-02-23,5.64
2007-02-26,5.74
2007-02-27,5.53
2007-02-28,5.47
2007-03-01,5.47
2007-03-02,5.35
2007-03-05,5.03
2007-03-06,5.36
2007-03-07,5.36
2007-03-08,5.64
2007-03-09,5.55
2007-03-12,5.53
2007-03-13,5.52
2007-03-14,5.46
2007-03-15,5.74
2007-03-16,5.77
2007-03-19,5.93
2007-03-20,6.3
2007-03-21,6.54
2007-03-22,6.41
2007-03-23,6.26
2007-03-26,6.6
2007-03-27,6.48
2007-03-28,6.56
2007-03-29,6.46
2007-03-30,6.5
2007-04-02,6.45
2007-04-03,6.27
2007-04-04,6.29
2007-04-05,6.56
2007-04-09,6.59
2007-04-10,6.58
2007-04-11,6.96
2007-04-12,7.11
2007-04-13,7.41
2007-04-16,8
2007-04-17,7.89
2007-04-18,7.83
2007-04-19,7.64
2007-04-20,7.69
2007-04-23,7.56
2007-04-24,7.8
2007-04-25,7.65
2007-04-26,7.71
2007-04-27,7.69
2007-04-30,7.67
2007-05-01,7.68
2007-05-02,7.73
2007-05-03,7.65
2007-05-04,7.66
2007-05-07,7.89
2007-05-08,8.03
2007-05-09,8.01
2007-05-10,8.26
2007-05-11,8.16
2007-05-14,8.63
2007-05-15,8.6
2007-05-16,8.69
2007-05-17,8.59
2007-05-18,8.57
2007-05-21,8.78
2007-05-22,8.92
2007-05-23,8.87
2007-05-24,8.69
2007-05-25,8.84
2007-05-29,9.07
2007-05-30,9.1
2007-05-31,9.05
