"Index","DFZ.Close"
2007-01-03,7.07
2007-01-04,7.14
2007-01-05,7.09
2007-01-08,7.09
2007-01-09,6.9
2007-01-10,6.78
2007-01-11,6.7
2007-01-12,6.79
2007-01-16,6.75
2007-01-17,7
2007-01-18,6.74
2007-01-19,6.65
2007-01-22,6.81
2007-01-23,6.57
2007-01-24,6.65
2007-01-25,6.39
2007-01-26,6.45
2007-01-29,6.48
2007-01-30,6.65
2007-01-31,6.6
2007-02-01,6.5
2007-02-02,6.46
2007-02-05,6.54
2007-02-06,6.78
2007-02-07,7.2
2007-02-08,7.15
2007-02-09,7.35
2007-02-12,7.19
2007-02-13,9.5
2007-02-14,8.99
2007-02-15,8.75
2007-02-16,9.34
2007-02-20,9.08
2007-02-21,9.67
2007-02-22,9.79
2007-02-23,9.4
2007-02-26,9.48
2007-02-27,9.17
2007-02-28,8.9
2007-03-01,8.96
2007-03-02,8.95
2007-03-05,8.91
2007-03-06,9.04
2007-03-07,9.05
2007-03-08,9.02
2007-03-09,9.26
2007-03-12,9.2
2007-03-13,9.39
2007-03-14,9.32
2007-03-15,9.37
2007-03-16,9.35
2007-03-19,9.1
2007-03-20,9.4
2007-03-21,9.63
2007-03-22,9.93
2007-03-23,9.9
2007-03-26,10.35
2007-03-27,10.29
2007-03-28,10.21
2007-03-29,10.11
2007-03-30,10.42
2007-04-02,10.43
2007-04-03,10.41
2007-04-04,10.43
2007-04-05,10.74
2007-04-09,10.97
2007-04-10,10.97
2007-04-11,10.95
2007-04-12,10.98
2007-04-13,11.22
2007-04-16,11.74
2007-04-17,11.97
2007-04-18,12.2
2007-04-19,11.55
2007-04-20,11.63
2007-04-23,11.51
2007-04-24,10.86
2007-04-25,10.65
2007-04-26,10.68
2007-04-27,10.76
2007-04-30,10.76
2007-05-01,10.68
2007-05-02,10.7
2007-05-03,10.88
2007-05-04,10.65
2007-05-07,10.96
2007-05-08,10.71
2007-05-09,10.85
2007-05-10,10.5
2007-05-11,10.54
2007-05-14,10.47
2007-05-15,10.52
2007-05-16,10.4
2007-05-17,10.5
2007-05-18,10.6
2007-05-21,10.7
2007-05-22,10.89
2007-05-23,11
2007-05-24,10.96
2007-05-25,10.96
2007-05-29,10.57
2007-05-30,10.84
2007-05-31,10.92
2007-06-01,11
2007-06-04,10.97
2007-06-05,11.15
2007-06-06,11.39
2007-06-07,11.55
2007-06-08,11.7
2007-06-11,12.19
2007-06-12,12.03
2007-06-13,12.4
2007-06-14,12.67
2007-06-15,12.53
2007-06-18,12.55
2007-06-19,12.84
2007-06-20,12.91
2007-06-21,12.8
2007-06-22,12.21
2007-06-25,12.11
2007-06-26,11.86
2007-06-27,11.75
2007-06-28,11.72
2007-06-29,11.85
2007-07-02,12.38
2007-07-03,12.68
2007-07-05,12.51
2007-07-06,12.25
2007-07-09,11.9
2007-07-10,11.61
2007-07-11,11.65
2007-07-12,11.5
2007-07-13,11.44
2007-07-16,10.88
2007-07-17,11.4
2007-07-18,10.9
2007-07-19,10.73
2007-07-20,11.3
2007-07-23,10.6
2007-07-24,10.55
2007-07-25,10.3
2007-07-26,10.25
2007-07-27,10.1
2007-07-30,10.25
2007-07-31,10.3
2007-08-01,10
2007-08-02,10.34
2007-08-03,10.71
2007-08-06,10.61
2007-08-07,10.67
2007-08-08,10.82
2007-08-09,10.45
2007-08-10,10.21
2007-08-13,10.5
2007-08-14,10.75
2007-08-15,9.72
2007-08-16,9.85
2007-08-17,9.64
2007-08-20,9.46
2007-08-21,9.79
2007-08-22,9.75
2007-08-23,9.96
2007-08-24,10.2
2007-08-27,10.2
2007-08-28,9.01
2007-08-29,9.23
2007-08-30,9.01
2007-08-31,9.15
2007-09-04,9.02
2007-09-05,8.96
2007-09-06,8.82
2007-09-07,8.46
2007-09-10,8.35
2007-09-11,8.97
2007-09-12,8.5
2007-09-13,8.68
2007-09-14,8.68
2007-09-17,8.7
2007-09-18,8.7
2007-09-19,8.75
2007-09-20,8.66
2007-09-21,9.11
2007-09-24,9
2007-09-25,8.8
2007-09-26,8.95
2007-09-27,9.11
2007-09-28,9.65
2007-10-01,10
2007-10-02,10.22
2007-10-03,10.13
2007-10-04,9.76
2007-10-05,9.45
2007-10-08,9.15
2007-10-09,9
2007-10-10,9.13
2007-10-11,8.73
2007-10-12,8.84
2007-10-15,8.87
