"Index","DGAS.Close"
2007-01-03,12.63
2007-01-04,12.5
2007-01-05,12.45
2007-01-08,12.4
2007-01-09,12.5
2007-01-10,12.48
2007-01-11,12.46
2007-01-12,12.5
2007-01-16,12.5
2007-01-17,12.52
2007-01-18,12.6
2007-01-19,12.6
2007-01-22,12.56
2007-01-23,12.58
2007-01-24,12.43
2007-01-25,12.56
2007-01-26,12.55
2007-01-29,12.6
2007-01-30,12.55
2007-01-31,12.55
2007-02-01,12.62
2007-02-02,12.6
2007-02-05,12.7
2007-02-06,12.68
2007-02-07,12.7
2007-02-08,12.6
2007-02-09,12.52
2007-02-12,12.47
2007-02-13,12.56
2007-02-14,12.61
2007-02-15,12.5
2007-02-16,12.5
2007-02-20,12.52
2007-02-21,12.48
2007-02-22,12.48
2007-02-23,12.54
2007-02-26,12.49
2007-02-27,12.45
2007-02-28,12.46
2007-03-01,12.44
2007-03-02,12.44
2007-03-05,12.43
2007-03-06,12.5
2007-03-07,12.54
2007-03-08,12.44
2007-03-09,12.5
2007-03-12,12.52
2007-03-13,12.52
2007-03-14,12.5
2007-03-15,12.48
2007-03-16,12.36
2007-03-19,12.5
2007-03-20,12.51
2007-03-21,12.38
2007-03-22,12.43
2007-03-23,12.5
2007-03-26,12.43
2007-03-27,12.32
2007-03-28,12.43
2007-03-29,12.45
2007-03-30,12.49
2007-04-02,12.5
2007-04-03,12.54
2007-04-04,12.54
2007-04-05,12.62
2007-04-09,12.62
2007-04-10,12.55
2007-04-11,12.6
2007-04-12,12.55
2007-04-13,12.6
2007-04-16,12.48
2007-04-17,12.48
2007-04-18,12.58
2007-04-19,12.58
2007-04-20,12.6
2007-04-23,12.53
2007-04-24,12.53
2007-04-25,12.5
2007-04-26,12.62
2007-04-27,12.58
2007-04-30,12.58
2007-05-01,12.53
2007-05-02,12.62
2007-05-03,12.5
2007-05-04,12.66
2007-05-07,12.6
2007-05-08,12.78
2007-05-09,12.62
2007-05-10,12.66
2007-05-11,12.72
2007-05-14,12.75
2007-05-15,12.79
2007-05-16,12.82
2007-05-17,12.86
2007-05-18,12.9
2007-05-21,12.88
2007-05-22,12.85
2007-05-23,12.65
2007-05-24,12.6
2007-05-25,12.66
2007-05-29,12.82
2007-05-30,12.71
2007-05-31,12.72
2007-06-01,12.9
2007-06-04,12.79
2007-06-05,12.84
2007-06-06,12.86
2007-06-07,12.74
2007-06-08,12.88
2007-06-11,12.88
2007-06-12,12.83
2007-06-13,12.74
2007-06-14,13
2007-06-15,12.89
2007-06-18,12.88
2007-06-19,12.78
2007-06-20,12.77
2007-06-21,12.76
2007-06-22,12.79
2007-06-25,12.72
2007-06-26,12.53
2007-06-27,12.5
2007-06-28,12.88
2007-06-29,12.98
2007-07-02,12.72
2007-07-03,12.76
2007-07-05,12.68
2007-07-06,12.72
2007-07-09,12.54
2007-07-10,12.58
2007-07-11,12.45
2007-07-12,12.56
2007-07-13,12.48
2007-07-16,12.52
2007-07-17,12.68
2007-07-18,12.72
2007-07-19,12.72
2007-07-20,12.68
2007-07-23,12.85
2007-07-24,12.82
2007-07-25,12.52
2007-07-26,12.4
2007-07-27,12.4
2007-07-30,12.44
2007-07-31,12.45
2007-08-01,12.4
2007-08-02,12.4
2007-08-03,12.36
2007-08-06,12.35
2007-08-07,12.41
2007-08-08,12.35
2007-08-09,12.36
2007-08-10,12.38
2007-08-13,12.48
2007-08-14,12.33
2007-08-15,12.3
2007-08-16,12.38
2007-08-17,12.38
2007-08-20,12.5
2007-08-21,12.03
2007-08-22,12.36
2007-08-23,12.36
2007-08-24,12.25
2007-08-27,12.18
2007-08-28,12
2007-08-29,12.34
2007-08-30,12.41
2007-08-31,12.4
2007-09-04,12.13
2007-09-05,12.25
2007-09-06,12.5
2007-09-07,12.46
2007-09-10,12.1
2007-09-11,12.05
2007-09-12,12.22
2007-09-13,12.07
2007-09-14,12.43
2007-09-17,12.54
2007-09-18,12.56
2007-09-19,12.22
2007-09-20,12.23
2007-09-21,12.12
2007-09-24,12.34
2007-09-25,12.3
2007-09-26,12.43
2007-09-27,12.46
2007-09-28,12.49
2007-10-01,12.52
2007-10-02,12.58
2007-10-03,12.62
2007-10-04,12.6
2007-10-05,12.64
2007-10-08,12.64
2007-10-09,12.74
2007-10-10,12.67
2007-10-11,12.6
2007-10-12,12.48
2007-10-15,12.62
2007-10-16,12.6
2007-10-17,12.72
2007-10-18,12.66
2007-10-19,12.66
2007-10-22,12.74
2007-10-23,12.7
2007-10-24,12.57
2007-10-25,12.48
2007-10-26,12.5
2007-10-29,12.54
2007-10-30,12.52
2007-10-31,12.56
2007-11-01,12.7
2007-11-02,12.65
2007-11-05,12.5
2007-11-06,12.65
2007-11-07,12.6
2007-11-08,12.37
2007-11-09,12.52
2007-11-12,12.54
2007-11-13,12.5
2007-11-14,12.5
2007-11-15,12.52
2007-11-16,12.48
2007-11-19,12.47
2007-11-20,12.4
2007-11-21,12.49
2007-11-23,12.38
2007-11-26,12.42
2007-11-27,12.46
2007-11-28,12.42
2007-11-29,12.41
2007-11-30,12.46
2007-12-03,12.52
2007-12-04,12.54
2007-12-05,12.54
2007-12-06,12.66
2007-12-07,12.92
2007-12-10,12.74
2007-12-11,12.67
2007-12-12,12.85
2007-12-13,12.56
2007-12-14,12.74
2007-12-17,12.7
2007-12-18,12.85
2007-12-19,12.76
2007-12-20,12.8
2007-12-21,12.88
2007-12-24,12.8
2007-12-26,12.7
2007-12-27,12.62
2007-12-28,12.62
2007-12-31,12.62
2008-01-02,12.62
2008-01-03,12.55
2008-01-04,12.69
2008-01-07,12.6
2008-01-08,12.7
2008-01-09,12.65
2008-01-10,12.8
2008-01-11,12.75
2008-01-14,12.8
2008-01-15,12.68
2008-01-16,12.7
2008-01-17,12.74
2008-01-18,12.81
2008-01-22,12.63
2008-01-23,12.8
2008-01-24,12.9
2008-01-25,12.94
2008-01-28,13.12
2008-01-29,13.01
2008-01-30,12.88
2008-01-31,13.1
2008-02-01,13
2008-02-04,13
2008-02-05,13.1
2008-02-06,13
2008-02-07,13.07
2008-02-08,13.07
2008-02-11,13.07
2008-02-12,13.12
2008-02-13,13
2008-02-14,13.12
2008-02-15,13.12
2008-02-19,13.02
2008-02-20,13.02
2008-02-21,12.98
2008-02-22,12.96
2008-02-25,13.12
2008-02-26,13.12
2008-02-27,12.88
2008-02-28,12.88
2008-02-29,12.78
2008-03-03,12.62
2008-03-04,12.86
2008-03-05,12.86
2008-03-06,12.6
2008-03-07,12.68
2008-03-10,12.48
2008-03-11,12.3
2008-03-12,12.5
2008-03-13,12.62
2008-03-14,12.5
2008-03-17,12.48
2008-03-18,12.27
2008-03-19,12.49
2008-03-20,12.45
2008-03-24,12.44
2008-03-25,12.28
2008-03-26,12.46
2008-03-27,12.46
2008-03-28,12.17
2008-03-31,12.34
2008-04-01,12.36
2008-04-02,12.46
2008-04-03,12.33
2008-04-04,12.49
2008-04-07,12.65
2008-04-08,12.62
2008-04-09,12.86
2008-04-10,12.65
2008-04-11,12.59
2008-04-14,12.68
2008-04-15,12.51
2008-04-16,12.52
2008-04-17,12.6
2008-04-18,12.69
2008-04-21,12.72
2008-04-22,12.52
2008-04-23,12.5
2008-04-24,12.5
2008-04-25,12.74
2008-04-28,12.48
2008-04-29,12.64
2008-04-30,12.48
2008-05-01,12.48
2008-05-02,12.48
2008-05-05,12.5
2008-05-06,12.62
2008-05-07,12.63
2008-05-08,12.63
2008-05-09,12.75
2008-05-12,12.82
2008-05-13,12.86
2008-05-14,12.87
2008-05-15,12.68
2008-05-16,12.99
2008-05-19,13.12
2008-05-20,13.55
2008-05-21,13.73
2008-05-22,14.94
2008-05-23,14.68
2008-05-27,14.8
2008-05-28,14.74
2008-05-29,14.85
2008-05-30,14.85
2008-06-02,14.78
2008-06-03,14.8
2008-06-04,14.62
2008-06-05,13.81
2008-06-06,13.68
2008-06-09,13.64
2008-06-10,14.28
2008-06-11,14.22
2008-06-12,14
2008-06-13,14.24
2008-06-16,13.65
2008-06-17,13.66
2008-06-18,13.93
2008-06-19,14.05
2008-06-20,14.2
2008-06-23,13.92
2008-06-24,13.7
2008-06-25,13.71
2008-06-26,13.75
2008-06-27,13.36
2008-06-30,13.06
2008-07-01,13.5
2008-07-02,13
2008-07-03,12.56
2008-07-07,12.76
2008-07-08,12.53
2008-07-09,12.78
2008-07-10,12.8
2008-07-11,12.52
2008-07-14,12.6
2008-07-15,12.93
2008-07-16,12.88
2008-07-17,12.68
2008-07-18,13.1
2008-07-21,13.12
2008-07-22,13.6
2008-07-23,13.69
2008-07-24,13.51
2008-07-25,13.94
2008-07-28,13.51
2008-07-29,13.52
2008-07-30,13.51
2008-07-31,13.92
2008-08-01,13.91
2008-08-04,13.5
2008-08-05,13.92
2008-08-06,14
2008-08-07,13.5
2008-08-08,13.5
2008-08-11,13.45
2008-08-12,13.32
2008-08-13,13.55
2008-08-14,13.28
2008-08-15,12.56
2008-08-18,12.65
2008-08-19,12.56
2008-08-20,12.58
2008-08-21,12.72
2008-08-22,12.9
2008-08-25,13.13
2008-08-26,13.78
2008-08-27,13.82
2008-08-28,13.8
2008-08-29,14
2008-09-02,13.92
2008-09-03,13.78
2008-09-04,13.55
2008-09-05,13.92
2008-09-08,13.96
2008-09-09,13.9
2008-09-10,13.96
2008-09-11,13.52
2008-09-12,13.51
2008-09-15,13.57
2008-09-16,13.5
2008-09-17,13.46
2008-09-18,13.02
2008-09-19,13.38
2008-09-22,13.25
2008-09-23,13.62
2008-09-24,13.08
2008-09-25,13.11
2008-09-26,13
2008-09-29,12.52
2008-09-30,12.8
2008-10-01,12.49
2008-10-02,12.52
2008-10-03,12.56
2008-10-06,11.66
2008-10-07,11.6
2008-10-08,11.3
2008-10-09,10.85
2008-10-10,9
2008-10-13,9.8
2008-10-14,11.65
2008-10-15,11
2008-10-16,10.38
2008-10-17,11.37
2008-10-20,11.65
2008-10-21,11.85
2008-10-22,12
2008-10-23,12.04
2008-10-24,12
2008-10-27,12
2008-10-28,11.71
2008-10-29,11.65
2008-10-30,12.12
2008-10-31,12.28
2008-11-03,11.87
2008-11-04,12.22
2008-11-05,12.5
2008-11-06,12.44
2008-11-07,12.75
2008-11-10,12.5
2008-11-11,12.02
2008-11-12,11.54
2008-11-13,11.7
2008-11-14,11.75
2008-11-17,11.6
2008-11-18,11.77
2008-11-19,11.52
2008-11-20,10.76
2008-11-21,9.78
2008-11-24,10.42
2008-11-25,11.4
2008-11-26,11.48
2008-11-28,11.72
2008-12-01,11.3
2008-12-02,11.25
2008-12-03,11.21
2008-12-04,11.32
