"Index","DMO.Close"
2010-02-24,20.04
2010-02-25,20.04
2010-02-26,20.05
2010-03-01,20.04
2010-03-02,20.05
2010-03-03,20.04
2010-03-04,20.02
2010-03-05,20
2010-03-08,20.02
2010-03-09,20.01
2010-03-10,20.02
2010-03-11,20.06
2010-03-12,20.01
2010-03-15,20.08
2010-03-16,20.06
2010-03-17,20.05
2010-03-18,20.03
2010-03-19,20.08
2010-03-22,20.03
2010-03-23,20
2010-03-24,20
2010-03-25,20.01
2010-03-26,20
2010-03-29,20
2010-03-30,20
2010-03-31,20.02
2010-04-01,20
2010-04-05,20
2010-04-06,20
2010-04-07,20
2010-04-08,20
2010-04-09,20
2010-04-12,19.7
2010-04-13,19.65
2010-04-14,19.75
2010-04-15,19.77
2010-04-16,19.9
2010-04-19,19.95
2010-04-20,20
2010-04-21,20.1
2010-04-22,20.03
2010-04-23,20.32
2010-04-26,20.21
2010-04-27,20.25
2010-04-28,20.4
2010-04-29,20.35
2010-04-30,20.51
2010-05-03,20.34
2010-05-04,20.41
2010-05-05,20.5
2010-05-06,20.46
2010-05-07,20.75
2010-05-10,20.6
2010-05-11,20.46
2010-05-12,20.41
2010-05-13,20.53
2010-05-14,20.55
2010-05-17,20.5
2010-05-18,20.25
2010-05-19,20.35
2010-05-20,20.11
2010-05-21,20.26
2010-05-24,20.05
2010-05-25,19.86
2010-05-26,19.69
2010-05-27,19.7
2010-05-28,19.48
2010-06-01,19.65
2010-06-02,19.73
2010-06-03,19.66
2010-06-04,19.62
2010-06-07,19.75
2010-06-08,19.74
2010-06-09,19.98
2010-06-10,19.78
2010-06-11,19.86
2010-06-14,19.86
2010-06-15,19.82
2010-06-16,19.64
2010-06-17,19.53
2010-06-18,19.77
2010-06-21,19.54
2010-06-22,19.68
2010-06-23,19.76
2010-06-24,19.75
2010-06-25,19.8
2010-06-28,19.88
2010-06-29,19.8
2010-06-30,19.95
2010-07-01,19.98
2010-07-02,19.85
2010-07-06,19.9
2010-07-07,20
2010-07-08,19.94
2010-07-09,19.96
2010-07-12,19.88
2010-07-13,19.95
2010-07-14,19.97
2010-07-15,19.97
2010-07-16,19.97
2010-07-19,19.98
2010-07-20,19.95
2010-07-21,19.97
2010-07-22,19.94
2010-07-23,19.95
2010-07-26,20.38
2010-07-27,19.98
2010-07-28,19.97
2010-07-29,19.9
2010-07-30,19.89
2010-08-02,20
2010-08-03,20.09
2010-08-04,19.96
2010-08-05,20.04
2010-08-06,20.1
2010-08-09,20.05
2010-08-10,20.07
2010-08-11,20.17
2010-08-12,20.1
2010-08-13,20.18
2010-08-16,20.2
2010-08-17,20.4
2010-08-18,20.52
2010-08-19,20.53
2010-08-20,20.52
2010-08-23,20.25
2010-08-24,20.04
2010-08-25,20.02
2010-08-26,19.79
2010-08-27,20.1
2010-08-30,20.31
2010-08-31,20.37
2010-09-01,20.55
2010-09-02,20.68
2010-09-03,20.6
2010-09-07,20.59
2010-09-08,20.59
2010-09-09,20.59
2010-09-10,20.51
2010-09-13,20.58
2010-09-14,20.59
2010-09-15,20.65
2010-09-16,20.7
2010-09-17,20.7
2010-09-20,20.5
2010-09-21,20.69
2010-09-22,20.95
2010-09-23,20.9
2010-09-24,21.2
2010-09-27,21.01
2010-09-28,21.2
2010-09-29,21
2010-09-30,21.23
2010-10-01,21.5
2010-10-04,21.6
2010-10-05,21.24
2010-10-06,21.2
2010-10-07,21.2
2010-10-08,21.16
2010-10-11,21.12
2010-10-12,21.06
2010-10-13,20.95
2010-10-14,21.09
2010-10-15,21.12
2010-10-18,21
2010-10-19,21.04
2010-10-20,20.96
2010-10-21,21.23
2010-10-22,21.2
2010-10-25,21
2010-10-26,20.71
2010-10-27,20.86
2010-10-28,21.12
2010-10-29,21.11
2010-11-01,21.3
2010-11-02,21.45
2010-11-03,21.44
2010-11-04,21.38
2010-11-05,21.46
2010-11-08,21.85
2010-11-09,21.68
2010-11-10,21.53
2010-11-11,21.56
2010-11-12,21.64
2010-11-15,21.65
2010-11-16,21.3
2010-11-17,21.25
