"Index","DSTI.Close"
2007-01-03,3.2
2007-01-04,2.63
2007-01-05,2.47
2007-01-08,2.3
2007-01-09,2.17
2007-01-10,2.02
2007-01-11,3.07
2007-01-12,2.73
2007-01-16,2.48
2007-01-17,3.1
2007-01-18,2.87
2007-01-19,3.32
2007-01-22,3.14
2007-01-23,3.44
2007-01-24,3.41
2007-01-25,3.14
2007-01-26,3.18
2007-01-29,3.02
2007-01-30,2.9
2007-01-31,2.92
2007-02-01,2.77
2007-02-02,2.77
2007-02-05,2.59
2007-02-06,2.94
2007-02-07,2.95
2007-02-08,2.86
2007-02-09,2.85
2007-02-12,3.12
2007-02-13,3.2
2007-02-14,3.31
2007-02-15,3.25
2007-02-16,3.36
2007-02-20,3.13
2007-02-21,3.05
2007-02-22,3.28
2007-02-23,3.64
2007-02-26,4.37
2007-02-27,4.04
2007-02-28,4.38
2007-03-01,4.77
2007-03-02,4.91
2007-03-05,4.22
2007-03-06,4.32
2007-03-07,4.08
2007-03-08,4.17
2007-03-09,3.82
2007-03-12,4.1
2007-03-13,4.29
2007-03-14,5.31
2007-03-15,5.02
2007-03-16,5.22
2007-03-19,5.1
2007-03-20,5.44
2007-03-21,5.29
2007-03-22,5.66
2007-03-23,5.86
2007-03-26,5.99
2007-03-27,5.71
2007-03-28,5.43
2007-03-29,5.39
2007-03-30,5.24
2007-04-02,5.13
2007-04-03,5.06
2007-04-04,5.35
2007-04-05,5.24
2007-04-09,5.17
2007-04-10,5.15
2007-04-11,5.22
2007-04-12,5.22
2007-04-13,5.32
2007-04-16,5.55
2007-04-17,5.3
2007-04-18,5.09
2007-04-19,5.12
2007-04-20,5.09
2007-04-23,5.15
2007-04-24,4.98
2007-04-25,4.52
2007-04-26,4.23
2007-04-27,4.65
2007-04-30,4.29
2007-05-01,4.1
2007-05-02,4.11
2007-05-03,4.28
2007-05-04,4.48
2007-05-07,4.29
2007-05-08,4.22
2007-05-09,4.2
2007-05-10,4.02
2007-05-11,3.88
2007-05-14,3.65
2007-05-15,3.27
2007-05-16,3.49
2007-05-17,3.7
2007-05-18,4.59
2007-05-21,4.53
2007-05-22,4.38
2007-05-23,4.41
2007-05-24,4.7
2007-05-25,4.83
2007-05-29,4.42
2007-05-30,4.39
2007-05-31,4.6
2007-06-01,4.73
2007-06-04,4.93
2007-06-05,5.11
2007-06-06,5.3
2007-06-07,5.1
2007-06-08,5.04
2007-06-11,5.34
2007-06-12,5.19
2007-06-13,5.1
2007-06-14,5.06
2007-06-15,5.1
2007-06-18,5.02
2007-06-19,4.84
2007-06-20,4.65
2007-06-21,4.51
2007-06-22,4.53
2007-06-25,5.93
2007-06-26,6.6
2007-06-27,6.67
2007-06-28,6.71
2007-06-29,6.3
2007-07-02,6.21
2007-07-03,6.12
2007-07-05,5.74
2007-07-06,6.15
2007-07-09,6.62
2007-07-10,6.1
2007-07-11,6.01
2007-07-12,5.98
2007-07-13,6.83
2007-07-16,6.5
2007-07-17,6.42
2007-07-18,6.53
2007-07-19,6.42
2007-07-20,6.4
2007-07-23,6.28
2007-07-24,6.16
2007-07-25,5.93
2007-07-26,5.66
2007-07-27,5.12
2007-07-30,5.09
2007-07-31,4.77
2007-08-01,4.32
2007-08-02,4.43
2007-08-03,4.5
2007-08-06,4.02
2007-08-07,3.76
2007-08-08,4.14
2007-08-09,3.94
2007-08-10,4.02
2007-08-13,4.01
2007-08-14,4
2007-08-15,3.85
2007-08-16,3.65
2007-08-17,3.96
2007-08-20,4.3
2007-08-21,4.3
2007-08-22,4.18
2007-08-23,3.89
2007-08-24,3.96
2007-08-27,4.08
2007-08-28,3.95
2007-08-29,4.04
2007-08-30,4.05
2007-08-31,4.08
2007-09-04,4.29
2007-09-05,4.15
2007-09-06,4.1
2007-09-07,4.06
2007-09-10,3.99
2007-09-11,3.92
2007-09-12,3.83
2007-09-13,4
2007-09-14,4.07
2007-09-17,4.05
2007-09-18,4.06
2007-09-19,5.19
2007-09-20,4.98
2007-09-21,5.2
2007-09-24,4.89
2007-09-25,4.85
2007-09-26,5.43
2007-09-27,5.37
2007-09-28,5.24
2007-10-01,5.28
2007-10-02,5
2007-10-03,4.76
2007-10-04,4.94
2007-10-05,4.93
2007-10-08,4.87
2007-10-09,4.83
2007-10-10,4.6
2007-10-11,4.35
2007-10-12,4.23
2007-10-15,4.88
2007-10-16,5.13
2007-10-17,5.02
2007-10-18,5.16
2007-10-19,4.8
2007-10-22,5.29
2007-10-23,5.8
2007-10-24,5.05
2007-10-25,4.65
2007-10-26,4.79
2007-10-29,4.91
2007-10-30,4.79
2007-10-31,4.84
2007-11-01,4.69
2007-11-02,4.76
2007-11-05,4.85
2007-11-06,5.39
2007-11-07,5.19
2007-11-08,5.45
2007-11-09,5.2
2007-11-12,4.4
2007-11-13,4.52
2007-11-14,4.68
2007-11-15,4.46
2007-11-16,4.45
2007-11-19,4.2
2007-11-20,3.97
2007-11-21,3.86
2007-11-23,4.02
2007-11-26,4.15
2007-11-27,3.97
2007-11-28,4.22
2007-11-29,4.25
2007-11-30,4.5
2007-12-03,4.34
2007-12-04,4.39
2007-12-05,4.53
2007-12-06,4.35
2007-12-07,4.28
2007-12-10,4.3
2007-12-11,4.21
2007-12-12,4.03
2007-12-13,4.05
2007-12-14,4.25
2007-12-17,4.03
2007-12-18,4
2007-12-19,3.91
2007-12-20,3.97
2007-12-21,3.87
2007-12-24,4.1
2007-12-26,5.1
2007-12-27,5.29
2007-12-28,5
2007-12-31,6.25
2008-01-02,6.53
2008-01-03,6.98
2008-01-04,6.56
2008-01-07,5.99
2008-01-08,5.61
2008-01-09,5.47
2008-01-10,5.7
2008-01-11,5.7
2008-01-14,5.44
2008-01-15,4.86
2008-01-16,4.46
2008-01-17,3.96
2008-01-18,3.81
2008-01-22,3.64
2008-01-23,3.28
2008-01-24,3.6
2008-01-25,3.54
2008-01-28,3.4
2008-01-29,3.31
2008-01-30,3.25
2008-01-31,3.31
2008-02-01,3.4
2008-02-04,3.65
2008-02-05,3.35
2008-02-06,3.27
2008-02-07,3.26
2008-02-08,3.35
2008-02-11,3.73
2008-02-12,3.44
2008-02-13,3.94
2008-02-14,3.65
2008-02-15,3.67
2008-02-19,3.5
2008-02-20,3.47
2008-02-21,3.41
2008-02-22,3.4
2008-02-25,3.57
2008-02-26,3.59
2008-02-27,3.59
2008-02-28,3.35
2008-02-29,3.22
2008-03-03,3.12
2008-03-04,3.11
2008-03-05,3.39
2008-03-06,3.2
2008-03-07,2.73
2008-03-10,2.53
2008-03-11,2.5
2008-03-12,2.69
2008-03-13,2.65
2008-03-14,2.68
2008-03-17,2.6
2008-03-18,2.65
2008-03-19,2.53
2008-03-20,2.49
2008-03-24,2.55
2008-03-25,2.77
2008-03-26,2.9
2008-03-27,2.98
2008-03-28,3.02
2008-03-31,2.96
2008-04-01,3.25
2008-04-02,3.5
2008-04-03,3.79
2008-04-04,3.79
2008-04-07,3.54
2008-04-08,3.44
2008-04-09,3.42
2008-04-10,3.39
2008-04-11,3.24
2008-04-14,3.13
2008-04-15,3.14
