"Index","EDN.Close"
2007-04-26,17.65
2007-04-27,17.75
2007-04-30,18.4
2007-05-01,18.29
2007-05-02,18
2007-05-03,18.1
2007-05-04,18.19
2007-05-07,18
2007-05-08,17.8
2007-05-09,18.15
2007-05-10,17.91
2007-05-11,18.3
2007-05-14,18.2
2007-05-15,18.1
2007-05-16,18
2007-05-17,18.2
2007-05-18,18.16
2007-05-21,18.08
2007-05-22,18.01
2007-05-23,18.35
2007-05-24,17.94
2007-05-25,17.78
2007-05-29,17.97
2007-05-30,18.17
2007-05-31,18.38
2007-06-01,18.7
2007-06-04,19.02
2007-06-05,18.75
2007-06-06,18.55
2007-06-07,18.45
2007-06-08,18.8
2007-06-11,18.8
2007-06-12,18.5
2007-06-13,18.86
2007-06-14,19.29
2007-06-15,19.85
2007-06-18,19.97
2007-06-19,21.8
2007-06-20,21.5
2007-06-21,21.75
2007-06-22,21.67
2007-06-25,21.6
2007-06-26,21.34
2007-06-27,20.68
2007-06-28,20.33
2007-06-29,20.43
2007-07-02,21.06
2007-07-03,21.65
2007-07-05,22.44
2007-07-06,22.1
2007-07-09,22.52
2007-07-10,22.43
2007-07-11,22.9
2007-07-12,23.29
2007-07-13,24.68
2007-07-16,24.08
2007-07-17,23.7
2007-07-18,23.24
2007-07-19,23.49
2007-07-20,23.23
2007-07-23,22.85
2007-07-24,22.24
2007-07-25,21.25
2007-07-26,20.36
2007-07-27,20.92
2007-07-30,21.67
2007-07-31,21.28
2007-08-01,20.3
2007-08-02,21
2007-08-03,20.51
2007-08-06,20.07
2007-08-07,20.49
2007-08-08,21
2007-08-09,20.4
2007-08-10,20.23
2007-08-13,20.49
2007-08-14,19.95
2007-08-15,19.12
2007-08-16,19
2007-08-17,19.3
2007-08-20,19.48
2007-08-21,19.49
2007-08-22,19.9
2007-08-23,20.06
2007-08-24,20.43
2007-08-27,20.16
2007-08-28,20.09
2007-08-29,20.94
2007-08-30,21.91
2007-08-31,22.17
2007-09-04,21.45
2007-09-05,21.9
2007-09-06,21.73
2007-09-07,20.57
2007-09-10,20.06
2007-09-11,20.1
2007-09-12,20.36
2007-09-13,20.1
2007-09-14,21.32
2007-09-17,21.3
2007-09-18,21.57
2007-09-19,21.57
2007-09-20,21.73
2007-09-21,22.2
2007-09-24,22.25
2007-09-25,22.1
2007-09-26,21.91
2007-09-27,23.4
2007-09-28,23.66
2007-10-01,23.88
2007-10-02,23.65
2007-10-03,23.76
2007-10-04,23.61
2007-10-05,24.15
2007-10-08,24.7
2007-10-09,24.48
2007-10-10,23.95
2007-10-11,23.41
2007-10-12,23.53
2007-10-15,23.2
2007-10-16,23.06
2007-10-17,23.02
2007-10-18,23.28
2007-10-19,23.43
2007-10-22,23.71
2007-10-23,23.95
2007-10-24,23.87
2007-10-25,24.35
2007-10-26,24.8
2007-10-29,24.63
2007-10-30,24.52
2007-10-31,24.71
2007-11-01,24.9
2007-11-02,24.95
2007-11-05,24.05
2007-11-06,24.5
2007-11-07,24.45
2007-11-08,24.11
2007-11-09,23.2
2007-11-12,22.95
2007-11-13,23.71
2007-11-14,23.51
2007-11-15,23.06
2007-11-16,22.92
2007-11-19,22.75
2007-11-20,22.6
2007-11-21,21.99
2007-11-23,23.04
2007-11-26,22.25
2007-11-27,22.17
2007-11-28,22.72
2007-11-29,22.52
2007-11-30,22.57
2007-12-03,22.65
2007-12-04,22.15
2007-12-05,22.7
2007-12-06,22.91
2007-12-07,22.65
2007-12-10,22.6
2007-12-11,22.22
2007-12-12,22.59
2007-12-13,22.42
2007-12-14,21.97
2007-12-17,22.16
2007-12-18,21.95
2007-12-19,22.25
2007-12-20,22.13
2007-12-21,22.1
2007-12-24,22.7
2007-12-26,22.3
2007-12-27,22.1
2007-12-28,21.91
2007-12-31,22
2008-01-02,21.95
2008-01-03,21.99
2008-01-04,22.1
2008-01-07,22.16
2008-01-08,21.75
2008-01-09,21.75
2008-01-10,21.61
2008-01-11,21.49
2008-01-14,21.9
2008-01-15,21.82
2008-01-16,21.7
2008-01-17,21.9
2008-01-18,21.86
2008-01-22,20.75
2008-01-23,20.3
2008-01-24,20.95
2008-01-25,21.11
2008-01-28,20.76
2008-01-29,20.97
2008-01-30,21
2008-01-31,20.58
2008-02-01,21.09
2008-02-04,21.11
2008-02-05,20.59
2008-02-06,20.15
2008-02-07,19.8
2008-02-08,19.35
2008-02-11,19.58
2008-02-12,19.61
2008-02-13,19.9
2008-02-14,19.49
2008-02-15,18.74
2008-02-19,18.92
2008-02-20,18.95
2008-02-21,18.9
2008-02-22,18.78
2008-02-25,18.91
2008-02-26,19.5
2008-02-27,20.05
2008-02-28,20.17
2008-02-29,19.95
2008-03-03,19.32
2008-03-04,19.35
2008-03-05,19.52
2008-03-06,19.25
2008-03-07,19.05
2008-03-10,18.66
2008-03-11,18.49
2008-03-12,18.22
2008-03-13,18.55
2008-03-14,18.27
2008-03-17,18.6
2008-03-18,18.76
2008-03-19,18.59
2008-03-20,18.5
2008-03-24,18.63
2008-03-25,18.38
2008-03-26,18.33
2008-03-27,18.99
2008-03-28,19.3
2008-03-31,19.62
2008-04-01,20.08
2008-04-02,19.9
2008-04-03,20.87
2008-04-04,20.28
2008-04-07,20.27
2008-04-08,20.13
2008-04-09,20.16
2008-04-10,20.6
2008-04-11,20.05
2008-04-14,20.24
2008-04-15,19.42
2008-04-16,20.08
2008-04-17,20.2
2008-04-18,20.13
2008-04-21,20.03
2008-04-22,19.23
2008-04-23,18.66
2008-04-24,18.94
2008-04-25,18.75
2008-04-28,18.81
2008-04-29,18.58
2008-04-30,18.79
2008-05-01,18.69
2008-05-02,18.46
2008-05-05,18.3
2008-05-06,18.38
2008-05-07,18.15
2008-05-08,18
2008-05-09,18.11
2008-05-12,17.45
2008-05-13,16.88
2008-05-14,16.99
2008-05-15,17
2008-05-16,16.9
2008-05-19,16.76
2008-05-20,16.85
2008-05-21,17.1
2008-05-22,17.61
2008-05-23,17.13
2008-05-27,16.47
2008-05-28,16.35
2008-05-29,16.59
2008-05-30,16.5
2008-06-02,16.33
2008-06-03,16.26
2008-06-04,16.26
2008-06-05,16.07
2008-06-06,15.72
2008-06-09,15.7
2008-06-10,15.35
2008-06-11,14.7
2008-06-12,14.29
2008-06-13,14.24
2008-06-16,13.66
2008-06-17,13
2008-06-18,12.85
2008-06-19,12.81
2008-06-20,12.66
2008-06-23,12.58
2008-06-24,12.5
2008-06-25,12.6
2008-06-26,12.14
2008-06-27,11.35
2008-06-30,11.4
2008-07-01,10.9
2008-07-02,10.61
2008-07-03,10.16
2008-07-07,10
2008-07-08,9.97
2008-07-09,9.96
2008-07-10,9.46
2008-07-11,9.35
2008-07-14,9.58
2008-07-15,9.54
2008-07-16,10
2008-07-17,10.19
2008-07-18,10.8
2008-07-21,12.26
2008-07-22,12.75
2008-07-23,12.88
2008-07-24,12.98
2008-07-25,13.16
2008-07-28,13.2
2008-07-29,13.36
2008-07-30,13.53
2008-07-31,13.2
2008-08-01,12.46
2008-08-04,12.22
2008-08-05,12.1
2008-08-06,12.03
2008-08-07,11.57
2008-08-08,11.36
2008-08-11,11.06
2008-08-12,10.93
2008-08-13,10.56
2008-08-14,10.59
2008-08-15,10.59
2008-08-18,10.64
2008-08-19,10.34
2008-08-20,10.27
2008-08-21,10.01
2008-08-22,9.91
2008-08-25,10.08
2008-08-26,10.25
2008-08-27,9.78
2008-08-28,10.04
2008-08-29,9.73
2008-09-02,9.9
2008-09-03,9.93
2008-09-04,9.91
2008-09-05,9.74
2008-09-08,9.78
2008-09-09,9.44
2008-09-10,9.26
2008-09-11,9.24
2008-09-12,8.9
2008-09-15,8.33
2008-09-16,8.17
2008-09-17,7.64
2008-09-18,7.96
2008-09-19,8.06
2008-09-22,8.24
2008-09-23,8.03
2008-09-24,7.9
2008-09-25,7.75
2008-09-26,7.68
2008-09-29,6.8
2008-09-30,6.5
2008-10-01,7.3
2008-10-02,7.2
2008-10-03,7.14
2008-10-06,6.6
2008-10-07,6.36
2008-10-08,6.06
2008-10-09,5.6
2008-10-10,5.3
2008-10-13,5.5
2008-10-14,6.29
2008-10-15,6.23
2008-10-16,5.9
2008-10-17,5.67
2008-10-20,5.2
2008-10-21,3.8
2008-10-22,3.16
2008-10-23,3.2
2008-10-24,3.1
2008-10-27,3.06
2008-10-28,3.45
2008-10-29,3.79
2008-10-30,3.68
2008-10-31,3.49
2008-11-03,3.97
2008-11-04,4.1
2008-11-05,3.88
2008-11-06,3.2
2008-11-07,3.48
2008-11-10,3.44
2008-11-11,3.31
2008-11-12,3.27
2008-11-13,3.39
2008-11-14,3.4
2008-11-17,3.48
2008-11-18,3.45
2008-11-19,3.39
2008-11-20,3.13
2008-11-21,3.46
2008-11-24,3.4
2008-11-25,3.7
2008-11-26,3.8
2008-11-28,4.18
2008-12-01,4.1
2008-12-02,4
2008-12-03,3.95
2008-12-04,4.07
2008-12-05,4
2008-12-08,3.82
2008-12-09,4.05
2008-12-10,4.33
2008-12-11,4.3
2008-12-12,4.27
2008-12-15,4.23
2008-12-16,4.17
2008-12-17,4.3
2008-12-18,4.3
2008-12-19,4.06
2008-12-22,4.2
2008-12-23,3.91
2008-12-24,3.67
2008-12-26,4
2008-12-29,3.87
2008-12-30,4
2008-12-31,4
2009-01-02,4.75
2009-01-05,4.75
2009-01-06,4.62
2009-01-07,4.62
2009-01-08,4.43
2009-01-09,4.48
2009-01-12,4.22
2009-01-13,4.46
2009-01-14,4.46
2009-01-15,4.68
2009-01-16,4.58
2009-01-20,4.53
2009-01-21,4.9
2009-01-22,4.4
2009-01-23,4.54
2009-01-26,4.62
2009-01-27,4.62
2009-01-28,4.21
2009-01-29,4.15
2009-01-30,4.39
2009-02-02,4
2009-02-03,4.03
2009-02-04,4.02
2009-02-05,3.95
2009-02-06,4.1
2009-02-09,4.01
2009-02-10,3.97
2009-02-11,3.98
2009-02-12,3.98
2009-02-13,3.9
2009-02-17,3.51
2009-02-18,3.65
2009-02-19,3.65
2009-02-20,3.47
2009-02-23,3.5
2009-02-24,3.64
2009-02-25,3.57
2009-02-26,3.74
2009-02-27,3.34
2009-03-02,3.2
2009-03-03,3.2
2009-03-04,3.41
2009-03-05,3.3
2009-03-06,3.5
2009-03-09,3.47
2009-03-10,3.72
2009-03-11,3.78
2009-03-12,3.9
2009-03-13,3.8
2009-03-16,3.75
2009-03-17,3.77
2009-03-18,3.75
2009-03-19,3.44
2009-03-20,3.41
2009-03-23,3.45
2009-03-24,3.34
2009-03-25,3.37
2009-03-26,3.81
2009-03-27,3.68
2009-03-30,3.66
2009-03-31,3.9
2009-04-01,3.85
2009-04-02,4
2009-04-03,3.66
2009-04-06,3.7
2009-04-07,3.65
2009-04-08,3.73
2009-04-09,3.8
2009-04-13,3.8
2009-04-14,3.84
2009-04-15,3.83
2009-04-16,4.11
2009-04-17,4.12
2009-04-20,4.05
2009-04-21,4.3
2009-04-22,4.29
2009-04-23,4.35
2009-04-24,4.06
2009-04-27,4.28
2009-04-28,4.11
2009-04-29,4.11
2009-04-30,4.25
2009-05-01,4.39
2009-05-04,4.65
2009-05-05,4.61
2009-05-06,5.01
2009-05-07,5.02
2009-05-08,5.43
2009-05-11,5.65
2009-05-12,5.63
