"Index","ELLO.Close"
2011-01-03,0.7
2011-01-04,0.68
2011-01-05,0.69
2011-01-06,0.7
2011-01-10,0.67
2011-01-11,0.72
2011-01-13,0.7
2011-01-14,0.72
2011-01-19,0.72
2011-01-20,0.69
2011-01-21,0.7
2011-01-24,0.69
2011-01-27,0.72
2011-01-31,0.69
2011-02-01,0.7
2011-02-02,0.7
2011-02-03,0.71
2011-02-08,0.69
2011-02-10,0.69
2011-02-11,0.69
2011-02-14,0.69
2011-02-15,0.69
2011-02-16,0.69
2011-02-17,0.67
2011-02-18,0.67
2011-02-22,0.7
2011-02-23,0.67
2011-02-24,0.67
2011-02-28,0.65
2011-03-01,0.67
2011-03-02,0.68
2011-03-03,0.67
2011-03-04,0.68
2011-03-07,0.68
2011-03-09,0.68
2011-03-10,0.67
2011-03-15,0.64
2011-03-16,0.62
2011-03-17,0.62
2011-03-23,0.63
2011-03-24,0.65
2011-03-28,0.67
2011-03-29,0.68
2011-03-30,0.68
2011-04-12,0.65
2011-04-20,0.7
2011-04-28,0.66
2011-05-02,0.67
2011-05-05,0.67
2011-05-06,0.67
2011-05-12,0.66
2011-05-16,0.66
2011-05-23,0.62
2011-05-31,0.6
2011-06-01,0.67
2011-06-02,0.6
2011-06-03,0.6
2011-06-06,0.64
2011-06-07,0.63
2011-06-08,0.61
2011-06-09,6.5
2011-06-10,6.5
2011-06-13,6.5
2011-06-14,7
2011-06-15,6.5
2011-06-16,6.5
2011-06-17,8
2011-06-20,7.3
2011-06-21,7.3
2011-06-22,7.05
2011-06-23,7.11
2011-06-24,7.14
2011-06-27,7.13
2011-06-28,6.52
2011-06-29,6.51
2011-06-30,7.09
2011-07-01,7.09
2011-07-05,7.09
2011-07-06,6
2011-07-07,7
2011-07-08,6.5
2011-07-12,7
2011-07-15,6
2011-07-19,6.11
2011-07-20,6.11
2011-07-21,6.7
2011-07-25,6.3
2011-07-26,6.5
2011-07-29,6.95
2011-08-01,7
2011-08-02,6.95
2011-08-03,7
2011-08-04,6.5
2011-08-05,6.5
2011-08-08,6.2
2011-08-11,6.1
2011-08-12,6.48
2011-08-19,6.02
2011-08-22,6.48
2011-08-23,6.42
2011-08-24,6.5
2011-08-25,6.45
2011-08-26,6.1
2011-08-29,6.38
2011-08-30,6.45
2011-08-31,6.5
2011-09-01,6.45
2011-09-02,6.38
2011-09-06,6.38
2011-09-07,6.28
2011-09-08,6.33
2011-09-12,6.07
2011-09-13,6.05
2011-09-14,6.16
2011-09-15,6.16
2011-09-16,6.13
2011-09-19,6.05
2011-09-20,6.05
2011-09-21,6.1
2011-09-22,5.98
2011-09-23,6.03
2011-10-03,5.8
2011-10-04,5.71
2011-10-05,5.41
2011-10-06,5.41
2011-10-10,5.46
2011-10-13,5.5
2011-10-14,5.45
2011-10-17,5.55
2011-10-19,5.45
2011-10-20,5.45
2011-10-21,5.61
2011-10-24,5.73
2011-10-25,5.73
2011-10-26,5.85
2011-10-27,5.9
2011-10-31,5.81
2011-11-01,5.74
2011-11-02,5.97
2011-11-03,5.95
2011-11-04,5.85
2011-11-08,5.88
2011-11-09,5.88
2011-11-10,5.75
2011-11-14,6
2011-11-16,6
2011-11-18,5.99
2011-11-21,5.84
2011-11-22,5.79
2011-11-23,5.74
2011-11-28,5.71
2011-11-29,5.66
2011-11-30,5.71
2011-12-01,5.51
2011-12-02,5.55
2011-12-05,5.6
2011-12-06,5.6
2011-12-07,5.52
2011-12-08,5.6
2011-12-12,5.55
2011-12-14,5.52
2011-12-15,5.51
2011-12-16,5.53
2011-12-19,5.47
2011-12-20,5.55
2011-12-21,5.55
2011-12-22,5.75
2011-12-23,5.72
2011-12-27,5.59
2011-12-28,5.55
2011-12-29,5.55
2011-12-30,5.6
2012-01-03,5.53
2012-01-04,5.83
2012-01-05,5.68
2012-01-06,5.49
2012-01-09,4.28
2012-01-10,5.9
2012-01-17,6
2012-01-18,5.9
2012-01-19,6
2012-01-20,6
2012-01-24,5.88
2012-01-25,5.88
2012-01-26,6
2012-01-27,5.76
2012-01-30,5.81
2012-01-31,5.91
2012-02-01,5.76
2012-02-02,5.75
2012-02-03,5.75
2012-02-06,4.72
2012-02-07,5.85
2012-02-08,5.99
2012-02-09,5.85
2012-02-13,5.9
2012-02-14,5.86
2012-02-15,5.83
2012-02-16,5.83
2012-02-17,4.78
2012-02-21,6
2012-02-22,4.92
2012-02-23,4.38
2012-02-24,4.92
2012-02-27,5.81
2012-02-28,5.7
2012-02-29,5.61
2012-03-01,5.38
2012-03-02,5.47
2012-03-05,5.37
2012-03-06,5.75
2012-03-07,5.6
2012-03-08,5.7
2012-03-09,5.75
2012-03-12,5.75
2012-03-13,5.85
2012-03-14,5.85
2012-03-15,5.9
2012-03-16,5.88
2012-03-19,5.9
2012-03-20,6.12
2012-03-21,6.24
2012-03-22,6.49
2012-03-23,6.47
2012-03-26,6.5
2012-03-27,6.55
2012-03-28,6.55
2012-03-29,5.36
2012-03-30,6.55
2012-04-02,5.37
2012-04-03,6.6
2012-04-04,6.54
2012-04-05,5.41
2012-04-09,7.7
2012-04-10,7.1
2012-04-11,6.62
2012-04-12,6.86
2012-04-13,6.86
2012-04-16,6.65
2012-04-17,6.77
2012-04-18,6.6
2012-04-19,6.5
2012-04-20,5.33
2012-04-23,7.1
2012-04-24,6.44
2012-04-25,6.5
2012-04-26,6.55
2012-04-27,6.55
2012-04-30,6.3
2012-05-01,6.35
2012-05-02,6.35
2012-05-03,6.4
2012-05-04,6.3
2012-05-07,6.3
2012-05-08,6.1
2012-05-09,6.1
2012-05-10,6.11
2012-05-11,6.11
2012-05-14,6.11
2012-05-15,6
2012-05-16,6
2012-05-17,6
2012-05-18,5.95
2012-05-21,6
2012-05-22,6
2012-05-23,6
2012-05-24,5.85
2012-05-25,5.65
2012-05-29,5.65
2012-05-30,5.65
2012-05-31,5.8
2012-06-01,5.93
2012-06-04,5.89
2012-06-05,5.65
2012-06-06,5.38
2012-06-07,5.72
2012-06-08,5.82
2012-06-11,5.82
2012-06-12,5.82
2012-06-13,5.82
2012-06-14,5.85
2012-06-15,5.85
2012-06-18,5.85
2012-06-19,6
2012-06-20,5.99
2012-06-21,5.99
2012-06-22,5.99
2012-06-25,5.79
2012-06-26,5.64
2012-06-27,5.64
2012-06-28,5.64
2012-06-29,6
2012-07-02,6
2012-07-03,6
2012-07-05,5.9
2012-07-06,5.9
2012-07-09,5.9
2012-07-10,5.5
2012-07-11,5.45
2012-07-12,5.4
2012-07-13,5.48
2012-07-16,5.47
2012-07-17,5.2
2012-07-18,5.15
2012-07-19,5.15
2012-07-20,5.15
2012-07-23,5.15
2012-07-24,5.25
2012-07-25,5.25
2012-07-26,5.15
2012-07-27,5.15
2012-07-30,5.15
2012-07-31,5.24
2012-08-01,4.3
2012-08-02,5.24
2012-08-03,5.24
2012-08-06,5.24
2012-08-07,5.24
2012-08-08,5.24
2012-08-09,4.8
2012-08-10,5.1
2012-08-13,5.1
2012-08-14,5.15
2012-08-15,4.95
2012-08-16,4.9
2012-08-17,5
2012-08-20,4.51
2012-08-21,4.75
2012-08-22,4.75
2012-08-23,4.67
2012-08-24,4.75
2012-08-27,4.51
2012-08-28,4.51
2012-08-29,4.75
2012-08-30,4.51
2012-08-31,4.51
2012-09-04,4.85
2012-09-05,4.51
2012-09-06,4.25
2012-09-07,5.02
2012-09-10,4.99
2012-09-11,4.51
2012-09-12,4.94
2012-09-13,4.51
2012-09-14,4.97
2012-09-17,4.51
2012-09-18,4.51
2012-09-19,4.51
2012-09-20,4.51
2012-09-21,4.51
2012-09-24,4.95
2012-09-25,4.51
2012-09-26,4.51
2012-09-27,4.51
2012-09-28,5.06
2012-10-01,4.51
2012-10-02,5
2012-10-03,5.02
2012-10-04,4.51
2012-10-05,4.51
2012-10-08,4.51
2012-10-09,4.51
2012-10-10,4.99
2012-10-11,5
2012-10-12,4.51
2012-10-15,5
2012-10-16,4.96
2012-10-17,5
2012-10-18,5.04
2012-10-19,4.51
2012-10-22,5.1
2012-10-23,4.99
2012-10-24,4.95
2012-10-25,4.51
2012-10-26,4.51
2012-10-31,4.97
2012-11-01,5.29
2012-11-02,5.25
2012-11-05,5.2
2012-11-06,5.22
2012-11-07,5.05
2012-11-08,6
2012-11-09,5.05
2012-11-12,4.92
2012-11-13,5.92
2012-11-14,5.35
2012-11-15,5.67
2012-11-16,5.11
2012-11-19,5.01
2012-11-20,5.5
2012-11-21,5.6
2012-11-23,5.32
2012-11-26,5.32
2012-11-27,5.41
2012-11-28,5.61
2012-11-29,5.61
2012-11-30,6
2012-12-03,6
2012-12-04,5.98
2012-12-05,5.77
2012-12-06,5.69
2012-12-07,5.55
2012-12-10,5.55
2012-12-11,5.68
2012-12-12,5.78
2012-12-13,5.78
2012-12-14,5.84
2012-12-17,5.93
2012-12-18,5.8
2012-12-19,5.78
2012-12-20,5.7
2012-12-21,5.7
2012-12-24,5.79
2012-12-26,5.79
2012-12-27,5.8
2012-12-28,5.8
2012-12-31,5.98
2013-01-02,6.1
2013-01-03,6.2
2013-01-04,6.34
2013-01-07,6.32
2013-01-08,6.28
2013-01-09,6.18
2013-01-10,6.21
2013-01-11,6.21
2013-01-14,6.27
2013-01-15,6.17
2013-01-16,6.25
2013-01-17,6.27
2013-01-18,6.3
2013-01-22,6.31
2013-01-23,6.31
2013-01-24,6.48
2013-01-25,6.48
2013-01-28,6.51
2013-01-29,6.51
2013-01-30,6.57
2013-01-31,6.77
2013-02-01,6.67
2013-02-04,6.67
2013-02-05,6.63
2013-02-06,6.59
2013-02-07,6.75
2013-02-08,6.75
2013-02-11,6.75
2013-02-12,6.75
2013-02-13,6.73
2013-02-14,6.45
2013-02-15,6.49
2013-02-19,6.49
2013-02-20,6.7
2013-02-21,6.68
2013-02-22,6.78
2013-02-25,6.75
2013-02-26,6.73
2013-02-27,6.75
2013-02-28,7.06
2013-03-01,7.05
2013-03-04,7.01
2013-03-05,7.01
2013-03-06,7.04
2013-03-07,7.24
2013-03-08,7.32
2013-03-11,7.37
2013-03-12,7.37
2013-03-13,7.47
2013-03-14,7.35
2013-03-15,7.35
2013-03-18,7.35
2013-03-19,7.35
2013-03-20,7.35
2013-03-21,7.25
2013-03-22,7.3
2013-03-25,7.2
2013-03-26,7.27
2013-03-27,7.25
2013-03-28,7.25
2013-04-01,7.25
2013-04-02,7.25
2013-04-03,7.25
2013-04-04,7.25
2013-04-05,7.25
2013-04-08,7.25
2013-04-09,7.25
2013-04-10,7.25
2013-04-11,7.2
2013-04-12,7.2
2013-04-15,7.2
2013-04-16,7.15
2013-04-17,7.1
2013-04-18,7.15
2013-04-19,7.15
2013-04-22,7.15
2013-04-23,7.25
2013-04-24,7.25
2013-04-25,7.25
2013-04-26,7.25
2013-04-29,7.3
2013-04-30,7.35
2013-05-01,7.3
2013-05-02,7.3
2013-05-03,7.3
2013-05-06,7.3
2013-05-07,7.26
2013-05-08,7.2
2013-05-09,7.52
2013-05-10,7.6
2013-05-13,7.65
2013-05-14,7.65
2013-05-15,7.65
2013-05-16,7.73
2013-05-17,7.6
2013-05-20,7.67
2013-05-21,7.6
2013-05-22,7.6
2013-05-23,7.6
2013-05-24,7.62
2013-05-28,7.66
2013-05-29,7.62
2013-05-30,7.62
2013-05-31,7.62
2013-06-03,7.53
2013-06-04,7.65
2013-06-05,7.69
2013-06-06,7.55
2013-06-07,7.55
2013-06-10,7.61
2013-06-11,7.68
2013-06-12,7.65
2013-06-13,7.65
2013-06-14,7.63
2013-06-17,7.69
2013-06-18,7.72
2013-06-19,7.69
2013-06-20,7.67
2013-06-21,7.63
2013-06-24,7.69
2013-06-25,7.68
2013-06-26,7.68
2013-06-27,7.68
2013-06-28,7.68
2013-07-01,7.7
2013-07-02,7.78
2013-07-03,7.78
2013-07-05,7.95
2013-07-08,8
2013-07-09,8.07
2013-07-10,8.07
2013-07-11,8.05
2013-07-12,8.19
2013-07-15,8.25
2013-07-16,8.35
2013-07-17,8.3
2013-07-18,8.45
2013-07-19,8.22
2013-07-22,8.22
2013-07-23,8.22
2013-07-24,8.13
2013-07-25,8.21
2013-07-26,8.35
2013-07-29,8.35
2013-07-30,8.42
2013-07-31,8.48
2013-08-01,8.48
2013-08-02,8.29
2013-08-05,8.07
2013-08-06,8.02
2013-08-07,8.41
2013-08-08,8.25
2013-08-09,8.23
2013-08-12,7.93
2013-08-13,8.42
2013-08-14,8.32
2013-08-15,8.35
2013-08-16,8.4
2013-08-19,8.55
2013-08-20,8.27
2013-08-21,8.31
2013-08-22,8.5
2013-08-23,8.67
2013-08-26,8.6
2013-08-27,8.48
2013-08-28,8.32
2013-08-29,8.36
2013-08-30,8.49
2013-09-03,8.32
2013-09-04,8.32
2013-09-05,8.36
2013-09-06,8.48
2013-09-09,8.36
2013-09-10,8.36
2013-09-11,8.39
2013-09-12,8.48
2013-09-13,8.48
2013-09-16,8.45
2013-09-17,8.42
2013-09-18,8.59
2013-09-19,8.5
2013-09-20,8.54
2013-09-23,9
2013-09-24,8.8
2013-09-25,8.85
2013-09-26,8.94
2013-09-27,8.85
2013-09-30,8.99
2013-10-01,9.18
2013-10-02,9.11
2013-10-03,8.39
2013-10-04,8.66
2013-10-07,8.68
2013-10-08,8.51
2013-10-09,8.74
2013-10-10,8.71
2013-10-11,8.94
2013-10-14,8.9
2013-10-15,8.93
2013-10-16,8.79
2013-10-17,9.18
2013-10-18,9.99
2013-10-21,10.52
2013-10-22,11.05
2013-10-23,10.84
2013-10-24,10.9
2013-10-25,11.24
2013-10-28,11.37
2013-10-29,10.95
2013-10-30,10.68
2013-10-31,10.65
2013-11-01,10.6
2013-11-04,10.6
2013-11-05,10.62
2013-11-06,10.7
2013-11-07,10.5
2013-11-08,10.5
2013-11-11,10.96
2013-11-12,10.55
2013-11-13,10.69
2013-11-14,10.05
2013-11-15,9.85
2013-11-18,10.14
2013-11-19,10.08
2013-11-20,9.93
2013-11-21,9.45
2013-11-22,9.39
2013-11-25,9.39
2013-11-26,9.05
2013-11-27,9.2
2013-11-29,9.25
2013-12-02,9.55
2013-12-03,9.47
2013-12-04,9.32
2013-12-05,9.32
2013-12-06,9.32
2013-12-09,9.45
2013-12-10,9.4
2013-12-11,9.4
2013-12-12,9.4
2013-12-13,9.4
2013-12-16,9.16
2013-12-17,9.16
2013-12-18,9.16
2013-12-19,9.31
2013-12-20,9.2
2013-12-23,9.24
2013-12-24,9.21
2013-12-26,9.4
2013-12-27,9.5
2013-12-30,9.57
2013-12-31,9.74
2014-01-02,10.49
2014-01-03,10.3
2014-01-06,10.24
2014-01-07,10.59
2014-01-08,10.32
2014-01-09,10.32
2014-01-10,10.21
2014-01-13,10.2
2014-01-14,10.14
2014-01-15,10.14
2014-01-16,10.08
2014-01-17,10.08
2014-01-21,9.99
2014-01-22,10.25
2014-01-23,9.91
2014-01-24,9.91
2014-01-27,10
2014-01-28,10
2014-01-29,9.85
2014-01-30,9.85
2014-01-31,9.86
2014-02-03,9.59
2014-02-04,9.5
2014-02-05,9.5
2014-02-06,9.36
2014-02-07,9.4
2014-02-10,9.43
2014-02-11,9.45
2014-02-12,9.45
2014-02-13,9.35
2014-02-14,9.3
2014-02-18,9.7
2014-02-19,9.7
2014-02-20,9.8
2014-02-21,9.8
2014-02-24,9.93
2014-02-25,9.93
2014-02-26,9.93
2014-02-27,9.96
2014-02-28,9.96
2014-03-03,9.85
2014-03-04,9.85
2014-03-05,9.85
2014-03-06,9.68
2014-03-07,9.68
2014-03-10,9.85
2014-03-11,9.85
2014-03-12,10.1
2014-03-13,10.1
2014-03-14,10
2014-03-17,10
2014-03-18,10
2014-03-19,10.07
2014-03-20,10.07
2014-03-21,10.07
2014-03-24,10.07
2014-03-25,10
2014-03-26,9.87
2014-03-27,9.87
2014-03-28,9.87
2014-03-31,9.82
2014-04-01,9.5
2014-04-02,9.63
2014-04-03,9.65
2014-04-04,9.5
2014-04-07,9.5
2014-04-08,9.67
2014-04-09,9.67
2014-04-10,9.67
2014-04-11,9.67
2014-04-14,9.67
2014-04-15,9.67
2014-04-16,9.82
2014-04-17,9.68
2014-04-21,9.68
2014-04-22,9.65
2014-04-23,9.68
2014-04-24,9.6
2014-04-25,9.6
2014-04-28,9.7
2014-04-29,9.85
2014-04-30,9.63
2014-05-01,9.63
2014-05-05,9.6
2014-05-06,9.6
2014-05-07,9.6
2014-05-08,9.6
2014-05-09,9.6
2014-05-12,9.75
2014-05-13,9.94
2014-05-14,9.75
2014-05-15,10.25
2014-05-16,10.2
2014-05-19,10.15
2014-05-20,10.04
2014-05-21,10.17
2014-05-22,10.17
2014-05-23,10.17
2014-05-27,10.15
2014-05-28,10.2
2014-05-29,10.22
2014-05-30,10.39
2014-06-02,10.29
2014-06-03,10.29
2014-06-04,10.29
2014-06-05,10.3
2014-06-06,10.3
2014-06-09,10.33
2014-06-10,10.59
2014-06-11,10.34
2014-06-12,10.01
2014-06-13,10.01
2014-06-16,10.29
2014-06-17,10.29
2014-06-18,10.27
2014-06-19,10.3
2014-06-20,10.3
2014-06-23,10.3
2014-06-24,10.49
2014-06-25,10.49
2014-06-26,9.81
2014-06-27,9.5
2014-06-30,9.72
2014-07-01,9.72
2014-07-02,9.91
2014-07-03,9.91
2014-07-07,9.75
2014-07-08,9.35
2014-07-09,9.44
2014-07-10,9.44
2014-07-11,9.35
2014-07-14,9.4
2014-07-15,9.4
2014-07-16,9.4
2014-07-17,9.4
2014-07-18,9.4
2014-07-21,9.48
2014-07-22,9.45
2014-07-23,9.45
2014-07-24,9.49
2014-07-25,9.61
2014-07-28,9.55
2014-07-29,9.54
2014-07-30,9.38
2014-07-31,9.5
2014-08-01,9.37
2014-08-04,9.21
2014-08-05,9.47
2014-08-06,9.47
2014-08-07,9.47
2014-08-08,9.1
2014-08-11,9.39
2014-08-12,9.39
2014-08-13,9.26
2014-08-14,9.27
2014-08-15,9.23
2014-08-18,8.95
2014-08-19,8.7
