"Index","EPAX.Close"
2007-01-03,30.52
2007-01-04,30.7
2007-01-05,28.51
2007-01-08,28.33
2007-01-09,28.88
2007-01-10,29.18
2007-01-11,29.16
2007-01-12,28.85
2007-01-16,28
2007-01-17,29.02
2007-01-18,28.16
2007-01-19,27.98
2007-01-22,28
2007-01-23,28.07
2007-01-24,28.62
2007-01-25,28.01
2007-01-26,28.05
2007-01-29,28.01
2007-01-30,28.17
2007-01-31,28.03
2007-02-01,28.1
2007-02-02,28.1
2007-02-05,28
2007-02-06,28.04
2007-02-07,28.83
2007-02-08,29.56
2007-02-09,29.58
2007-02-12,30.16
2007-02-13,31.02
2007-02-14,31
2007-02-15,30.64
2007-02-16,30.4
2007-02-20,30.77
2007-02-21,30.5
2007-02-22,31.16
2007-02-23,30.68
2007-02-26,31.41
2007-02-27,30.05
2007-02-28,29.7
2007-03-01,31.11
2007-03-02,31.02
2007-03-05,30.56
2007-03-06,31.54
2007-03-07,31.16
2007-03-08,31.87
2007-03-09,32.38
2007-03-12,33.03
2007-03-13,32.74
2007-03-14,32.56
2007-03-15,32.45
2007-03-16,33.06
2007-03-19,32.95
2007-03-20,33
2007-03-21,33.55
2007-03-22,33.25
2007-03-23,33
2007-03-26,33.24
2007-03-27,32.83
2007-03-28,33.07
2007-03-29,33.35
2007-03-30,33.24
2007-04-02,34.2
2007-04-03,33.94
2007-04-04,33.66
2007-04-05,33.39
2007-04-09,34.17
2007-04-10,33.6
2007-04-11,33.24
2007-04-12,33.27
2007-04-13,33.2
2007-04-16,34.35
2007-04-17,34.14
2007-04-18,33.82
2007-04-19,33.5
2007-04-20,34.18
2007-04-23,34.04
2007-04-24,33.41
2007-04-25,33.37
2007-04-26,33.69
2007-04-27,33.49
2007-04-30,33.52
2007-05-01,33.55
2007-05-02,34.65
2007-05-03,33.72
2007-05-04,34.41
2007-05-07,33.48
2007-05-08,33.89
2007-05-09,33.85
2007-05-10,33
2007-05-11,33.36
2007-05-14,32.98
2007-05-15,32.61
2007-05-16,32.55
2007-05-17,32.51
2007-05-18,33.33
2007-05-21,33.4
2007-05-22,33.51
2007-05-23,33.12
2007-05-24,33.43
2007-05-25,33.56
2007-05-29,34.04
2007-05-30,33.9
2007-05-31,34.28
2007-06-01,34.69
2007-06-04,34.63
2007-06-05,33.29
2007-06-06,33.2
2007-06-07,32.97
2007-06-08,33.64
2007-06-11,33.43
2007-06-12,33.32
2007-06-13,33.77
2007-06-14,33
2007-06-15,33.96
2007-06-18,33.6
2007-06-19,34.1
2007-06-20,34.06
2007-06-21,34.09
2007-06-22,34.53
2007-06-25,34.27
2007-06-26,34.7
2007-06-27,35.2
2007-06-28,35.19
2007-06-29,35.53
2007-07-02,35.65
2007-07-03,35.31
2007-07-05,36.17
2007-07-06,35.66
2007-07-09,35.91
2007-07-10,35.41
2007-07-11,35.86
2007-07-12,36.55
2007-07-13,36.43
2007-07-16,36.88
2007-07-17,36.55
2007-07-18,35.6
2007-07-19,35.42
2007-07-20,34.38
2007-07-23,34.02
2007-07-24,36.25
2007-07-25,37.28
2007-07-26,36.53
2007-07-27,36.5
2007-07-30,37.54
2007-07-31,38.69
2007-08-01,38.94
2007-08-02,39.65
2007-08-03,38.48
2007-08-06,39
2007-08-07,39.34
2007-08-08,38.54
2007-08-09,37.12
2007-08-10,38.24
2007-08-13,38.93
2007-08-14,38.43
2007-08-15,38.64
2007-08-16,37.49
2007-08-17,37.98
2007-08-20,37.57
2007-08-21,37.94
2007-08-22,38.76
2007-08-23,38.78
2007-08-24,39.02
2007-08-27,38.61
2007-08-28,38.76
2007-08-29,38.85
2007-08-30,38.47
2007-08-31,38.77
2007-09-04,38.7
2007-09-05,38.79
2007-09-06,38.46
2007-09-07,37.9
2007-09-10,37.78
2007-09-11,38.01
2007-09-12,37.78
2007-09-13,37.29
2007-09-14,37.38
2007-09-17,37.26
2007-09-18,38.1
2007-09-19,38.92
2007-09-20,38.31
2007-09-21,38.33
2007-09-24,38.33
2007-09-25,38.04
2007-09-26,38.7
2007-09-27,38.6
2007-09-28,38.1
2007-10-01,38.22
2007-10-02,38.2
2007-10-03,38.53
2007-10-04,38.47
2007-10-05,38.63
2007-10-08,38.5
2007-10-09,39
2007-10-10,40.92
2007-10-11,40.13
2007-10-12,40.55
2007-10-15,40.05
2007-10-16,40.39
2007-10-17,40.85
2007-10-18,40.99
2007-10-19,39.21
2007-10-22,39.95
2007-10-23,22.22
2007-10-24,21.03
2007-10-25,19
2007-10-26,19.03
2007-10-29,18.38
2007-10-30,17.82
2007-10-31,18.17
2007-11-01,17.92
2007-11-02,18.21
2007-11-05,18.01
2007-11-06,17.5
2007-11-07,17.09
2007-11-08,17.11
2007-11-09,17.23
2007-11-12,17.24
2007-11-13,17.59
2007-11-14,17.27
2007-11-15,17.59
2007-11-16,18.61
2007-11-19,18.51
2007-11-20,18.67
2007-11-21,18.45
