"Index","ESWB.Close"
2007-01-03,0.48
2007-01-04,0.48
2007-01-05,0.48
2007-01-08,0.48
2007-01-09,0.48
2007-01-10,0.48
2007-01-11,0.48
2007-01-12,0.48
2007-01-16,0.48
2007-01-17,0.48
2007-01-18,0.48
2007-01-19,0.48
2007-01-22,0.35
2007-01-23,0.35
2007-01-24,0.35
2007-01-25,0.35
2007-01-26,0.3
2007-01-29,0.4
2007-01-30,0.4
2007-01-31,0.4
2007-02-01,0.36
2007-02-02,0.36
2007-02-05,0.36
2007-02-06,0.36
2007-02-07,0.36
2007-02-08,0.36
2007-02-09,0.36
2007-02-12,0.42
2007-02-13,0.42
2007-02-14,0.42
2007-02-15,0.4
2007-02-16,0.44
2007-02-20,0.45
2007-02-21,0.45
2007-02-22,0.45
2007-02-23,0.42
2007-02-26,0.35
2007-02-27,0.35
2007-02-28,0.44
2007-03-01,0.44
2007-03-02,0.43
2007-03-05,0.43
2007-03-06,0.43
2007-03-07,0.43
2007-03-08,0.43
2007-03-09,0.43
2007-03-12,0.41
2007-03-13,0.41
2007-03-14,0.4
2007-03-15,0.4
2007-03-16,0.4
2007-03-19,0.4
2007-03-20,0.37
2007-03-21,0.37
2007-03-22,0.37
2007-03-23,0.37
2007-03-26,0.37
2007-03-27,0.4
2007-03-28,0.4
2007-03-29,0.4
2007-03-30,0.4
2007-04-02,0.35
2007-04-03,0.35
2007-04-04,0.37
2007-04-05,0.39
2007-04-09,0.39
2007-04-10,0.39
2007-04-11,0.39
2007-04-12,0.39
2007-04-13,0.39
2007-04-16,0.37
2007-04-17,0.37
2007-04-18,0.37
2007-04-19,0.37
2007-04-20,0.37
2007-04-23,0.37
2007-04-24,0.35
2007-04-25,0.35
2007-04-26,0.34
2007-04-27,0.34
2007-04-30,0.42
2007-05-01,0.42
2007-05-02,0.42
2007-05-03,0.42
2007-05-04,0.4
2007-05-07,0.4
2007-05-08,0.4
2007-05-09,0.4
2007-05-10,0.4
2007-05-11,0.4
2007-05-14,0.4
2007-05-15,0.4
2007-05-16,0.4
2007-05-17,0.4
