"Index","FLEX.Close"
2007-01-03,11.39
2007-01-04,11.53
2007-01-05,11.59
2007-01-08,11.73
2007-01-09,11.58
2007-01-10,11.63
2007-01-11,11.81
2007-01-12,12.08
2007-01-16,12.16
2007-01-17,11.95
2007-01-18,11.81
2007-01-19,11.83
2007-01-22,11.56
2007-01-23,11.56
2007-01-24,11.56
2007-01-25,11.34
2007-01-26,11.31
2007-01-29,11.25
2007-01-30,11.4
2007-01-31,11.63
2007-02-01,11.61
2007-02-02,11.49
2007-02-05,11.15
2007-02-06,11.39
2007-02-07,11.55
2007-02-08,11.6
2007-02-09,11.49
2007-02-12,11.4
2007-02-13,11.54
2007-02-14,11.69
2007-02-15,12.01
2007-02-16,11.96
2007-02-20,11.88
2007-02-21,12.02
2007-02-22,12.01
2007-02-23,11.92
2007-02-26,11.74
2007-02-27,11.28
2007-02-28,10.93
2007-03-01,10.98
2007-03-02,10.8
2007-03-05,10.8
2007-03-06,11.09
2007-03-07,10.97
2007-03-08,11
2007-03-09,11.07
2007-03-12,11.25
2007-03-13,11.07
2007-03-14,11.1
2007-03-15,11.15
2007-03-16,11.01
2007-03-19,11.04
2007-03-20,11.02
2007-03-21,11.33
2007-03-22,11.08
2007-03-23,11.17
2007-03-26,11.19
2007-03-27,11.02
2007-03-28,10.75
2007-03-29,10.85
2007-03-30,10.94
2007-04-02,10.91
2007-04-03,10.95
2007-04-04,11.11
2007-04-05,11.02
2007-04-09,11.05
2007-04-10,10.92
2007-04-11,10.87
2007-04-12,10.97
2007-04-13,11.06
2007-04-16,11.23
2007-04-17,11.35
2007-04-18,11.14
2007-04-19,11.16
2007-04-20,11.12
2007-04-23,11.1
2007-04-24,11.1
2007-04-25,11.16
2007-04-26,11.26
2007-04-27,11.62
2007-04-30,11.15
2007-05-01,11.27
2007-05-02,11.49
2007-05-03,11.67
2007-05-04,11.65
2007-05-07,11.48
2007-05-08,11.66
2007-05-09,11.72
2007-05-10,11.41
2007-05-11,11.47
2007-05-14,11.33
2007-05-15,11.29
2007-05-16,11.38
2007-05-17,11.2
2007-05-18,11.21
2007-05-21,11.34
2007-05-22,11.35
2007-05-23,11.34
2007-05-24,11.27
2007-05-25,11.13
2007-05-29,11.1
2007-05-30,11.3
2007-05-31,11.55
2007-06-01,11.7
2007-06-04,11.54
2007-06-05,10.91
2007-06-06,11.05
2007-06-07,10.89
2007-06-08,10.86
2007-06-11,11.11
2007-06-12,11.05
2007-06-13,11.13
2007-06-14,11.13
2007-06-15,11.08
2007-06-18,11.18
2007-06-19,11.19
2007-06-20,11.06
2007-06-21,11.28
2007-06-22,11.1
2007-06-25,10.98
2007-06-26,10.8
2007-06-27,11.03
2007-06-28,11.16
2007-06-29,10.8
2007-07-02,11.05
2007-07-03,11.18
2007-07-05,11.04
2007-07-06,11.03
2007-07-09,11.09
2007-07-10,10.89
2007-07-11,10.99
2007-07-12,11.13
2007-07-13,11.08
2007-07-16,11.27
2007-07-17,11.39
2007-07-18,11.26
2007-07-19,11.45
2007-07-20,11.4
2007-07-23,11.48
2007-07-24,11.4
2007-07-25,11.48
2007-07-26,11.16
2007-07-27,11.17
2007-07-30,11.14
2007-07-31,11.17
2007-08-01,11.38
2007-08-02,11.44
2007-08-03,11.1
2007-08-06,11.03
2007-08-07,11.13
2007-08-08,11.54
2007-08-09,11.47
2007-08-10,11.71
2007-08-13,11.58
2007-08-14,11.32
2007-08-15,11.02
2007-08-16,11.07
2007-08-17,11.15
2007-08-20,10.99
2007-08-21,10.97
2007-08-22,11.18
2007-08-23,10.92
2007-08-24,11.14
2007-08-27,10.98
2007-08-28,10.8
2007-08-29,11.18
2007-08-30,11.33
2007-08-31,11.39
2007-09-04,11.75
2007-09-05,11.91
2007-09-06,12.02
2007-09-07,11.87
2007-09-10,11.92
2007-09-11,11.92
2007-09-12,11.77
2007-09-13,11.92
2007-09-14,11.8
2007-09-17,11.76
2007-09-18,11.92
2007-09-19,11.68
2007-09-20,11.61
2007-09-21,11.6
2007-09-24,11.49
2007-09-25,11.57
2007-09-26,11.47
2007-09-27,11.4
2007-09-28,11.18
2007-10-01,11.2
2007-10-02,11.28
2007-10-03,11.27
2007-10-04,11.19
2007-10-05,11.46
2007-10-08,11.43
2007-10-09,11.56
2007-10-10,11.72
2007-10-11,11.35
2007-10-12,11.42
2007-10-15,11.41
2007-10-16,11.62
2007-10-17,11.86
2007-10-18,12.02
2007-10-19,11.5
2007-10-22,11.48
2007-10-23,11.84
2007-10-24,11.82
2007-10-25,11.53
2007-10-26,12.07
2007-10-29,12.32
2007-10-30,12.3
2007-10-31,12.31
2007-11-01,12.05
2007-11-02,12.3
2007-11-05,12.18
2007-11-06,13.28
2007-11-07,13.24
2007-11-08,12.83
2007-11-09,12.47
2007-11-12,12.11
2007-11-13,12.16
2007-11-14,12.26
2007-11-15,11.89
2007-11-16,11.98
2007-11-19,11.92
2007-11-20,11.73
2007-11-21,12.06
2007-11-23,12.05
2007-11-26,11.96
2007-11-27,12.03
2007-11-28,12.06
2007-11-29,12.19
2007-11-30,11.96
2007-12-03,12.01
2007-12-04,11.95
2007-12-05,11.91
2007-12-06,11.93
2007-12-07,11.96
2007-12-10,11.98
2007-12-11,11.8
2007-12-12,11.84
2007-12-13,11.82
2007-12-14,11.55
2007-12-17,11.53
2007-12-18,11.8
2007-12-19,11.91
2007-12-20,12.15
2007-12-21,12.16
2007-12-24,12.12
2007-12-26,12.15
2007-12-27,12.02
2007-12-28,12.12
2007-12-31,12.06
2008-01-02,11.65
2008-01-03,11.77
2008-01-04,11.16
2008-01-07,11.23
2008-01-08,11.01
2008-01-09,10.9
2008-01-10,11
2008-01-11,10.74
2008-01-14,11.03
2008-01-15,10.8
2008-01-16,10.08
2008-01-17,9.9
2008-01-18,9.74
2008-01-22,9.3
2008-01-23,9.66
2008-01-24,9.87
2008-01-25,9.74
2008-01-28,10.07
2008-01-29,10.31
2008-01-30,11.6
2008-01-31,11.7
2008-02-01,11.91
2008-02-04,11.82
2008-02-05,11.13
2008-02-06,11.15
2008-02-07,11.15
2008-02-08,11.15
2008-02-11,11.33
2008-02-12,11.21
2008-02-13,11.6
