"Index","GIMO.Close"
2013-06-12,28.47
2013-06-13,26.1
2013-06-14,26.59
2013-06-17,26.69
2013-06-18,25.87
2013-06-19,26.26
2013-06-20,26.04
2013-06-21,26.1
2013-06-24,25.7
2013-06-25,25.96
2013-06-26,27.07
2013-06-27,27.79
2013-06-28,27.56
2013-07-01,26.69
2013-07-02,26.8
2013-07-03,27.2
2013-07-05,30.82
2013-07-08,30.22
2013-07-09,30.58
2013-07-10,32.2
2013-07-11,32.29
2013-07-12,32.8
2013-07-15,31.45
2013-07-16,29.49
2013-07-17,29.33
2013-07-18,29.18
2013-07-19,28.5
2013-07-22,28
2013-07-23,28.34
2013-07-24,27.99
2013-07-25,28.07
2013-07-26,30.2
2013-07-29,31.62
2013-07-30,34.92
2013-07-31,35.76
2013-08-01,34.83
2013-08-02,36.24
2013-08-05,36.95
2013-08-06,36.8
2013-08-07,34.44
2013-08-08,34.93
2013-08-09,35.15
2013-08-12,34.54
2013-08-13,35.3
2013-08-14,36.33
2013-08-15,37.18
2013-08-16,37.04
2013-08-19,36.55
2013-08-20,36.63
2013-08-21,36.64
2013-08-22,36.28
2013-08-23,35.51
2013-08-26,35.26
2013-08-27,33.14
2013-08-28,33.27
2013-08-29,33.76
2013-08-30,33.8
2013-09-03,35.09
2013-09-04,35.39
2013-09-05,37.02
2013-09-06,37.56
2013-09-09,38.74
2013-09-10,39.46
2013-09-11,39.95
2013-09-12,40.14
2013-09-13,40.3
2013-09-16,38.33
2013-09-17,39.81
2013-09-18,41.03
2013-09-19,41.54
2013-09-20,38.86
2013-09-23,39.96
2013-09-24,39.1
2013-09-25,39.83
2013-09-26,39.38
2013-09-27,39.12
2013-09-30,38.64
2013-10-01,39.13
2013-10-02,39.34
2013-10-03,38.07
2013-10-04,38.03
2013-10-07,35.3
2013-10-08,33.36
2013-10-09,32.48
2013-10-10,35.8
2013-10-11,36.22
2013-10-14,35.76
2013-10-15,35.53
2013-10-16,35.5
2013-10-17,36.5
2013-10-18,36.08
2013-10-21,37.01
2013-10-22,39.68
2013-10-23,34.97
2013-10-24,33.07
2013-10-25,33.21
2013-10-28,32.68
2013-10-29,31.89
2013-10-30,31.9
2013-10-31,30.78
2013-11-01,30.9
2013-11-04,32.62
2013-11-05,27.7
2013-11-06,27.69
2013-11-07,27.65
2013-11-08,28.44
2013-11-11,28.66
2013-11-12,28.5
2013-11-13,29.99
2013-11-14,29.36
2013-11-15,29.01
2013-11-18,29
2013-11-19,27.61
2013-11-20,27.69
2013-11-21,28.43
2013-11-22,28.98
2013-11-25,28.61
2013-11-26,29.56
2013-11-27,29.62
2013-11-29,29.21
2013-12-02,29.15
2013-12-03,27.75
2013-12-04,28.18
2013-12-05,28.69
2013-12-06,29.27
2013-12-09,29.73
2013-12-10,29.47
2013-12-11,28.63
2013-12-12,27.73
2013-12-13,25.46
2013-12-16,26.49
2013-12-17,26.21
2013-12-18,27.43
2013-12-19,27.38
2013-12-20,29.05
2013-12-23,29.03
2013-12-24,28.67
2013-12-26,28.07
2013-12-27,28.29
2013-12-30,27.36
2013-12-31,28.08
2014-01-02,27.8
2014-01-03,29.99
2014-01-06,29.07
2014-01-07,29.96
2014-01-08,31.48
2014-01-09,29.71
2014-01-10,29.9
2014-01-13,28.72
2014-01-14,29.12
2014-01-15,28.69
2014-01-16,30.38
2014-01-17,29.74
2014-01-21,29.11
2014-01-22,29.16
2014-01-23,30.16
2014-01-24,31.55
2014-01-27,30.21
2014-01-28,30.01
2014-01-29,28.08
2014-01-30,28.02
2014-01-31,30.46
2014-02-03,29.83
2014-02-04,31.29
2014-02-05,30.88
2014-02-06,30.61
2014-02-07,31.66
2014-02-10,32.14
2014-02-11,31.66
2014-02-12,30.85
2014-02-13,31.3
2014-02-14,30.51
2014-02-18,29.86
2014-02-19,30.75
2014-02-20,31.37
2014-02-21,31.36
2014-02-24,31.88
2014-02-25,32.71
2014-02-26,32.25
2014-02-27,32.06
2014-02-28,31.56
2014-03-03,32.86
2014-03-04,34.33
2014-03-05,35.04
2014-03-06,34.58
2014-03-07,33.94
2014-03-10,33.99
2014-03-11,33.61
2014-03-12,34.17
2014-03-13,34
2014-03-14,34
2014-03-17,34.26
2014-03-18,34.66
2014-03-19,34.36
2014-03-20,36.29
2014-03-21,35.57
2014-03-24,33.9
2014-03-25,33.21
2014-03-26,31.56
2014-03-27,29.85
2014-03-28,29.66
2014-03-31,30.39
2014-04-01,31.52
2014-04-02,29.29
2014-04-03,26.2
2014-04-04,26.42
2014-04-07,26.2
2014-04-08,17.31
2014-04-09,17.23
2014-04-10,16.82
2014-04-11,16.27
2014-04-14,15.04
2014-04-15,14.99
2014-04-16,15.45
2014-04-17,15.71
2014-04-21,15.36
2014-04-22,15.52
2014-04-23,16.25
2014-04-24,16.08
2014-04-25,17.05
2014-04-28,16.39
2014-04-29,15.57
2014-04-30,15.77
2014-05-01,16.23
2014-05-02,16.84
2014-05-05,16.79
2014-05-06,16.32
2014-05-07,15.85
2014-05-08,16.58
2014-05-09,16.81
2014-05-12,17.17
2014-05-13,16.8
2014-05-14,17.01
2014-05-15,17.57
2014-05-16,17.75
2014-05-19,17.92
2014-05-20,17.57
2014-05-21,17.43
2014-05-22,17.82
2014-05-23,18.49
2014-05-27,18.27
2014-05-28,18.27
2014-05-29,18.39
2014-05-30,17.01
2014-06-02,16.26
2014-06-03,16.33
2014-06-04,16.43
2014-06-05,17.02
2014-06-06,17.25
2014-06-09,16.95
2014-06-10,17.17
2014-06-11,17.37
2014-06-12,17.42
2014-06-13,17.46
2014-06-16,18.23
2014-06-17,18.52
2014-06-18,19.08
2014-06-19,19
2014-06-20,18.85
2014-06-23,19.43
2014-06-24,19.44
2014-06-25,19.25
2014-06-26,18.72
2014-06-27,19.3
2014-06-30,19.14
2014-07-01,19.51
2014-07-02,19.46
2014-07-03,19.59
2014-07-07,18.61
2014-07-08,18.18
2014-07-09,12.29
2014-07-10,12.27
2014-07-11,12.21
2014-07-14,12.22
2014-07-15,12.2
2014-07-16,12.2
2014-07-17,12.04
2014-07-18,12.25
2014-07-21,12.25
2014-07-22,12.25
2014-07-23,12.2
2014-07-24,12.38
2014-07-25,11.3
2014-07-28,10.8
2014-07-29,11.02
2014-07-30,11.55
2014-07-31,11.54
2014-08-01,11.46
2014-08-04,11.62
2014-08-05,11.57
2014-08-06,11.75
2014-08-07,11.33
2014-08-08,11.44
2014-08-11,11.56
2014-08-12,11.34
2014-08-13,11.34
2014-08-14,11.26
2014-08-15,10.97
2014-08-18,10.66
2014-08-19,10.78
2014-08-20,10.67
2014-08-21,10.84
2014-08-22,10.7
2014-08-25,10.66
2014-08-26,10.85
2014-08-27,10.88
2014-08-28,10.73
2014-08-29,10.88
2014-09-02,10.79
2014-09-03,10.64
