"Index","GVYB.Close"
2007-03-27,10.05
2007-06-08,11
2008-03-19,11
2008-03-25,11
2008-03-26,11
2008-04-01,11
2008-04-18,11
2008-05-07,11
2008-05-14,11
2008-05-19,11
2008-05-21,11
2008-05-22,11
2008-05-29,11
2008-06-11,9.5
2008-06-12,8
2008-06-16,8.5
2008-07-17,9
2008-07-22,9.75
2008-08-21,7.9
2008-08-22,7.9
2008-08-25,9
2008-09-17,9
2008-09-24,9.4
2008-10-10,8
2008-10-13,8.03
2008-10-17,9.4
2008-10-24,9.4
2008-10-28,9.4
2008-11-04,8
2008-11-07,7.5
2008-11-10,9.4
2008-12-01,8
2008-12-02,8
2008-12-10,8
2008-12-15,7.9
2008-12-17,8
2008-12-22,7
2008-12-26,8
2008-12-30,8
2009-01-30,8
2009-02-06,7
2009-02-09,7
2009-02-18,7
2009-02-19,6
2009-02-25,6.75
2009-02-26,6.75
2009-02-27,7.9
2009-03-03,6
2009-03-26,7.5
2009-04-23,7
2009-04-24,6
2009-04-29,8
2009-04-30,6
2009-05-01,6
2009-05-04,7.5
2009-05-08,7.5
2009-05-11,5.75
2009-05-12,7
2009-05-13,7.5
2009-05-15,6.25
2009-05-22,7.5
2009-05-27,6.5
2009-05-29,7.5
2009-06-09,7.5
2009-06-11,7.25
2009-06-12,7.25
2009-06-15,8
2009-06-16,7.97
2009-07-07,7.3
2009-07-20,7.3
2009-07-31,8
2009-08-17,7
2009-09-25,5
2009-09-28,6.75
2009-09-29,7
2009-09-30,7.5
2009-11-06,8
2009-11-23,7.5
2009-11-30,7.5
2009-12-03,7.5
2009-12-08,7.1
2009-12-11,7.05
2010-02-10,7.2
2010-02-11,7.2
2010-02-18,7.1
2010-07-14,6.5
2010-08-05,6.25
2010-08-12,6.15
2010-08-17,6.5
2010-08-19,6.5
2010-08-27,6.5
2010-09-16,6
2010-09-22,6.25
2010-10-01,5.75
2010-10-06,6.25
2010-10-13,6
2010-11-16,6.25
2010-11-17,5.6
2010-11-22,6.1
2010-11-23,7
2010-12-31,7
2011-01-14,7
2011-01-26,7
2011-01-28,7
2011-03-22,6.25
2011-03-24,6
2011-03-28,6.3
2011-04-01,6.5
2011-05-03,6.45
2011-05-06,6.75
2011-05-10,7
2011-05-11,7
2011-05-12,7.2
2011-05-24,7.18
2011-05-31,6.51
2011-06-06,6.51
2011-06-15,6.25
2011-06-21,6.26
2011-07-08,6.31
2011-07-12,6.32
2011-07-14,6.25
2011-07-18,6
2011-07-26,5.81
2011-07-27,6.25
2011-07-28,6.35
2011-08-02,6.25
2011-08-09,6.95
2011-08-17,6.95
2011-08-23,6.95
2011-08-25,6.95
2011-08-30,7.45
2011-08-31,6.8
2011-09-09,6.25
2011-09-13,5.75
2011-09-19,5.85
2011-10-17,6.5
2011-10-21,6.5
2011-11-09,6
2011-11-15,6
2011-11-17,5.75
2011-11-23,5.6
2011-11-30,6.75
2012-01-24,7
2012-01-25,7
2012-02-16,6.75
2012-02-17,6.75
2012-02-21,7
2012-02-24,7.5
2012-05-08,7.5
2012-05-15,7.5
2012-05-16,7.5
2012-05-29,8
2012-06-06,6.75
2012-06-28,6.75
2012-06-29,6.75
2012-07-12,6.52
2012-07-13,7.75
2012-07-16,6.9
2012-07-17,6.9
2012-07-20,6.9
2012-07-23,6.9
2012-08-21,6.75
2012-08-22,7.5
2012-08-23,6.9
2012-08-27,6.75
2012-09-14,7
2012-10-02,7
2012-10-08,7.75
2012-10-09,7.5
2012-10-26,7.75
2012-11-08,7.05
2012-11-09,7.9
2012-11-12,7.9
2012-11-13,7.9
2012-11-14,8
2012-11-28,8.49
2012-11-29,8.49
2013-01-04,8.25
2013-01-07,8.25
2013-01-08,8.26
2013-01-16,8.26
2013-01-18,8.5
2013-01-28,8.55
2013-02-05,8.01
2013-02-25,7.9
2013-02-28,8.25
2013-03-06,8.2
2013-03-07,7.85
2013-03-14,7.85
2013-03-20,8
2013-04-02,8
2013-04-05,8
2013-04-12,7.86
2013-04-16,7.9
2013-04-17,8.5
2013-04-19,8.5
2013-04-23,8.5
2013-05-10,8.5
2013-05-13,8.5
2013-05-14,8.65
2013-05-15,8.5
2013-05-23,8.6
2013-05-24,8.5
2013-05-29,8.5
2013-06-03,8.55
2013-06-06,8.5
2013-06-13,8.65
2013-06-17,8.75
2013-06-26,8.9
2013-06-27,8.99
2013-07-09,9
2013-07-16,9.06
2013-08-01,9.15
2013-09-17,9.35
2013-09-18,9.18
2013-09-19,9.5
2013-10-07,9.01
2013-10-08,9.3
2013-10-14,9.25
2013-10-30,9.2
2013-11-14,9.3
2013-11-27,9.2
2013-11-29,9.2
2013-12-12,9.4
2013-12-31,9.4
2014-01-17,9.4
2014-01-21,9.4
2014-01-27,9.35
2014-01-29,9.35
2014-02-04,9.45
2014-02-18,9.45
2014-02-25,9.55
2014-03-05,10
2014-03-20,10.2
2014-03-24,9.6
2014-04-07,10
2014-04-10,10.2
2014-05-08,11
2014-05-09,11
2014-05-20,11
2014-06-23,11
2014-06-24,11
2014-07-11,11
2014-07-18,11
2014-08-28,11.25
2014-09-03,13
2014-09-05,12.75
2014-09-08,12.5
2014-10-09,12.51
2014-10-15,12.51
2014-10-16,12.55
2014-10-21,12.55
2014-12-02,14
2014-12-05,14
2014-12-22,13
2014-12-23,12.51
2015-01-13,12.05
