"Index","HTY.Close"
2007-09-26,20.2
2007-09-27,20.05
2007-09-28,20.4
2007-10-01,20
2007-10-02,20.09
2007-10-03,20
2007-10-04,20.07
2007-10-05,20
2007-10-08,20.19
2007-10-09,20.13
2007-10-10,20.2
2007-10-11,20.1
2007-10-12,20.25
2007-10-15,20.3
2007-10-16,20.25
2007-10-17,20.25
2007-10-18,20.25
2007-10-19,20.15
2007-10-22,20.01
2007-10-23,20.01
2007-10-24,20
2007-10-25,20.01
2007-10-26,20.01
2007-10-29,20.05
2007-10-30,20
2007-10-31,20.2
2007-11-01,20
2007-11-02,20
2007-11-05,20
2007-11-06,20
2007-11-07,19.5
2007-11-08,19.52
2007-11-09,19.5
2007-11-12,19.85
2007-11-13,19.75
2007-11-14,19.75
2007-11-15,19.67
2007-11-16,19.61
2007-11-19,18.51
2007-11-20,16.2
2007-11-21,15.98
2007-11-23,16.48
2007-11-26,16.6
2007-11-27,17.09
2007-11-28,17.37
2007-11-29,17.4
2007-11-30,18.14
2007-12-03,17.51
2007-12-04,17.45
2007-12-05,17.9
2007-12-06,17.66
2007-12-07,17.6
2007-12-10,17.85
2007-12-11,17.45
2007-12-12,17.54
2007-12-13,17.6
2007-12-14,17.62
2007-12-17,17.5
2007-12-18,17.61
2007-12-19,17.51
2007-12-20,17.05
2007-12-21,16.38
2007-12-24,16.59
2007-12-26,16.35
2007-12-27,16.31
2007-12-28,16.51
2007-12-31,16.44
2008-01-02,16.74
2008-01-03,17.31
2008-01-04,17.06
2008-01-07,17.07
2008-01-08,16.9
2008-01-09,16.93
2008-01-10,17.22
2008-01-11,17.85
2008-01-14,17.85
2008-01-15,17.85
2008-01-16,17.93
2008-01-17,16.9
2008-01-18,16.36
2008-01-22,15.63
2008-01-23,16
2008-01-24,16.5
2008-01-25,16.27
2008-01-28,16.67
2008-01-29,17.14
2008-01-30,17.35
2008-01-31,17.11
2008-02-01,16.96
2008-02-04,16.85
2008-02-05,16.61
2008-02-06,16.8
2008-02-07,16.81
2008-02-08,16.64
2008-02-11,17.15
2008-02-12,17.35
2008-02-13,17.28
2008-02-14,16.84
2008-02-15,16.62
2008-02-19,16.36
2008-02-20,16.01
2008-02-21,16
2008-02-22,16
2008-02-25,15.95
2008-02-26,16.23
2008-02-27,16.25
2008-02-28,16.18
2008-02-29,15.61
2008-03-03,15.65
2008-03-04,15.02
2008-03-05,15.55
2008-03-06,15.52
2008-03-07,15.43
2008-03-10,15.04
2008-03-11,15.37
2008-03-12,15.2
2008-03-13,15.17
2008-03-14,14.79
2008-03-17,14.44
2008-03-18,14.82
2008-03-19,14.6
2008-03-20,14.95
2008-03-24,15.33
2008-03-25,15.26
2008-03-26,14.92
2008-03-27,15.2
2008-03-28,15.32
2008-03-31,15.41
2008-04-01,15.97
2008-04-02,16.35
2008-04-03,16.25
2008-04-04,16.25
2008-04-07,16.59
2008-04-08,16.03
2008-04-09,15.47
2008-04-10,15.28
2008-04-11,15.2
2008-04-14,15.19
2008-04-15,15.23
2008-04-16,15.44
2008-04-17,15.59
2008-04-18,16.07
2008-04-21,16
2008-04-22,15.86
2008-04-23,15.44
2008-04-24,15.92
2008-04-25,15.93
2008-04-28,15.94
2008-04-29,15.89
2008-04-30,15.76
2008-05-01,15.83
2008-05-02,16.27
2008-05-05,16.34
2008-05-06,16.64
2008-05-07,16.45
2008-05-08,16.41
2008-05-09,16.4
2008-05-12,16.48
2008-05-13,16.64
2008-05-14,17.02
2008-05-15,17.13
2008-05-16,17.14
2008-05-19,16.92
2008-05-20,16.76
2008-05-21,16.69
2008-05-22,16.64
2008-05-23,16.78
2008-05-27,16.6
2008-05-28,16.9
2008-05-29,16.85
2008-05-30,17
2008-06-02,17.19
2008-06-03,17.21
2008-06-04,17.15
2008-06-05,17.38
2008-06-06,17.65
2008-06-09,16.9
2008-06-10,16.55
2008-06-11,16.67
2008-06-12,16.44
2008-06-13,16.45
2008-06-16,16.4
2008-06-17,16.2
2008-06-18,16
2008-06-19,16
2008-06-20,16.2
2008-06-23,15.42
2008-06-24,15.03
2008-06-25,15.24
2008-06-26,14.7
2008-06-27,14.63
2008-06-30,15
2008-07-01,14.98
2008-07-02,14.9
2008-07-03,14.78
2008-07-07,14.85
2008-07-08,15.7
2008-07-09,15.19
2008-07-10,15.15
2008-07-11,14.94
2008-07-14,14.64
2008-07-15,14
2008-07-16,14.23
2008-07-17,14.47
2008-07-18,14.96
2008-07-21,14.93
2008-07-22,14.61
2008-07-23,14.78
2008-07-24,14.4
2008-07-25,14.47
2008-07-28,14.22
2008-07-29,14.43
2008-07-30,14.38
2008-07-31,14.32
2008-08-01,14.28
2008-08-04,14.17
2008-08-05,14.4
2008-08-06,14.51
2008-08-07,14.41
2008-08-08,14.51
2008-08-11,14.59
2008-08-12,14.4
2008-08-13,14.43
2008-08-14,14.52
2008-08-15,14.46
2008-08-18,14.2
2008-08-19,13.83
2008-08-20,14.01
2008-08-21,14.21
2008-08-22,14.18
2008-08-25,13.79
2008-08-26,13.95
2008-08-27,13.95
2008-08-28,14.01
2008-08-29,14.02
2008-09-02,14
2008-09-03,14.17
2008-09-04,13.95
2008-09-05,13.75
2008-09-08,13.85
2008-09-09,13.33
2008-09-10,13.53
2008-09-11,13.36
2008-09-12,13.1
2008-09-15,12.34
2008-09-16,12.05
2008-09-17,10.75
2008-09-18,11.34
2008-09-19,13.09
2008-09-22,12.02
2008-09-23,11.22
2008-09-24,11.4
2008-09-25,11.86
2008-09-26,11.66
2008-09-29,10.74
2008-09-30,11.25
2008-10-01,11.78
2008-10-02,11.22
2008-10-03,11.4
2008-10-06,10.54
2008-10-07,10.25
2008-10-08,9.8
2008-10-09,8.64
2008-10-10,8.05
2008-10-13,9.72
2008-10-14,10.18
2008-10-15,9.39
2008-10-16,9.67
2008-10-17,10.05
2008-10-20,10.6
2008-10-21,10.58
2008-10-22,10.24
2008-10-23,10.08
2008-10-24,9.91
2008-10-27,9.73
2008-10-28,10.18
2008-10-29,10.64
2008-10-30,10.81
2008-10-31,11
2008-11-03,11.29
2008-11-04,11.66
2008-11-05,11.26
2008-11-06,10.62
2008-11-07,10.67
2008-11-10,10.92
2008-11-11,10.69
2008-11-12,10.24
2008-11-13,10.13
2008-11-14,10.15
2008-11-17,9.93
2008-11-18,9.62
2008-11-19,9.2
2008-11-20,8.25
2008-11-21,8.54
2008-11-24,9
2008-11-25,9.04
2008-11-26,9.25
2008-11-28,9.66
2008-12-01,9.1
2008-12-02,9.3
2008-12-03,9.71
2008-12-04,9.58
2008-12-05,9.59
2008-12-08,10.21
2008-12-09,9.7
2008-12-10,9.55
2008-12-11,9.03
2008-12-12,9.07
2008-12-15,9.02
2008-12-16,9.3
2008-12-17,9.5
2008-12-18,9.61
2008-12-19,9.71
2008-12-22,9.76
2008-12-23,9.71
2008-12-24,9.92
2008-12-26,10.27
2008-12-29,10.23
2008-12-30,10.57
2008-12-31,10.86
2009-01-02,11.23
2009-01-05,11.2
2009-01-06,11.78
2009-01-07,11.4
2009-01-08,11.28
2009-01-09,11.2
2009-01-12,11.12
2009-01-13,11.16
2009-01-14,11
2009-01-15,10.99
2009-01-16,11.12
2009-01-20,10.99
2009-01-21,11.66
2009-01-22,11.66
2009-01-23,11.54
2009-01-26,11.54
2009-01-27,11.3
2009-01-28,11.5
2009-01-29,11.37
2009-01-30,11.37
2009-02-02,11.49
2009-02-03,11.6
2009-02-04,11.4
2009-02-05,11.35
2009-02-06,11.5
2009-02-09,11.63
2009-02-10,11.69
2009-02-11,11.77
2009-02-12,11.43
2009-02-13,11.63
2009-02-17,10.45
2009-02-18,10.36
2009-02-19,10.22
2009-02-20,10.13
2009-02-23,9.82
2009-02-24,9.94
2009-02-25,10.17
2009-02-26,10.15
2009-02-27,9.75
2009-03-02,9.35
2009-03-03,8.86
2009-03-04,9.19
2009-03-05,8.69
2009-03-06,8.65
2009-03-09,8.28
2009-03-10,8.49
2009-03-11,8.73
2009-03-12,9
2009-03-13,9.02
2009-03-16,9.15
2009-03-17,9.36
2009-03-18,9.53
2009-03-19,9.27
2009-03-20,9.36
2009-03-23,9.78
2009-03-24,9.52
2009-03-25,9.56
2009-03-26,9.86
2009-03-27,9.67
2009-03-30,9.29
2009-03-31,9.65
2009-04-01,9.71
2009-04-02,10.07
2009-04-03,10.25
2009-04-06,10.1
2009-04-07,10.1
2009-04-08,9.81
2009-04-09,9.88
2009-04-13,9.84
2009-04-14,9.46
2009-04-15,9.56
2009-04-16,9.73
2009-04-17,9.84
2009-04-20,9.46
2009-04-21,9.61
2009-04-22,9.55
2009-04-23,9.56
2009-04-24,9.72
2009-04-27,9.55
2009-04-28,9.61
2009-04-29,9.75
2009-04-30,9.8
2009-05-01,10.01
2009-05-04,10.2
2009-05-05,10.08
2009-05-06,10.2
2009-05-07,10.01
2009-05-08,10.17
2009-05-11,10
2009-05-12,10.06
2009-05-13,10.08
2009-05-14,10.13
2009-05-15,10.05
2009-05-18,10.2
2009-05-19,10.28
2009-05-20,10.2
2009-05-21,10.17
2009-05-22,10.39
2009-05-26,10.54
2009-05-27,10.48
2009-05-28,10.61
2009-05-29,10.99
2009-06-01,11.21
2009-06-02,11.15
2009-06-03,10.83
2009-06-04,10.81
2009-06-05,10.9
2009-06-08,10.93
2009-06-09,10.48
2009-06-10,10.54
2009-06-11,10.67
2009-06-12,10.74
2009-06-15,10.53
2009-06-16,10.7
2009-06-17,10.47
2009-06-18,10.52
2009-06-19,10.54
2009-06-22,10.31
2009-06-23,10.35
2009-06-24,10.6
2009-06-25,10.81
2009-06-26,10.73
2009-06-29,10.8
2009-06-30,10.78
2009-07-01,11
2009-07-02,10.98
2009-07-06,11.02
2009-07-07,10.8
2009-07-08,10.61
2009-07-09,10.81
2009-07-10,10.73
2009-07-13,10.6
2009-07-14,10.66
2009-07-15,10.99
2009-07-16,10.97
2009-07-17,10.91
2009-07-20,11.13
2009-07-21,10.87
2009-07-22,11.07
2009-07-23,11.21
2009-07-24,11.35
2009-07-27,11.45
2009-07-28,11.61
2009-07-29,11.39
2009-07-30,11.61
2009-07-31,11.92
2009-08-03,11.82
2009-08-04,11.92
2009-08-05,11.86
2009-08-06,11.78
2009-08-07,11.92
2009-08-10,11.95
2009-08-11,11.69
2009-08-12,12
2009-08-13,12.05
2009-08-14,11.93
2009-08-17,11.65
2009-08-18,11.79
2009-08-19,11.87
2009-08-20,12
2009-08-21,12.01
2009-08-24,12.04
2009-08-25,12.2
2009-08-26,12.17
2009-08-27,12.05
2009-08-28,12.06
2009-08-31,11.98
2009-09-01,11.77
2009-09-02,11.91
2009-09-03,11.9
2009-09-04,12.05
2009-09-08,12.04
2009-09-09,11.77
2009-09-10,11.81
2009-09-11,11.97
2009-09-14,12.24
2009-09-15,12.09
2009-09-16,12.14
2009-09-17,11.77
2009-09-18,11.95
2009-09-21,11.97
2009-09-22,12.3
2009-09-23,12.28
2009-09-24,12.08
2009-09-25,12.16
2009-09-28,12.07
2009-09-29,12.04
2009-09-30,12.15
2009-10-01,12.2
2009-10-02,12.08
2009-10-05,12.09
2009-10-06,12.2
2009-10-07,12.21
2009-10-08,12.15
2009-10-09,12.24
2009-10-12,12.18
2009-10-13,11.92
2009-10-14,12.01
2009-10-15,11.96
2009-10-16,12.01
2009-10-19,12.18
2009-10-20,12.27
2009-10-21,12.4
2009-10-22,12.46
2009-10-23,12.23
2009-10-26,12.21
2009-10-27,11.95
2009-10-28,11.38
2009-10-29,11.7
2009-10-30,11.34
2009-11-02,11.92
2009-11-03,11.8
2009-11-04,11.95
2009-11-05,12.09
2009-11-06,12.05
2009-11-09,12.56
2009-11-10,12.57
2009-11-11,12.84
2009-11-12,12.64
2009-11-13,12.75
2009-11-16,13
2009-11-17,13.19
2009-11-18,13.04
2009-11-19,12.8
2009-11-20,12.89
2009-11-23,13.06
2009-11-24,12.92
2009-11-25,13.27
2009-11-27,13.39
2009-11-30,13.28
2009-12-01,13.21
2009-12-02,13.31
2009-12-03,13.3
2009-12-04,13.39
2009-12-07,13.47
2009-12-08,13.4
2009-12-09,13.03
2009-12-10,12.72
2009-12-11,12.96
2009-12-14,13.28
2009-12-15,12.98
2009-12-16,12.93
2009-12-17,12.8
2009-12-18,12.64
2009-12-21,12.84
2009-12-22,12.92
2009-12-23,12.95
2009-12-24,13.01
2009-12-28,13.01
2009-12-29,12.93
2009-12-30,13.11
2009-12-31,13.25
2010-01-04,13.33
2010-01-05,13.28
2010-01-06,13.45
2010-01-07,13.29
2010-01-08,13.13
2010-01-11,13.15
2010-01-12,13.11
2010-01-13,13.03
2010-01-14,12.94
2010-01-15,12.87
2010-01-19,12.66
2010-01-20,12.81
2010-01-21,12.94
2010-01-22,12.94
2010-01-25,13.1
2010-01-26,13.02
2010-01-27,13.03
2010-01-28,12.75
2010-01-29,12.65
2010-02-01,12.76
2010-02-02,12.97
2010-02-03,12.98
2010-02-04,12.77
2010-02-05,12.38
2010-02-08,12.23
2010-02-09,12.36
2010-02-10,12.28
2010-02-11,12.34
2010-02-12,12.3
2010-02-16,12.45
2010-02-17,12.44
2010-02-18,12.35
2010-02-19,12.4
2010-02-22,12.46
2010-02-23,12.5
2010-02-24,12.45
2010-02-25,12.58
2010-02-26,12.7
2010-03-01,12.91
2010-03-02,13.1
2010-03-03,12.96
2010-03-04,12.95
2010-03-05,13.17
2010-03-08,13.15
2010-03-09,12.65
2010-03-10,12.49
2010-03-11,12.5
2010-03-12,12.48
2010-03-15,12.48
