"Index","HURC.Close"
2007-01-03,32.73
2007-01-04,32.32
2007-01-05,31.77
2007-01-08,30.75
2007-01-09,31.99
2007-01-10,31.33
2007-01-11,31.1
2007-01-12,31.95
2007-01-16,31.48
2007-01-17,31.42
2007-01-18,31.78
2007-01-19,32.25
2007-01-22,31.95
2007-01-23,31.56
2007-01-24,32.3
2007-01-25,31.51
2007-01-26,31.77
2007-01-29,32.1
2007-01-30,32.79
2007-01-31,33.11
2007-02-01,33.96
2007-02-02,34.48
2007-02-05,34.25
2007-02-06,34.11
2007-02-07,33.7
2007-02-08,34.95
2007-02-09,35.14
2007-02-12,34.72
2007-02-13,34.72
2007-02-14,34.76
2007-02-15,35.16
2007-02-16,42.75
2007-02-20,44.91
2007-02-21,45.49
2007-02-22,45.6
2007-02-23,44.48
2007-02-26,44.31
2007-02-27,41.87
2007-02-28,38.68
2007-03-01,38.56
2007-03-02,39.91
2007-03-05,40.06
2007-03-06,43.8
2007-03-07,43.71
2007-03-08,44.49
2007-03-09,44.28
2007-03-12,44.3
2007-03-13,42.81
2007-03-14,42.27
2007-03-15,44.01
2007-03-16,44.12
2007-03-19,44.34
2007-03-20,46.09
2007-03-21,46.92
2007-03-22,45.72
2007-03-23,42.15
2007-03-26,42.24
2007-03-27,41.56
2007-03-28,41.47
2007-03-29,40.81
2007-03-30,42.85
2007-04-02,41.65
2007-04-03,41.65
2007-04-04,41.91
2007-04-05,41.93
2007-04-09,41.72
2007-04-10,40.1
2007-04-11,40.58
2007-04-12,41.03
2007-04-13,40.77
2007-04-16,42.13
2007-04-17,42.99
2007-04-18,42.54
2007-04-19,42.2
2007-04-20,42.77
2007-04-23,43.69
2007-04-24,42.93
2007-04-25,43.48
2007-04-26,44.5
2007-04-27,45.7
2007-04-30,44.11
2007-05-01,43.5
2007-05-02,44.85
2007-05-03,45.28
2007-05-04,45.1
2007-05-07,46.55
2007-05-08,47.07
2007-05-09,47.55
2007-05-10,48.49
2007-05-11,49.36
2007-05-14,49.58
2007-05-15,47.1
2007-05-16,47.77
2007-05-17,47.12
2007-05-18,42.94
2007-05-21,44.37
2007-05-22,45.8
2007-05-23,45.67
2007-05-24,44.6
2007-05-25,45.8
2007-05-29,47
2007-05-30,47.08
2007-05-31,47.76
2007-06-01,46.65
2007-06-04,47.23
2007-06-05,47.68
2007-06-06,46.37
2007-06-07,45.56
2007-06-08,46.23
2007-06-11,46.89
2007-06-12,45.99
2007-06-13,46.57
2007-06-14,46.99
2007-06-15,47.42
2007-06-18,46.44
2007-06-19,47.28
2007-06-20,47.02
2007-06-21,47.13
2007-06-22,46.86
2007-06-25,46.47
2007-06-26,48.11
2007-06-27,47.95
2007-06-28,48.81
2007-06-29,49.98
2007-07-02,50.66
2007-07-03,51.99
2007-07-05,52.32
2007-07-06,53.05
2007-07-09,53.72
2007-07-10,54.09
2007-07-11,53.93
2007-07-12,54.7
2007-07-13,54.27
2007-07-16,55.32
2007-07-17,55.26
2007-07-18,53.88
2007-07-19,53.53
2007-07-20,52.43
2007-07-23,53.77
2007-07-24,51.52
2007-07-25,51.3
2007-07-26,47.38
2007-07-27,46.11
2007-07-30,46.99
2007-07-31,46.58
2007-08-01,45.5
2007-08-02,45.71
2007-08-03,43.27
2007-08-06,45.9
2007-08-07,45.8
2007-08-08,47
2007-08-09,42.17
2007-08-10,42.81
2007-08-13,43.46
2007-08-14,42.67
2007-08-15,40.46
2007-08-16,43.8
2007-08-17,47.36
2007-08-20,47.86
2007-08-21,48.4
2007-08-22,50.01
2007-08-23,49.71
2007-08-24,50.15
2007-08-27,50.5
2007-08-28,48.1
2007-08-29,49.33
2007-08-30,49.16
2007-08-31,49.46
2007-09-04,51.01
2007-09-05,48.93
2007-09-06,49.7
2007-09-07,46.9
2007-09-10,46.33
2007-09-11,48.13
2007-09-12,47.42
2007-09-13,48.49
2007-09-14,49.07
2007-09-17,47.78
2007-09-18,51.28
2007-09-19,54.59
2007-09-20,53.95
2007-09-21,53.24
2007-09-24,52.75
2007-09-25,52.83
