"Index","IRIX.Close"
2007-01-03,9
2007-01-04,8.9
2007-01-05,8.85
2007-01-08,8.9
2007-01-09,9.26
2007-01-10,9.21
2007-01-11,9.55
2007-01-12,9.39
2007-01-16,9.59
2007-01-17,9.55
2007-01-18,9.08
2007-01-19,9.2
2007-01-22,8.99
2007-01-23,8.96
2007-01-24,9.39
2007-01-25,9.11
2007-01-26,9.04
2007-01-29,8.8
2007-01-30,8.8
2007-01-31,8.78
2007-02-01,8.81
2007-02-02,8.93
2007-02-05,8.91
2007-02-06,8.9
2007-02-07,9.1
2007-02-08,9.29
2007-02-09,9
2007-02-12,9.15
2007-02-13,9.42
2007-02-14,9.59
2007-02-15,10.1
2007-02-16,10.06
2007-02-20,9.86
2007-02-21,9.8
2007-02-22,9.86
2007-02-23,9.74
2007-02-26,9.57
2007-02-27,10.03
2007-02-28,10.06
2007-03-01,10.43
2007-03-02,10.21
2007-03-05,10.4
2007-03-06,10.25
2007-03-07,10.46
2007-03-08,10.47
2007-03-09,10.54
2007-03-12,10.63
2007-03-13,10.29
2007-03-14,10.16
2007-03-15,10.25
2007-03-16,10.28
2007-03-19,10.25
2007-03-20,9.97
2007-03-21,10.05
2007-03-22,9.74
2007-03-23,9.6
2007-03-26,9.62
2007-03-27,9.34
2007-03-28,9.2
2007-03-29,9.25
2007-03-30,8.8
2007-04-02,8.86
2007-04-03,7.01
2007-04-04,6.74
2007-04-05,6.45
2007-04-09,6.62
2007-04-10,7.05
2007-04-11,7.09
2007-04-12,7.03
2007-04-13,7.33
2007-04-16,7.29
2007-04-17,7.4
2007-04-18,7.4
2007-04-19,7.31
2007-04-20,7.35
2007-04-23,7.35
2007-04-24,7.34
2007-04-25,7.34
2007-04-26,7.18
2007-04-27,7.17
2007-04-30,7.08
2007-05-01,6.85
2007-05-02,6.75
2007-05-03,6.6
2007-05-04,6.33
2007-05-07,6.41
2007-05-08,6.49
2007-05-09,6.88
2007-05-10,6.64
2007-05-11,6.51
2007-05-14,6.42
2007-05-15,6.25
2007-05-16,6
2007-05-17,6.04
2007-05-18,5.8
2007-05-21,5.83
2007-05-22,5.71
2007-05-23,5.78
2007-05-24,5.78
2007-05-25,5.72
2007-05-29,5.69
2007-05-30,5.69
2007-05-31,5.51
2007-06-01,5.6
2007-06-04,5.69
2007-06-05,5.7
2007-06-06,5.59
2007-06-07,5.54
2007-06-08,5.57
2007-06-11,5.51
2007-06-12,5.56
2007-06-13,5.51
2007-06-14,5.59
2007-06-15,5.71
2007-06-18,5.7
2007-06-19,5.77
2007-06-20,5.86
2007-06-21,5.81
2007-06-22,5.55
