"Index","LEE.Close"
2007-01-03,30.7
2007-01-04,30.54
2007-01-05,30.06
2007-01-08,30.03
2007-01-09,30.32
2007-01-10,29.93
2007-01-11,30.25
2007-01-12,30.33
2007-01-16,30.23
2007-01-17,31.88
2007-01-18,31.84
2007-01-19,31.58
2007-01-22,31.53
2007-01-23,32.16
2007-01-24,33.13
2007-01-25,32.53
2007-01-26,32.45
2007-01-29,32.73
2007-01-30,32.89
2007-01-31,33.23
2007-02-01,33.15
2007-02-02,33.83
2007-02-05,33.58
2007-02-06,33.72
2007-02-07,33.85
2007-02-08,34.46
2007-02-09,34.07
2007-02-12,33.9
2007-02-13,34.18
2007-02-14,34.65
2007-02-15,35.13
2007-02-16,35.51
2007-02-20,34.4
2007-02-21,33.97
2007-02-22,34.32
2007-02-23,34.36
2007-02-26,34.4
2007-02-27,32.75
2007-02-28,31.86
2007-03-01,32.1
2007-03-02,31.46
2007-03-05,30.73
2007-03-06,31.09
2007-03-07,30.87
2007-03-08,30.69
2007-03-09,30.74
2007-03-12,30.92
2007-03-13,30.58
2007-03-14,30.9
2007-03-15,31.12
2007-03-16,30.51
2007-03-19,30.53
2007-03-20,30.28
2007-03-21,30.21
2007-03-22,29.89
2007-03-23,30
2007-03-26,29.98
2007-03-27,29.86
2007-03-28,29.78
2007-03-29,29.88
2007-03-30,30.05
2007-04-02,30.02
2007-04-03,29.79
2007-04-04,29.86
2007-04-05,30.01
2007-04-09,29.83
2007-04-10,30
2007-04-11,29.35
2007-04-12,30.13
2007-04-13,30.17
2007-04-16,30.6
2007-04-17,30.77
2007-04-18,30.6
2007-04-19,30.08
2007-04-20,30.7
2007-04-23,25.82
2007-04-24,27.51
2007-04-25,27.17
2007-04-26,27.13
2007-04-27,26.57
2007-04-30,26.18
2007-05-01,27.17
2007-05-02,27.38
2007-05-03,27.15
2007-05-04,27.08
2007-05-07,26.67
2007-05-08,26.6
2007-05-09,26.42
2007-05-10,26.09
2007-05-11,26.6
2007-05-14,25.98
2007-05-15,25.51
2007-05-16,26.03
2007-05-17,25.69
2007-05-18,25.86
2007-05-21,25.72
2007-05-22,24.89
2007-05-23,24.98
2007-05-24,24.79
2007-05-25,24.87
2007-05-29,25.22
2007-05-30,24.97
2007-05-31,25.12
2007-06-01,25.59
2007-06-04,25.6
2007-06-05,25.14
2007-06-06,24.85
2007-06-07,24.5
2007-06-08,24.72
2007-06-11,25.08
2007-06-12,24.39
2007-06-13,24.27
2007-06-14,24.27
2007-06-15,23.93
2007-06-18,21.48
2007-06-19,21.99
2007-06-20,21.25
2007-06-21,21.47
2007-06-22,21.37
2007-06-25,21.13
2007-06-26,20.86
2007-06-27,21.11
2007-06-28,21.1
2007-06-29,20.86
2007-07-02,21.23
2007-07-03,21.16
2007-07-05,21.19
2007-07-06,21.33
2007-07-09,21.29
2007-07-10,20.91
2007-07-11,20.9
2007-07-12,21.19
2007-07-13,20.88
2007-07-16,20.46
2007-07-17,20.09
2007-07-18,19.21
2007-07-19,18.95
2007-07-20,18.54
2007-07-23,18.8
2007-07-24,18.85
2007-07-25,19.26
2007-07-26,18.36
2007-07-27,18.22
2007-07-30,17.98
2007-07-31,17.61
2007-08-01,17.82
2007-08-02,17.57
2007-08-03,16.34
2007-08-06,16.67
2007-08-07,16.52
2007-08-08,16.21
2007-08-09,16
2007-08-10,17.96
2007-08-13,17.28
2007-08-14,17.05
2007-08-15,16.7
2007-08-16,18.89
2007-08-17,19.19
2007-08-20,18.07
2007-08-21,17.49
2007-08-22,18.03
2007-08-23,17.88
2007-08-24,17.93
2007-08-27,17.99
2007-08-28,17.58
2007-08-29,17.51
2007-08-30,17.25
2007-08-31,17.37
2007-09-04,17.53
2007-09-05,17.15
2007-09-06,17.07
2007-09-07,17
2007-09-10,16.23
2007-09-11,16.32
2007-09-12,16.1
2007-09-13,16.09
2007-09-14,16.17
2007-09-17,15.01
2007-09-18,15.56
2007-09-19,15.29
2007-09-20,15.02
2007-09-21,15.02
2007-09-24,14.98
2007-09-25,14.84
2007-09-26,14.73
2007-09-27,15.26
2007-09-28,15.57
2007-10-01,16.25
2007-10-02,16.73
2007-10-03,16.51
2007-10-04,16.54
2007-10-05,17.43
2007-10-08,17.22
2007-10-09,17.33
2007-10-10,17.35
2007-10-11,17.62
2007-10-12,17.36
2007-10-15,16.72
2007-10-16,16.39
2007-10-17,15.73
2007-10-18,15.33
2007-10-19,14.75
2007-10-22,14.97
2007-10-23,15.35
2007-10-24,15.51
2007-10-25,15.62
2007-10-26,15.78
2007-10-29,15.81
2007-10-30,15.82
2007-10-31,16.05
2007-11-01,15.23
2007-11-02,15.11
2007-11-05,14.82
2007-11-06,14.55
2007-11-07,14.07
2007-11-08,16.43
2007-11-09,15.73
2007-11-12,16.23
2007-11-13,16.35
2007-11-14,15.87
2007-11-15,16.09
2007-11-16,16.08
2007-11-19,15.47
2007-11-20,14.84
2007-11-21,14.91
2007-11-23,14.72
2007-11-26,14.3
2007-11-27,14.22
2007-11-28,14.26
2007-11-29,13.86
2007-11-30,14
2007-12-03,13.87
2007-12-04,14.05
2007-12-05,14.07
2007-12-06,14.3
2007-12-07,14.94
2007-12-10,15.27
2007-12-11,15.33
2007-12-12,15.25
2007-12-13,15.01
2007-12-14,14.13
2007-12-17,13.81
2007-12-18,14.32
2007-12-19,14.52
2007-12-20,15.02
2007-12-21,15.29
2007-12-24,15.55
2007-12-26,15.89
2007-12-27,14.76
2007-12-28,14.53
2007-12-31,14.65
2008-01-02,14.47
2008-01-03,11.78
2008-01-04,11.86
2008-01-07,11.22
2008-01-08,10.66
2008-01-09,10.72
2008-01-10,11.12
2008-01-11,11.1
2008-01-14,11.49
2008-01-15,11.2
2008-01-16,11.24
2008-01-17,11.05
2008-01-18,10.68
2008-01-22,9.97
2008-01-23,10.64
2008-01-24,10.93
2008-01-25,11.04
2008-01-28,11.94
2008-01-29,12.04
2008-01-30,11.94
2008-01-31,11.93
2008-02-01,12.58
2008-02-04,12.86
2008-02-05,12.58
2008-02-06,12.42
2008-02-07,12.31
2008-02-08,11.91
2008-02-11,11.61
2008-02-12,11.65
2008-02-13,12.16
2008-02-14,11.84
2008-02-15,11.9
2008-02-19,12.08
2008-02-20,12.47
2008-02-21,11.88
2008-02-22,11.83
2008-02-25,12.17
2008-02-26,12.24
2008-02-27,11.95
2008-02-28,10.61
2008-02-29,10.31
2008-03-03,10.38
2008-03-04,9.98
2008-03-05,10.29
2008-03-06,10.44
2008-03-07,10
2008-03-10,9.79
2008-03-11,9.97
2008-03-12,9.52
2008-03-13,9.77
2008-03-14,9.9
2008-03-17,10.04
2008-03-18,10.61
2008-03-19,10.4
2008-03-20,11.14
2008-03-24,11.58
2008-03-25,11.87
2008-03-26,11.56
2008-03-27,11.07
2008-03-28,10.76
2008-03-31,10.01
2008-04-01,10.53
2008-04-02,10.98
2008-04-03,11.18
2008-04-04,10.67
2008-04-07,10.59
2008-04-08,10.41
2008-04-09,9.72
2008-04-10,9.88
2008-04-11,9.61
2008-04-14,9.54
2008-04-15,9.39
2008-04-16,9.35
2008-04-17,9
2008-04-18,9.14
2008-04-21,8.15
2008-04-22,7.48
2008-04-23,7.26
2008-04-24,7.42
2008-04-25,7.3
2008-04-28,7.64
2008-04-29,7.71
2008-04-30,7.73
2008-05-01,7.91
2008-05-02,7.9
2008-05-05,7.76
2008-05-06,7.83
2008-05-07,7.57
