"Index","LSI.Close"
2007-01-03,9.07
2007-01-04,9.31
2007-01-05,9.2
2007-01-08,9.18
2007-01-09,9.2
2007-01-10,9.44
2007-01-11,9.84
2007-01-12,10.39
2007-01-16,10.33
2007-01-17,10.27
2007-01-18,10.13
2007-01-19,10.26
2007-01-22,10.13
2007-01-23,9.99
2007-01-24,10.48
2007-01-25,9.71
2007-01-26,9.74
2007-01-29,9.29
2007-01-30,9.33
2007-01-31,9.4
2007-02-01,9.45
2007-02-02,9.28
2007-02-05,9.14
2007-02-06,9.36
2007-02-07,9.36
2007-02-08,9.25
2007-02-09,9.19
2007-02-12,8.93
2007-02-13,8.86
2007-02-14,9.09
2007-02-15,9.29
2007-02-16,9.35
2007-02-20,9.35
2007-02-21,9.36
2007-02-22,9.73
2007-02-23,9.77
2007-02-26,10.11
2007-02-27,9.99
2007-02-28,10.16
2007-03-01,10.05
2007-03-02,9.96
2007-03-05,9.7
2007-03-06,9.89
2007-03-07,9.86
2007-03-08,9.72
2007-03-09,9.79
2007-03-12,10.02
2007-03-13,9.77
2007-03-14,9.91
2007-03-15,10.19
2007-03-16,10.09
2007-03-19,10.14
2007-03-20,10.15
2007-03-21,10.17
2007-03-22,10.14
2007-03-23,10.27
2007-03-26,10.18
2007-03-27,10.1
2007-03-28,9.96
2007-03-29,10.03
2007-03-30,10.44
2007-04-02,10.23
2007-04-03,10.2
2007-04-04,10.03
2007-04-05,9.94
2007-04-09,9.79
2007-04-10,9.72
2007-04-11,9.64
2007-04-12,9.7
2007-04-13,9.78
2007-04-16,9.85
2007-04-17,9.82
2007-04-18,9.75
2007-04-19,9.82
2007-04-20,9.85
2007-04-23,9.52
2007-04-24,9.87
2007-04-25,9.92
2007-04-26,8.94
2007-04-27,8.79
2007-04-30,8.5
2007-05-01,8.18
2007-05-02,8.39
2007-05-03,8.54
2007-05-04,8.38
2007-05-07,8.45
2007-05-08,8.48
2007-05-09,8.54
2007-05-10,8.4
2007-05-11,8.39
2007-05-14,8.32
2007-05-15,8.26
2007-05-16,8.19
2007-05-17,7.97
2007-05-18,8.24
2007-05-21,8.29
2007-05-22,8.2
2007-05-23,8.25
2007-05-24,8.09
2007-05-25,8.25
2007-05-29,8.32
2007-05-30,8.35
2007-05-31,8.68
2007-06-01,8.95
2007-06-04,8.9
