"Index","MDRX.Close"
2007-01-03,26.82
2007-01-04,27.62
2007-01-05,27.3
2007-01-08,27.39
2007-01-09,26.44
2007-01-10,27.1
2007-01-11,27.97
2007-01-12,28.99
2007-01-16,29.05
2007-01-17,28.55
2007-01-18,27.87
2007-01-19,27.95
2007-01-22,27.66
2007-01-23,29.08
2007-01-24,29.84
2007-01-25,29.42
2007-01-26,29.34
2007-01-29,29.72
2007-01-30,29.75
2007-01-31,30.6
2007-02-01,30.99
2007-02-02,30.1
2007-02-05,29.96
2007-02-06,29.65
2007-02-07,29.7
2007-02-08,30.05
2007-02-09,29.96
2007-02-12,29.65
2007-02-13,29.07
2007-02-14,29
2007-02-15,28.04
2007-02-16,28.06
2007-02-20,28.25
2007-02-21,28.24
2007-02-22,28.34
2007-02-23,28.17
2007-02-26,27.42
2007-02-27,26.66
2007-02-28,27.08
2007-03-01,26.41
2007-03-02,25.5
2007-03-05,25.14
2007-03-06,25.15
2007-03-07,25.47
2007-03-08,25.66
2007-03-09,25.46
2007-03-12,24.67
2007-03-13,24.81
2007-03-14,24.62
2007-03-15,25.92
2007-03-16,26.07
2007-03-19,26.3
2007-03-20,26.62
2007-03-21,26.93
2007-03-22,27.11
2007-03-23,26.72
2007-03-26,26.6
2007-03-27,26.83
2007-03-28,26.54
2007-03-29,26.71
2007-03-30,26.81
2007-04-02,26.15
2007-04-03,26.91
2007-04-04,26.57
2007-04-05,26.68
2007-04-09,25.75
2007-04-10,25.47
2007-04-11,24.87
2007-04-12,26.98
2007-04-13,26.87
2007-04-16,27.48
2007-04-17,27.32
2007-04-18,27.25
2007-04-19,27.06
2007-04-20,27.34
2007-04-23,27.37
2007-04-24,27.44
2007-04-25,27.49
2007-04-26,27.33
2007-04-27,27.08
2007-04-30,26.45
2007-05-01,25.95
2007-05-02,26.52
2007-05-03,26.67
2007-05-04,26.85
2007-05-07,26.69
2007-05-08,27.06
2007-05-09,23.92
2007-05-10,22.61
2007-05-11,23.66
2007-05-14,23.24
2007-05-15,22.77
2007-05-16,22.88
2007-05-17,23.45
2007-05-18,24.23
2007-05-21,24.73
2007-05-22,25.03
2007-05-23,24.88
2007-05-24,24.29
2007-05-25,24.09
2007-05-29,24.25
2007-05-30,24.32
2007-05-31,24.56
2007-06-01,24.81
2007-06-04,25.3
2007-06-05,24.79
2007-06-06,24.89
2007-06-07,24.71
2007-06-08,24.74
2007-06-11,24.98
2007-06-12,24.77
2007-06-13,26.03
2007-06-14,26.68
2007-06-15,26.44
2007-06-18,26.11
2007-06-19,26.13
2007-06-20,25.31
2007-06-21,25.93
2007-06-22,25.04
2007-06-25,25.08
2007-06-26,25.3
2007-06-27,26.27
2007-06-28,25.71
2007-06-29,25.48
2007-07-02,24.94
2007-07-03,25.15
2007-07-05,25.05
2007-07-06,24.84
2007-07-09,24.99
2007-07-10,23.8
2007-07-11,24.34
2007-07-12,24.71
2007-07-13,24.99
2007-07-16,24.76
2007-07-17,24.49
2007-07-18,23.8
2007-07-19,24.22
2007-07-20,23.5
2007-07-23,22.85
2007-07-24,22.79
2007-07-25,23.65
2007-07-26,23.11
2007-07-27,22.82
2007-07-30,22.85
2007-07-31,22.75
2007-08-01,22.86
2007-08-02,23.09
2007-08-03,22.61
2007-08-06,23.66
2007-08-07,24.41
2007-08-08,24.98
2007-08-09,25.98
2007-08-10,24.3
2007-08-13,23.16
2007-08-14,23.48
2007-08-15,23.15
2007-08-16,23.59
2007-08-17,23.76
2007-08-20,24.33
2007-08-21,23.41
2007-08-22,23.92
2007-08-23,23.2
2007-08-24,23.14
2007-08-27,23.13
2007-08-28,22.44
2007-08-29,22.76
2007-08-30,22.54
2007-08-31,22.61
2007-09-04,22.79
2007-09-05,24.26
2007-09-06,24.53
2007-09-07,24.36
2007-09-10,24.19
2007-09-11,24.96
2007-09-12,24.65
2007-09-13,25.05
2007-09-14,25.39
2007-09-17,26.11
2007-09-18,27.15
2007-09-19,27.15
2007-09-20,26.68
2007-09-21,27.8
2007-09-24,27.54
2007-09-25,27.51
2007-09-26,27.65
