"Index","MSHL.Close"
2007-01-03,19.14
2007-01-04,20.28
2007-01-05,19.8
2007-01-08,19.26
2007-01-09,18.78
2007-01-10,22.86
2007-01-11,27.6
2007-01-12,26.52
2007-01-16,24
2007-01-17,25.2
2007-01-18,25.8
2007-01-19,26.4
2007-01-22,25.92
2007-01-23,26.34
2007-01-24,25.2
2007-01-25,24.48
2007-01-26,25.2
2007-01-29,24.78
2007-01-30,24.12
2007-01-31,25.26
2007-02-01,24.84
2007-02-02,25.74
2007-02-05,26.64
2007-02-06,26.52
2007-02-07,26.04
2007-02-08,25.56
2007-02-09,24.6
2007-02-12,25.2
2007-02-13,24.72
2007-02-14,25.68
2007-02-15,24.9
2007-02-16,26.1
2007-02-20,25.8
2007-02-21,25.98
2007-02-22,25.32
2007-02-23,25.14
2007-02-26,25.14
2007-02-27,24.48
2007-02-28,24.18
2007-03-01,24.24
2007-03-02,23.22
2007-03-05,21.96
2007-03-06,23.04
2007-03-07,23.34
2007-03-08,23.64
2007-03-09,23.28
2007-03-12,24.06
2007-03-13,24.42
2007-03-14,23.46
2007-03-15,24.06
2007-03-16,23.76
2007-03-19,23.1
2007-03-20,23.46
2007-03-21,22.32
2007-03-22,22.56
2007-03-23,23.4
2007-03-26,22.8
2007-03-27,22.5
2007-03-28,22.98
2007-03-29,24
2007-03-30,23.46
2007-04-02,23.16
2007-04-03,22.92
2007-04-04,23.04
2007-04-05,22.2
2007-04-09,23.34
2007-04-10,24.06
2007-04-11,23.16
2007-04-12,24.24
2007-04-13,23.34
2007-04-16,22.8
2007-04-17,23.88
2007-04-18,22.92
2007-04-19,22.2
2007-04-20,22.08
2007-04-23,22.26
2007-04-24,22.26
2007-04-25,22.68
2007-04-26,22.32
2007-04-27,22.26
2007-04-30,21.12
2007-05-01,22.8
2007-05-02,23.4
2007-05-03,23.4
2007-05-04,24.24
2007-05-07,23.16
2007-05-08,22.98
2007-05-09,23.4
2007-05-10,22.86
2007-05-11,23.1
2007-05-14,21.06
2007-05-15,19.32
2007-05-16,18.9
2007-05-17,19.5
2007-05-18,19.8
2007-05-21,19.32
2007-05-22,20.34
2007-05-23,19.8
2007-05-24,19.56
2007-05-25,19.74
2007-05-29,19.68
2007-05-30,19.32
2007-05-31,18.84
2007-06-01,19.74
2007-06-04,19.26
2007-06-05,18.9
2007-06-06,19.02
2007-06-07,18.96
2007-06-08,19.08
2007-06-11,19.38
2007-06-12,19.26
2007-06-13,19.02
2007-06-14,18.84
2007-06-15,18.66
2007-06-18,18.48
2007-06-19,19.68
2007-06-20,19.02
2007-06-21,19.32
2007-06-22,18.6
2007-06-25,18.06
2007-06-26,17.58
2007-06-27,18
2007-06-28,18.12
2007-06-29,18.42
2007-07-02,17.46
2007-07-03,18
2007-07-06,17.52
2007-07-09,17.58
2007-07-10,17.88
2007-07-11,17.28
2007-07-12,18.18
2007-07-13,18.3
2007-07-16,18.61
2007-07-17,18.18
2007-07-18,18.35
2007-07-19,17.88
2007-07-20,17.58
2007-07-23,17.4
2007-07-24,18.12
2007-07-25,18.3
2007-07-26,17.76
2007-07-27,18
2007-07-30,17.28
2007-07-31,17.7
2007-08-02,17.46
2007-08-03,17.16
2007-08-06,17.52
2007-08-07,17.76
2007-08-08,18.12
2007-08-09,18
2007-08-10,18.48
2007-08-13,16.56
2007-08-14,15.24
2007-08-15,15
2007-08-16,18
2007-08-17,18
2007-08-20,18
2007-08-21,16.86
2007-08-22,17.4
2007-08-23,17.22
2007-08-24,17.16
2007-08-27,17.4
2007-08-28,17.34
2007-08-29,17
2007-08-30,17.1
2007-08-31,16.8
2007-09-04,17.16
2007-09-05,17.22
2007-09-06,17.04
2007-09-07,18
2007-09-10,18.6
2007-09-11,19.8
2007-09-12,19.8
2007-09-14,19.26
2007-09-17,18.54
2007-09-18,17.94
2007-09-19,18.36
2007-09-20,18
2007-09-21,16.92
2007-09-24,17.46
2007-09-25,18.66
2007-09-26,18
2007-09-27,18.6
2007-09-28,18.72
2007-10-01,18.12
2007-10-02,17.64
2007-10-03,18.06
2007-10-04,17.58
2007-10-05,17.7
2007-10-08,17.58
2007-10-09,17.34
2007-10-10,17.64
2007-10-11,17.4
2007-10-12,17.34
2007-10-15,17.16
2007-10-16,17.16
2007-10-17,18.18
2007-10-18,18.45
2007-10-19,18.24
2007-10-22,17.64
2007-10-23,18.3
2007-10-24,18.3
2007-10-25,17.64
2007-10-26,17.74
2007-10-29,17.7
2007-10-30,17.7
2007-10-31,20.4
2007-11-01,19.32
2007-11-02,18.6
2007-11-05,18.54
2007-11-06,17.88
2007-11-07,18
2007-11-08,18.12
2007-11-09,17.52
2007-11-12,19.38
2007-11-13,17.4
2007-11-14,17.4
2007-11-15,17.4
2007-11-16,16.26
2007-11-19,16.2
2007-11-20,16.8
2007-11-21,16.8
2007-11-23,16.5
2007-11-26,18.24
2007-11-27,18.18
2007-11-28,18
2007-11-29,17.7
2007-11-30,16.56
2007-12-03,15.96
2007-12-04,14.58
2007-12-05,15.9
2007-12-06,17.04
2007-12-07,15.3
2007-12-10,15.85
2007-12-11,15.3
2007-12-12,14.82
2007-12-13,15.3
2007-12-14,17.16
2007-12-17,16.98
2007-12-18,16.2
2007-12-19,15.66
2007-12-20,15.06
2007-12-21,15.12
2007-12-24,15.54
2007-12-26,15.84
2007-12-27,15.3
2007-12-28,16.5
2007-12-31,17.34
2008-01-02,17.46
2008-01-03,16.98
2008-01-04,16.8
2008-01-07,16.2
2008-01-08,16.5
2008-01-09,16.14
2008-01-10,15.54
2008-01-11,14.46
2008-01-14,14.64
2008-01-15,13.44
2008-01-16,13.32
2008-01-17,12
2008-01-18,14.22
2008-01-22,14.04
2008-01-23,14.04
2008-01-24,13.62
2008-01-25,14.94
2008-01-28,14.46
2008-01-29,15
2008-01-30,15.36
2008-01-31,15.72
2008-02-01,16.02
2008-02-04,15.3
2008-02-05,14.34
2008-02-06,14.28
2008-02-07,15.42
2008-02-08,13.86
2008-02-11,13.8
2008-02-12,13.5
2008-02-13,13.8
2008-02-14,15.3
2008-02-15,15.42
