"Index","MYRX.Close"
2009-06-12,7
2009-06-15,6.05
2009-06-16,4.1
2009-06-17,4.12
2009-06-18,4.75
2009-06-19,5.03
2009-06-22,5.04
2009-06-23,4.97
2009-06-24,4.79
2009-06-25,4.63
2009-06-26,4.57
2009-06-29,4.73
2009-06-30,4.65
2009-07-01,4.03
2009-07-02,4.16
2009-07-06,4.55
2009-07-07,4.52
2009-07-08,4.45
2009-07-09,4.28
2009-07-10,4.21
2009-07-13,4.17
2009-07-14,4.19
2009-07-15,4.34
2009-07-16,4.55
2009-07-17,4.48
2009-07-20,4.48
2009-07-21,4.48
2009-07-22,4.5
2009-07-23,4.75
2009-07-24,4.81
2009-07-27,4.8
2009-07-28,4.83
2009-07-29,4.96
2009-07-30,4.89
2009-07-31,4.87
2009-08-03,4.83
2009-08-04,4.87
2009-08-05,4.81
2009-08-06,4.65
2009-08-07,4.69
2009-08-10,4.9
2009-08-11,4.86
2009-08-12,4.72
2009-08-13,4.89
2009-08-14,4.84
2009-08-17,4.86
2009-08-18,4.89
2009-08-19,4.88
2009-08-20,4.89
2009-08-21,4.91
2009-08-24,4.6
2009-08-25,4.64
2009-08-26,4.71
2009-08-27,4.6
2009-08-28,4.58
2009-08-31,4.5
2009-09-01,4.41
2009-09-02,4.36
2009-09-03,4.41
2009-09-04,4.42
2009-09-08,4.47
2009-09-09,4.63
2009-09-10,4.63
2009-09-11,4.84
2009-09-14,5.54
2009-09-15,5.6
2009-09-16,6.18
2009-09-17,6.18
2009-09-18,6.58
2009-09-21,6.42
2009-09-22,6.77
2009-09-23,6.49
2009-09-24,5.86
2009-09-25,5.83
2009-09-28,5.93
2009-09-29,5.97
2009-09-30,5.86
2009-10-01,5.58
2009-10-02,5.6
2009-10-05,5.7
2009-10-06,5.69
2009-10-07,5.64
2009-10-08,5.73
2009-10-09,5.76
2009-10-12,5.78
2009-10-13,5.92
2009-10-14,6.4
2009-10-15,6.3
2009-10-16,6.27
2009-10-19,6.29
2009-10-20,6.31
2009-10-21,6.21
2009-10-22,6.36
2009-10-23,6.29
2009-10-26,6.36
2009-10-27,6.22
2009-10-28,5.7
2009-10-29,5.66
2009-10-30,5.52
2009-11-02,5.59
2009-11-03,5.61
2009-11-04,5.34
2009-11-05,5.61
2009-11-06,5.47
2009-11-09,5.51
2009-11-10,5.35
2009-11-11,5.22
2009-11-12,5.28
2009-11-13,5.81
2009-11-16,6.02
2009-11-17,5.98
2009-11-18,5.21
2009-11-19,5.3
2009-11-20,5.33
2009-11-23,5.35
2009-11-24,5.3
2009-11-25,5.17
2009-11-27,5.02
2009-11-30,5.01
2009-12-01,5.12
2009-12-02,5.15
2009-12-03,5.3
2009-12-04,5.6
2009-12-07,5.63
2009-12-08,5.63
2009-12-09,5.59
2009-12-10,5.54
2009-12-11,5.46
2009-12-14,5.45
2009-12-15,5.36
