"Index","NEWN.Close"
2010-08-16,7.14
2010-08-17,7
2010-08-18,6.83
2010-08-19,6.98
2010-08-20,6.65
2010-08-23,6.56
2010-08-24,6.2
2010-08-25,5.99
2010-08-26,6.15
2010-08-27,6.5
2010-08-30,6.45
2010-08-31,6.4
2010-09-01,6.52
2010-09-02,6.34
2010-09-03,6.17
2010-09-07,6.25
2010-09-08,6.1
2010-09-09,6.14
2010-09-10,6.1
2010-09-13,6
2010-09-14,6.03
2010-09-15,5.66
2010-09-16,5.15
2010-09-17,5.13
2010-09-20,5.13
2010-09-21,4.95
2010-09-22,4.66
2010-09-23,5.1
2010-09-24,5.17
2010-09-27,5.45
2010-09-28,5.73
2010-09-29,6.01
2010-09-30,5.98
2010-10-01,5.99
2010-10-04,6.15
2010-10-05,6
2010-10-06,5.96
2010-10-07,5.85
2010-10-08,5.69
2010-10-11,6.04
2010-10-12,6.46
2010-10-13,6.35
2010-10-14,6.06
2010-10-15,6.13
2010-10-18,6.06
2010-10-19,5.94
2010-10-20,6.1
2010-10-21,6.58
2010-10-22,6.71
2010-10-25,6.86
2010-10-26,6.8
2010-10-27,6.57
2010-10-28,6.4
2010-10-29,6.37
2010-11-01,6.34
2010-11-02,6.37
2010-11-03,6.7
2010-11-04,7.44
2010-11-05,7.64
2010-11-08,9
2010-11-09,8
2010-11-10,7.84
2010-11-11,7.53
2010-11-12,7.19
2010-11-15,7.22
2010-11-16,7.63
2010-11-17,7.5
2010-11-18,7.78
2010-11-19,7.35
2010-11-22,7.63
2010-11-23,7.81
2010-11-24,7.91
2010-11-26,7.88
2010-11-29,8.17
2010-11-30,7.78
2010-12-01,7.74
2010-12-02,7.66
2010-12-03,7.73
2010-12-06,7.78
2010-12-07,7.23
2010-12-08,7.65
2010-12-09,7.57
2010-12-10,7.38
2010-12-13,7.79
2010-12-14,7.54
2010-12-15,7.39
2010-12-16,7.53
2010-12-17,7.5
2010-12-20,7.42
2010-12-21,7.4
2010-12-22,7.27
2010-12-23,7.28
2010-12-27,7.45
2010-12-28,7.48
2010-12-29,7.55
2010-12-30,7.72
2010-12-31,7.73
2011-01-03,7.88
2011-01-04,7.58
2011-01-05,7.51
2011-01-06,7.87
2011-01-07,7.7
2011-01-10,7.66
2011-01-11,7.29
2011-01-12,7.39
2011-01-13,7.37
2011-01-14,7.21
2011-01-18,7.1
2011-01-19,6.84
2011-01-20,6.41
2011-01-21,6.71
2011-01-24,7.05
2011-01-25,6.99
2011-01-26,6.9
2011-01-27,6.86
2011-01-28,6.57
2011-01-31,6.65
2011-02-01,6.48
2011-02-02,6.5
2011-02-03,6.2
2011-02-04,6.09
2011-02-07,6.15
2011-02-08,6.13
2011-02-09,6.2
2011-02-10,6.18
2011-02-11,6.22
2011-02-14,6.3
2011-02-15,6.26
2011-02-16,6.09
2011-02-17,6.02
2011-02-18,6.04
2011-02-22,5.76
2011-02-23,5.62
2011-02-24,5.61
2011-02-25,5.75
2011-02-28,6.02
2011-03-01,5.8
2011-03-02,5.71
2011-03-03,5.56
2011-03-04,5.5
2011-03-07,5.61
2011-03-08,5.65
2011-03-09,5.5
2011-03-10,5.29
2011-03-11,5.17
2011-03-14,5.05
2011-03-15,4.75
2011-03-16,4.7
2011-03-17,4.6
2011-03-18,4.17
2011-03-21,5.44
2011-03-22,5.45
2011-03-23,5.92
2011-03-24,5.77
2011-03-25,5.72
2011-03-28,5.67
2011-03-29,5.27
2011-03-30,5.03
2011-03-31,4.95
2011-04-01,4.81
2011-04-04,4.4
2011-04-05,4.05
2011-04-06,4.33
2011-04-07,4.25
2011-04-08,4.38
2011-04-11,4.09
2011-04-12,3.96
2011-04-13,4.05
2011-04-14,4.11
2011-04-15,3.94
2011-04-18,3.84
2011-04-19,4.15
2011-04-20,4.11
2011-04-21,4.09
2011-04-25,4.07
2011-04-26,3.9
2011-04-27,3.75
2011-04-28,3.74
2011-04-29,3.67
2011-05-02,3.51
2011-05-03,3.16
2011-05-04,3.47
2011-05-05,3.22
2011-05-06,3.2
2011-05-09,3.16
2011-05-10,3.08
2011-05-11,3.03
2011-05-12,2.86
2011-05-13,2.68
2011-05-16,2.98
2011-05-17,3.34
2011-05-18,3.59
2011-05-19,3.65
2011-05-20,3.4
2011-05-23,3.34
2011-05-24,3.54
2011-05-25,3.54
2011-05-26,3.42
2011-05-27,3.27
2011-05-31,3.49
2011-06-01,3.41
2011-06-02,3.88
2011-06-03,3.74
2011-06-06,3.67
2011-06-07,3.6
2011-06-08,3.37
2011-06-09,3.34
2011-06-10,3.13
2011-06-13,3.05
2011-06-14,3.2
2011-06-15,3.04
2011-06-16,2.9
2011-06-17,2.78
2011-06-20,2.48
2011-06-21,2.6
2011-06-22,2.57
2011-06-23,2.41
2011-06-24,2.36
2011-06-27,2.3
2011-06-28,2.18
2011-06-29,2.05
2011-06-30,2.23
2011-07-01,2.14
2011-07-05,2
2011-07-06,2
2011-07-07,2.04
2011-07-08,2.04
2011-07-11,1.93
2011-07-12,1.88
2011-07-13,2.23
2011-07-14,2.39
2011-07-15,2.34
2011-07-18,2.3
2011-07-19,3.93
2011-07-20,3.75
2011-07-21,3.48
2011-07-22,3.47
2011-07-25,3.52
2011-07-26,3.58
2011-07-27,3.23
2011-07-28,3
2011-07-29,3.03
2011-08-01,3.21
2011-08-02,3.08
2011-08-03,2.85
2011-08-04,2.58
2011-08-05,2.6
2011-08-08,2.26
2011-08-09,2.41
2011-08-10,2.57
2011-08-11,2.9
2011-08-12,3.16
2011-08-15,3.4
2011-08-16,2.47
2011-08-17,2.32
2011-08-18,2.21
2011-08-19,1.96
2011-08-22,1.81
2011-08-23,1.91
2011-08-24,1.81
2011-08-25,1.87
2011-08-26,1.8
2011-08-29,1.92
2011-08-30,2.25
2011-08-31,2.19
2011-09-01,2.03
2011-09-02,2.01
2011-09-06,1.95
2011-09-07,2.02
2011-09-08,1.92
2011-09-09,1.99
2011-09-12,1.95
2011-09-13,1.93
2011-09-14,1.96
2011-09-15,2.13
2011-09-16,2.11
2011-09-19,2.15
2011-09-20,2.14
2011-09-21,2.28
2011-09-22,2.04
2011-09-23,2
2011-09-26,1.91
2011-09-27,1.94
2011-09-28,1.93
2011-09-29,1.9
2011-09-30,1.8
2011-10-03,1.44
2011-10-04,1.36
2011-10-05,1.62
2011-10-06,1.71
2011-10-07,1.75
2011-10-10,1.82
2011-10-11,1.83
2011-10-12,1.82
2011-10-13,1.82
2011-10-14,1.83
2011-10-17,1.7
2011-10-18,1.69
2011-10-19,1.68
2011-10-20,1.66
2011-10-21,1.68
2011-10-24,1.68
2011-10-25,1.6
2011-10-26,1.64
2011-10-27,1.65
2011-10-28,1.7
2011-10-31,1.78
2011-11-01,1.67
2011-11-02,1.66
2011-11-03,1.63
2011-11-04,1.72
2011-11-07,1.88
2011-11-08,1.9
2011-11-09,1.82
2011-11-10,1.74
2011-11-11,1.84
2011-11-14,1.81
2011-11-15,0.93
2011-11-16,0.8
2011-11-17,0.73
2011-11-18,0.78
2011-11-21,0.71
2011-11-22,0.7
2011-11-23,0.67
2011-11-25,0.65
2011-11-28,0.66
2011-11-29,0.7
2011-11-30,0.66
2011-12-01,0.6
2011-12-02,0.61
2011-12-05,0.59
2011-12-06,0.51
2011-12-07,0.5
2011-12-08,0.57
2011-12-09,0.6
2011-12-12,0.62
2011-12-13,0.6
2011-12-14,0.62
2011-12-15,0.65
2011-12-16,0.89
2011-12-19,0.73
2011-12-20,0.7
2011-12-21,0.71
2011-12-22,0.71
2011-12-23,0.65
2011-12-27,0.64
2011-12-28,0.63
2011-12-29,0.6
2011-12-30,0.6
2012-01-03,0.62
2012-01-04,0.63
2012-01-05,0.62
2012-01-06,0.6
2012-01-09,0.68
2012-01-10,0.7
2012-01-11,0.69
2012-01-12,0.65
2012-01-13,0.67
2012-01-17,0.65
2012-01-18,0.64
2012-01-19,0.61
