"Index","NHS.Close"
2007-01-03,15.4
2007-01-04,15.28
2007-01-05,15.21
2007-01-08,15.25
2007-01-09,15.36
2007-01-10,15.37
2007-01-11,15.35
2007-01-12,15.35
2007-01-16,15.35
2007-01-17,15.39
2007-01-18,15.4
2007-01-19,15.45
2007-01-22,15.31
2007-01-23,15.22
2007-01-24,15.29
2007-01-25,15.16
2007-01-26,15.24
2007-01-29,15.29
2007-01-30,15.35
2007-01-31,15.4
2007-02-01,15.4
2007-02-02,15.56
2007-02-05,15.52
2007-02-06,15.42
2007-02-07,15.5
2007-02-08,15.54
2007-02-09,15.42
2007-02-12,15.43
2007-02-13,15.43
2007-02-14,15.42
2007-02-15,15.39
2007-02-16,15.2
2007-02-20,15.26
2007-02-21,15.17
2007-02-22,15.16
2007-02-23,15.29
2007-02-26,15.21
2007-02-27,15.12
2007-02-28,15.06
2007-03-01,15.09
2007-03-02,15.09
2007-03-05,15.02
2007-03-06,14.92
2007-03-07,15.1
2007-03-08,15.15
2007-03-09,15.05
2007-03-12,15.04
2007-03-13,14.96
2007-03-14,14.89
2007-03-15,14.9
2007-03-16,14.9
2007-03-19,15.07
2007-03-20,15.04
2007-03-21,14.97
2007-03-22,14.95
2007-03-23,14.9
2007-03-26,14.86
2007-03-27,14.97
2007-03-28,14.97
2007-03-29,15
2007-03-30,15.07
2007-04-02,15.15
2007-04-03,15.14
2007-04-04,15.13
2007-04-05,15.2
2007-04-09,15.18
2007-04-10,15.25
2007-04-11,15.25
2007-04-12,15.28
2007-04-13,15.36
2007-04-16,15.34
2007-04-17,15.35
2007-04-18,15.34
2007-04-19,15.27
2007-04-20,15.2
2007-04-23,15.21
2007-04-24,15.28
2007-04-25,15.3
2007-04-26,15.35
2007-04-27,15.32
2007-04-30,15.37
2007-05-01,15.4
2007-05-02,15.44
2007-05-03,15.44
2007-05-04,15.46
2007-05-07,15.44
2007-05-08,15.5
2007-05-09,15.6
2007-05-10,15.5
2007-05-11,15.6
2007-05-14,15.66
2007-05-15,15.71
2007-05-16,15.73
2007-05-17,15.77
2007-05-18,15.77
2007-05-21,15.66
2007-05-22,15.63
2007-05-23,15.61
2007-05-24,15.64
2007-05-25,15.61
2007-05-29,15.66
2007-05-30,15.74
2007-05-31,15.62
2007-06-01,15.73
2007-06-04,15.76
2007-06-05,15.61
2007-06-06,15.59
2007-06-07,15.13
2007-06-08,15.09
2007-06-11,15.12
2007-06-12,15.07
2007-06-13,15.04
2007-06-14,15.11
2007-06-15,15.28
2007-06-18,15.31
2007-06-19,15.33
2007-06-20,15.11
2007-06-21,15.08
2007-06-22,15.02
2007-06-25,15.15
2007-06-26,15.05
2007-06-27,15.07
2007-06-28,15.18
2007-06-29,15.33
2007-07-02,15.25
2007-07-03,15.22
2007-07-05,15.18
2007-07-06,15.27
2007-07-09,15.27
2007-07-10,15.17
2007-07-11,15.11
2007-07-12,15.18
2007-07-13,15.17
2007-07-16,15.11
2007-07-17,14.99
2007-07-18,14.94
2007-07-19,14.98
2007-07-20,14.84
2007-07-23,14.3
2007-07-24,13.88
2007-07-25,13.91
2007-07-26,13.47
2007-07-27,13.54
2007-07-30,13.51
2007-07-31,13.53
2007-08-01,13.38
2007-08-02,13.39
2007-08-03,13.38
2007-08-06,13.19
2007-08-07,13.35
2007-08-08,13.5
2007-08-09,13.5
2007-08-10,13.15
2007-08-13,13.22
2007-08-14,12.95
2007-08-15,12.77
2007-08-16,11.76
2007-08-17,12.93
2007-08-20,13.28
2007-08-21,13.55
2007-08-22,13.46
2007-08-23,13.39
2007-08-24,13.48
2007-08-27,13.46
2007-08-28,13.49
2007-08-29,13.51
2007-08-30,13.45
2007-08-31,13.55
2007-09-04,13.59
2007-09-05,13.5
2007-09-06,13.5
2007-09-07,13.33
2007-09-10,13.25
2007-09-11,13.49
2007-09-12,13.55
2007-09-13,13.52
2007-09-14,13.54
2007-09-17,13.5
2007-09-18,13.91
2007-09-19,13.75
2007-09-20,13.54
2007-09-21,13.55
2007-09-24,13.68
2007-09-25,13.75
2007-09-26,13.83
2007-09-27,13.83
2007-09-28,13.87
2007-10-01,13.89
2007-10-02,13.9
2007-10-03,13.77
2007-10-04,13.77
2007-10-05,13.8
2007-10-08,13.76
2007-10-09,13.73
2007-10-10,13.73
2007-10-11,13.71
2007-10-12,13.72
2007-10-15,13.68
2007-10-16,13.63
2007-10-17,13.56
2007-10-18,13.58
2007-10-19,13.55
2007-10-22,13.3
2007-10-23,13.11
2007-10-24,13.11
2007-10-25,13.14
2007-10-26,13.1
2007-10-29,13.08
2007-10-30,13.07
2007-10-31,13.16
2007-11-01,13
2007-11-02,13.03
2007-11-05,12.93
2007-11-06,12.71
2007-11-07,12.5
2007-11-08,12.16
2007-11-09,12.24
2007-11-12,12.2
2007-11-13,12.12
2007-11-14,12.19
2007-11-15,12.02
2007-11-16,11.79
2007-11-19,11.81
2007-11-20,11.76
2007-11-21,11.78
2007-11-23,11.67
2007-11-26,11.68
2007-11-27,11.74
2007-11-28,11.99
2007-11-29,11.98
2007-11-30,12.14
2007-12-03,12.29
2007-12-04,12.33
2007-12-05,12.32
2007-12-06,12.26
2007-12-07,12.21
2007-12-10,12.21
2007-12-11,12.13
2007-12-12,12.26
2007-12-13,12.06
2007-12-14,12.03
2007-12-17,11.75
2007-12-18,11.71
2007-12-19,11.5
2007-12-20,11.25
2007-12-21,11.35
2007-12-24,11.47
2007-12-26,11.42
2007-12-27,11.44
2007-12-28,11.45
2007-12-31,11.82
2008-01-02,11.83
2008-01-03,11.81
2008-01-04,11.83
2008-01-07,11.55
2008-01-08,11.68
2008-01-09,11.7
2008-01-10,11.51
2008-01-11,11.59
2008-01-14,11.69
2008-01-15,11.69
2008-01-16,11.75
2008-01-17,11.76
2008-01-18,11.6
2008-01-22,11.38
2008-01-23,11.55
2008-01-24,11.61
2008-01-25,11.65
2008-01-28,11.74
2008-01-29,11.9
2008-01-30,12
2008-01-31,12.01
2008-02-01,12.09
2008-02-04,12.07
2008-02-05,12.02
2008-02-06,11.98
2008-02-07,11.96
2008-02-08,11.93
2008-02-11,11.86
2008-02-12,11.85
2008-02-13,11.71
2008-02-14,11.26
2008-02-15,11.43
2008-02-19,11.43
2008-02-20,11.42
2008-02-21,11.29
2008-02-22,11.37
2008-02-25,11.57
2008-02-26,11.68
2008-02-27,11.73
2008-02-28,11.7
2008-02-29,11.34
2008-03-03,11.54
2008-03-04,11.38
2008-03-05,11.46
2008-03-06,11.29
2008-03-07,11.28
2008-03-10,10.89
2008-03-11,11.16
2008-03-12,11.14
2008-03-13,11.13
2008-03-14,11.03
2008-03-17,10.73
2008-03-18,10.69
2008-03-19,10.59
2008-03-20,10.71
2008-03-24,10.86
2008-03-25,10.91
2008-03-26,11
2008-03-27,11.06
2008-03-28,10.92
2008-03-31,10.98
2008-04-01,11.22
2008-04-02,11.35
2008-04-03,11.28
2008-04-04,11.29
2008-04-07,11.72
2008-04-08,11.67
2008-04-09,11.6
2008-04-10,11.56
2008-04-11,11.66
2008-04-14,11.65
2008-04-15,11.64
2008-04-16,11.44
2008-04-17,11.65
2008-04-18,11.87
2008-04-21,11.78
2008-04-22,11.79
2008-04-23,11.95
2008-04-24,11.98
2008-04-25,11.91
2008-04-28,11.99
2008-04-29,12
2008-04-30,12.04
2008-05-01,12.07
2008-05-02,12.11
2008-05-05,12.15
2008-05-06,12.16
2008-05-07,12.18
2008-05-08,12.26
2008-05-09,12.24
2008-05-12,12.23
2008-05-13,12.26
2008-05-14,12.38
2008-05-15,12.39
2008-05-16,12.53
2008-05-19,12.56
2008-05-20,12.44
2008-05-21,12.41
2008-05-22,12.46
2008-05-23,12.4
2008-05-27,12.55
2008-05-28,12.58
2008-05-29,12.43
2008-05-30,12.42
2008-06-02,12.42
2008-06-03,12.44
2008-06-04,12.35
2008-06-05,12.35
2008-06-06,12.33
2008-06-09,12
2008-06-10,12.16
2008-06-11,11.92
2008-06-12,11.79
2008-06-13,11.9
2008-06-16,11.93
2008-06-17,11.85
2008-06-18,11.86
2008-06-19,11.79
2008-06-20,11.64
2008-06-23,11.54
2008-06-24,11.46
2008-06-25,11.57
