"Index","NIE.Close"
2007-02-23,25
2007-02-26,25.01
2007-02-27,25.04
2007-02-28,25.14
2007-03-01,25.07
2007-03-02,25.07
2007-03-05,25
2007-03-06,25.06
2007-03-07,25
2007-03-08,25.07
2007-03-09,25
2007-03-12,25
2007-03-13,25
2007-03-14,25
2007-03-15,25
2007-03-16,25.07
2007-03-19,25
2007-03-20,25.08
2007-03-21,25
2007-03-22,25
2007-03-23,25
2007-03-26,25
2007-03-27,25
2007-03-28,25
2007-03-29,25.01
2007-03-30,25
2007-04-02,25
2007-04-03,25
2007-04-04,25
2007-04-05,25
2007-04-09,25
2007-04-10,24.9
2007-04-11,24.61
2007-04-12,24.5
2007-04-13,24.54
2007-04-16,24.52
2007-04-17,24.71
2007-04-18,24.64
2007-04-19,24.63
2007-04-20,24.68
2007-04-23,24.49
2007-04-24,24.69
2007-04-25,24.77
2007-04-26,24.65
2007-04-27,24.85
2007-04-30,24.7
2007-05-01,24.57
2007-05-02,24.76
2007-05-03,24.89
2007-05-04,24.92
2007-05-07,25.03
2007-05-08,24.99
2007-05-09,24.97
2007-05-10,25.18
2007-05-11,25.1
2007-05-14,25.12
2007-05-15,25.09
2007-05-16,25.05
2007-05-17,25.08
2007-05-18,25.11
2007-05-21,25.06
2007-05-22,25.03
2007-05-23,25.03
2007-05-24,24.97
2007-05-25,25.1
2007-05-29,25.07
2007-05-30,25.08
2007-05-31,25.22
2007-06-01,24.83
2007-06-04,24.92
2007-06-05,24.74
2007-06-06,24.74
2007-06-07,24.5
2007-06-08,24.54
2007-06-11,24.58
2007-06-12,24.52
2007-06-13,24.55
2007-06-14,24.68
2007-06-15,24.76
2007-06-18,24.98
2007-06-19,24.96
2007-06-20,24.91
2007-06-21,24.88
2007-06-22,24.71
2007-06-25,24.67
2007-06-26,24.22
2007-06-27,24.49
2007-06-28,24.41
2007-06-29,24.4
2007-07-02,24.5
2007-07-03,24.71
2007-07-05,24.64
2007-07-06,24.72
2007-07-09,24.77
2007-07-10,24.61
2007-07-11,24.8
2007-07-12,24.82
2007-07-13,24.8
2007-07-16,24.4
2007-07-17,24.23
2007-07-18,24.3
2007-07-19,24.18
2007-07-20,23.97
2007-07-23,24.41
2007-07-24,24.15
2007-07-25,23.74
2007-07-26,22.95
2007-07-27,22.82
2007-07-30,22.95
2007-07-31,23.47
2007-08-01,23
2007-08-02,22.92
2007-08-03,22.54
2007-08-06,22.25
2007-08-07,22.6
2007-08-08,22.95
2007-08-09,22.88
2007-08-10,22.09
2007-08-13,22.14
2007-08-14,21.21
2007-08-15,20.35
2007-08-16,19.99
2007-08-17,21.79
2007-08-20,22.1
2007-08-21,22.35
2007-08-22,22.76
2007-08-23,22.71
2007-08-24,22.98
2007-08-27,23.07
2007-08-28,22.5
2007-08-29,22.97
2007-08-30,22.73
2007-08-31,23.38
2007-09-04,23.36
2007-09-05,23.26
2007-09-06,23.5
2007-09-07,23.3
2007-09-10,23.28
2007-09-11,23.48
2007-09-12,23.36
2007-09-13,23.52
2007-09-14,23.48
2007-09-17,23.49
2007-09-18,24.03
2007-09-19,24.15
2007-09-20,23.41
2007-09-21,23.31
2007-09-24,23.5
2007-09-25,23.41
2007-09-26,23.48
2007-09-27,23.38
2007-09-28,23.28
2007-10-01,23.72
2007-10-02,23.95
2007-10-03,23.86
2007-10-04,23.97
2007-10-05,24.01
2007-10-08,23.97
2007-10-09,24.01
2007-10-10,23.98
2007-10-11,23.82
2007-10-12,23.93
2007-10-15,23.96
2007-10-16,23.92
2007-10-17,23.9
2007-10-18,23.86
2007-10-19,23.68
2007-10-22,23.52
2007-10-23,23.77
2007-10-24,23.61
2007-10-25,23.64
2007-10-26,24.03
2007-10-29,24.23
2007-10-30,24.32
2007-10-31,24.23
2007-11-01,23.95
2007-11-02,23.65
2007-11-05,23.6
2007-11-06,23.3
2007-11-07,22.46
2007-11-08,22
2007-11-09,22.25
2007-11-12,21.78
2007-11-13,22.31
2007-11-14,21.83
2007-11-15,21.4
2007-11-16,21.47
2007-11-19,21.12
2007-11-20,21.1
2007-11-21,20.89
2007-11-23,21.6
2007-11-26,21.4
2007-11-27,21.27
2007-11-28,21.49
2007-11-29,21.85
2007-11-30,22.23
2007-12-03,22.39
2007-12-04,22.26
2007-12-05,22.5
2007-12-06,22.65
2007-12-07,22.59
2007-12-10,22.95
2007-12-11,22.55
2007-12-12,22.35
2007-12-13,21.96
2007-12-14,22
2007-12-17,21.63
2007-12-18,21.64
2007-12-19,21.61
2007-12-20,21.57
2007-12-21,22.1
2007-12-24,22.95
2007-12-26,22.89
2007-12-27,22.15
2007-12-28,22.1
2007-12-31,22.33
2008-01-02,22.29
2008-01-03,22.66
2008-01-04,22.21
2008-01-07,22.12
2008-01-08,21.95
2008-01-09,22.29
2008-01-10,22.65
2008-01-11,22.51
2008-01-14,22.6
2008-01-15,22.62
2008-01-16,22.75
2008-01-17,22.17
2008-01-18,21.36
2008-01-22,20.87
2008-01-23,21.39
2008-01-24,21.65
2008-01-25,21.91
2008-01-28,22.19
2008-01-29,22
2008-01-30,21.96
2008-01-31,22.02
2008-02-01,22.42
2008-02-04,22.33
2008-02-05,22.04
2008-02-06,21.84
2008-02-07,21.97
2008-02-08,21.7
2008-02-11,22
2008-02-12,21.97
2008-02-13,22.19
2008-02-14,21.31
2008-02-15,21.62
2008-02-19,21.67
2008-02-20,21.84
2008-02-21,21.79
2008-02-22,21.7
2008-02-25,21.9
2008-02-26,22.15
2008-02-27,21.79
2008-02-28,21.74
2008-02-29,21.3
2008-03-03,21.28
2008-03-04,21.12
2008-03-05,21.14
2008-03-06,20.77
2008-03-07,20.52
2008-03-10,19.77
2008-03-11,20.46
2008-03-12,20.75
2008-03-13,20.65
2008-03-14,20.07
2008-03-17,19.25
2008-03-18,20.05
2008-03-19,19.2
2008-03-20,19.35
2008-03-24,19.82
2008-03-25,19.97
2008-03-26,19.77
2008-03-27,19.85
2008-03-28,19.95
2008-03-31,20.1
2008-04-01,20.7
2008-04-02,20.73
2008-04-03,21.04
2008-04-04,20.98
2008-04-07,21
2008-04-08,20.82
2008-04-09,20.94
2008-04-10,20.73
2008-04-11,20.18
2008-04-14,19.88
2008-04-15,19.98
2008-04-16,20.55
2008-04-17,20.44
2008-04-18,20.86
2008-04-21,21.05
2008-04-22,20.88
2008-04-23,20.85
2008-04-24,21.07
2008-04-25,21.05
2008-04-28,21.33
2008-04-29,21.1
2008-04-30,21.22
2008-05-01,21.57
2008-05-02,21.54
2008-05-05,21.34
2008-05-06,21.22
2008-05-07,21.19
2008-05-08,21.2
2008-05-09,21.17
2008-05-12,21.35
2008-05-13,21.51
2008-05-14,21.52
2008-05-15,21.74
2008-05-16,21.87
2008-05-19,22.03
2008-05-20,21.79
2008-05-21,21.55
2008-05-22,21.49
2008-05-23,21.56
2008-05-27,21.68
2008-05-28,21.76
2008-05-29,21.82
