"Index","NUVI.Close"
2012-01-09,NA
2012-01-10,0.05129
2012-01-11,-0.13353
2012-01-12,-0.02899
2012-01-13,-0.02985
2012-01-17,0.07303
2012-01-18,-0.01418
2012-01-19,0.02817
2012-01-20,0.0274
2012-01-23,0.05264
2012-01-24,-0.16705
2012-01-25,0.08701
2012-01-26,-0.04256
2012-01-27,0
2012-01-30,-0.05972
2012-01-31,-0.04725
2012-02-01,-0.03279
2012-02-02,0.03279
2012-02-03,-0.03279
2012-02-06,0
2012-02-07,0.04879
2012-02-08,0
2012-02-09,-0.016
2012-02-10,0
2012-02-13,0.03175
2012-02-14,0.0155
2012-02-15,-0.0155
2012-02-16,0.0155
2012-02-17,-0.03125
2012-02-21,-0.03226
2012-02-22,-0.05043
2012-02-23,0.09844
2012-02-24,-0.06454
2012-02-27,-0.06899
2012-02-28,0.06899
2012-02-29,0.04879
2012-03-01,-0.1358
2012-03-02,0.01802
2012-03-05,0.06899
2012-03-06,0.06454
2012-03-07,-0.06454
2012-03-08,0.04879
2012-03-09,-0.03226
2012-03-12,0.03226
2012-03-13,-0.016
2012-03-14,-0.08408
2012-03-15,-0.03572
2012-03-16,0.01802
2012-03-19,0
2012-03-20,0.0177
2012-03-21,-0.03572
2012-03-22,0
2012-03-23,0
2012-03-26,0.15155
2012-03-27,0.0155
2012-03-28,0
2012-03-29,0.05972
2012-03-30,0.04256
2012-04-02,0.01379
2012-04-03,-0.07095
2012-04-04,-0.07637
2012-04-09,0
2012-04-10,0
2012-04-11,0.13353
2012-04-12,-0.01399
2012-04-13,-0.04317
2012-04-18,0.0146
2012-04-19,-0.05972
2012-04-23,0.11607
2012-04-25,0
2012-04-26,-0.19611
2012-04-27,0
2012-05-01,-0.08701
2012-05-03,0.16705
2012-05-07,0
2012-05-08,-0.16705
2012-05-09,0
2012-05-14,0
2012-05-15,-0.03704
2012-05-16,0.03704
2012-05-18,-0.60614
2012-05-21,0.77319
2012-05-31,-0.03125
2012-06-05,0
2012-06-06,-0.74194
2012-06-07,0
2012-06-08,0.74194
2012-06-12,0
2012-06-14,0
2012-06-21,-0.04879
2012-06-22,0
2012-06-28,0
2012-06-29,0
2012-07-05,-0.43078
2012-07-06,0.39688
2012-07-16,-0.03509
2012-07-17,0.0177
2012-07-18,0
2012-07-19,0
2012-07-23,0
2012-07-31,-0.51669
2012-08-03,0.16252
2012-08-08,-0.28768
2012-08-17,0
2012-08-23,0
2012-08-30,0
2012-08-31,0.65925
2012-09-04,0
2012-09-10,-0.65925
2012-09-11,0
2012-09-14,0
2012-09-17,0
2012-09-18,0
2012-09-19,0.09531
2012-10-02,-0.09531
2012-10-03,-0.40547
2012-10-04,0.93609
2012-10-05,0
2012-10-08,-0.93609
2012-10-10,0
2012-10-15,0.93609
2012-10-16,-0.49784
2012-10-23,-0.29849
2012-10-24,0.04256
2012-11-02,0.08004
2012-11-07,-0.1226
2012-11-12,-0.13976
2012-11-13,0
2012-11-16,0
2012-11-19,0
2012-11-21,0
2012-12-03,-0.69315
2012-12-04,0.09531
2012-12-06,0
2012-12-10,0
2012-12-17,-0.09531
2012-12-18,0
2012-12-19,0
2012-12-20,0.18232
2012-12-24,-0.87547
2012-12-26,0.33647
2012-12-27,-0.33647
2012-12-28,0.69315
2012-12-31,-0.69315
2013-01-04,0.18232
2013-01-10,0.8473
2013-01-11,0
2013-01-14,-1.02962
2013-01-16,1.02962
2013-01-17,0.45199
2013-01-18,0.12783
2013-01-22,0.24686
2013-01-23,0.44629
2013-01-24,-0.22314
2013-01-25,-0.28768
2013-01-28,-0.35667
2013-01-29,-0.40547
2013-01-31,0
2013-02-01,0.30538
2013-02-04,-0.30538
2013-02-05,-0.15415
2013-02-06,0
2013-02-07,-0.08701
2013-02-08,0.08701
2013-02-11,-0.28768
2013-02-12,-0.11778
2013-02-14,-0.69315
2013-02-15,0.91629
2013-02-19,-0.10536
2013-03-06,-0.81093
2013-03-08,0
2013-03-12,0
2013-03-13,0
2013-04-11,0
2013-04-18,0.55962
2013-04-19,0
2013-04-22,0.13353
2013-04-29,-0.28768
2013-05-06,0
2013-05-08,0
2013-05-09,0
2013-06-05,0.28768
2013-06-06,0.22314
2013-06-07,-0.22314
2013-06-12,0
2013-06-18,0.22314
2013-06-20,0.26236
2013-06-21,0.32542
2013-06-25,-0.49248
2013-06-26,0.24116
2013-06-27,-0.24116
2013-06-28,-0.31845
2013-07-01,-0.28768
2013-07-02,0.15415
2013-07-03,-0.15415
2013-07-05,0.15415
2013-07-08,0.13353
2013-07-09,0
2013-07-11,0
2013-07-12,0.11778
2013-07-15,-0.40547
2013-07-16,0.28768
2013-07-17,0
2013-07-18,0
2013-07-19,0
2013-07-22,0.11778
2013-07-23,0
2013-07-24,0
2013-07-25,-0.25131
2013-07-26,0
2013-07-29,0
2013-07-30,-0.15415
2013-07-31,0
2013-08-01,-0.18232
2013-08-02,0
2013-08-05,-0.22314
2013-08-06,0
2013-08-07,-0.28768
2013-08-08,0
2013-08-09,0
2013-08-12,-0.40547
2013-08-13,0.40547
2013-08-14,0
2013-08-15,-0.40547
2013-08-16,0
2013-08-19,0
2013-08-20,0
2013-08-21,0
2013-08-22,0
2013-08-23,0
2013-08-26,0
2013-08-27,0
2013-08-28,0
2013-08-29,0
2013-08-30,0
2013-09-03,0
2013-09-04,-0.69315
2013-09-05,0
2013-09-06,0
2013-09-09,0
2013-09-10,0
2013-09-11,0
2013-09-12,0
2013-09-13,0
2013-09-16,0
2013-09-17,0
2013-09-18,0
2013-09-19,0
2013-09-20,0
2013-09-23,0
2013-09-24,0
2013-09-25,0
2013-09-26,0
2013-09-27,0
2013-09-30,0
2013-10-02,0
2013-10-03,0
2013-10-04,0
2013-10-07,0
2013-10-08,0
2013-10-09,0
2013-10-11,0
2013-10-14,0
2013-10-15,0
2013-10-16,0
2013-10-17,0
2013-10-18,0
2013-10-21,0
2013-10-23,0
2013-10-24,0
2013-10-25,0
2013-10-28,0
2013-10-29,0
2013-10-31,0
2013-11-01,0
2013-11-04,0
2013-11-06,0
2013-11-07,0
2013-11-08,0
2013-11-11,0
2013-11-12,0
2013-11-13,0
2013-11-15,0
2013-11-18,0
2013-11-19,0
2013-11-20,0
2013-11-21,0.69315
2013-11-22,-0.69315
2013-11-25,0
2013-11-26,0.69315
2013-11-27,-0.69315
2013-11-29,0.69315
2013-12-02,0
2013-12-03,-0.69315
2013-12-05,0
2013-12-06,0
2013-12-10,0.69315
2013-12-11,0
2013-12-12,-0.69315
2013-12-13,0
2013-12-16,0
2013-12-17,0
2013-12-18,0
2013-12-19,0
2013-12-20,0
2013-12-23,0
2013-12-24,0
2013-12-26,0
2013-12-27,0
2013-12-30,0
2013-12-31,0
2014-01-02,0
2014-01-03,0
2014-01-06,0
2014-01-07,0
2014-01-08,0
2014-01-09,0
2014-01-10,0
2014-01-13,0
2014-01-14,0
2014-01-15,0
2014-01-16,0
2014-01-17,0
2014-01-21,0
2014-01-22,0
2014-01-23,0
2014-01-24,0
2014-01-27,0
2014-01-28,0
2014-01-29,-Inf
2014-01-30,NA
2014-01-31,NA
2014-02-03,Inf
2014-02-05,0
2014-02-06,0
2014-02-07,0
2014-02-11,0
2014-02-12,-Inf
2014-02-18,NA
2014-02-19,Inf
2014-02-20,0
2014-02-21,0
2014-02-24,0
2014-02-25,0
2014-02-27,0
2014-02-28,0
2014-03-03,0
2014-03-04,0
2014-03-05,0
2014-03-06,0
2014-03-07,0
2014-03-10,0
2014-03-11,0
2014-03-12,-Inf
2014-03-14,Inf
2014-03-17,0
2014-03-18,0
2014-03-19,0
2014-03-20,0
2014-03-25,0
2014-03-26,0
2014-03-27,0
2014-03-28,0
2014-04-01,0
2014-04-02,0
2014-04-03,0
2014-04-07,0
2014-04-09,0
2014-04-11,0
2014-04-15,-Inf
2014-04-22,NA
2014-04-23,NA
2014-04-24,NA
2014-04-25,NA
2014-04-28,NA
2014-04-29,Inf
2014-04-30,0
2014-05-13,-Inf
2014-05-14,NA
2014-05-15,Inf
2014-05-19,-Inf
2014-05-21,NA
2014-05-30,NA
2014-06-03,NA
2014-06-10,NA
2014-06-11,NA
2014-06-13,NA
2014-06-16,NA
2014-06-17,NA
2014-06-23,NA
2014-06-24,Inf
2014-06-26,0
2014-07-03,-Inf
