"Index","NVG.Close"
2007-01-03,15.24
2007-01-04,15.14
2007-01-05,15.06
2007-01-08,15.06
2007-01-09,15.06
2007-01-10,14.97
2007-01-11,14.96
2007-01-12,14.99
2007-01-16,15.1
2007-01-17,15.18
2007-01-18,15.26
2007-01-19,15.2
2007-01-22,15.21
2007-01-23,15.17
2007-01-24,15.14
2007-01-25,15.01
2007-01-26,15.1
2007-01-29,15.08
2007-01-30,15
2007-01-31,15.13
2007-02-01,15.19
2007-02-02,15.17
2007-02-05,15.08
2007-02-06,15.14
2007-02-07,15.15
2007-02-08,15.17
2007-02-09,15.13
2007-02-12,15.06
2007-02-13,14.99
2007-02-14,15.05
2007-02-15,15.02
2007-02-16,15.01
2007-02-20,14.97
2007-02-21,14.98
2007-02-22,14.91
2007-02-23,14.97
2007-02-26,15.05
2007-02-27,15.1
2007-02-28,15.15
2007-03-01,15.05
2007-03-02,15.06
2007-03-05,15.16
2007-03-06,15.17
2007-03-07,15.18
2007-03-08,15.3
2007-03-09,15.3
2007-03-12,15.24
2007-03-13,15.25
2007-03-14,15.3
2007-03-15,15.35
2007-03-16,15.28
2007-03-19,15.3
2007-03-20,15.36
2007-03-21,15.42
2007-03-22,15.35
2007-03-23,15.43
2007-03-26,15.37
2007-03-27,15.37
2007-03-28,15.37
2007-03-29,15.3
2007-03-30,15.35
2007-04-02,15.35
2007-04-03,15.31
2007-04-04,15.22
2007-04-05,15.35
2007-04-09,15.27
2007-04-10,15.3
2007-04-11,15.17
2007-04-12,15.22
2007-04-13,15.07
2007-04-16,15.1
2007-04-17,15.09
2007-04-18,15.12
2007-04-19,15.19
2007-04-20,15.23
2007-04-23,15.25
2007-04-24,15.25
2007-04-25,15.3
2007-04-26,15.28
2007-04-27,15.3
2007-04-30,15.26
2007-05-01,15.37
2007-05-02,15.45
2007-05-03,15.42
2007-05-04,15.42
2007-05-07,15.32
2007-05-08,15.33
2007-05-09,15.31
2007-05-10,15.38
2007-05-11,15.45
2007-05-14,15.36
2007-05-15,15.32
2007-05-16,15.35
2007-05-17,15.41
2007-05-18,15.3
2007-05-21,15.18
2007-05-22,15.18
2007-05-23,15.06
2007-05-24,15.06
2007-05-25,15.08
2007-05-29,15.1
2007-05-30,15.09
2007-05-31,15.1
2007-06-01,15.04
2007-06-04,15.04
2007-06-05,15
2007-06-06,14.94
2007-06-07,14.52
2007-06-08,14.45
2007-06-11,14.01
2007-06-12,14
2007-06-13,14.02
2007-06-14,14.12
2007-06-15,14.06
2007-06-18,14.07
2007-06-19,14.15
2007-06-20,14.02
2007-06-21,14.03
2007-06-22,14.01
2007-06-25,13.96
2007-06-26,13.94
2007-06-27,13.94
2007-06-28,13.98
2007-06-29,14.12
2007-07-02,14.18
2007-07-03,14.14
2007-07-05,14.09
2007-07-06,14.04
2007-07-09,14.05
2007-07-10,14.08
2007-07-11,14
2007-07-12,13.96
2007-07-13,13.85
2007-07-16,13.92
2007-07-17,13.79
2007-07-18,13.7
2007-07-19,13.68
2007-07-20,13.72
2007-07-23,13.69
2007-07-24,13.72
2007-07-25,13.77
2007-07-26,13.76
2007-07-27,13.79
2007-07-30,13.87
2007-07-31,13.93
2007-08-01,13.9
2007-08-02,13.97
2007-08-03,13.97
2007-08-06,13.87
2007-08-07,13.81
2007-08-08,13.88
2007-08-09,13.77
2007-08-10,13.72
2007-08-13,13.6
2007-08-14,13.54
2007-08-15,13.52
2007-08-16,13.23
2007-08-17,13.63
2007-08-20,13.61
2007-08-21,13.9
2007-08-22,14.05
2007-08-23,13.98
2007-08-24,13.9
2007-08-27,13.83
2007-08-28,13.8
2007-08-29,13.91
2007-08-30,13.96
2007-08-31,13.95
2007-09-04,14.01
2007-09-05,14.01
2007-09-06,14.1
2007-09-07,14.26
2007-09-10,14.44
2007-09-11,14.47
2007-09-12,14.36
2007-09-13,14.15
2007-09-14,14.12
