"Index","OLP.Close"
2007-01-03,25.76
2007-01-04,26.02
2007-01-05,26.03
2007-01-08,25.87
2007-01-09,25.12
2007-01-10,24.09
2007-01-11,24
2007-01-12,24.17
2007-01-16,24.1
2007-01-17,24.15
2007-01-18,24.2
2007-01-19,24.1
2007-01-22,24.33
2007-01-23,23.85
2007-01-24,23.51
2007-01-25,23.65
2007-01-26,23.47
2007-01-29,24.02
2007-01-30,23.87
2007-01-31,24.2
2007-02-01,24.3
2007-02-02,24.46
2007-02-05,25.17
2007-02-06,24.78
2007-02-07,24.93
2007-02-08,25.23
2007-02-09,25.13
2007-02-12,24.67
2007-02-13,24.11
2007-02-14,24.65
2007-02-15,25
2007-02-16,24.83
2007-02-20,25
2007-02-21,24.99
2007-02-22,24.94
2007-02-23,24.92
2007-02-26,24.53
2007-02-27,24.09
2007-02-28,24.5
2007-03-01,23.93
2007-03-02,23.78
2007-03-05,23.6
2007-03-06,24.55
2007-03-07,24.51
2007-03-08,24.72
2007-03-09,24.88
2007-03-12,25.05
2007-03-13,24.82
2007-03-14,24.5
2007-03-15,24.57
2007-03-16,24.52
2007-03-19,24.71
2007-03-20,24.62
2007-03-21,24.55
2007-03-22,23.8
2007-03-23,23.81
2007-03-26,23.77
2007-03-27,23.52
2007-03-28,23.41
2007-03-29,23.32
2007-03-30,22.81
2007-04-02,22.51
2007-04-03,22.97
2007-04-04,23.5
2007-04-05,24.08
2007-04-09,24.2
2007-04-10,24.09
2007-04-11,23.09
2007-04-12,23.36
2007-04-13,23.43
2007-04-16,23.65
2007-04-17,23.99
2007-04-18,24
2007-04-19,24
2007-04-20,23.99
2007-04-23,24.01
2007-04-24,23.9
2007-04-25,23.88
2007-04-26,23.94
2007-04-27,23.65
2007-04-30,23.72
2007-05-01,23.51
2007-05-02,23.98
2007-05-03,23.98
2007-05-04,23.85
2007-05-07,23.81
2007-05-08,23.49
2007-05-09,23.3
2007-05-10,23.16
2007-05-11,23.11
2007-05-14,23.22
2007-05-15,23.33
2007-05-16,23.32
2007-05-17,23.35
2007-05-18,23.34
2007-05-21,22.96
2007-05-22,23
2007-05-23,22.9
2007-05-24,22.97
2007-05-25,23.02
2007-05-29,22.9
2007-05-30,23.02
2007-05-31,23.08
2007-06-01,23
2007-06-04,23
2007-06-05,22.57
2007-06-06,23.49
2007-06-07,23.07
2007-06-08,23.19
2007-06-11,23.3
2007-06-12,22.88
2007-06-13,22.92
2007-06-14,23.25
2007-06-15,23.73
2007-06-18,23.68
2007-06-19,23.66
2007-06-20,23.51
2007-06-21,22.95
2007-06-22,22.54
2007-06-25,21.93
2007-06-26,22.36
2007-06-27,22.64
2007-06-28,22.84
2007-06-29,22.76
2007-07-02,22.83
2007-07-03,22.06
2007-07-05,22.97
2007-07-06,22.64
2007-07-09,22.75
2007-07-10,21.99
2007-07-11,21.6
2007-07-12,21.74
2007-07-13,21.75
2007-07-16,21.74
2007-07-17,21.76
2007-07-18,21.62
2007-07-19,21.75
2007-07-20,21.73
2007-07-23,21.71
2007-07-24,21.42
2007-07-25,20.72
2007-07-26,20.1
2007-07-27,19.48
2007-07-30,19.56
2007-07-31,19.83
2007-08-01,20.53
2007-08-02,21.6
2007-08-03,21.4
2007-08-06,20.51
2007-08-07,20.84
2007-08-08,21.9
2007-08-09,20.51
2007-08-10,19.84
2007-08-13,20.23
2007-08-14,20
2007-08-15,20.27
2007-08-16,20.52
2007-08-17,21.06
2007-08-20,22
2007-08-21,21.21
2007-08-22,21.61
2007-08-23,21.43
2007-08-24,21.2
2007-08-27,20.92
2007-08-28,20.37
2007-08-29,20.55
2007-08-30,20.33
2007-08-31,20.39
2007-09-04,20.38
2007-09-05,20.29
2007-09-06,20.3
2007-09-07,21
2007-09-10,20.23
2007-09-11,20.5
2007-09-12,20.7
2007-09-13,20.88
2007-09-14,21.2
2007-09-17,21.42
2007-09-18,21.82
2007-09-19,22
2007-09-20,21.01
2007-09-21,21.57
2007-09-24,21.21
2007-09-25,20.64
2007-09-26,20.14
2007-09-27,20.19
2007-09-28,19.45
2007-10-01,19.57
2007-10-02,21.7
2007-10-03,21.21
2007-10-04,21.15
2007-10-05,20.64
2007-10-08,20.92
2007-10-09,20.7
2007-10-10,20.37
2007-10-11,20.49
2007-10-12,21.19
2007-10-15,20.45
2007-10-16,20.3
2007-10-17,20.36
2007-10-18,20.14
2007-10-19,20.14
2007-10-22,20.07
2007-10-23,19.82
2007-10-24,20.41
2007-10-25,19.99
2007-10-26,19.95
2007-10-29,20.29
2007-10-30,20.36
2007-10-31,20.45
2007-11-01,20.34
2007-11-02,20.22
2007-11-05,20.02
2007-11-06,20.01
2007-11-07,20
2007-11-08,20.01
2007-11-09,20
2007-11-12,20.04
2007-11-13,20
2007-11-14,20.21
2007-11-15,21.97
2007-11-16,21.12
2007-11-19,20.43
2007-11-20,20.12
2007-11-21,19.9
2007-11-23,20.86
2007-11-26,20.45
2007-11-27,20.07
2007-11-28,19.85
2007-11-29,20.29
2007-11-30,20.1
2007-12-03,20.3
2007-12-04,19.76
2007-12-05,19.64
2007-12-06,20
2007-12-07,19.99
2007-12-10,20.34
2007-12-11,20.04
2007-12-12,19.65
2007-12-13,19.75
2007-12-14,19.75
2007-12-17,19.29
2007-12-18,18.84
2007-12-19,18.9
2007-12-20,18.5
2007-12-21,18.02
2007-12-24,20.9
2007-12-26,19.7
2007-12-27,19.19
2007-12-28,18.84
2007-12-31,18.37
2008-01-02,18.71
2008-01-03,18
2008-01-04,17.87
2008-01-07,18.38
2008-01-08,17.88
2008-01-09,17.95
2008-01-10,17.5
2008-01-11,17.32
2008-01-14,17.51
2008-01-15,17.46
2008-01-16,17.4
2008-01-17,16.93
2008-01-18,17.22
2008-01-22,17.1
2008-01-23,17.41
2008-01-24,17.48
2008-01-25,17.48
2008-01-28,17.51
2008-01-29,17.86
2008-01-30,17.82
2008-01-31,17.3
2008-02-01,17.58
2008-02-04,17.64
2008-02-05,17.35
2008-02-06,17.39
2008-02-07,17.04
2008-02-08,17.01
2008-02-11,16.9
2008-02-12,17.29
2008-02-13,17.15
2008-02-14,17.18
2008-02-15,17.09
2008-02-19,17.28
2008-02-20,17.31
2008-02-21,17.44
2008-02-22,17.27
2008-02-25,17.34
2008-02-26,17.4
2008-02-27,17.5
2008-02-28,17.5
2008-02-29,17.5
2008-03-03,17.14
2008-03-04,17.1
2008-03-05,16.82
2008-03-06,16.59
2008-03-07,16.13
2008-03-10,15.49
2008-03-11,16.59
2008-03-12,17.21
2008-03-13,16.61
2008-03-14,16.17
2008-03-17,16.43
2008-03-18,16.77
2008-03-19,16.3
2008-03-20,16.26
2008-03-24,16.88
2008-03-25,17
2008-03-26,16.54
2008-03-27,16.57
2008-03-28,15.95
2008-03-31,16.12
2008-04-01,16.02
2008-04-02,16.22
2008-04-03,16.39
2008-04-04,16.71
2008-04-07,16.76
2008-04-08,16.98
2008-04-09,16.99
2008-04-10,16.97
2008-04-11,16.93
2008-04-14,16.95
2008-04-15,16.81
2008-04-16,17.18
2008-04-17,16.86
2008-04-18,16.98
2008-04-21,16.99
2008-04-22,16.91
2008-04-23,16.51
2008-04-24,16.31
2008-04-25,16.51
2008-04-28,16.83
2008-04-29,16.95
2008-04-30,17.33
2008-05-01,16.85
2008-05-02,17
2008-05-05,16.87
2008-05-06,17
2008-05-07,16.34
2008-05-08,16.23
2008-05-09,16.32
2008-05-12,16.5
2008-05-13,17
2008-05-14,16.76
2008-05-15,17.14
2008-05-16,17.83
2008-05-19,17.41
2008-05-20,17.13
2008-05-21,17.71
2008-05-22,17.16
2008-05-23,17.33
2008-05-27,17.19
2008-05-28,16.57
2008-05-29,16.78
2008-05-30,16.71
2008-06-02,16.96
2008-06-03,17.09
2008-06-04,16.84
2008-06-05,17.49
2008-06-06,17.09
2008-06-09,17
2008-06-10,16.92
2008-06-11,16.81
2008-06-12,17.15
2008-06-13,17
2008-06-16,17.05
2008-06-17,16.97
2008-06-18,17.33
2008-06-19,17.01
2008-06-20,16.77
2008-06-23,16.7
2008-06-24,16.87
2008-06-25,16.88
2008-06-26,16.62
2008-06-27,16.42
2008-06-30,16.31
2008-07-01,16.76
2008-07-02,16.41
2008-07-03,16.4
2008-07-07,16.3
2008-07-08,17.54
2008-07-09,16.49
2008-07-10,16.89
2008-07-11,16.95
2008-07-14,16.71
2008-07-15,16.51
2008-07-16,17.06
2008-07-17,16.76
2008-07-18,16.71
2008-07-21,16.78
2008-07-22,17.08
2008-07-23,17.12
2008-07-24,16.98
2008-07-25,16.86
2008-07-28,16.89
2008-07-29,16.89
2008-07-30,17.09
2008-07-31,17
2008-08-01,16.99
